"","date","BRENT"
"1",2020-11-10,0.2265
"2",2020-11-11,0.2221
"3",2020-11-12,0.2275
"4",2020-11-13,0.2343
"5",2020-11-16,0.2207
"6",2020-11-17,0.1975
"7",2020-11-18,0.1987
"8",2020-11-19,0.1972
"9",2020-11-20,0.214
"10",2020-11-23,0.2149
"11",2020-11-24,0.2195
"12",2020-11-25,0.2268
"13",2020-11-27,0.2364
"14",2020-11-30,0.2306
"15",2020-12-01,0.227
"16",2020-12-02,0.228
"17",2020-12-03,0.2351
"18",2020-12-04,0.2453
"19",2020-12-07,0.2483
"20",2020-12-08,0.2347
"21",2020-12-09,0.2339
"22",2020-12-10,0.2334
"23",2020-12-11,0.2374
"24",2020-12-14,0.2486
"25",2020-12-15,0.238
"26",2020-12-16,0.2201
"27",2020-12-17,0.224
"28",2020-12-18,0.238
"29",2020-12-21,0.2563
"30",2020-12-22,0.2575
"31",2020-12-23,0.2506
"32",2020-12-24,0.2358
"33",2020-12-28,0.2359
"34",2020-12-29,0.2392
"35",2020-12-30,0.2633
"36",2020-12-31,0.2642
"37",2021-01-04,0.2457
"38",2021-01-05,0.2291
"39",2021-01-06,0.2522
"40",2021-01-07,0.2767
"41",2021-01-08,0.2683
"42",2021-01-11,0.2688
"43",2021-01-12,0.2726
"44",2021-01-13,0.2643
"45",2021-01-14,0.2565
"46",2021-01-15,0.258
"47",2021-01-19,0.2636
"48",2021-01-20,0.2533
"49",2021-01-21,0.2504
"50",2021-01-22,0.2478
"51",2021-01-25,0.2551
"52",2021-01-26,0.2555
"53",2021-01-27,0.2516
"54",2021-01-28,0.251
"55",2021-01-29,0.2527
"56",2021-02-01,0.2516
"57",2021-02-02,0.2621
"58",2021-02-03,0.2719
"59",2021-02-04,0.2822
"60",2021-02-05,0.2731
"61",2021-02-08,0.2769
"62",2021-02-09,0.2686
"63",2021-02-10,0.2877
"64",2021-02-11,0.3014
"65",2021-02-12,0.2964
"66",2021-02-16,0.3096
"67",2021-02-17,0.2994
"68",2021-02-18,0.3111
"69",2021-02-19,0.3248
"70",2021-02-22,0.3154
"71",2021-02-23,0.2989
"72",2021-02-24,0.2832
"73",2021-02-25,0.2882
"74",2021-02-26,0.2966
"75",2021-03-01,0.3123
"76",2021-03-02,0.3204
"77",2021-03-03,0.3225
"78",2021-03-04,0.3294
"79",2021-03-05,0.3448
"80",2021-03-08,0.3338
"81",2021-03-09,0.3326
"82",2021-03-10,0.3341
"83",2021-03-11,0.3372
"84",2021-03-12,0.349
"85",2021-03-15,0.357
"86",2021-03-16,0.3415
"87",2021-03-17,0.3418
"88",2021-03-18,0.3556
"89",2021-03-19,0.3574
"90",2021-03-22,0.346
"91",2021-03-23,0.3331
"92",2021-03-24,0.3391
"93",2021-03-25,0.3372
"94",2021-03-26,0.347
"95",2021-03-29,0.3699
"96",2021-03-30,0.3719
"97",2021-03-31,0.346
"98",2021-04-01,0.323
"99",2021-04-05,0.3372
"100",2021-04-06,0.3476
"101",2021-04-07,0.3367
"102",2021-04-08,0.3231
"103",2021-04-09,0.3246
"104",2021-04-12,0.3182
"105",2021-04-13,0.3214
"106",2021-04-14,0.3353
"107",2021-04-15,0.3366
"108",2021-04-16,0.3391
"109",2021-04-19,0.3354
"110",2021-04-20,0.324
"111",2021-04-21,0.3275
"112",2021-04-22,0.3335
"113",2021-04-23,0.3302
"114",2021-04-26,0.327
"115",2021-04-27,0.304
"116",2021-04-28,0.2842
"117",2021-04-29,0.2884
"118",2021-04-30,0.2823
"119",2021-05-03,0.2958
"120",2021-05-04,0.3052
"121",2021-05-05,0.3056
"122",2021-05-06,0.2974
"123",2021-05-07,0.3061
"124",2021-05-10,0.3059
"125",2021-05-11,0.2992
"126",2021-05-12,0.293
"127",2021-05-13,0.2834
"128",2021-05-14,0.281
"129",2021-05-17,0.2844
"130",2021-05-18,0.2923
"131",2021-05-19,0.2961
"132",2021-05-20,0.2817
"133",2021-05-21,0.2727
"134",2021-05-24,0.2741
"135",2021-05-25,0.2737
"136",2021-05-26,0.2787
"137",2021-05-27,0.2685
"138",2021-05-28,0.2735
"139",2021-06-01,0.2875
"140",2021-06-02,0.2779
"141",2021-06-03,0.271
"142",2021-06-04,0.2709
"143",2021-06-07,0.2771
"144",2021-06-08,0.2778
"145",2021-06-09,0.27
"146",2021-06-10,0.2529
"147",2021-06-11,0.2567
"148",2021-06-14,0.2623
