"","date","GOLD"
"1",2019-06-10,0.2091
"2",2019-06-11,0.2029
"3",2019-06-12,0.2064
"4",2019-06-13,0.2038
"5",2019-06-14,0.1922
"6",2019-06-17,0.1933
"7",2019-06-18,0.1915
"8",2019-06-19,0.2001
"9",2019-06-20,0.2109
"10",2019-06-21,0.2079
"11",2019-06-24,0.2104
"12",2019-06-25,0.2053
"13",2019-06-26,0.2045
"14",2019-06-27,0.2025
"15",2019-06-28,0.1993
"16",2019-07-01,0.2047
"17",2019-07-02,0.2003
"18",2019-07-03,0.1875
"19",2019-07-05,0.1826
"20",2019-07-08,0.1897
"21",2019-07-09,0.2127
"22",2019-07-10,0.2085
"23",2019-07-11,0.206
"24",2019-07-12,0.201
"25",2019-07-15,0.1898
"26",2019-07-16,0.1967
"27",2019-07-17,0.1833
"28",2019-07-18,0.1823
"29",2019-07-19,0.1871
"30",2019-07-22,0.1624
"31",2019-07-23,0.1641
"32",2019-07-24,0.1598
"33",2019-07-25,0.1671
"34",2019-07-26,0.1747
"35",2019-07-29,0.1785
"36",2019-07-30,0.1813
"37",2019-07-31,0.1714
"38",2019-08-01,0.1653
"39",2019-08-02,0.1854
"40",2019-08-05,0.2
"41",2019-08-06,0.206
"42",2019-08-07,0.2047
"43",2019-08-08,0.1884
"44",2019-08-09,0.1715
"45",2019-08-12,0.1555
"46",2019-08-13,0.165
"47",2019-08-14,0.1599
"48",2019-08-15,0.1543
"49",2019-08-16,0.1493
"50",2019-08-19,0.1601
"51",2019-08-20,0.1801
"52",2019-08-21,0.1843
"53",2019-08-22,0.1967
"54",2019-08-23,0.1758
"55",2019-08-26,0.144
"56",2019-08-27,0.1408
"57",2019-08-28,0.1529
"58",2019-08-29,0.1474
"59",2019-08-30,0.1504
"60",2019-09-03,0.1237
"61",2019-09-04,0.1211
"62",2019-09-05,0.1222
"63",2019-09-06,0.1183
"64",2019-09-09,0.1239
"65",2019-09-10,0.1119
"66",2019-09-11,0.1324
"67",2019-09-12,0.1196
"68",2019-09-13,0.1212
"69",2019-09-16,0.1181
"70",2019-09-17,0.1276
"71",2019-09-18,0.1463
"72",2019-09-19,0.1515
"73",2019-09-20,0.1535
"74",2019-09-23,0.1333
"75",2019-09-24,0.1306
"76",2019-09-25,0.1478
"77",2019-09-26,0.1466
"78",2019-09-27,0.1429
"79",2019-09-30,0.1501
"80",2019-10-01,0.1412
"81",2019-10-02,0.1465
"82",2019-10-03,0.1415
"83",2019-10-04,0.1474
"84",2019-10-07,0.1482
"85",2019-10-08,0.1375
"86",2019-10-09,0.1518
"87",2019-10-10,0.1464
"88",2019-10-11,0.142
"89",2019-10-14,0.1476
"90",2019-10-15,0.1516
"91",2019-10-16,0.1583
"92",2019-10-17,0.1837
"93",2019-10-18,0.1686
"94",2019-10-21,0.1569
"95",2019-10-22,0.1357
"96",2019-10-23,0.1291
"97",2019-10-24,0.1308
"98",2019-10-25,0.131
"99",2019-10-28,0.1525
"100",2019-10-29,0.1528
"101",2019-10-30,0.1617
"102",2019-10-31,0.1553
"103",2019-11-01,0.1665
"104",2019-11-04,0.1455
"105",2019-11-05,0.1446
"106",2019-11-06,0.1629
"107",2019-11-07,0.1546
"108",2019-11-08,0.1503
"109",2019-11-11,0.1609
"110",2019-11-12,0.1614
"111",2019-11-13,0.1599
"112",2019-11-14,0.1701
"113",2019-11-15,0.1682
"114",2019-11-18,0.1735
"115",2019-11-19,0.161
"116",2019-11-20,0.1676
"117",2019-11-21,0.1712
"118",2019-11-22,0.1615
"119",2019-11-25,0.1634
"120",2019-11-26,0.164
"121",2019-11-27,0.1546
"122",2019-11-29,0.166
"123",2019-12-02,0.1758
"124",2019-12-03,0.1817
"125",2019-12-04,0.1769
"126",2019-12-05,0.1877
"127",2019-12-06,0.1785
"128",2019-12-09,0.1575
"129",2019-12-10,0.1486
"130",2019-12-11,0.1566
"131",2019-12-12,0.1881
"132",2019-12-13,0.1773
"133",2019-12-16,0.173
"134",2019-12-17,0.1571
"135",2019-12-18,0.1397
"136",2019-12-19,0.1708
"137",2019-12-20,0.1563
"138",2019-12-23,0.1644
"139",2019-12-24,0.1605
"140",2019-12-26,0.1471
"141",2019-12-27,0.1539
"142",2019-12-30,0.158
"143",2019-12-31,0.1562
"144",2020-01-02,0.132
"145",2020-01-03,0.1272
"146",2020-01-06,0.1417
"147",2020-01-07,0.1289
"148",2020-01-08,0.127
"149",2020-01-09,0.1161
"150",2020-01-10,0.1316
"151",2020-01-13,0.1182
"152",2020-01-14,0.1163
"153",2020-01-15,0.1159
"154",2020-01-16,0.1083
"155",2020-01-17,0.1123
"156",2020-01-21,0.1277
"157",2020-01-22,0.1193
"158",2020-01-23,0.1119
"159",2020-01-24,0.0976
"160",2020-01-27,0.1127
"161",2020-01-28,0.1337
"162",2020-01-29,0.1413
"163",2020-01-30,0.16
"164",2020-01-31,0.1418
"165",2020-02-03,0.1255
"166",2020-02-04,0.1371
"167",2020-02-05,0.1516
"168",2020-02-06,0.1465
"169",2020-02-07,0.144
"170",2020-02-10,0.146
"171",2020-02-11,0.1509
"172",2020-02-12,0.1581
"173",2020-02-13,0.1491
"174",2020-02-14,0.1423
"175",2020-02-18,0.1256
"176",2020-02-19,0.1337
"177",2020-02-20,0.1207
"178",2020-02-21,0.1296
"179",2020-02-24,0.1308
"180",2020-02-25,0.1253
"181",2020-02-26,0.1288
"182",2020-02-27,0.1455
"183",2020-02-28,0.1963
"184",2020-03-02,0.1823
"185",2020-03-03,0.1696
"186",2020-03-04,0.1975
"187",2020-03-05,0.2059
"188",2020-03-06,0.2181
"189",2020-03-09,0.2076
"190",2020-03-10,0.1963
"191",2020-03-11,0.2184
"192",2020-03-12,0.2507
"193",2020-03-13,0.3146
"194",2020-03-16,0.3434
"195",2020-03-17,0.327
"196",2020-03-18,0.3663
"197",2020-03-19,0.3672
"198",2020-03-20,0.3565
"199",2020-03-23,0.3541
"200",2020-03-24,0.421
"201",2020-03-25,0.451
"202",2020-03-26,0.4784
"203",2020-03-27,0.4923
"204",2020-03-30,0.4813
"205",2020-03-31,0.4716
"206",2020-04-01,0.4732
"207",2020-04-02,0.4555
"208",2020-04-03,0.4632
"209",2020-04-06,0.4853
"210",2020-04-07,0.52
"211",2020-04-08,0.5198
"212",2020-04-09,0.5204
"213",2020-04-13,0.5013
"214",2020-04-14,0.4622
"215",2020-04-15,0.4597
"216",2020-04-16,0.47
"217",2020-04-17,0.491
"218",2020-04-20,0.5296
"219",2020-04-21,0.5457
"220",2020-04-22,0.5525
"221",2020-04-23,0.5415
"222",2020-04-24,0.5334
"223",2020-04-27,0.5616
