"","date","IRON.USD"
"1",2023-06-07,0.6646
"2",2023-06-08,0.6546
"3",2023-06-09,0.6898
"4",2023-06-10,0.6539
"5",2023-06-11,0.6639
"6",2023-06-12,0.6578
"7",2023-06-13,0.673
"8",2023-06-14,0.6475
"9",2023-06-15,0.6411
"10",2023-06-16,0.6536
"11",2023-06-17,0.6599
"12",2023-06-18,0.654
"13",2023-06-19,0.6931
"14",2023-06-20,0.6153
"15",2023-06-21,0.657
"16",2023-06-22,0.6667
"17",2023-06-23,0.6667
"18",2023-06-24,0.6668
"19",2023-06-25,0.6696
"20",2023-06-26,0.6347
"21",2023-06-27,0.6073
"22",2023-06-28,0.6572
"23",2023-06-29,0.6268
"24",2023-06-30,0.6421
