"","date","WTI"
"1",2020-11-10,0.0760999999999999
"2",2020-11-11,0.0744
"3",2020-11-12,0.073
"4",2020-11-13,0.0655
"5",2020-11-16,0.0760000000000001
"6",2020-11-17,0.0717
"7",2020-11-18,0.0799000000000001
"8",2020-11-19,0.0828
"9",2020-11-20,0.0882999999999999
"10",2020-11-23,0.0782
"11",2020-11-24,0.0825
"12",2020-11-25,0.0895999999999999
"13",2020-11-27,0.0838
"14",2020-11-30,0.0898
"15",2020-12-01,0.0893
"16",2020-12-02,0.0865
"17",2020-12-03,0.0961
"18",2020-12-04,0.1036
"19",2020-12-07,0.0998
"20",2020-12-08,0.0958
"21",2020-12-09,0.0952
"22",2020-12-10,0.0844
"23",2020-12-11,0.0708
"24",2020-12-14,0.0803
"25",2020-12-15,0.0876
"26",2020-12-16,0.0868
"27",2020-12-17,0.0866
"28",2020-12-18,0.0790000000000001
"29",2020-12-21,0.0895
"30",2020-12-22,0.0939
"31",2020-12-23,0.095
"32",2020-12-24,0.0983000000000001
"33",2020-12-28,0.0998
"34",2020-12-29,0.0952000000000001
"35",2020-12-30,0.0972000000000001
"36",2020-12-31,0.0967
"37",2021-01-04,0.0982
"38",2021-01-05,0.0993999999999999
"39",2021-01-06,0.1092
"40",2021-01-07,0.111
"41",2021-01-08,0.1068
"42",2021-01-11,0.1061
"43",2021-01-12,0.1007
"44",2021-01-13,0.1006
"45",2021-01-14,0.1018
"46",2021-01-15,0.0863
"47",2021-01-19,0.0866
"48",2021-01-20,0.0916999999999999
"49",2021-01-21,0.0886
"50",2021-01-22,0.0893999999999999
"51",2021-01-25,0.0920000000000001
"52",2021-01-26,0.0921000000000001
"53",2021-01-27,0.0999
"54",2021-01-28,0.1074
"55",2021-01-29,0.1072
"56",2021-02-01,0.1012
"57",2021-02-02,0.1106
"58",2021-02-03,0.1158
"59",2021-02-04,0.1169
"60",2021-02-05,0.1159
"61",2021-02-08,0.1058
"62",2021-02-09,0.1019
"63",2021-02-10,0.1081
"64",2021-02-11,0.1116
"65",2021-02-12,0.1193
"66",2021-02-16,0.1196
"67",2021-02-17,0.1184
"68",2021-02-18,0.1177
"69",2021-02-19,0.1144
"70",2021-02-22,0.097
"71",2021-02-23,0.0821000000000001
"72",2021-02-24,0.0774
"73",2021-02-25,0.0751000000000001
"74",2021-02-26,0.0776
"75",2021-03-01,0.0861
"76",2021-03-02,0.0926
"77",2021-03-03,0.1174
"78",2021-03-04,0.1259
"79",2021-03-05,0.1241
"80",2021-03-08,0.1197
"81",2021-03-09,0.1214
"82",2021-03-10,0.1149
"83",2021-03-11,0.1057
"84",2021-03-12,0.1127
"85",2021-03-15,0.1147
"86",2021-03-16,0.1109
"87",2021-03-17,0.1118
"88",2021-03-18,0.0965999999999999
"89",2021-03-19,0.1013
"90",2021-03-22,0.1027
"91",2021-03-23,0.0959
"92",2021-03-24,0.0946
"93",2021-03-25,0.0979
"94",2021-03-26,0.0977
"95",2021-03-29,0.1088
"96",2021-03-30,0.1198
"97",2021-03-31,0.1183
"98",2021-04-01,0.121
"99",2021-04-05,0.1263
"100",2021-04-06,0.1187
"101",2021-04-07,0.1179
"102",2021-04-08,0.1214
"103",2021-04-09,0.1226
"104",2021-04-12,0.1211
"105",2021-04-13,0.1166
"106",2021-04-14,0.1089
"107",2021-04-15,0.1131
"108",2021-04-16,0.1157
"109",2021-04-19,0.1215
"110",2021-04-20,0.1193
"111",2021-04-21,0.1103
"112",2021-04-22,0.1081
"113",2021-04-23,0.1044
"114",2021-04-26,0.1035
"115",2021-04-27,0.1067
"116",2021-04-28,0.0985999999999999
"117",2021-04-29,0.1107
"118",2021-04-30,0.1066
"119",2021-05-03,0.1047
"120",2021-05-04,0.1111
"121",2021-05-05,0.1035
"122",2021-05-06,0.1024
"123",2021-05-07,0.1099
"124",2021-05-10,0.1153
"125",2021-05-11,0.1172
"126",2021-05-12,0.1164
"127",2021-05-13,0.1101
"128",2021-05-14,0.1159
"129",2021-05-17,0.1273
"130",2021-05-18,0.113
"131",2021-05-19,0.103
"132",2021-05-20,0.0978
"133",2021-05-21,0.0945
"134",2021-05-24,0.0866
"135",2021-05-25,0.091
"136",2021-05-26,0.0860000000000001
"137",2021-05-27,0.1009
"138",2021-05-28,0.1042
"139",2021-06-01,0.1055
"140",2021-06-02,0.1074
"141",2021-06-03,0.1112
"142",2021-06-04,0.1117
"143",2021-06-07,0.1118
"144",2021-06-08,0.1134
"145",2021-06-09,0.1094
"146",2021-06-10,0.102
"147",2021-06-11,0.1
"148",2021-06-14,0.093
"149",2021-06-15,0.0941
"150",2021-06-16,0.0974
"151",2021-06-17,0.0919
"152",2021-06-18,0.091
"153",2021-06-21,0.0915999999999999
"154",2021-06-22,0.0940000000000001
