"","date","ADA"
"1",2020-12-15,0.1509
"2",2020-12-16,0.1473
"3",2020-12-17,0.149
"4",2020-12-18,0.1524
"5",2020-12-19,0.161
"6",2020-12-20,0.1569
"7",2020-12-21,0.1557
"8",2020-12-22,0.1589
"9",2020-12-23,0.1515
"10",2020-12-24,0.1538
"11",2020-12-25,0.162
"12",2020-12-26,0.1731
"13",2020-12-27,0.1794
"14",2020-12-28,0.1779
"15",2020-12-29,0.1783
"16",2020-12-30,0.1815
"17",2020-12-31,0.1747
"18",2021-01-01,0.1697
"19",2021-01-02,0.1727
"20",2021-01-03,0.174
"21",2021-01-04,0.1697
"22",2021-01-05,0.1704
"23",2021-01-06,0.1784
"24",2021-01-07,0.1815
"25",2021-01-08,0.1881
"26",2021-01-09,0.1892
"27",2021-01-10,0.1866
"28",2021-01-11,0.1904
"29",2021-01-12,0.1959
"30",2021-01-13,0.1938
"31",2021-01-14,0.1897
"32",2021-01-15,0.1892
"33",2021-01-16,0.1944
"34",2021-01-17,0.1888
"35",2021-01-18,0.1872
"36",2021-01-19,0.1957
"37",2021-01-20,0.1939
"38",2021-01-21,0.2035
"39",2021-01-22,0.202
"40",2021-01-23,0.2055
"41",2021-01-24,0.2039
"42",2021-01-25,0.2025
"43",2021-01-26,0.1991
"44",2021-01-27,0.2007
"45",2021-01-28,0.1972
"46",2021-01-29,0.194
"47",2021-01-30,0.1986
"48",2021-01-31,0.1971
"49",2021-02-01,0.2025
"50",2021-02-02,0.2068
"51",2021-02-03,0.2059
"52",2021-02-04,0.2066
"53",2021-02-05,0.2044
"54",2021-02-06,0.2074
"55",2021-02-07,0.2116
"56",2021-02-08,0.2098
"57",2021-02-09,0.2039
"58",2021-02-10,0.2085
"59",2021-02-11,0.213
"60",2021-02-12,0.2132
"61",2021-02-13,0.2116
"62",2021-02-14,0.2174
"63",2021-02-15,0.2158
"64",2021-02-16,0.2146
"65",2021-02-17,0.2098
"66",2021-02-18,0.2013
"67",2021-02-19,0.1989
"68",2021-02-20,0.207
"69",2021-02-21,0.207
"70",2021-02-22,0.2023
"71",2021-02-23,0.2068
"72",2021-02-24,0.2073
"73",2021-02-25,0.2088
"74",2021-02-26,0.2058
"75",2021-02-27,0.2056
"76",2021-02-28,0.2027
"77",2021-03-01,0.202
"78",2021-03-02,0.2032
"79",2021-03-03,0.2009
"80",2021-03-04,0.2064
"81",2021-03-05,0.1989
"82",2021-03-06,0.1977
"83",2021-03-07,0.2011
"84",2021-03-08,0.2067
"85",2021-03-09,0.209
"86",2021-03-10,0.2043
"87",2021-03-11,0.1992
"88",2021-03-12,0.2096
"89",2021-03-13,0.2117
"90",2021-03-14,0.2122
"91",2021-03-15,0.2126
"92",2021-03-16,0.217
"93",2021-03-17,0.2182
"94",2021-03-18,0.2145
"95",2021-03-19,0.216
"96",2021-03-20,0.2124
"97",2021-03-21,0.1993
"98",2021-03-22,0.1947
"99",2021-03-23,0.1856
"100",2021-03-24,0.1813
"101",2021-03-25,0.1776
"102",2021-03-26,0.1726
"103",2021-03-27,0.1737
"104",2021-03-28,0.1715
"105",2021-03-29,0.1612
"106",2021-03-30,0.1589
"107",2021-03-31,0.156
"108",2021-04-01,0.1546
"109",2021-04-02,0.1545
"110",2021-04-03,0.1623
"111",2021-04-04,0.16
"112",2021-04-05,0.1602
"113",2021-04-06,0.1656
"114",2021-04-07,0.166
"115",2021-04-08,0.1683
"116",2021-04-09,0.1622
"117",2021-04-10,0.1604
"118",2021-04-11,0.1606
"119",2021-04-12,0.1637
"120",2021-04-13,0.1634
"121",2021-04-14,0.1644
"122",2021-04-15,0.1618
"123",2021-04-16,0.1613
"124",2021-04-17,0.1621
"125",2021-04-18,0.1585
"126",2021-04-19,0.1569
"127",2021-04-20,0.1549
"128",2021-04-21,0.1647
"129",2021-04-22,0.1561
"130",2021-04-23,0.152
"131",2021-04-24,0.1532
"132",2021-04-25,0.1539
"133",2021-04-26,0.1498
"134",2021-04-27,0.1506
"135",2021-04-28,0.152
"136",2021-04-29,0.1546
"137",2021-04-30,0.1549
"138",2021-05-01,0.1573
"139",2021-05-02,0.157
"140",2021-05-03,0.1607
"141",2021-05-04,0.1584
"142",2021-05-05,0.1509
"143",2021-05-06,0.1605
"144",2021-05-07,0.1586
"145",2021-05-08,0.1639
"146",2021-05-09,0.1662
"147",2021-05-10,0.1597
"148",2021-05-11,0.1671
"149",2021-05-12,0.1671
"150",2021-05-13,0.1693
"151",2021-05-14,0.1652
"152",2021-05-15,0.166
"153",2021-05-16,0.1626
"154",2021-05-17,0.1634
"155",2021-05-18,0.1676
"156",2021-05-19,0.1697
"157",2021-05-20,0.1717
"158",2021-05-21,0.1789
"159",2021-05-22,0.1852
"160",2021-05-23,0.1853
"161",2021-05-24,0.1831
"162",2021-05-25,0.1821
"163",2021-05-26,0.1788
"164",2021-05-27,0.1762
"165",2021-05-28,0.1725
"166",2021-05-29,0.1737
"167",2021-05-30,0.1717
"168",2021-05-31,0.1798
"169",2021-06-01,0.187
"170",2021-06-02,0.1889
"171",2021-06-03,0.1805
"172",2021-06-04,0.1857
"173",2021-06-05,0.1902
"174",2021-06-06,0.1881
"175",2021-06-07,0.1848
"176",2021-06-08,0.1859
"177",2021-06-09,0.1778
"178",2021-06-10,0.1738
"179",2021-06-11,0.1766
"180",2021-06-12,0.1831
"181",2021-06-13,0.1838
"182",2021-06-14,0.1864
"183",2021-06-15,0.1887
"184",2021-06-16,0.1881
"185",2021-06-17,0.1855
"186",2021-06-18,0.1784
"187",2021-06-19,0.1762
"188",2021-06-20,0.1796
"189",2021-06-21,0.1714
"190",2021-06-22,0.1719
"191",2021-06-23,0.1718
"192",2021-06-24,0.1763
"193",2021-06-25,0.1743
"194",2021-06-26,0.1749
"195",2021-06-27,0.1688
