"","date","BNB"
"1",2018-12-26,0.586
"2",2018-12-27,0.6231
"3",2018-12-28,0.5856
"4",2018-12-29,0.4695
"5",2018-12-30,0.4741
"6",2018-12-31,0.4166
"7",2019-01-01,0.3688
"8",2019-01-02,0.37
"9",2019-01-03,0.3836
"10",2019-01-04,0.3412
"11",2019-01-05,0.3807
"12",2019-01-06,0.3984
"13",2019-01-07,0.371
"14",2019-01-08,0.4097
"15",2019-01-09,0.4268
"16",2019-01-10,0.4933
"17",2019-01-11,0.4704
"18",2019-01-12,0.485
"19",2019-01-13,0.4945
"20",2019-01-14,0.4931
"21",2019-01-15,0.5379
"22",2019-01-16,0.5361
"23",2019-01-17,0.4896
"24",2019-01-18,0.5012
"25",2019-01-19,0.53
"26",2019-01-20,0.5422
"27",2019-01-21,0.5835
"28",2019-01-22,0.591
"29",2019-01-23,0.6385
"30",2019-01-24,0.6121
"31",2019-01-25,0.6181
"32",2019-01-26,0.6168
"33",2019-01-27,0.5657
"34",2019-01-28,0.5452
"35",2019-01-29,0.5267
"36",2019-01-30,0.5644
"37",2019-01-31,0.5997
"38",2019-02-01,0.613
"39",2019-02-02,0.554
"40",2019-02-03,0.3452
"41",2019-02-04,0.3833
"42",2019-02-05,0.4079
"43",2019-02-06,0.3356
"44",2019-02-07,0.3066
"45",2019-02-08,0.2775
"46",2019-02-09,0.2528
"47",2019-02-10,0.2341
"48",2019-02-11,0.2882
"49",2019-02-12,0.3674
"50",2019-02-13,0.3577
"51",2019-02-14,0.3688
"52",2019-02-15,0.3619
"53",2019-02-16,0.3253
"54",2019-02-17,0.332
"55",2019-02-18,0.3057
"56",2019-02-19,0.2742
"57",2019-02-20,0.29
"58",2019-02-21,0.3156
"59",2019-02-22,0.3096
"60",2019-02-23,0.3425
"61",2019-02-24,0.3567
"62",2019-02-25,0.3776
"63",2019-02-26,0.3257
"64",2019-02-27,0.3236
"65",2019-02-28,0.3187
"66",2019-03-01,0.3028
"67",2019-03-02,0.2925
"68",2019-03-03,0.3271
"69",2019-03-04,0.3328
"70",2019-03-05,0.3177
"71",2019-03-06,0.3674
"72",2019-03-07,0.3482
"73",2019-03-08,0.3192
"74",2019-03-09,0.3215
"75",2019-03-10,0.3051
"76",2019-03-11,0.2814
"77",2019-03-12,0.2597
"78",2019-03-13,0.2854
"79",2019-03-14,0.2847
"80",2019-03-15,0.3103
"81",2019-03-16,0.3592
"82",2019-03-17,0.3752
"83",2019-03-18,0.2842
"84",2019-03-19,0.301
"85",2019-03-20,0.3043
"86",2019-03-21,0.284
"87",2019-03-22,0.2504
"88",2019-03-23,0.2491
"89",2019-03-24,0.242
"90",2019-03-25,0.2425
"91",2019-03-26,0.2856
"92",2019-03-27,0.3064
"93",2019-03-28,0.3133
"94",2019-03-29,0.2846
"95",2019-03-30,0.2567
"96",2019-03-31,0.272
"97",2019-04-01,0.2982
"98",2019-04-02,0.2983
"99",2019-04-03,0.2875
"100",2019-04-04,0.3014
"101",2019-04-05,0.345
"102",2019-04-06,0.3618
"103",2019-04-07,0.2661
"104",2019-04-08,0.2828
"105",2019-04-09,0.2454
"106",2019-04-10,0.2585
"107",2019-04-11,0.2829
"108",2019-04-12,0.3091
"109",2019-04-13,0.3389
"110",2019-04-14,0.3377
"111",2019-04-15,0.3392
"112",2019-04-16,0.3461
"113",2019-04-17,0.3246
"114",2019-04-18,0.321
"115",2019-04-19,0.3253
"116",2019-04-20,0.258
"117",2019-04-21,0.2615
"118",2019-04-22,0.2878
"119",2019-04-23,0.2825
"120",2019-04-24,0.3004
"121",2019-04-25,0.3369
"122",2019-04-26,0.3529
"123",2019-04-27,0.2972
"124",2019-04-28,0.3164
"125",2019-04-29,0.309
"126",2019-04-30,0.3479
"127",2019-05-01,0.2931
"128",2019-05-02,0.3003
"129",2019-05-03,0.3052
"130",2019-05-04,0.2619
"131",2019-05-05,0.2592
"132",2019-05-06,0.2698
"133",2019-05-07,0.2628
"134",2019-05-08,0.2584
"135",2019-05-09,0.2685
"136",2019-05-10,0.2799
"137",2019-05-11,0.2997
"138",2019-05-12,0.2642
"139",2019-05-13,0.2594
"140",2019-05-14,0.2436
"141",2019-05-15,0.2525
"142",2019-05-16,0.2345
"143",2019-05-17,0.162
"144",2019-05-18,0.19
"145",2019-05-19,0.2246
"146",2019-05-20,0.261
"147",2019-05-21,0.2558
"148",2019-05-22,0.3014
"149",2019-05-23,0.2768
"150",2019-05-24,0.2704
"151",2019-05-25,0.2698
"152",2019-05-26,0.2738
"153",2019-05-27,0.2252
"154",2019-05-28,0.225
"155",2019-05-29,0.2342
"156",2019-05-30,0.2501
"157",2019-05-31,0.2645
"158",2019-06-01,0.2683
"159",2019-06-02,0.2865
"160",2019-06-03,0.2585
"161",2019-06-04,0.3144
"162",2019-06-05,0.3609
"163",2019-06-06,0.316
"164",2019-06-07,0.2895
"165",2019-06-08,0.2838
"166",2019-06-09,0.2599
"167",2019-06-10,0.2291
"168",2019-06-11,0.2579
"169",2019-06-12,0.3147
"170",2019-06-13,0.3644
"171",2019-06-14,0.3562
"172",2019-06-15,0.3695
"173",2019-06-16,0.308
"174",2019-06-17,0.2971
"175",2019-06-18,0.2726
"176",2019-06-19,0.2816
"177",2019-06-20,0.3002
"178",2019-06-21,0.3094
"179",2019-06-22,0.3123
"180",2019-06-23,0.3296
"181",2019-06-24,0.4069
"182",2019-06-25,0.3868
"183",2019-06-26,0.3307
"184",2019-06-27,0.3311
"185",2019-06-28,0.3327
"186",2019-06-29,0.3089
"187",2019-06-30,0.2949
"188",2019-07-01,0.305
"189",2019-07-02,0.3231
"190",2019-07-03,0.3356
"191",2019-07-04,0.3609
"192",2019-07-05,0.4206
"193",2019-07-06,0.3662
"194",2019-07-07,0.3588
"195",2019-07-08,0.3324
"196",2019-07-09,0.324
"197",2019-07-10,0.3201
"198",2019-07-11,0.3495
"199",2019-07-12,0.3384
"200",2019-07-13,0.3261
"201",2019-07-14,0.3859
"202",2019-07-15,0.4019
"203",2019-07-16,0.3818
"204",2019-07-17,0.3472
"205",2019-07-18,0.3443
"206",2019-07-19,0.3314
"207",2019-07-20,0.3034
"208",2019-07-21,0.3161
"209",2019-07-22,0.3122
"210",2019-07-23,0.3144
"211",2019-07-24,0.3469
"212",2019-07-25,0.3609
"213",2019-07-26,0.3328
"214",2019-07-27,0.3532
"215",2019-07-28,0.2959
"216",2019-07-29,0.2991
"217",2019-07-30,0.2969
"218",2019-07-31,0.2829
"219",2019-08-01,0.2466
"220",2019-08-02,0.2243
"221",2019-08-03,0.2493
"222",2019-08-04,0.2399
"223",2019-08-05,0.1817
"224",2019-08-06,0.1886
"225",2019-08-07,0.1991
"226",2019-08-08,0.1563
"227",2019-08-09,0.1325
"228",2019-08-10,0.1378
"229",2019-08-11,0.1672
"230",2019-08-12,0.1675
"231",2019-08-13,0.1816
"232",2019-08-14,0.1918
"233",2019-08-15,0.1521
"234",2019-08-16,0.1689
"235",2019-08-17,0.1688
"236",2019-08-18,0.199
"237",2019-08-19,0.1962
"238",2019-08-20,0.1841
"239",2019-08-21,0.167
"240",2019-08-22,0.1961
"241",2019-08-23,0.2544
"242",2019-08-24,0.258
"243",2019-08-25,0.2047
"244",2019-08-26,0.2177
"245",2019-08-27,0.2383
"246",2019-08-28,0.2437
"247",2019-08-29,0.2517
"248",2019-08-30,0.2143
"249",2019-08-31,0.2518
"250",2019-09-01,0.2746
"251",2019-09-02,0.2793
"252",2019-09-03,0.3003
"253",2019-09-04,0.2685
"254",2019-09-05,0.284
"255",2019-09-06,0.2665
"256",2019-09-07,0.2739
"257",2019-09-08,0.2812
"258",2019-09-09,0.3131
"259",2019-09-10,0.2749
"260",2019-09-11,0.2786
"261",2019-09-12,0.3366
"262",2019-09-13,0.3463
"263",2019-09-14,0.3038
"264",2019-09-15,0.3007
"265",2019-09-16,0.3167
