"","date","BTC"
"1",2020-12-15,0.3664
"2",2020-12-16,0.3617
"3",2020-12-17,0.3592
"4",2020-12-18,0.3586
"5",2020-12-19,0.3649
"6",2020-12-20,0.3614
"7",2020-12-21,0.3559
"8",2020-12-22,0.3639
"9",2020-12-23,0.3559
"10",2020-12-24,0.3369
"11",2020-12-25,0.346
"12",2020-12-26,0.3431
"13",2020-12-27,0.3424
"14",2020-12-28,0.338
"15",2020-12-29,0.3384
"16",2020-12-30,0.3405
"17",2020-12-31,0.3335
"18",2021-01-01,0.3359
"19",2021-01-02,0.3315
"20",2021-01-03,0.3301
"21",2021-01-04,0.3267
"22",2021-01-05,0.3149
"23",2021-01-06,0.3211
"24",2021-01-07,0.3265
"25",2021-01-08,0.3152
"26",2021-01-09,0.3126
"27",2021-01-10,0.3132
"28",2021-01-11,0.3164
"29",2021-01-12,0.3226
"30",2021-01-13,0.3289
"31",2021-01-14,0.3282
"32",2021-01-15,0.3139
"33",2021-01-16,0.3187
"34",2021-01-17,0.3017
"35",2021-01-18,0.3049
"36",2021-01-19,0.3214
"37",2021-01-20,0.312
"38",2021-01-21,0.3155
"39",2021-01-22,0.2993
"40",2021-01-23,0.2977
"41",2021-01-24,0.3052
"42",2021-01-25,0.2959
"43",2021-01-26,0.289
"44",2021-01-27,0.2869
"45",2021-01-28,0.2823
"46",2021-01-29,0.2762
"47",2021-01-30,0.281
"48",2021-01-31,0.2981
"49",2021-02-01,0.3037
"50",2021-02-02,0.303
"51",2021-02-03,0.3033
"52",2021-02-04,0.2933
"53",2021-02-05,0.2976
"54",2021-02-06,0.291
"55",2021-02-07,0.2899
"56",2021-02-08,0.2958
"57",2021-02-09,0.3045
"58",2021-02-10,0.2959
"59",2021-02-11,0.2986
"60",2021-02-12,0.3121
"61",2021-02-13,0.3045
"62",2021-02-14,0.3
"63",2021-02-15,0.3046
"64",2021-02-16,0.3011
"65",2021-02-17,0.2871
"66",2021-02-18,0.2865
"67",2021-02-19,0.2916
"68",2021-02-20,0.3148
"69",2021-02-21,0.3186
"70",2021-02-22,0.3193
"71",2021-02-23,0.3239
"72",2021-02-24,0.3136
"73",2021-02-25,0.3122
"74",2021-02-26,0.3115
"75",2021-02-27,0.3165
"76",2021-02-28,0.3049
"77",2021-03-01,0.3098
"78",2021-03-02,0.3287
"79",2021-03-03,0.3274
"80",2021-03-04,0.3318
"81",2021-03-05,0.3336
"82",2021-03-06,0.3186
"83",2021-03-07,0.3288
"84",2021-03-08,0.339
"85",2021-03-09,0.3403
"86",2021-03-10,0.337
"87",2021-03-11,0.3205
"88",2021-03-12,0.3254
"89",2021-03-13,0.3306
"90",2021-03-14,0.3458
"91",2021-03-15,0.354
"92",2021-03-16,0.3618
"93",2021-03-17,0.3774
"94",2021-03-18,0.3544
"95",2021-03-19,0.3506
"96",2021-03-20,0.361
"97",2021-03-21,0.3563
"98",2021-03-22,0.3423
"99",2021-03-23,0.3409
"100",2021-03-24,0.3417
"101",2021-03-25,0.3585
"102",2021-03-26,0.3488
"103",2021-03-27,0.3448
"104",2021-03-28,0.3485
"105",2021-03-29,0.3431
"106",2021-03-30,0.3468
"107",2021-03-31,0.3523
"108",2021-04-01,0.3637
"109",2021-04-02,0.3521
"110",2021-04-03,0.3648
"111",2021-04-04,0.3649
"112",2021-04-05,0.3614
"113",2021-04-06,0.3667
"114",2021-04-07,0.3749
"115",2021-04-08,0.3781
"116",2021-04-09,0.3686
"117",2021-04-10,0.369
"118",2021-04-11,0.3641
"119",2021-04-12,0.3664
"120",2021-04-13,0.3692
"121",2021-04-14,0.3727
"122",2021-04-15,0.3632
"123",2021-04-16,0.3742
"124",2021-04-17,0.3713
"125",2021-04-18,0.371
"126",2021-04-19,0.3763
"127",2021-04-20,0.3673
"128",2021-04-21,0.3723
"129",2021-04-22,0.3696
"130",2021-04-23,0.3567
"131",2021-04-24,0.3584
"132",2021-04-25,0.3691
"133",2021-04-26,0.3707
"134",2021-04-27,0.3744
"135",2021-04-28,0.3639
"136",2021-04-29,0.3619
"137",2021-04-30,0.3675
"138",2021-05-01,0.3734
"139",2021-05-02,0.3661
"140",2021-05-03,0.3827
"141",2021-05-04,0.3861
"142",2021-05-05,0.3508
"143",2021-05-06,0.3578
"144",2021-05-07,0.3609
"145",2021-05-08,0.3635
"146",2021-05-09,0.3597
"147",2021-05-10,0.3679
"148",2021-05-11,0.3862
"149",2021-05-12,0.3863
"150",2021-05-13,0.3928
"151",2021-05-14,0.3929
"152",2021-05-15,0.3834
"153",2021-05-16,0.3758
"154",2021-05-17,0.3615
"155",2021-05-18,0.3602
"156",2021-05-19,0.3665
"157",2021-05-20,0.3609
"158",2021-05-21,0.3691
"159",2021-05-22,0.3722
"160",2021-05-23,0.368
"161",2021-05-24,0.3719
"162",2021-05-25,0.3738
"163",2021-05-26,0.3741
"164",2021-05-27,0.3646
"165",2021-05-28,0.3658
"166",2021-05-29,0.3623
"167",2021-05-30,0.3669
"168",2021-05-31,0.3771
"169",2021-06-01,0.3744
"170",2021-06-02,0.3777
"171",2021-06-03,0.368
"172",2021-06-04,0.3551
"173",2021-06-05,0.3651
"174",2021-06-06,0.3675
"175",2021-06-07,0.3509
"176",2021-06-08,0.359
"177",2021-06-09,0.3598
"178",2021-06-10,0.3475
"179",2021-06-11,0.351
"180",2021-06-12,0.3644
"181",2021-06-13,0.369
"182",2021-06-14,0.36
"183",2021-06-15,0.3648
"184",2021-06-16,0.3616
"185",2021-06-17,0.3571
"186",2021-06-18,0.3455
"187",2021-06-19,0.3485
"188",2021-06-20,0.3552
"189",2021-06-21,0.3579
"190",2021-06-22,0.3534
"191",2021-06-23,0.3602
"192",2021-06-24,0.365
"193",2021-06-25,0.3591
"194",2021-06-26,0.3529
"195",2021-06-27,0.3569
"196",2021-06-28,0.3625
"197",2021-06-29,0.355
"198",2021-06-30,0.3634
"199",2021-07-01,0.3501
"200",2021-07-02,0.3547
"201",2021-07-03,0.3545
"202",2021-07-04,0.3375
"203",2021-07-05,0.3524
"204",2021-07-06,0.3588
