"","date","DOGE"
"1",2019-12-21,0.3768
"2",2019-12-22,0.3417
"3",2019-12-23,0.325
"4",2019-12-24,0.328
"5",2019-12-25,0.3496
"6",2019-12-26,0.3327
"7",2019-12-27,0.3241
"8",2019-12-28,0.3284
"9",2019-12-29,0.3245
"10",2019-12-30,0.3398
"11",2019-12-31,0.3547
"12",2020-01-01,0.3579
"13",2020-01-02,0.3529
"14",2020-01-03,0.358
"15",2020-01-04,0.354
"16",2020-01-05,0.3403
"17",2020-01-06,0.3129
"18",2020-01-07,0.3179
"19",2020-01-08,0.3306
"20",2020-01-09,0.3416
"21",2020-01-10,0.3326
"22",2020-01-11,0.3164
"23",2020-01-12,0.317
"24",2020-01-13,0.3452
"25",2020-01-14,0.3532
"26",2020-01-15,0.3378
"27",2020-01-16,0.3253
"28",2020-01-17,0.3283
"29",2020-01-18,0.3504
"30",2020-01-19,0.3537
"31",2020-01-20,0.3389
"32",2020-01-21,0.3187
"33",2020-01-22,0.3004
"34",2020-01-23,0.2941
"35",2020-01-24,0.3083
"36",2020-01-25,0.315
"37",2020-01-26,0.2879
"38",2020-01-27,0.2748
"39",2020-01-28,0.2683
"40",2020-01-29,0.2883
"41",2020-01-30,0.2755
"42",2020-01-31,0.2638
"43",2020-02-01,0.2606
"44",2020-02-02,0.2668
"45",2020-02-03,0.2721
"46",2020-02-04,0.2657
"47",2020-02-05,0.2596
"48",2020-02-06,0.2659
"49",2020-02-07,0.2781
"50",2020-02-08,0.2762
"51",2020-02-09,0.2689
"52",2020-02-10,0.2741
"53",2020-02-11,0.2713
"54",2020-02-12,0.2778
"55",2020-02-13,0.2925
"56",2020-02-14,0.2877
"57",2020-02-15,0.2776
"58",2020-02-16,0.2814
"59",2020-02-17,0.3007
"60",2020-02-18,0.3155
"61",2020-02-19,0.2972
"62",2020-02-20,0.2947
"63",2020-02-21,0.286
"64",2020-02-22,0.3067
"65",2020-02-23,0.3284
"66",2020-02-24,0.3064
"67",2020-02-25,0.2789
"68",2020-02-26,0.2885
"69",2020-02-27,0.3187
"70",2020-02-28,0.3385
