"","date","ETH"
"1",2018-12-26,0.3095
"2",2018-12-27,0.3519
"3",2018-12-28,0.3187
"4",2018-12-29,0.3163
"5",2018-12-30,0.3041
"6",2018-12-31,0.2675
"7",2019-01-01,0.2416
"8",2019-01-02,0.2705
"9",2019-01-03,0.2415
"10",2019-01-04,0.2417
"11",2019-01-05,0.2396
"12",2019-01-06,0.2653
"13",2019-01-07,0.2467
"14",2019-01-08,0.2432
"15",2019-01-09,0.232
"16",2019-01-10,0.2748
"17",2019-01-11,0.2451
"18",2019-01-12,0.2987
"19",2019-01-13,0.2889
"20",2019-01-14,0.3015
"21",2019-01-15,0.3017
"22",2019-01-16,0.2986
"23",2019-01-17,0.2206
"24",2019-01-18,0.2397
"25",2019-01-19,0.2131
"26",2019-01-20,0.2049
"27",2019-01-21,0.2043
"28",2019-01-22,0.2221
"29",2019-01-23,0.2151
"30",2019-01-24,0.2011
"31",2019-01-25,0.2023
"32",2019-01-26,0.2031
"33",2019-01-27,0.1702
"34",2019-01-28,0.141
"35",2019-01-29,0.1372
"36",2019-01-30,0.1899
"37",2019-01-31,0.1533
"38",2019-02-01,0.1464
"39",2019-02-02,0.0813999999999999
"40",2019-02-03,0.0751000000000001
"41",2019-02-04,0.1101
"42",2019-02-05,0.0936
"43",2019-02-06,0.0556
"44",2019-02-07,0.0449000000000001
"45",2019-02-08,0.0442
"46",2019-02-09,0.0498
"47",2019-02-10,0.0689
"48",2019-02-11,0.0659000000000001
"49",2019-02-12,0.0689
"50",2019-02-13,0.0851
"51",2019-02-14,0.0853
"52",2019-02-15,0.0805
"53",2019-02-16,0.0622
"54",2019-02-17,0.0773
"55",2019-02-18,0.0616
"56",2019-02-19,0.0646
"57",2019-02-20,0.0668
"58",2019-02-21,0.0780000000000001
"59",2019-02-22,0.0831999999999999
"60",2019-02-23,0.0662999999999999
"61",2019-02-24,0.0629
"62",2019-02-25,0.0615
"63",2019-02-26,0.0396000000000001
"64",2019-02-27,0.0632
"65",2019-02-28,0.0655
"66",2019-03-01,0.0751999999999999
"67",2019-03-02,0.0974
"68",2019-03-03,0.1365
"69",2019-03-04,0.0985
"70",2019-03-05,0.0987
"71",2019-03-06,0.1198
"72",2019-03-07,0.1321
"73",2019-03-08,0.1165
"74",2019-03-09,0.1322
"75",2019-03-10,0.1308
"76",2019-03-11,0.1429
"77",2019-03-12,0.1493
"78",2019-03-13,0.2011
"79",2019-03-14,0.2238
"80",2019-03-15,0.2636
"81",2019-03-16,0.2856
"82",2019-03-17,0.2948
"83",2019-03-18,0.2296
"84",2019-03-19,0.2633
"85",2019-03-20,0.244
"86",2019-03-21,0.2102
"87",2019-03-22,0.1902
"88",2019-03-23,0.1948
"89",2019-03-24,0.1997
"90",2019-03-25,0.2248
"91",2019-03-26,0.2507
"92",2019-03-27,0.2715
"93",2019-03-28,0.2919
"94",2019-03-29,0.2398
"95",2019-03-30,0.2278
"96",2019-03-31,0.2696
"97",2019-04-01,0.2772
"98",2019-04-02,0.2933
"99",2019-04-03,0.2992
"100",2019-04-04,0.2918
"101",2019-04-05,0.3206
"102",2019-04-06,0.3167
"103",2019-04-07,0.2926
"104",2019-04-08,0.3014
"105",2019-04-09,0.2726
"106",2019-04-10,0.2757
"107",2019-04-11,0.2634
"108",2019-04-12,0.2939
"109",2019-04-13,0.2985
"110",2019-04-14,0.3053
"111",2019-04-15,0.2674
"112",2019-04-16,0.2561
"113",2019-04-17,0.2035
"114",2019-04-18,0.1852
"115",2019-04-19,0.2118
"116",2019-04-20,0.1588
"117",2019-04-21,0.1559
"118",2019-04-22,0.1329
"119",2019-04-23,0.1308
"120",2019-04-24,0.1575
"121",2019-04-25,0.1659
"122",2019-04-26,0.1157
"123",2019-04-27,0.1066
"124",2019-04-28,0.1165
"125",2019-04-29,0.131
"126",2019-04-30,0.1684
"127",2019-05-01,0.1309
"128",2019-05-02,0.1272
"129",2019-05-03,0.1154
"130",2019-05-04,0.1109
"131",2019-05-05,0.1206
"132",2019-05-06,0.1647
"133",2019-05-07,0.1208
"134",2019-05-08,0.1319
"135",2019-05-09,0.1285
