"","date","LTC"
"1",2019-12-21,0.1806
"2",2019-12-22,0.1918
"3",2019-12-23,0.1714
"4",2019-12-24,0.1668
"5",2019-12-25,0.1792
"6",2019-12-26,0.169
"7",2019-12-27,0.1707
"8",2019-12-28,0.1722
"9",2019-12-29,0.1677
"10",2019-12-30,0.1756
"11",2019-12-31,0.1866
"12",2020-01-01,0.2004
"13",2020-01-02,0.1841
"14",2020-01-03,0.1801
"15",2020-01-04,0.1774
"16",2020-01-05,0.1782
"17",2020-01-06,0.1662
"18",2020-01-07,0.1668
"19",2020-01-08,0.1689
"20",2020-01-09,0.1654
"21",2020-01-10,0.1665
"22",2020-01-11,0.1881
"23",2020-01-12,0.1682
"24",2020-01-13,0.1755
"25",2020-01-14,0.1809
"26",2020-01-15,0.1726
"27",2020-01-16,0.1707
"28",2020-01-17,0.1663
"29",2020-01-18,0.1786
"30",2020-01-19,0.1743
"31",2020-01-20,0.1766
"32",2020-01-21,0.1839
"33",2020-01-22,0.1745
"34",2020-01-23,0.1769
"35",2020-01-24,0.1788
"36",2020-01-25,0.1903
"37",2020-01-26,0.1842
"38",2020-01-27,0.193
"39",2020-01-28,0.1814
"40",2020-01-29,0.1798
"41",2020-01-30,0.1864
"42",2020-01-31,0.1908
"43",2020-02-01,0.1702
"44",2020-02-02,0.1514
"45",2020-02-03,0.1403
"46",2020-02-04,0.146
"47",2020-02-05,0.1525
"48",2020-02-06,0.1652
"49",2020-02-07,0.1774
"50",2020-02-08,0.172
"51",2020-02-09,0.1624
"52",2020-02-10,0.1714
"53",2020-02-11,0.152
"54",2020-02-12,0.1626
"55",2020-02-13,0.1708
"56",2020-02-14,0.1514
"57",2020-02-15,0.1494
"58",2020-02-16,0.1502
"59",2020-02-17,0.1547
"60",2020-02-18,0.1688
"61",2020-02-19,0.1709
"62",2020-02-20,0.1785
"63",2020-02-21,0.1581
"64",2020-02-22,0.1718
"65",2020-02-23,0.1792
"66",2020-02-24,0.1685
"67",2020-02-25,0.1589
"68",2020-02-26,0.1596
"69",2020-02-27,0.1521
"70",2020-02-28,0.1566
"71",2020-02-29,0.1733
"72",2020-03-01,0.1794
"73",2020-03-02,0.1648
"74",2020-03-03,0.1682
"75",2020-03-04,0.1709
"76",2020-03-05,0.1637
"77",2020-03-06,0.1707
"78",2020-03-07,0.1746
"79",2020-03-08,0.169
"80",2020-03-09,0.166
"81",2020-03-10,0.1712
"82",2020-03-11,0.181
"83",2020-03-12,0.1642
"84",2020-03-13,0.1646
"85",2020-03-14,0.1714
"86",2020-03-15,0.1559
"87",2020-03-16,0.1492
"88",2020-03-17,0.1617
"89",2020-03-18,0.1636
"90",2020-03-19,0.1716
"91",2020-03-20,0.1796
"92",2020-03-21,0.1876
"93",2020-03-22,0.1756
"94",2020-03-23,0.1657
"95",2020-03-24,0.1578
"96",2020-03-25,0.1586
"97",2020-03-26,0.1475
"98",2020-03-27,0.1394
"99",2020-03-28,0.1401
"100",2020-03-29,0.1351
"101",2020-03-30,0.1432
"102",2020-03-31,0.1434
"103",2020-04-01,0.1367
"104",2020-04-02,0.1308
"105",2020-04-03,0.114
"106",2020-04-04,0.1167
"107",2020-04-05,0.118
"108",2020-04-06,0.106
"109",2020-04-07,0.104
"110",2020-04-08,0.1203
"111",2020-04-09,0.1051
"112",2020-04-10,0.1141
"113",2020-04-11,0.1113
"114",2020-04-12,0.1154
"115",2020-04-13,0.1317
"116",2020-04-14,0.1047
"117",2020-04-15,0.1037
"118",2020-04-16,0.1027
"119",2020-04-17,0.1143
"120",2020-04-18,0.1233
"121",2020-04-19,0.1255
"122",2020-04-20,0.1193
"123",2020-04-21,0.1117
"124",2020-04-22,0.116
"125",2020-04-23,0.1201
"126",2020-04-24,0.1212
"127",2020-04-25,0.1127
"128",2020-04-26,0.1067
"129",2020-04-27,0.1035
"130",2020-04-28,0.1002
"131",2020-04-29,0.1065
"132",2020-04-30,0.1286
"133",2020-05-01,0.1109
"134",2020-05-02,0.1065
"135",2020-05-03,0.1004
"136",2020-05-04,0.0995
"137",2020-05-05,0.1061
"138",2020-05-06,0.0997
"139",2020-05-07,0.1011
"140",2020-05-08,0.1091
"141",2020-05-09,0.1069
"142",2020-05-10,0.102
"143",2020-05-11,0.1061
"144",2020-05-12,0.1057
"145",2020-05-13,0.1201
"146",2020-05-14,0.1179
"147",2020-05-15,0.1066
"148",2020-05-16,0.1225
"149",2020-05-17,0.1192
"150",2020-05-18,0.1166
"151",2020-05-19,0.1212
"152",2020-05-20,0.1208
"153",2020-05-21,0.1035
"154",2020-05-22,0.1067
"155",2020-05-23,0.1189
"156",2020-05-24,0.1113
"157",2020-05-25,0.1101
"158",2020-05-26,0.1088
"159",2020-05-27,0.1171
"160",2020-05-28,0.1005
"161",2020-05-29,0.0964
"162",2020-05-30,0.1101
"163",2020-05-31,0.099
"164",2020-06-01,0.0942
"165",2020-06-02,0.1061
"166",2020-06-03,0.1109
"167",2020-06-04,0.1185
"168",2020-06-05,0.1306
"169",2020-06-06,0.1411
"170",2020-06-07,0.1378
"171",2020-06-08,0.1232
"172",2020-06-09,0.1258
"173",2020-06-10,0.1274
"174",2020-06-11,0.1288
"175",2020-06-12,0.1339
"176",2020-06-13,0.1353
"177",2020-06-14,0.1245
"178",2020-06-15,0.1211
"179",2020-06-16,0.1366
"180",2020-06-17,0.1506
"181",2020-06-18,0.1659
"182",2020-06-19,0.1678
"183",2020-06-20,0.1606
"184",2020-06-21,0.1663
"185",2020-06-22,0.168
"186",2020-06-23,0.1564
"187",2020-06-24,0.1689
"188",2020-06-25,0.1668
"189",2020-06-26,0.1693
"190",2020-06-27,0.1751
"191",2020-06-28,0.1821
"192",2020-06-29,0.1987
"193",2020-06-30,0.1827
"194",2020-07-01,0.1892
"195",2020-07-02,0.1933
"196",2020-07-03,0.1902
"197",2020-07-04,0.2018
"198",2020-07-05,0.2062
"199",2020-07-06,0.1971
"200",2020-07-07,0.2016
"201",2020-07-08,0.2141
"202",2020-07-09,0.2107
"203",2020-07-10,0.213
"204",2020-07-11,0.2083
"205",2020-07-12,0.2103
"206",2020-07-13,0.1981
"207",2020-07-14,0.1892
"208",2020-07-15,0.1932
"209",2020-07-16,0.2091
"210",2020-07-17,0.2114
"211",2020-07-18,0.2295
"212",2020-07-19,0.2304
"213",2020-07-20,0.2228
"214",2020-07-21,0.2348
"215",2020-07-22,0.2329
"216",2020-07-23,0.2359
"217",2020-07-24,0.2275
"218",2020-07-25,0.2381
"219",2020-07-26,0.2189
"220",2020-07-27,0.2266
"221",2020-07-28,0.2282
"222",2020-07-29,0.2287
"223",2020-07-30,0.2186
"224",2020-07-31,0.2096
"225",2020-08-01,0.2098
"226",2020-08-02,0.1894
"227",2020-08-03,0.2031
"228",2020-08-04,0.2091
"229",2020-08-05,0.2127
"230",2020-08-06,0.2158
"231",2020-08-07,0.2284
"232",2020-08-08,0.2364
"233",2020-08-09,0.2406
"234",2020-08-10,0.2455
"235",2020-08-11,0.2432
"236",2020-08-12,0.2481
"237",2020-08-13,0.2369
"238",2020-08-14,0.2259
"239",2020-08-15,0.227
"240",2020-08-16,0.2293
"241",2020-08-17,0.229
"242",2020-08-18,0.2337
"243",2020-08-19,0.228
"244",2020-08-20,0.2342
"245",2020-08-21,0.2398
"246",2020-08-22,0.2392
"247",2020-08-23,0.2256
"248",2020-08-24,0.2141
"249",2020-08-25,0.2129
"250",2020-08-26,0.2122
"251",2020-08-27,0.2168
"252",2020-08-28,0.2169
"253",2020-08-29,0.2232
"254",2020-08-30,0.2123
"255",2020-08-31,0.2072
"256",2020-09-01,0.204
"257",2020-09-02,0.2112
"258",2020-09-03,0.2085
"259",2020-09-04,0.198
"260",2020-09-05,0.2002
"261",2020-09-06,0.1976
"262",2020-09-07,0.198
"263",2020-09-08,0.2064
"264",2020-09-09,0.2174
"265",2020-09-10,0.2101
"266",2020-09-11,0.2007
"267",2020-09-12,0.1977
"268",2020-09-13,0.1913
"269",2020-09-14,0.1985
"270",2020-09-15,0.1995
"271",2020-09-16,0.1979
"272",2020-09-17,0.2039
"273",2020-09-18,0.1796
"274",2020-09-19,0.1703
"275",2020-09-20,0.1668
"276",2020-09-21,0.1541
"277",2020-09-22,0.1473
"278",2020-09-23,0.1499
"279",2020-09-24,0.1411
"280",2020-09-25,0.1434
"281",2020-09-26,0.1402
"282",2020-09-27,0.1423
"283",2020-09-28,0.1512
"284",2020-09-29,0.1463
"285",2020-09-30,0.1587
"286",2020-10-01,0.1593
