"","date","TRX"
"1",2019-12-21,0.3206
"2",2019-12-22,0.2426
"3",2019-12-23,0.1551
"4",2019-12-24,0.1591
"5",2019-12-25,0.1805
"6",2019-12-26,0.1936
"7",2019-12-27,0.1949
"8",2019-12-28,0.2089
"9",2019-12-29,0.212
"10",2019-12-30,0.2207
"11",2019-12-31,0.2225
"12",2020-01-01,0.2343
"13",2020-01-02,0.2368
"14",2020-01-03,0.2462
"15",2020-01-04,0.2607
"16",2020-01-05,0.2367
"17",2020-01-06,0.2223
"18",2020-01-07,0.2309
"19",2020-01-08,0.236
"20",2020-01-09,0.2462
"21",2020-01-10,0.2473
"22",2020-01-11,0.2564
"23",2020-01-12,0.2497
"24",2020-01-13,0.2635
"25",2020-01-14,0.261
"26",2020-01-15,0.2611
"27",2020-01-16,0.2583
"28",2020-01-17,0.2616
"29",2020-01-18,0.2688
"30",2020-01-19,0.2622
"31",2020-01-20,0.2589
"32",2020-01-21,0.2422
"33",2020-01-22,0.2333
"34",2020-01-23,0.2331
"35",2020-01-24,0.2315
"36",2020-01-25,0.2497
"37",2020-01-26,0.2309
"38",2020-01-27,0.2213
"39",2020-01-28,0.2149
"40",2020-01-29,0.2047
"41",2020-01-30,0.2023
"42",2020-01-31,0.1939
"43",2020-02-01,0.1829
"44",2020-02-02,0.1859
"45",2020-02-03,0.1814
"46",2020-02-04,0.1918
"47",2020-02-05,0.1855
"48",2020-02-06,0.1981
"49",2020-02-07,0.1954
"50",2020-02-08,0.1974
"51",2020-02-09,0.1865
"52",2020-02-10,0.1709
"53",2020-02-11,0.166
"54",2020-02-12,0.1756
"55",2020-02-13,0.1752
"56",2020-02-14,0.1755
"57",2020-02-15,0.17
"58",2020-02-16,0.1588
"59",2020-02-17,0.1541
"60",2020-02-18,0.1638
"61",2020-02-19,0.1575
"62",2020-02-20,0.1482
"63",2020-02-21,0.1439
"64",2020-02-22,0.1473
"65",2020-02-23,0.1425
"66",2020-02-24,0.1391
"67",2020-02-25,0.1322
"68",2020-02-26,0.1383
"69",2020-02-27,0.1357
"70",2020-02-28,0.1364
"71",2020-02-29,0.1286
"72",2020-03-01,0.1274
"73",2020-03-02,0.1235
"74",2020-03-03,0.125
"75",2020-03-04,0.136
"76",2020-03-05,0.1461
"77",2020-03-06,0.146
"78",2020-03-07,0.1617
"79",2020-03-08,0.1658
"80",2020-03-09,0.1621
"81",2020-03-10,0.1582
"82",2020-03-11,0.1531
"83",2020-03-12,0.1597
"84",2020-03-13,0.1639
"85",2020-03-14,0.1697
"86",2020-03-15,0.169
"87",2020-03-16,0.1653
"88",2020-03-17,0.1567
"89",2020-03-18,0.1618
"90",2020-03-19,0.1731
"91",2020-03-20,0.172
"92",2020-03-21,0.1882
"93",2020-03-22,0.1968
"94",2020-03-23,0.2046
"95",2020-03-24,0.2182
"96",2020-03-25,0.234
