"","date","XRP"
"1",2018-12-26,0.3713
"2",2018-12-27,0.3548
"3",2018-12-28,0.3607
"4",2018-12-29,0.3478
"5",2018-12-30,0.3978
"6",2018-12-31,0.3724
"7",2019-01-01,0.3593
"8",2019-01-02,0.397
"9",2019-01-03,0.4149
"10",2019-01-04,0.3858
"11",2019-01-05,0.3572
"12",2019-01-06,0.3529
"13",2019-01-07,0.3499
"14",2019-01-08,0.3674
"15",2019-01-09,0.3774
"16",2019-01-10,0.3776
"17",2019-01-11,0.3421
"18",2019-01-12,0.3835
"19",2019-01-13,0.4024
"20",2019-01-14,0.4044
"21",2019-01-15,0.4037
"22",2019-01-16,0.3659
"23",2019-01-17,0.3084
"24",2019-01-18,0.3086
"25",2019-01-19,0.3256
"26",2019-01-20,0.3401
"27",2019-01-21,0.3505
"28",2019-01-22,0.3294
"29",2019-01-23,0.3554
"30",2019-01-24,0.3143
"31",2019-01-25,0.3362
"32",2019-01-26,0.3135
"33",2019-01-27,0.3001
"34",2019-01-28,0.275
"35",2019-01-29,0.2694
"36",2019-01-30,0.3133
"37",2019-01-31,0.3046
"38",2019-02-01,0.2954
"39",2019-02-02,0.2782
"40",2019-02-03,0.2419
"41",2019-02-04,0.2748
"42",2019-02-05,0.2335
"43",2019-02-06,0.1981
"44",2019-02-07,0.151
"45",2019-02-08,0.1839
"46",2019-02-09,0.1522
"47",2019-02-10,0.1401
"48",2019-02-11,0.1927
"49",2019-02-12,0.2829
"50",2019-02-13,0.2953
"51",2019-02-14,0.3213
"52",2019-02-15,0.2885
"53",2019-02-16,0.2032
"54",2019-02-17,0.204
"55",2019-02-18,0.2191
"56",2019-02-19,0.2395
"57",2019-02-20,0.2707
"58",2019-02-21,0.221
"59",2019-02-22,0.1938
"60",2019-02-23,0.2534
"61",2019-02-24,0.2848
"62",2019-02-25,0.3091
"63",2019-02-26,0.2513
"64",2019-02-27,0.2489
"65",2019-02-28,0.2452
"66",2019-03-01,0.2352
"67",2019-03-02,0.2967
"68",2019-03-03,0.3174
"69",2019-03-04,0.3492
"70",2019-03-05,0.313
"71",2019-03-06,0.3555
"72",2019-03-07,0.306
"73",2019-03-08,0.2971
"74",2019-03-09,0.3029
"75",2019-03-10,0.3052
"76",2019-03-11,0.2839
"77",2019-03-12,0.2843
"78",2019-03-13,0.3394
"79",2019-03-14,0.3708
"80",2019-03-15,0.4057
"81",2019-03-16,0.4109
"82",2019-03-17,0.4005
"83",2019-03-18,0.3525
"84",2019-03-19,0.3984
"85",2019-03-20,0.458
"86",2019-03-21,0.4048
"87",2019-03-22,0.3648
"88",2019-03-23,0.3719
"89",2019-03-24,0.4017
"90",2019-03-25,0.4044
"91",2019-03-26,0.4194
"92",2019-03-27,0.4125
"93",2019-03-28,0.4065
"94",2019-03-29,0.3667
"95",2019-03-30,0.3644
"96",2019-03-31,0.3779
"97",2019-04-01,0.4107
"98",2019-04-02,0.3745
"99",2019-04-03,0.4113
"100",2019-04-04,0.409
"101",2019-04-05,0.4011
"102",2019-04-06,0.4039
"103",2019-04-07,0.3975
"104",2019-04-08,0.4363
"105",2019-04-09,0.4467
"106",2019-04-10,0.4179
"107",2019-04-11,0.3606
"108",2019-04-12,0.2944
"109",2019-04-13,0.3073
"110",2019-04-14,0.2925
"111",2019-04-15,0.2928
"112",2019-04-16,0.2912
"113",2019-04-17,0.2616
"114",2019-04-18,0.2796
"115",2019-04-19,0.3245
"116",2019-04-20,0.2824
"117",2019-04-21,0.2746
"118",2019-04-22,0.239
"119",2019-04-23,0.2163
"120",2019-04-24,0.2204
"121",2019-04-25,0.2802
"122",2019-04-26,0.2652
"123",2019-04-27,0.241
"124",2019-04-28,0.2536
"125",2019-04-29,0.2851
"126",2019-04-30,0.2682
"127",2019-05-01,0.248
"128",2019-05-02,0.2158
"129",2019-05-03,0.2448
"130",2019-05-04,0.2275
"131",2019-05-05,0.2127
"132",2019-05-06,0.2549
"133",2019-05-07,0.2511
"134",2019-05-08,0.2586
"135",2019-05-09,0.2647
"136",2019-05-10,0.2612
"137",2019-05-11,0.2567
"138",2019-05-12,0.2415
"139",2019-05-13,0.2958
"140",2019-05-14,0.3165
"141",2019-05-15,0.3471
"142",2019-05-16,0.2958
"143",2019-05-17,0.2378
"144",2019-05-18,0.2809
"145",2019-05-19,0.3467
"146",2019-05-20,0.3208
"147",2019-05-21,0.292
"148",2019-05-22,0.3175
"149",2019-05-23,0.3317
"150",2019-05-24,0.3263
"151",2019-05-25,0.3449
"152",2019-05-26,0.3284
"153",2019-05-27,0.3131
"154",2019-05-28,0.3244
"155",2019-05-29,0.3432
"156",2019-05-30,0.3423
"157",2019-05-31,0.362
"158",2019-06-01,0.335
"159",2019-06-02,0.3624
"160",2019-06-03,0.3644
"161",2019-06-04,0.363
"162",2019-06-05,0.3464
"163",2019-06-06,0.3124
"164",2019-06-07,0.3032
"165",2019-06-08,0.3461
"166",2019-06-09,0.3413
"167",2019-06-10,0.3154
"168",2019-06-11,0.3306
"169",2019-06-12,0.4117
"170",2019-06-13,0.4137
"171",2019-06-14,0.409
"172",2019-06-15,0.3923
"173",2019-06-16,0.3577
"174",2019-06-17,0.3885
"175",2019-06-18,0.4233
"176",2019-06-19,0.4286
"177",2019-06-20,0.4228
"178",2019-06-21,0.3679
"179",2019-06-22,0.3752
"180",2019-06-23,0.4062
"181",2019-06-24,0.4653
"182",2019-06-25,0.4539
"183",2019-06-26,0.409
"184",2019-06-27,0.4076
"185",2019-06-28,0.3887
"186",2019-06-29,0.3482
"187",2019-06-30,0.3488
"188",2019-07-01,0.349
"189",2019-07-02,0.373
"190",2019-07-03,0.3646
"191",2019-07-04,0.3466
"192",2019-07-05,0.3553
"193",2019-07-06,0.342
"194",2019-07-07,0.3011
"195",2019-07-08,0.304
"196",2019-07-09,0.2828
"197",2019-07-10,0.2585
"198",2019-07-11,0.2283
"199",2019-07-12,0.2505
"200",2019-07-13,0.2532
"201",2019-07-14,0.2823
"202",2019-07-15,0.2562
"203",2019-07-16,0.205
"204",2019-07-17,0.2315
"205",2019-07-18,0.2863
"206",2019-07-19,0.249
"207",2019-07-20,0.1997
"208",2019-07-21,0.1813
"209",2019-07-22,0.2054
"210",2019-07-23,0.2157
"211",2019-07-24,0.2211
"212",2019-07-25,0.2144
"213",2019-07-26,0.2306
"214",2019-07-27,0.2729
"215",2019-07-28,0.2723
"216",2019-07-29,0.275
"217",2019-07-30,0.2731
"218",2019-07-31,0.2398
"219",2019-08-01,0.2641
"220",2019-08-02,0.2809
"221",2019-08-03,0.3137
"222",2019-08-04,0.3064
"223",2019-08-05,0.3072
"224",2019-08-06,0.3141
"225",2019-08-07,0.3392
"226",2019-08-08,0.2901
"227",2019-08-09,0.2406
"228",2019-08-10,0.2444
"229",2019-08-11,0.274
"230",2019-08-12,0.2543
"231",2019-08-13,0.2859
"232",2019-08-14,0.3081
"233",2019-08-15,0.2762
"234",2019-08-16,0.2782
"235",2019-08-17,0.3146
"236",2019-08-18,0.333
"237",2019-08-19,0.311
"238",2019-08-20,0.2861
"239",2019-08-21,0.3228
"240",2019-08-22,0.3248
"241",2019-08-23,0.3267
"242",2019-08-24,0.3064
"243",2019-08-25,0.2899
"244",2019-08-26,0.3084
"245",2019-08-27,0.328
"246",2019-08-28,0.3301
"247",2019-08-29,0.3329
"248",2019-08-30,0.2843
"249",2019-08-31,0.3372
"250",2019-09-01,0.3095
"251",2019-09-02,0.2742
"252",2019-09-03,0.2857
"253",2019-09-04,0.3219
"254",2019-09-05,0.3555
"255",2019-09-06,0.3915
"256",2019-09-07,0.4144
"257",2019-09-08,0.4462
"258",2019-09-09,0.493
"259",2019-09-10,0.5458
"260",2019-09-11,0.578
"261",2019-09-12,0.5858
"262",2019-09-13,0.5251
"263",2019-09-14,0.4147
"264",2019-09-15,0.4026
"265",2019-09-16,0.4142
"266",2019-09-17,0.3683
"267",2019-09-18,0.3675
"268",2019-09-19,0.3454
"269",2019-09-20,0.3763
"270",2019-09-21,0.3564
"271",2019-09-22,0.3671
"272",2019-09-23,0.3593
"273",2019-09-24,0.3692
"274",2019-09-25,0.3515
"275",2019-09-26,0.371
"276",2019-09-27,0.3652
"277",2019-09-28,0.3575
"278",2019-09-29,0.3186
"279",2019-09-30,0.3164
"280",2019-10-01,0.3368
"281",2019-10-02,0.3427
"282",2019-10-03,0.3148
"283",2019-10-04,0.302
"284",2019-10-05,0.2914
"285",2019-10-06,0.3404
"286",2019-10-07,0.3301
"287",2019-10-08,0.311
"288",2019-10-09,0.2985
"289",2019-10-10,0.3067
"290",2019-10-11,0.2508
"291",2019-10-12,0.2834
"292",2019-10-13,0.269
"293",2019-10-14,0.2755
"294",2019-10-15,0.2697
"295",2019-10-16,0.2718
"296",2019-10-17,0.2534
"297",2019-10-18,0.2606
"298",2019-10-19,0.2273
"299",2019-10-20,0.2288
"300",2019-10-21,0.2275
"301",2019-10-22,0.2461
"302",2019-10-23,0.2339
"303",2019-10-24,0.2209
"304",2019-10-25,0.2061
"305",2019-10-26,0.2204
"306",2019-10-27,0.1658
"307",2019-10-28,0.1514
"308",2019-10-29,0.1398
"309",2019-10-30,0.1814
"310",2019-10-31,0.1706
"311",2019-11-01,0.1768
"312",2019-11-02,0.1851
"313",2019-11-03,0.2207
"314",2019-11-04,0.2123
"315",2019-11-05,0.2174
"316",2019-11-06,0.2
"317",2019-11-07,0.1998
"318",2019-11-08,0.1831
"319",2019-11-09,0.2281
"320",2019-11-10,0.2371
"321",2019-11-11,0.2777
"322",2019-11-12,0.2682
"323",2019-11-13,0.2864
"324",2019-11-14,0.3193
"325",2019-11-15,0.3586
"326",2019-11-16,0.3526
"327",2019-11-17,0.3676
"328",2019-11-18,0.3624
"329",2019-11-19,0.3633
"330",2019-11-20,0.3614
"331",2019-11-21,0.3819
"332",2019-11-22,0.3854
"333",2019-11-23,0.4371
"334",2019-11-24,0.4344
"335",2019-11-25,0.4572
"336",2019-11-26,0.4514
"337",2019-11-27,0.4485
"338",2019-11-28,0.4044
"339",2019-11-29,0.4162
"340",2019-11-30,0.4266
"341",2019-12-01,0.4623
"342",2019-12-02,0.4403
"343",2019-12-03,0.4313
"344",2019-12-04,0.4374
"345",2019-12-05,0.4675
"346",2019-12-06,0.4642
"347",2019-12-07,0.4722
"348",2019-12-08,0.4761
"349",2019-12-09,0.4876
"350",2019-12-10,0.4482
"351",2019-12-11,0.4251
"352",2019-12-12,0.4205
"353",2019-12-13,0.4448
"354",2019-12-14,0.4319
"355",2019-12-15,0.4158
"356",2019-12-16,0.3845
"357",2019-12-17,0.4311
"358",2019-12-18,0.4258
"359",2019-12-19,0.4054
"360",2019-12-20,0.4077
"361",2019-12-21,0.4296
"362",2019-12-22,0.396
"363",2019-12-23,0.4087
"364",2019-12-24,0.425
"365",2019-12-25,0.446
"366",2019-12-26,0.4177
"367",2019-12-27,0.3981
"368",2019-12-28,0.383
"369",2019-12-29,0.3945
"370",2019-12-30,0.3736
"371",2019-12-31,0.3715
"372",2020-01-01,0.347
"373",2020-01-02,0.3406
"374",2020-01-03,0.3198
"375",2020-01-04,0.3101
"376",2020-01-05,0.2985
"377",2020-01-06,0.2823
"378",2020-01-07,0.2524
"379",2020-01-08,0.2708
"380",2020-01-09,0.2687
"381",2020-01-10,0.3004
"382",2020-01-11,0.2721
"383",2020-01-12,0.2624
"384",2020-01-13,0.2732
"385",2020-01-14,0.2793
"386",2020-01-15,0.2373
"387",2020-01-16,0.2251
"388",2020-01-17,0.2209
"389",2020-01-18,0.2279
"390",2020-01-19,0.2248
"391",2020-01-20,0.2292
"392",2020-01-21,0.2129
"393",2020-01-22,0.2457
"394",2020-01-23,0.2404
"395",2020-01-24,0.2368
"396",2020-01-25,0.2544
"397",2020-01-26,0.2772
"398",2020-01-27,0.2469
"399",2020-01-28,0.2543
"400",2020-01-29,0.2507
"401",2020-01-30,0.2746
"402",2020-01-31,0.2645
"403",2020-02-01,0.2775
"404",2020-02-02,0.2843
"405",2020-02-03,0.321
"406",2020-02-04,0.3122
"407",2020-02-05,0.3027
"408",2020-02-06,0.2934
"409",2020-02-07,0.3092
"410",2020-02-08,0.313
"411",2020-02-09,0.3268
"412",2020-02-10,0.3402
"413",2020-02-11,0.3731
"414",2020-02-12,0.3763
"415",2020-02-13,0.3804
"416",2020-02-14,0.3754
"417",2020-02-15,0.3981
"418",2020-02-16,0.3945
"419",2020-02-17,0.3927
"420",2020-02-18,0.4011
"421",2020-02-19,0.4494
"422",2020-02-20,0.4793
