date,BTC,TRX,ADA,LTC,ETH,BNB,XRP,DOGE
2020-12-15,0.3664,0.3572,0.1509,0.1835,0.2637,0.3532,0.427,0.3947
2020-12-16,0.3617,0.3068,0.1473,0.1851,0.2524,0.3363,0.4173,0.3793
2020-12-17,0.3592,0.2567,0.149,0.1798,0.2525,0.3036,0.4282,0.3737
2020-12-18,0.3586,0.2626,0.1524,0.1804,0.2513,0.2554,0.4419,0.3762
2020-12-19,0.3649,0.275,0.161,0.1908,0.2564,0.2612,0.4584,0.3965
2020-12-20,0.3614,0.2834,0.1569,0.1875,0.2519,0.2506,0.462,0.3827
2020-12-21,0.3559,0.2815,0.1557,0.1832,0.2513,0.2419,0.4605,0.3748
2020-12-22,0.3639,0.294,0.1589,0.1864,0.2544,0.2458,0.4605,0.3758
2020-12-23,0.3559,0.2949,0.1515,0.1809,0.2441,0.2475,0.4749,0.3733
2020-12-24,0.3369,0.2967,0.1538,0.1819,0.2387,0.2401,0.471,0.3772
2020-12-25,0.346,0.3008,0.162,0.1942,0.2503,0.2549,0.4826,0.3965
2020-12-26,0.3431,0.305,0.1731,0.2016,0.2506,0.2534,0.4845,0.3999
2020-12-27,0.3424,0.3024,0.1794,0.1976,0.2531,0.244,0.4944,0.3887
2020-12-28,0.338,0.3027,0.1779,0.194,0.2465,0.2407,0.4954,0.3941
2020-12-29,0.3384,0.3001,0.1783,0.1923,0.2502,0.2373,0.5056,0.3955
2020-12-30,0.3405,0.2915,0.1815,0.1917,0.2495,0.2511,0.4965,0.3871
2020-12-31,0.3335,0.2844,0.1747,0.1868,0.2396,0.2432,0.4905,0.3757
2021-01-01,0.3359,0.2879,0.1697,0.187,0.2442,0.2387,0.4884,0.3803
2021-01-02,0.3315,0.2923,0.1727,0.1883,0.2457,0.238,0.4933,0.389
2021-01-03,0.3301,0.294,0.174,0.1849,0.2433,0.2291,0.4915,0.4004
2021-01-04,0.3267,0.2874,0.1697,0.1839,0.2372,0.2333,0.4887,0.3978
2021-01-05,0.3149,0.285,0.1704,0.1894,0.2331,0.2297,0.4899,0.3953
2021-01-06,0.3211,0.284,0.1784,0.1879,0.2395,0.2217,0.4977,0.3983
2021-01-07,0.3265,0.2917,0.1815,0.1864,0.2421,0.2227,0.5057,0.4094
2021-01-08,0.3152,0.2907,0.1881,0.1865,0.2355,0.2221,0.5195,0.4119
2021-01-09,0.3126,0.2915,0.1892,0.1818,0.228,0.2204,0.5069,0.4073
2021-01-10,0.3132,0.2851,0.1866,0.1835,0.2294,0.2257,0.5103,0.4068
2021-01-11,0.3164,0.2855,0.1904,0.1789,0.2338,0.2178,0.5053,0.4043
2021-01-12,0.3226,0.2931,0.1959,0.1902,0.2441,0.2241,0.5134,0.4229
2021-01-13,0.3289,0.2841,0.1938,0.1895,0.2512,0.2147,0.5062,0.4235
2021-01-14,0.3282,0.2764,0.1897,0.1866,0.2504,0.2119,0.503,0.425
2021-01-15,0.3139,0.272,0.1892,0.192,0.2386,0.2066,0.4933,0.4136
2021-01-16,0.3187,0.2668,0.1944,0.1886,0.2503,0.1978,0.5051,0.4075
2021-01-17,0.3017,0.2618,0.1888,0.1838,0.239,0.195,0.504,0.4055
2021-01-18,0.3049,0.2606,0.1872,0.1853,0.2426,0.1892,0.5036,0.4161
2021-01-19,0.3214,0.2712,0.1957,0.188,0.2497,0.1926,0.5031,0.4164
2021-01-20,0.312,0.2613,0.1939,0.1725,0.2399,0.1942,0.4959,0.3997
2021-01-21,0.3155,0.2617,0.2035,0.1784,0.249,0.2046,0.4871,0.3977
2021-01-22,0.2993,0.258,0.202,0.1647,0.2437,0.1927,0.5006,0.3976
2021-01-23,0.2977,0.2589,0.2055,0.1631,0.2494,0.1479,0.5005,0.405
2021-01-24,0.3052,0.2608,0.2039,0.1666,0.25,0.1545,0.5021,0.4011
2021-01-25,0.2959,0.2577,0.2025,0.1633,0.2385,0.1517,0.4918,0.3977
2021-01-26,0.289,0.2556,0.1991,0.1563,0.2436,0.1486,0.4894,0.397
2021-01-27,0.2869,0.2631,0.2007,0.1508,0.2457,0.1522,0.4918,0.4092
2021-01-28,0.2823,0.2532,0.1972,0.1434,0.2374,0.1406,0.503,0.4429
2021-01-29,0.2762,0.253,0.194,0.1413,0.2337,0.1311,0.494,0.4734
2021-01-30,0.281,0.2546,0.1986,0.1468,0.2402,0.1405,0.4901,0.4944
2021-01-31,0.2981,0.2588,0.1971,0.153,0.2497,0.145,0.4946,0.511
2021-02-01,0.3037,0.25,0.2025,0.1625,0.2591,0.1604,0.5134,0.5112
2021-02-02,0.303,0.2471,0.2068,0.1583,0.2592,0.1516,0.5015,0.5113
2021-02-03,0.3033,0.2424,0.2059,0.1561,0.2623,0.1598,0.5009,0.5146
2021-02-04,0.2933,0.2366,0.2066,0.1585,0.2537,0.1529,0.4943,0.5184
2021-02-05,0.2976,0.2425,0.2044,0.1579,0.2549,0.1527,0.4933,0.5247
2021-02-06,0.291,0.2436,0.2074,0.1627,0.2555,0.1554,0.4967,0.5239
2021-02-07,0.2899,0.242,0.2116,0.1633,0.2584,0.1533,0.4986,0.5411
2021-02-08,0.2958,0.2446,0.2098,0.1565,0.2556,0.1483,0.4947,0.5347
2021-02-09,0.3045,0.2444,0.2039,0.1536,0.2525,0.1539,0.4972,0.5274
2021-02-10,0.2959,0.2395,0.2085,0.1517,0.2452,0.1609,0.4902,0.5175
2021-02-11,0.2986,0.2384,0.213,0.157,0.2488,0.1619,0.4872,0.5352
2021-02-12,0.3121,0.2456,0.2132,0.1653,0.2623,0.1727,0.4904,0.5452
2021-02-13,0.3045,0.2436,0.2116,0.1625,0.256,0.1742,0.4935,0.5432
2021-02-14,0.3,0.2395,0.2174,0.1704,0.2534,0.1804,0.4876,0.5528
2021-02-15,0.3046,0.237,0.2158,0.1624,0.2582,0.1745,0.4868,0.5479
2021-02-16,0.3011,0.2388,0.2146,0.1677,0.2599,0.18,0.4868,0.5489
2021-02-17,0.2871,0.2333,0.2098,0.1709,0.256,0.18,0.491,0.56
2021-02-18,0.2865,0.231,0.2013,0.1682,0.256,0.1813,0.4809,0.558
2021-02-19,0.2916,0.2294,0.1989,0.1704,0.2602,0.1992,0.4813,0.5463
2021-02-20,0.3148,0.2398,0.207,0.1782,0.271,0.2119,0.4706,0.5262
2021-02-21,0.3186,0.2387,0.207,0.175,0.2707,0.2165,0.4887,0.5489
2021-02-22,0.3193,0.2425,0.2023,0.1714,0.2654,0.2067,0.4857,0.5675
2021-02-23,0.3239,0.2411,0.2068,0.1791,0.2667,0.2256,0.4872,0.5702
2021-02-24,0.3136,0.2429,0.2073,0.1787,0.2585,0.2218,0.4823,0.5729
2021-02-25,0.3122,0.2462,0.2088,0.1779,0.2571,0.224,0.4786,0.5657
2021-02-26,0.3115,0.252,0.2058,0.1846,0.2556,0.2347,0.4732,0.5481
2021-02-27,0.3165,0.2572,0.2056,0.1966,0.2629,0.2354,0.4762,0.5779
2021-02-28,0.3049,0.2637,0.2027,0.196,0.2523,0.2365,0.4694,0.5945
2021-03-01,0.3098,0.2687,0.202,0.2041,0.2547,0.2368,0.4771,0.5891
2021-03-02,0.3287,0.2727,0.2032,0.206,0.2594,0.2321,0.4813,0.5854
2021-03-03,0.3274,0.2759,0.2009,0.197,0.2568,0.2265,0.479,0.5627
2021-03-04,0.3318,0.2815,0.2064,0.1954,0.2561,0.2319,0.4729,0.5597
2021-03-05,0.3336,0.2771,0.1989,0.1961,0.2507,0.2493,0.4778,0.5738
2021-03-06,0.3186,0.2729,0.1977,0.1956,0.2443,0.2543,0.4706,0.5788
2021-03-07,0.3288,0.2813,0.2011,0.1927,0.2572,0.246,0.4685,0.5744
2021-03-08,0.339,0.287,0.2067,0.1915,0.264,0.2516,0.4732,0.5524
2021-03-09,0.3403,0.2869,0.209,0.1905,0.2591,0.2512,0.4731,0.5676
2021-03-10,0.337,0.2847,0.2043,0.1844,0.2455,0.2468,0.4556,0.5732
2021-03-11,0.3205,0.2803,0.1992,0.1792,0.2379,0.2458,0.4512,0.5556
2021-03-12,0.3254,0.2773,0.2096,0.1887,0.2518,0.2417,0.4585,0.5489
2021-03-13,0.3306,0.2839,0.2117,0.1916,0.2557,0.2406,0.4655,0.5468
2021-03-14,0.3458,0.2894,0.2122,0.1932,0.2651,0.2427,0.4615,0.5451
2021-03-15,0.354,0.2865,0.2126,0.1938,0.2684,0.2565,0.4627,0.5547
2021-03-16,0.3618,0.2963,0.217,0.1985,0.2699,0.2589,0.4653,0.5565
2021-03-17,0.3774,0.2995,0.2182,0.1962,0.2823,0.2637,0.476,0.5604
2021-03-18,0.3544,0.3033,0.2145,0.1878,0.2708,0.2505,0.4599,0.555
2021-03-19,0.3506,0.3107,0.216,0.1871,0.2742,0.237,0.4633,0.5677
2021-03-20,0.361,0.3233,0.2124,0.1865,0.2771,0.232,0.4595,0.5681
2021-03-21,0.3563,0.3187,0.1993,0.1818,0.2659,0.2449,0.4617,0.535
2021-03-22,0.3423,0.3205,0.1947,0.1791,0.2602,0.2481,0.4488,0.52
2021-03-23,0.3409,0.3264,0.1856,0.1816,0.2646,0.2442,0.4642,0.5337
2021-03-24,0.3417,0.331,0.1813,0.1767,0.2631,0.2381,0.4598,0.539
2021-03-25,0.3585,0.3413,0.1776,0.1893,0.2741,0.2509,0.4614,0.5417
2021-03-26,0.3488,0.3414,0.1726,0.1934,0.2682,0.2583,0.4627,0.5571
2021-03-27,0.3448,0.344,0.1737,0.1881,0.274,0.2517,0.4645,0.5599
2021-03-28,0.3485,0.3461,0.1715,0.1884,0.2739,0.2586,0.469,0.5364
2021-03-29,0.3431,0.3401,0.1612,0.1746,0.262,0.2375,0.4721,0.5519
2021-03-30,0.3468,0.3435,0.1589,0.1756,0.2624,0.2389,0.4631,0.5637
2021-03-31,0.3523,0.3432,0.156,0.1723,0.2585,0.2486,0.4529,0.5582
2021-04-01,0.3637,0.342,0.1546,0.1699,0.2572,0.2425,0.4469,0.5557
2021-04-02,0.3521,0.3404,0.1545,0.1676,0.2477,0.2425,0.4538,0.5439
2021-04-03,0.3648,0.3416,0.1623,0.1751,0.2572,0.2416,0.4522,0.5347
2021-04-04,0.3649,0.3353,0.16,0.1727,0.2551,0.2442,0.4525,0.5373
2021-04-05,0.3614,0.3317,0.1602,0.1768,0.2503,0.2433,0.4447,0.5278
2021-04-06,0.3667,0.3275,0.1656,0.179,0.2527,0.2434,0.4479,0.5383
2021-04-07,0.3749,0.3273,0.166,0.1783,0.2561,0.2444,0.4537,0.5338
2021-04-08,0.3781,0.3244,0.1683,0.1811,0.2626,0.245,0.4676,0.5365
2021-04-09,0.3686,0.3263,0.1622,0.1713,0.2518,0.2283,0.4611,0.4965
2021-04-10,0.369,0.3224,0.1604,0.1735,0.2537,0.232,0.4642,0.5081
2021-04-11,0.3641,0.3214,0.1606,0.1751,0.2487,0.2313,0.4584,0.5292
2021-04-12,0.3664,0.3245,0.1637,0.1763,0.2518,0.2327,0.4545,0.5373
2021-04-13,0.3692,0.3273,0.1634,0.181,0.2572,0.238,0.4553,0.5479
2021-04-14,0.3727,0.318,0.1644,0.1783,0.2604,0.2477,0.4617,0.5416
2021-04-15,0.3632,0.3112,0.1618,0.1789,0.2462,0.2468,0.4553,0.545
2021-04-16,0.3742,0.3137,0.1613,0.1757,0.2606,0.2333,0.4653,0.531
2021-04-17,0.3713,0.3178,0.1621,0.1785,0.2627,0.2359,0.4726,0.535
2021-04-18,0.371,0.3193,0.1585,0.1851,0.2622,0.231,0.4811,0.5576
2021-04-19,0.3763,0.3202,0.1569,0.1841,0.2649,0.2329,0.4745,0.5612
2021-04-20,0.3673,0.3227,0.1549,0.1772,0.2624,0.2278,0.4702,0.5469
2021-04-21,0.3723,0.3304,0.1647,0.1766,0.2699,0.2268,0.4644,0.5476
2021-04-22,0.3696,0.3277,0.1561,0.1758,0.2626,0.2303,0.4794,0.5576
2021-04-23,0.3567,0.3219,0.152,0.1736,0.2551,0.2242,0.4718,0.5668
2021-04-24,0.3584,0.3301,0.1532,0.1809,0.2595,0.2352,0.4696,0.5727
2021-04-25,0.3691,0.3356,0.1539,0.1903,0.2657,0.2407,0.4729,0.5746
2021-04-26,0.3707,0.3325,0.1498,0.1871,0.2659,0.2424,0.477,0.5588
2021-04-27,0.3744,0.3347,0.1506,0.1889,0.2732,0.2458,0.4715,0.544
2021-04-28,0.3639,0.3269,0.152,0.1828,0.2727,0.2418,0.473,0.5552
