date,XRP,BNB,BTC,DOGE,ADA,ETH,TRX,LTC
2019-12-21,0.3223,0.3893,0.3741,0.3768,0.0626,0.1989,0.3206,0.1806
2019-12-22,0.2993,0.3771,0.3806,0.3417,0.0681999999999999,0.1936,0.2426,0.1918
2019-12-23,0.3055,0.3367,0.3693,0.325,0.0656,0.1867,0.1551,0.1714
2019-12-24,0.3218,0.2514,0.3766,0.328,0.0673,0.1853,0.1591,0.1668
2019-12-25,0.3522,0.2604,0.3831,0.3496,0.0732999999999999,0.1859,0.1805,0.1792
2019-12-26,0.3565,0.2469,0.3735,0.3327,0.0614,0.1701,0.1936,0.169
2019-12-27,0.3513,0.2359,0.366,0.3241,0.0584,0.1652,0.1949,0.1707
2019-12-28,0.3434,0.2433,0.3715,0.3284,0.0620000000000001,0.1608,0.2089,0.1722
2019-12-29,0.3507,0.2572,0.3662,0.3245,0.0518000000000001,0.1546,0.212,0.1677
2019-12-30,0.3332,0.2499,0.3644,0.3398,0.05,0.1554,0.2207,0.1756
2019-12-31,0.3405,0.2793,0.3806,0.3547,0.0518999999999999,0.1646,0.2225,0.1866
2020-01-01,0.3464,0.2906,0.3866,0.3579,0.0719000000000001,0.1698,0.2343,0.2004
2020-01-02,0.359,0.2824,0.3745,0.3529,0.0745,0.1641,0.2368,0.1841
2020-01-03,0.3604,0.2963,0.3819,0.358,0.0713999999999999,0.1546,0.2462,0.1801
2020-01-04,0.38,0.3049,0.3865,0.354,0.0739,0.1617,0.2607,0.1774
2020-01-05,0.3666,0.3374,0.3953,0.3403,0.0787,0.1578,0.2367,0.1782
2020-01-06,0.3435,0.3333,0.3886,0.3129,0.0685,0.1456,0.2223,0.1662
2020-01-07,0.3348,0.3388,0.3909,0.3179,0.0627000000000001,0.1525,0.2309,0.1668
2020-01-08,0.3435,0.3441,0.3816,0.3306,0.0613,0.1549,0.236,0.1689
2020-01-09,0.3433,0.3404,0.3897,0.3416,0.0709000000000001,0.1525,0.2462,0.1654
2020-01-10,0.3418,0.3612,0.3965,0.3326,0.0699000000000001,0.1532,0.2473,0.1665
2020-01-11,0.347,0.3641,0.4041,0.3164,0.0725,0.1571,0.2564,0.1881
2020-01-12,0.3446,0.3476,0.3915,0.317,0.0648,0.1423,0.2497,0.1682
2020-01-13,0.3529,0.3531,0.4141,0.3452,0.0677000000000001,0.1488,0.2635,0.1755
2020-01-14,0.3797,0.3618,0.4022,0.3532,0.0799,0.143,0.261,0.1809
2020-01-15,0.3638,0.3638,0.3979,0.3378,0.0842000000000001,0.1263,0.2611,0.1726
2020-01-16,0.3694,0.3761,0.4047,0.3253,0.0798000000000001,0.1294,0.2583,0.1707
2020-01-17,0.3639,0.3669,0.411,0.3283,0.0854999999999999,0.1333,0.2616,0.1663
2020-01-18,0.3715,0.3802,0.4121,0.3504,0.0915999999999999,0.14,0.2688,0.1786
2020-01-19,0.3596,0.3619,0.4055,0.3537,0.0818,0.1406,0.2622,0.1743
2020-01-20,0.3599,0.3629,0.3965,0.3389,0.0774,0.1415,0.2589,0.1766
2020-01-21,0.3373,0.3542,0.3819,0.3187,0.0837,0.1267,0.2422,0.1839
2020-01-22,0.3338,0.3369,0.3656,0.3004,0.0876,0.1321,0.2333,0.1745
2020-01-23,0.3337,0.3277,0.3574,0.2941,0.0814,0.125,0.2331,0.1769
2020-01-24,0.3345,0.3172,0.3573,0.3083,0.0735,0.1305,0.2315,0.1788
2020-01-25,0.343,0.3336,0.3859,0.315,0.0863,0.1449,0.2497,0.1903
2020-01-26,0.3382,0.3468,0.3852,0.2879,0.0782,0.1318,0.2309,0.1842
2020-01-27,0.3177,0.3551,0.3832,0.2748,0.0797,0.1325,0.2213,0.193
2020-01-28,0.316,0.3334,0.3636,0.2683,0.0757,0.1256,0.2149,0.1814
2020-01-29,0.3073,0.2114,0.3619,0.2883,0.0787,0.1224,0.2047,0.1798
2020-01-30,0.311,0.2276,0.3767,0.2755,0.0775,0.1279,0.2023,0.1864
2020-01-31,0.295,0.2405,0.3684,0.2638,0.0835,0.1203,0.1939,0.1908
2020-02-01,0.2878,0.2142,0.3551,0.2606,0.0755,0.1203,0.1829,0.1702
2020-02-02,0.3,0.2098,0.3518,0.2668,0.0760999999999999,0.1145,0.1859,0.1514
2020-02-03,0.3258,0.2039,0.3372,0.2721,0.0759000000000001,0.1036,0.1814,0.1403
2020-02-04,0.3193,0.1999,0.342,0.2657,0.0732,0.1089,0.1918,0.146
2020-02-05,0.314,0.1982,0.3332,0.2596,0.0743999999999999,0.1076,0.1855,0.1525
2020-02-06,0.3225,0.2128,0.3602,0.2659,0.0781999999999999,0.1249,0.1981,0.1652
