date,Ticker,deltaH
2020-12-15,BTC,0.3664
2020-12-16,BTC,0.3617
2020-12-17,BTC,0.3592
2020-12-18,BTC,0.3586
2020-12-19,BTC,0.3649
2020-12-20,BTC,0.3614
2020-12-21,BTC,0.3559
2020-12-22,BTC,0.3639
2020-12-23,BTC,0.3559
2020-12-24,BTC,0.3369
2020-12-25,BTC,0.346
2020-12-26,BTC,0.3431
2020-12-27,BTC,0.3424
2020-12-28,BTC,0.338
2020-12-29,BTC,0.3384
2020-12-30,BTC,0.3405
2020-12-31,BTC,0.3335
2021-01-01,BTC,0.3359
2021-01-02,BTC,0.3315
2021-01-03,BTC,0.3301
2021-01-04,BTC,0.3267
2021-01-05,BTC,0.3149
2021-01-06,BTC,0.3211
2021-01-07,BTC,0.3265
2021-01-08,BTC,0.3152
2021-01-09,BTC,0.3126
2021-01-10,BTC,0.3132
2021-01-11,BTC,0.3164
2021-01-12,BTC,0.3226
2021-01-13,BTC,0.3289
2021-01-14,BTC,0.3282
2021-01-15,BTC,0.3139
2021-01-16,BTC,0.3187
2021-01-17,BTC,0.3017
2021-01-18,BTC,0.3049
2021-01-19,BTC,0.3214
2021-01-20,BTC,0.312
2021-01-21,BTC,0.3155
2021-01-22,BTC,0.2993
2021-01-23,BTC,0.2977
2021-01-24,BTC,0.3052
2021-01-25,BTC,0.2959
2021-01-26,BTC,0.289
2021-01-27,BTC,0.2869
2021-01-28,BTC,0.2823
2021-01-29,BTC,0.2762
2021-01-30,BTC,0.281
2021-01-31,BTC,0.2981
2021-02-01,BTC,0.3037
2021-02-02,BTC,0.303
2021-02-03,BTC,0.3033
2021-02-04,BTC,0.2933
2021-02-05,BTC,0.2976
2021-02-06,BTC,0.291
2021-02-07,BTC,0.2899
2021-02-08,BTC,0.2958
2021-02-09,BTC,0.3045
2021-02-10,BTC,0.2959
2021-02-11,BTC,0.2986
2021-02-12,BTC,0.3121
2021-02-13,BTC,0.3045
2021-02-14,BTC,0.3
2021-02-15,BTC,0.3046
2021-02-16,BTC,0.3011
2021-02-17,BTC,0.2871
2021-02-18,BTC,0.2865
2021-02-19,BTC,0.2916
2021-02-20,BTC,0.3148
2021-02-21,BTC,0.3186
2021-02-22,BTC,0.3193
2021-02-23,BTC,0.3239
2021-02-24,BTC,0.3136
2021-02-25,BTC,0.3122
2021-02-26,BTC,0.3115
2021-02-27,BTC,0.3165
2021-02-28,BTC,0.3049
2021-03-01,BTC,0.3098
2021-03-02,BTC,0.3287
2021-03-03,BTC,0.3274
2021-03-04,BTC,0.3318
2021-03-05,BTC,0.3336
2021-03-06,BTC,0.3186
2021-03-07,BTC,0.3288
2021-03-08,BTC,0.339
2021-03-09,BTC,0.3403
2021-03-10,BTC,0.337
2021-03-11,BTC,0.3205
2021-03-12,BTC,0.3254
2021-03-13,BTC,0.3306
2021-03-14,BTC,0.3458
2021-03-15,BTC,0.354
2021-03-16,BTC,0.3618
2021-03-17,BTC,0.3774
2021-03-18,BTC,0.3544
2021-03-19,BTC,0.3506
2021-03-20,BTC,0.361
2021-03-21,BTC,0.3563
2021-03-22,BTC,0.3423
2021-03-23,BTC,0.3409
2021-03-24,BTC,0.3417
2021-03-25,BTC,0.3585
2021-03-26,BTC,0.3488
2021-03-27,BTC,0.3448
2021-03-28,BTC,0.3485
2021-03-29,BTC,0.3431
2021-03-30,BTC,0.3468
2021-03-31,BTC,0.3523
2021-04-01,BTC,0.3637
2021-04-02,BTC,0.3521
2021-04-03,BTC,0.3648
2021-04-04,BTC,0.3649
2021-04-05,BTC,0.3614
2021-04-06,BTC,0.3667
2021-04-07,BTC,0.3749
2021-04-08,BTC,0.3781
2021-04-09,BTC,0.3686
2021-04-10,BTC,0.369
2021-04-11,BTC,0.3641
2021-04-12,BTC,0.3664
2021-04-13,BTC,0.3692
2021-04-14,BTC,0.3727
2021-04-15,BTC,0.3632
2021-04-16,BTC,0.3742
2021-04-17,BTC,0.3713
2021-04-18,BTC,0.371
2021-04-19,BTC,0.3763
2021-04-20,BTC,0.3673
2021-04-21,BTC,0.3723
2021-04-22,BTC,0.3696
2021-04-23,BTC,0.3567
2021-04-24,BTC,0.3584
2021-04-25,BTC,0.3691
2021-04-26,BTC,0.3707
2021-04-27,BTC,0.3744
2021-04-28,BTC,0.3639
2021-04-29,BTC,0.3619
2021-04-30,BTC,0.3675
2021-05-01,BTC,0.3734
2021-05-02,BTC,0.3661
2021-05-03,BTC,0.3827
2021-05-04,BTC,0.3861
2021-05-05,BTC,0.3508
2021-05-06,BTC,0.3578
2021-05-07,BTC,0.3609
2021-05-08,BTC,0.3635
2021-05-09,BTC,0.3597
2021-05-10,BTC,0.3679
2021-05-11,BTC,0.3862
2021-05-12,BTC,0.3863
2021-05-13,BTC,0.3928
2021-05-14,BTC,0.3929
2021-05-15,BTC,0.3834
2021-05-16,BTC,0.3758
2021-05-17,BTC,0.3615
2021-05-18,BTC,0.3602
2021-05-19,BTC,0.3665
2021-05-20,BTC,0.3609
2021-05-21,BTC,0.3691
2021-05-22,BTC,0.3722
2021-05-23,BTC,0.368
2021-05-24,BTC,0.3719
2021-05-25,BTC,0.3738
2021-05-26,BTC,0.3741
2021-05-27,BTC,0.3646
2021-05-28,BTC,0.3658
2021-05-29,BTC,0.3623
2021-05-30,BTC,0.3669
2021-05-31,BTC,0.3771
2021-06-01,BTC,0.3744
2021-06-02,BTC,0.3777
2021-06-03,BTC,0.368
2021-06-04,BTC,0.3551
2021-06-05,BTC,0.3651
2021-06-06,BTC,0.3675
2021-06-07,BTC,0.3509
2021-06-08,BTC,0.359
2021-06-09,BTC,0.3598
2021-06-10,BTC,0.3475
2021-06-11,BTC,0.351
2021-06-12,BTC,0.3644
2021-06-13,BTC,0.369
2021-06-14,BTC,0.36
2021-06-15,BTC,0.3648
2021-06-16,BTC,0.3616
2021-06-17,BTC,0.3571
2021-06-18,BTC,0.3455
2021-06-19,BTC,0.3485
2021-06-20,BTC,0.3552
2021-06-21,BTC,0.3579
2021-06-22,BTC,0.3534
2021-06-23,BTC,0.3602
2021-06-24,BTC,0.365
2021-06-25,BTC,0.3591
2021-06-26,BTC,0.3529
2021-06-27,BTC,0.3569
2021-06-28,BTC,0.3625
2021-06-29,BTC,0.355
2021-06-30,BTC,0.3634
2021-07-01,BTC,0.3501
2021-07-02,BTC,0.3547
2021-07-03,BTC,0.3545
2021-07-04,BTC,0.3375
2021-07-05,BTC,0.3524
2021-07-06,BTC,0.3588
2021-07-07,BTC,0.3591
2021-07-08,BTC,0.3573
2021-07-09,BTC,0.3449
2021-07-10,BTC,0.339
2021-07-11,BTC,0.3458
2021-07-12,BTC,0.3552
2021-07-13,BTC,0.3647
2021-07-14,BTC,0.3616
2021-07-15,BTC,0.3702
2021-07-16,BTC,0.359
2021-07-17,BTC,0.3493
2021-07-18,BTC,0.3563
2021-07-19,BTC,0.3576
2021-07-20,BTC,0.3736
2021-07-21,BTC,0.3626
2021-07-22,BTC,0.3639
2021-07-23,BTC,0.3641
2021-07-24,BTC,0.3634
