"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"1","Apple Inc.","AAPL","7.19%","172.88",-2.57,"(-1.46%)"
"2","Microsoft Corp","MSFT","6.86%","326.67",-4.65,"(-1.40%)"
"3","Amazon.com Inc","AMZN","3.25%","125.17",-3.23,"(-2.52%)"
"4","Nvidia Corp","NVDA","2.90%","413.87",-7.14,"(-1.70%)"
"5","Alphabet Inc. Class A","GOOGL","2.28%","135.60",-2.15,"(-1.56%)"
"6","Alphabet Inc. Class C","GOOG","1.96%","136.74",-2.21,"(-1.59%)"
"7","Meta Platforms, Inc. Class A","META","1.94%","308.65",-4.16,"(-1.33%)"
"8","Berkshire Hathaway Class B","BRK.B","1.72%","335.86",-2.8,"(-0.83%)"
"9","Tesla, Inc.","TSLA","1.69%","211.99",-8.12,"(-3.69%)"
"10","Unitedhealth Group Incorporated","UNH","1.37%","527.03",-4.6,"(-0.87%)"
"11","Eli Lilly & Co.","LLY","1.31%","584.64",-6.16,"(-1.04%)"
"12","Exxon Mobil Corporation","XOM","1.26%","111.08",-1.94,"(-1.72%)"
"13","Jpmorgan Chase & Co.","JPM","1.18%","142.95",-2.34,"(-1.61%)"
"14","Visa Inc.","V","1.05%","233.38",-0.43,"(-0.18%)"
"15","Johnson & Johnson","JNJ","1.02%","153.00",0.68,"(0.45%)"
"16","Broadcom Inc.","AVGO","1.00%","853.63",-14.2,"(-1.64%)"
"17","Procter & Gamble Company","PG","0.97%","148.05",-0.2,"(-0.13%)"
"18","Mastercard Incorporated","MA","0.90%","384.41",-3.46,"(-0.89%)"
"19","Chevron Corporation","CVX","0.84%","166.83",-2.27,"(-1.34%)"
"20","Home Depot, Inc.","HD","0.80%","286.41",-0.36,"(-0.13%)"
"21","Abbvie Inc.","ABBV","0.72%","146.23",0.71,"(0.49%)"
"22","Merck & Co., Inc.","MRK","0.71%","102.67",2.24,"(2.23%)"
"23","Adobe Inc.","ADBE","0.71%","540.96",-14.78,"(-2.66%)"
"24","Costco Wholesale Corp","COST","0.70%","552.93",-12.7,"(-2.25%)"
"25","Walmart Inc.","WMT","0.64%","158.76",-2.01,"(-1.25%)"
"26","Pepsico, Inc.","PEP","0.62%","160.00",-0.56,"(-0.35%)"
"27","Cisco Systems, Inc.","CSCO","0.61%","52.93",-0.39,"(-0.73%)"
"28","Coca-Cola Company","KO","0.59%","54.57",0.22,"(0.40%)"
"29","Salesforce, Inc.","CRM","0.57%","203.73",-4.59,"(-2.20%)"
"30","Accenture Plc","ACN","0.53%","297.00",-5.94,"(-1.96%)"
"31","Mcdonald's Corporation","MCD","0.52%","258.11",-0.27,"(-0.10%)"
"32","Bank of America Corporation","BAC","0.52%","26.31",-0.65,"(-2.41%)"
"33","Thermo Fisher Scientific, Inc.","TMO","0.51%","464.36",-5.31,"(-1.13%)"
"34","Linde Plc","LIN","0.50%","366.36",-3.78,"(-1.02%)"
"35","Netflix Inc","NFLX","0.50%","400.96",-0.81,"(-0.20%)"
"36","Comcast Corp","CMCSA","0.49%","42.86",-0.21,"(-0.49%)"
"37","Pfizer Inc.","PFE","0.49%","30.65",-0.54,"(-1.73%)"
"38","Oracle Corp","ORCL","0.48%","101.85",-6.49,"(-5.99%)"
"39","Abbott Laboratories","ABT","0.46%","96.78",1.34,"(1.40%)"
"40","Advanced Micro Devices","AMD","0.46%","101.81",-0.59,"(-0.58%)"
"41","The Walt Disney Company","DIS","0.42%","82.65",-0.6,"(-0.72%)"
"42","Conocophillips","COP","0.42%","124.06",-2.32,"(-1.84%)"
"43","Wells Fargo & Co.","WFC","0.42%","40.27",-0.91,"(-2.21%)"
"44","Amgen Inc","AMGN","0.42%","278.81",-1.79,"(-0.64%)"
"45","Intel Corp","INTC","0.42%","34.92",-0.75,"(-2.10%)"
"46","Intuit Inc","INTU","0.41%","506.81",-14.71,"(-2.82%)"
"47","Philip Morris International Inc.","PM","0.39%","92.56",1.83,"(2.02%)"
"48","Texas Instruments Incorporated","TXN","0.38%","147.81",-3.13,"(-2.07%)"
"49","Danaher Corporation","DHR","0.38%","205.83",-1.47,"(-0.71%)"
"50","Verizon Communications","VZ","0.37%","31.57",-0.01,"(-0.03%)"
"51","Caterpillar Inc.","CAT","0.36%","249.20",-3.69,"(-1.46%)"
"52","Union Pacific Corp.","UNP","0.36%","211.34",1.01,"(0.48%)"
"53","Nike, Inc.","NKE","0.35%","102.67",-0.38,"(-0.37%)"
"54","International Business Machines Corporation","IBM","0.35%","137.16",-0.85,"(-0.62%)"
"55","Qualcomm Inc","QCOM","0.35%","108.63",-2.65,"(-2.38%)"
"56","Honeywell International, Inc.","HON","0.34%","181.32",-0.95,"(-0.52%)"
"57","Bristol-Myers Squibb Co.","BMY","0.33%","56.46",-0.02,"(-0.04%)"
"58","General Electric Company","GE","0.32%","106.08",-0.87,"(-0.81%)"
"59","S&p Global Inc.","SPGI","0.32%","350.03",-7.53,"(-2.11%)"
"60","Servicenow, Inc.","NOW","0.32%","542.51",-17.47,"(-3.12%)"
"61","Applied Materials Inc","AMAT","0.31%","134.12",-0.31,"(-0.23%)"
"62","Lowe's Companies Inc.","LOW","0.31%","190.50",0.04,"(0.02%)"
"63","United Parcel Service, Inc. Class B","UPS","0.31%","151.96",-0.1,"(-0.07%)"
"64","Elevance Health, Inc.","ELV","0.30%","453.78",-9.5,"(-2.05%)"
"65","At&t Inc.","T","0.30%","15.38",0.12,"(0.79%)"
"66","Starbucks Corp","SBUX","0.30%","94.19",-0.23,"(-0.24%)"
"67","Rtx Corporation","RTX","0.30%","72.55",-1.34,"(-1.81%)"
"68","Nextra Energy, Inc.","NEE","0.30%","51.96",-0.43,"(-0.82%)"
"69","Deere & Company","DE","0.29%","375.15",-6.22,"(-1.63%)"
"70","Boeing Company","BA","0.29%","180.04",-2.75,"(-1.50%)"
"71","Tjx Companies, Inc.","TJX","0.29%","89.10",-0.73,"(-0.81%)"
"72","Automatic Data Processing","ADP","0.28%","241.68",-4.32,"(-1.76%)"
"73","Lockheed Martin Corp.","LMT","0.28%","444.17",-5.01,"(-1.12%)"
"74","Booking Holdings Inc.","BKNG","0.28%","2,756.64",-28.56,"(-1.03%)"
"75","Goldman Sachs Group Inc.","GS","0.27%","300.05",0.86,"(0.29%)"
"76","Gilead Sciences Inc","GILD","0.27%","77.80",-0.64,"(-0.82%)"
"77","Medtronic Plc","MDT","0.27%","72.70",0.35,"(0.48%)"
"78","Intuitive Surgical Inc.","ISRG","0.27%","266.91",-6.54,"(-2.39%)"
"79","Prologis, Inc.","PLD","0.26%","102.43",-0.15,"(-0.15%)"
"80","Marsh & Mclennan Companies, Inc.","MMC","0.26%","187.67",-3.33,"(-1.74%)"
"81","Vertex Pharmaceuticals Inc","VRTX","0.26%","361.86",-2.94,"(-0.81%)"
"82","Morgan Stanley","MS","0.26%","73.13",0.21,"(0.29%)"
"83","Progressive Corporation","PGR","0.26%","154.84",-2.96,"(-1.88%)"
"84","The Cigna Group","CI","0.26%","306.78",-3.39,"(-1.09%)"
"85","Stryker Corporation","SYK","0.25%","265.69",-2.73,"(-1.02%)"
"86","Cvs Health Corporation","CVS","0.25%","69.05",-1.56,"(-2.21%)"
"87","Blackrock, Inc.","BLK","0.24%","614.83",-7.68,"(-1.23%)"
"88","Mondelez International, Inc. Class A","MDLZ","0.24%","64.10",-0.1,"(-0.16%)"
"89","American Express Company","AXP","0.24%","141.57",-8.05,"(-5.38%)"
