"","date","AAL"
"1",2020-08-14,0.3654
"2",2020-08-17,0.3686
"3",2020-08-18,0.3599
"4",2020-08-19,0.3544
"5",2020-08-20,0.3514
"6",2020-08-21,0.3416
"7",2020-08-24,0.3316
"8",2020-08-25,0.3305
"9",2020-08-26,0.3422
"10",2020-08-27,0.2905
"11",2020-08-28,0.2943
"12",2020-08-31,0.3137
"13",2020-09-01,0.3393
"14",2020-09-02,0.3715
"15",2020-09-03,0.3815
"16",2020-09-04,0.3734
"17",2020-09-08,0.3734
"18",2020-09-09,0.3614
"19",2020-09-10,0.3506
"20",2020-09-11,0.3357
"21",2020-09-14,0.3515
"22",2020-09-15,0.3292
"23",2020-09-16,0.3392
"24",2020-09-17,0.3265
"25",2020-09-18,0.3229
"26",2020-09-21,0.3193
"27",2020-09-22,0.3272
"28",2020-09-23,0.3238
"29",2020-09-24,0.3269
"30",2020-09-25,0.298
"31",2020-09-28,0.3297
"32",2020-09-29,0.3314
"33",2020-09-30,0.3555
"34",2020-10-01,0.3345
"35",2020-10-02,0.3284
"36",2020-10-05,0.3422
"37",2020-10-06,0.345
"38",2020-10-07,0.3365
"39",2020-10-08,0.3143
"40",2020-10-09,0.2941
"41",2020-10-12,0.3286
"42",2020-10-13,0.3282
"43",2020-10-14,0.3264
"44",2020-10-15,0.3251
"45",2020-10-16,0.3258
"46",2020-10-19,0.3058
"47",2020-10-20,0.3116
"48",2020-10-21,0.2977
"49",2020-10-22,0.2974
"50",2020-10-23,0.2705
"51",2020-10-26,0.292
"52",2020-10-27,0.2922
"53",2020-10-28,0.3159
"54",2020-10-29,0.2975
"55",2020-10-30,0.2708
"56",2020-11-02,0.26
"57",2020-11-03,0.2788
"58",2020-11-04,0.2686
"59",2020-11-05,0.2525
"60",2020-11-06,0.2166
"61",2020-11-09,0.2443
"62",2020-11-10,0.2325
"63",2020-11-11,0.232
"64",2020-11-12,0.2499
"65",2020-11-13,0.2494
"66",2020-11-16,0.2562
"67",2020-11-17,0.246
"68",2020-11-18,0.2341
"69",2020-11-19,0.2852
"70",2020-11-20,0.2557
"71",2020-11-23,0.2681
"72",2020-11-24,0.251
"73",2020-11-25,0.274
"74",2020-11-27,0.2857
"75",2020-11-30,0.2705
"76",2020-12-01,0.2569
"77",2020-12-02,0.2583
"78",2020-12-03,0.2482
"79",2020-12-04,0.2488
"80",2020-12-07,0.2337
"81",2020-12-08,0.2721
"82",2020-12-09,0.2647
"83",2020-12-10,0.2693
"84",2020-12-11,0.266
"85",2020-12-14,0.2836
"86",2020-12-15,0.2993
"87",2020-12-16,0.2825
"88",2020-12-17,0.2874
"89",2020-12-18,0.2788
"90",2020-12-21,0.2439
