"","date","AIZ"
"1",2022-01-19,0.315
"2",2022-01-20,0.2944
"3",2022-01-21,0.2975
"4",2022-01-24,0.2798
"5",2022-01-25,0.2775
"6",2022-01-26,0.2808
"7",2022-01-27,0.2809
"8",2022-01-28,0.2904
"9",2022-01-31,0.2842
"10",2022-02-01,0.2947
"11",2022-02-02,0.2947
"12",2022-02-03,0.2732
"13",2022-02-04,0.2792
"14",2022-02-07,0.2602
"15",2022-02-08,0.2647
"16",2022-02-09,0.2538
"17",2022-02-10,0.251
"18",2022-02-11,0.2486
"19",2022-02-14,0.2479
"20",2022-02-15,0.2457
"21",2022-02-16,0.2642
"22",2022-02-17,0.2702
"23",2022-02-18,0.2638
"24",2022-02-22,0.2634
"25",2022-02-23,0.2732
"26",2022-02-24,0.2719
"27",2022-02-25,0.2814
"28",2022-02-28,0.2777
"29",2022-03-01,0.2686
"30",2022-03-02,0.2734
"31",2022-03-03,0.2798
"32",2022-03-04,0.2745
"33",2022-03-07,0.2688
"34",2022-03-08,0.2508
"35",2022-03-09,0.2562
"36",2022-03-10,0.2606
"37",2022-03-11,0.27
"38",2022-03-14,0.2729
"39",2022-03-15,0.282
"40",2022-03-16,0.294
"41",2022-03-17,0.3043
"42",2022-03-18,0.2906
"43",2022-03-21,0.2711
"44",2022-03-22,0.2487
"45",2022-03-23,0.243
"46",2022-03-24,0.2465
"47",2022-03-25,0.2528
"48",2022-03-28,0.2585
"49",2022-03-29,0.2527
"50",2022-03-30,0.2555
"51",2022-03-31,0.2718
"52",2022-04-01,0.2702
"53",2022-04-04,0.2716
"54",2022-04-05,0.2596
"55",2022-04-06,0.2718
"56",2022-04-07,0.2598
"57",2022-04-08,0.2643
"58",2022-04-11,0.2693
"59",2022-04-12,0.2542
"60",2022-04-13,0.2621
"61",2022-04-14,0.274
"62",2022-04-18,0.262
"63",2022-04-19,0.2757
"64",2022-04-20,0.2677
"65",2022-04-21,0.2694
"66",2022-04-22,0.2855
"67",2022-04-25,0.2888
"68",2022-04-26,0.3046
"69",2022-04-27,0.3079
"70",2022-04-28,0.3193
"71",2022-04-29,0.3248
"72",2022-05-02,0.3076
"73",2022-05-03,0.3132
"74",2022-05-04,0.2999
"75",2022-05-05,0.3188
"76",2022-05-06,0.3201
"77",2022-05-09,0.3265
"78",2022-05-10,0.3208
"79",2022-05-11,0.3274
"80",2022-05-12,0.3422
"81",2022-05-13,0.3589
"82",2022-05-16,0.3591
"83",2022-05-17,0.3583
"84",2022-05-18,0.3409
"85",2022-05-19,0.3443
"86",2022-05-20,0.3394
"87",2022-05-23,0.3417
"88",2022-05-24,0.3448
"89",2022-05-25,0.3187
"90",2022-05-26,0.3301
"91",2022-05-27,0.3364
"92",2022-05-31,0.3412
"93",2022-06-01,0.3493
"94",2022-06-02,0.3447
"95",2022-06-03,0.3555
"96",2022-06-06,0.3591
"97",2022-06-07,0.3627
"98",2022-06-08,0.3466
"99",2022-06-09,0.3424
"100",2022-06-10,0.32
"101",2022-06-13,0.3148
"102",2022-06-14,0.2954
"103",2022-06-15,0.3014
"104",2022-06-16,0.2906
"105",2022-06-17,0.3055
