"","date","ALK"
"1",2020-08-14,0.1256
"2",2020-08-17,0.1171
"3",2020-08-18,0.121
"4",2020-08-19,0.1218
"5",2020-08-20,0.1272
"6",2020-08-21,0.12
"7",2020-08-24,0.1226
"8",2020-08-25,0.1403
"9",2020-08-26,0.1454
"10",2020-08-27,0.1478
"11",2020-08-28,0.1616
"12",2020-08-31,0.1439
"13",2020-09-01,0.1388
"14",2020-09-02,0.121
"15",2020-09-03,0.1233
"16",2020-09-04,0.1232
"17",2020-09-08,0.1206
"18",2020-09-09,0.1239
"19",2020-09-10,0.1133
"20",2020-09-11,0.1143
"21",2020-09-14,0.1184
"22",2020-09-15,0.1268
"23",2020-09-16,0.1482
"24",2020-09-17,0.1495
"25",2020-09-18,0.147
"26",2020-09-21,0.1432
"27",2020-09-22,0.1322
"28",2020-09-23,0.128
"29",2020-09-24,0.1312
"30",2020-09-25,0.1339
"31",2020-09-28,0.1383
"32",2020-09-29,0.1312
"33",2020-09-30,0.1545
"34",2020-10-01,0.1297
"35",2020-10-02,0.1119
"36",2020-10-05,0.1051
"37",2020-10-06,0.1176
"38",2020-10-07,0.1136
"39",2020-10-08,0.1282
"40",2020-10-09,0.1453
"41",2020-10-12,0.2035
"42",2020-10-13,0.2138
"43",2020-10-14,0.2076
"44",2020-10-15,0.1771
"45",2020-10-16,0.1588
"46",2020-10-19,0.1447
"47",2020-10-20,0.1494
"48",2020-10-21,0.1492
"49",2020-10-22,0.1709
"50",2020-10-23,0.1626
"51",2020-10-26,0.1684
"52",2020-10-27,0.1789
"53",2020-10-28,0.2171
"54",2020-10-29,0.2059
"55",2020-10-30,0.2158
"56",2020-11-02,0.1937
"57",2020-11-03,0.1834
"58",2020-11-04,0.1623
"59",2020-11-05,0.1558
"60",2020-11-06,0.1298
"61",2020-11-09,0.1508
"62",2020-11-10,0.1222
"63",2020-11-11,0.1342
"64",2020-11-12,0.1386
"65",2020-11-13,0.143
"66",2020-11-16,0.1675
"67",2020-11-17,0.1691
"68",2020-11-18,0.1905
"69",2020-11-19,0.2013
"70",2020-11-20,0.1767
"71",2020-11-23,0.191
"72",2020-11-24,0.1564
"73",2020-11-25,0.1896
"74",2020-11-27,0.1978
"75",2020-11-30,0.2092
"76",2020-12-01,0.2151
"77",2020-12-02,0.2263
"78",2020-12-03,0.1987
"79",2020-12-04,0.2063
"80",2020-12-07,0.2
"81",2020-12-08,0.246
"82",2020-12-09,0.2403
"83",2020-12-10,0.235
"84",2020-12-11,0.2204
"85",2020-12-14,0.2471
"86",2020-12-15,0.2412
"87",2020-12-16,0.2092
"88",2020-12-17,0.2189
"89",2020-12-18,0.2072
"90",2020-12-21,0.1801
"91",2020-12-22,0.1883
"92",2020-12-23,0.1929
"93",2020-12-24,0.2176
"94",2020-12-28,0.1937
"95",2020-12-29,0.1971
"96",2020-12-30,0.2086
"97",2020-12-31,0.2124
"98",2021-01-04,0.2064
