"","date","ALLE"
"1",2022-01-19,0.2376
"2",2022-01-20,0.23
"3",2022-01-21,0.2442
"4",2022-01-24,0.2321
"5",2022-01-25,0.2256
"6",2022-01-26,0.2112
"7",2022-01-27,0.2231
"8",2022-01-28,0.2233
"9",2022-01-31,0.2315
"10",2022-02-01,0.244
"11",2022-02-02,0.2365
"12",2022-02-03,0.2356
"13",2022-02-04,0.2503
"14",2022-02-07,0.2319
"15",2022-02-08,0.2308
"16",2022-02-09,0.2133
"17",2022-02-10,0.2085
"18",2022-02-11,0.2104
"19",2022-02-14,0.217
"20",2022-02-15,0.2095
"21",2022-02-16,0.2124
"22",2022-02-17,0.2077
"23",2022-02-18,0.2282
"24",2022-02-22,0.2235
"25",2022-02-23,0.2305
"26",2022-02-24,0.2187
"27",2022-02-25,0.2189
"28",2022-02-28,0.2114
"29",2022-03-01,0.212
"30",2022-03-02,0.2082
"31",2022-03-03,0.2138
"32",2022-03-04,0.2132
"33",2022-03-07,0.2188
"34",2022-03-08,0.2067
"35",2022-03-09,0.207
"36",2022-03-10,0.1925
"37",2022-03-11,0.193
"38",2022-03-14,0.1945
"39",2022-03-15,0.2027
"40",2022-03-16,0.2006
"41",2022-03-17,0.1966
"42",2022-03-18,0.205
"43",2022-03-21,0.2267
"44",2022-03-22,0.2073
"45",2022-03-23,0.2078
"46",2022-03-24,0.1941
"47",2022-03-25,0.192
"48",2022-03-28,0.1839
"49",2022-03-29,0.1896
"50",2022-03-30,0.1893
"51",2022-03-31,0.1924
"52",2022-04-01,0.1838
"53",2022-04-04,0.1995
"54",2022-04-05,0.1953
"55",2022-04-06,0.2063
"56",2022-04-07,0.1926
"57",2022-04-08,0.1964
"58",2022-04-11,0.1948
"59",2022-04-12,0.1979
"60",2022-04-13,0.2018
"61",2022-04-14,0.2011
"62",2022-04-18,0.199
"63",2022-04-19,0.2097
"64",2022-04-20,0.201
"65",2022-04-21,0.2045
"66",2022-04-22,0.194
"67",2022-04-25,0.2019
"68",2022-04-26,0.2012
"69",2022-04-27,0.1984
"70",2022-04-28,0.2063
"71",2022-04-29,0.2097
"72",2022-05-02,0.211
"73",2022-05-03,0.2352
"74",2022-05-04,0.2268
"75",2022-05-05,0.236
"76",2022-05-06,0.222
"77",2022-05-09,0.2197
"78",2022-05-10,0.2198
"79",2022-05-11,0.2312
"80",2022-05-12,0.2224
"81",2022-05-13,0.2251
"82",2022-05-16,0.2206
"83",2022-05-17,0.243
"84",2022-05-18,0.2438
"85",2022-05-19,0.2425
"86",2022-05-20,0.2316
"87",2022-05-23,0.2359
"88",2022-05-24,0.2238
"89",2022-05-25,0.2186
"90",2022-05-26,0.2206
"91",2022-05-27,0.2151
"92",2022-05-31,0.2068
"93",2022-06-01,0.2207
"94",2022-06-02,0.2127
"95",2022-06-03,0.2147
"96",2022-06-06,0.1946
"97",2022-06-07,0.1946
"98",2022-06-08,0.1919
"99",2022-06-09,0.1898
"100",2022-06-10,0.1793
"101",2022-06-13,0.1703
"102",2022-06-14,0.1595
"103",2022-06-15,0.1795
"104",2022-06-16,0.1627
"105",2022-06-17,0.1627
"106",2022-06-21,0.1523
"107",2022-06-22,0.1512
"108",2022-06-23,0.1525
"109",2022-06-24,0.1598
"110",2022-06-27,0.1525
"111",2022-06-28,0.1474
"112",2022-06-29,0.1452
"113",2022-06-30,0.1494
"114",2022-07-01,0.1416
"115",2022-07-05,0.1502
"116",2022-07-06,0.1349
"117",2022-07-07,0.1356
"118",2022-07-08,0.1274
"119",2022-07-11,0.14
"120",2022-07-12,0.1479
"121",2022-07-13,0.1382
"122",2022-07-14,0.1409
"123",2022-07-15,0.1528
"124",2022-07-18,0.1293
"125",2022-07-19,0.1241
"126",2022-07-20,0.1197
"127",2022-07-21,0.1291
"128",2022-07-22,0.1213
"129",2022-07-25,0.1274
"130",2022-07-26,0.1257
"131",2022-07-27,0.128
"132",2022-07-28,0.1147
"133",2022-07-29,0.1321
"134",2022-08-01,0.1266
"135",2022-08-02,0.1278
"136",2022-08-03,0.1162
"137",2022-08-04,0.115
"138",2022-08-05,0.1154
"139",2022-08-08,0.1277
"140",2022-08-09,0.1203
"141",2022-08-10,0.1133
"142",2022-08-11,0.1141
"143",2022-08-12,0.1267
"144",2022-08-15,0.1217
"145",2022-08-16,0.1309
"146",2022-08-17,0.1205
"147",2022-08-18,0.123
"148",2022-08-19,0.1182
"149",2022-08-22,0.122
"150",2022-08-23,0.1325
"151",2022-08-24,0.1435
"152",2022-08-25,0.1436
"153",2022-08-26,0.172
"154",2022-08-29,0.1577
"155",2022-08-30,0.1621
"156",2022-08-31,0.1591
"157",2022-09-01,0.1785
"158",2022-09-02,0.1814
"159",2022-09-06,0.1883
"160",2022-09-07,0.1846
"161",2022-09-08,0.1803
"162",2022-09-09,0.1746
"163",2022-09-12,0.1998
"164",2022-09-13,0.1932
"165",2022-09-14,0.1945
"166",2022-09-15,0.1846
"167",2022-09-16,0.1876
"168",2022-09-19,0.1813
"169",2022-09-20,0.1807
"170",2022-09-21,0.18
"171",2022-09-22,0.1794
"172",2022-09-23,0.1772
"173",2022-09-26,0.183
"174",2022-09-27,0.176
"175",2022-09-28,0.1876
"176",2022-09-29,0.1591
"177",2022-09-30,0.1633
"178",2022-10-03,0.1616
"179",2022-10-04,0.1708
"180",2022-10-05,0.1701
"181",2022-10-06,0.1643
"182",2022-10-07,0.1537
"183",2022-10-10,0.1697
"184",2022-10-11,0.1534
"185",2022-10-12,0.1643
"186",2022-10-13,0.1582
"187",2022-10-14,0.1589
"188",2022-10-17,0.1444
"189",2022-10-18,0.1415
"190",2022-10-19,0.1366
"191",2022-10-20,0.1397
"192",2022-10-21,0.1375
"193",2022-10-24,0.1416
"194",2022-10-25,0.14
"195",2022-10-26,0.132
"196",2022-10-27,0.1192
"197",2022-10-28,0.1189
"198",2022-10-31,0.1104
"199",2022-11-01,0.1174
"200",2022-11-02,0.1098
"201",2022-11-03,0.1021
"202",2022-11-04,0.1001
"203",2022-11-07,0.1251
"204",2022-11-08,0.1096
"205",2022-11-09,0.1094
"206",2022-11-10,0.101
"207",2022-11-11,0.1129
"208",2022-11-14,0.1115
"209",2022-11-15,0.107
"210",2022-11-16,0.1018
"211",2022-11-17,0.1044
"212",2022-11-18,0.0824
"213",2022-11-21,0.101
"214",2022-11-22,0.0827
"215",2022-11-23,0.0847
"216",2022-11-25,0.075
"217",2022-11-28,0.0798
"218",2022-11-29,0.0838
"219",2022-11-30,0.0923
"220",2022-12-01,0.0915
"221",2022-12-02,0.0885
"222",2022-12-05,0.0822
"223",2022-12-06,0.097
"224",2022-12-07,0.086
"225",2022-12-08,0.086
"226",2022-12-09,0.0777
"227",2022-12-12,0.0814
"228",2022-12-13,0.0827
"229",2022-12-14,0.0965
"230",2022-12-15,0.1091
"231",2022-12-16,0.1138
"232",2022-12-19,0.1206
"233",2022-12-20,0.1528
"234",2022-12-21,0.1568
"235",2022-12-22,0.1811
"236",2022-12-23,0.1814
"237",2022-12-27,0.1979
"238",2022-12-28,0.2105
"239",2022-12-29,0.231
"240",2022-12-30,0.2493
"241",2023-01-03,0.2643
"242",2023-01-04,0.2694
"243",2023-01-05,0.3016
"244",2023-01-06,0.2945
"245",2023-01-09,0.3064
"246",2023-01-10,0.3188
"247",2023-01-11,0.3464
"248",2023-01-12,0.3523
"249",2023-01-13,0.3581
"250",2023-01-17,0.3638
"251",2023-01-18,0.3542
"252",2023-01-19,0.3396
"253",2023-01-20,0.3406
"254",2023-01-23,0.3003
"255",2023-01-24,0.3009
"256",2023-01-25,0.2646
"257",2023-01-26,0.2549
"258",2023-01-27,0.243
"259",2023-01-30,0.2565
"260",2023-01-31,0.2415
"261",2023-02-01,0.2437
"262",2023-02-02,0.2463
"263",2023-02-03,0.2538
"264",2023-02-06,0.2285
"265",2023-02-07,0.2171
"266",2023-02-08,0.214
"267",2023-02-09,0.2062
"268",2023-02-10,0.2088
"269",2023-02-13,0.2013
"270",2023-02-14,0.2038
"271",2023-02-15,0.2063
"272",2023-02-16,0.2015
"273",2023-02-17,0.2197
"274",2023-02-21,0.2044
"275",2023-02-22,0.1983
"276",2023-02-23,0.1994
"277",2023-02-24,0.1976
"278",2023-02-27,0.1956
"279",2023-02-28,0.2026
"280",2023-03-01,0.2066
"281",2023-03-02,0.1987
"282",2023-03-03,0.1976
"283",2023-03-06,0.2178
"284",2023-03-07,0.205
"285",2023-03-08,0.2091
"286",2023-03-09,0.2025
"287",2023-03-10,0.2037
"288",2023-03-13,0.2018
"289",2023-03-14,0.1997
"290",2023-03-15,0.1986
"291",2023-03-16,0.1979
"292",2023-03-17,0.1889
"293",2023-03-20,0.1978
"294",2023-03-21,0.1886
"295",2023-03-22,0.1975
"296",2023-03-23,0.1972
"297",2023-03-24,0.2001
"298",2023-03-27,0.2048
