"","date","AOS"
"1",2020-08-14,0.3105
"2",2020-08-17,0.3007
"3",2020-08-18,0.3002
"4",2020-08-19,0.2777
"5",2020-08-20,0.277
"6",2020-08-21,0.2478
"7",2020-08-24,0.2946
"8",2020-08-25,0.2943
"9",2020-08-26,0.3192
"10",2020-08-27,0.3208
"11",2020-08-28,0.3261
"12",2020-08-31,0.359
"13",2020-09-01,0.3651
"14",2020-09-02,0.3386
"15",2020-09-03,0.3525
"16",2020-09-04,0.3135
"17",2020-09-08,0.2952
"18",2020-09-09,0.309
"19",2020-09-10,0.3553
"20",2020-09-11,0.3377
"21",2020-09-14,0.3193
"22",2020-09-15,0.3035
"23",2020-09-16,0.3234
"24",2020-09-17,0.3229
"25",2020-09-18,0.3257
"26",2020-09-21,0.3292
"27",2020-09-22,0.3498
"28",2020-09-23,0.3404
"29",2020-09-24,0.3733
"30",2020-09-25,0.3554
"31",2020-09-28,0.3768
"32",2020-09-29,0.3758
"33",2020-09-30,0.3904
"34",2020-10-01,0.4155
"35",2020-10-02,0.4434
"36",2020-10-05,0.4034
"37",2020-10-06,0.4148
"38",2020-10-07,0.4116
"39",2020-10-08,0.4255
"40",2020-10-09,0.4486
"41",2020-10-12,0.4339
"42",2020-10-13,0.4068
"43",2020-10-14,0.3854
"44",2020-10-15,0.3674
"45",2020-10-16,0.3607
"46",2020-10-19,0.3398
"47",2020-10-20,0.3409
"48",2020-10-21,0.3366
"49",2020-10-22,0.3556
"50",2020-10-23,0.3686
"51",2020-10-26,0.3841
"52",2020-10-27,0.3548
"53",2020-10-28,0.3409
"54",2020-10-29,0.3168
"55",2020-10-30,0.3307
"56",2020-11-02,0.2976
"57",2020-11-03,0.3243
"58",2020-11-04,0.297
"59",2020-11-05,0.2914
"60",2020-11-06,0.3244
"61",2020-11-09,0.3521
"62",2020-11-10,0.3388
"63",2020-11-11,0.3363
"64",2020-11-12,0.3294
"65",2020-11-13,0.3283
"66",2020-11-16,0.2952
"67",2020-11-17,0.3133
"68",2020-11-18,0.3076
"69",2020-11-19,0.3045
"70",2020-11-20,0.2872
"71",2020-11-23,0.2923
"72",2020-11-24,0.2831
"73",2020-11-25,0.2886
"74",2020-11-27,0.2897
"75",2020-11-30,0.3143
"76",2020-12-01,0.2975
"77",2020-12-02,0.2825
"78",2020-12-03,0.273
"79",2020-12-04,0.3173
"80",2020-12-07,0.2957
"81",2020-12-08,0.2961
"82",2020-12-09,0.2934
"83",2020-12-10,0.3031
"84",2020-12-11,0.3263
"85",2020-12-14,0.3437
"86",2020-12-15,0.3111
"87",2020-12-16,0.3252
"88",2020-12-17,0.3048
"89",2020-12-18,0.3274
