"","date","BBWI"
"1",2020-08-14,0.2047
"2",2020-08-17,0.2084
"3",2020-08-18,0.239
"4",2020-08-19,0.223
"5",2020-08-20,0.231
"6",2020-08-21,0.248
"7",2020-08-24,0.2313
"8",2020-08-25,0.2796
"9",2020-08-26,0.321
"10",2020-08-27,0.3203
"11",2020-08-28,0.328
"12",2020-08-31,0.29
"13",2020-09-01,0.2618
"14",2020-09-02,0.2116
"15",2020-09-03,0.2308
"16",2020-09-04,0.2426
"17",2020-09-08,0.2426
"18",2020-09-09,0.2189
"19",2020-09-10,0.2114
"20",2020-09-11,0.1744
"21",2020-09-14,0.2161
"22",2020-09-15,0.2443
"23",2020-09-16,0.228
"24",2020-09-17,0.2221
"25",2020-09-18,0.2249
"26",2020-09-21,0.2127
"27",2020-09-22,0.2171
"28",2020-09-23,0.2202
"29",2020-09-24,0.2017
"30",2020-09-25,0.199
"31",2020-09-28,0.2232
"32",2020-09-29,0.223
"33",2020-09-30,0.2207
"34",2020-10-01,0.1918
"35",2020-10-02,0.2024
"36",2020-10-05,0.2006
"37",2020-10-06,0.2069
"38",2020-10-07,0.2124
"39",2020-10-08,0.2251
"40",2020-10-09,0.2402
"41",2020-10-12,0.285
"42",2020-10-13,0.2905
"43",2020-10-14,0.2634
"44",2020-10-15,0.2071
"45",2020-10-16,0.2024
"46",2020-10-19,0.2232
"47",2020-10-20,0.2406
"48",2020-10-21,0.2459
"49",2020-10-22,0.2335
"50",2020-10-23,0.2074
"51",2020-10-26,0.2315
"52",2020-10-27,0.259
"53",2020-10-28,0.2788
"54",2020-10-29,0.2673
"55",2020-10-30,0.2583
"56",2020-11-02,0.2324
"57",2020-11-03,0.2458
"58",2020-11-04,0.2538
"59",2020-11-05,0.2457
"60",2020-11-06,0.2371
"61",2020-11-09,0.2543
"62",2020-11-10,0.2266
"63",2020-11-11,0.2361
"64",2020-11-12,0.2123
"65",2020-11-13,0.2052
"66",2020-11-16,0.2291
"67",2020-11-17,0.2268
"68",2020-11-18,0.2309
"69",2020-11-19,0.2318
"70",2020-11-20,0.222
"71",2020-11-23,0.2296
"72",2020-11-24,0.2149
"73",2020-11-25,0.2173
"74",2020-11-27,0.215
"75",2020-11-30,0.2453
"76",2020-12-01,0.2543
"77",2020-12-02,0.2452
"78",2020-12-03,0.2201
"79",2020-12-04,0.2213
"80",2020-12-07,0.224
"81",2020-12-08,0.2681
"82",2020-12-09,0.289
"83",2020-12-10,0.2805
"84",2020-12-11,0.2298
"85",2020-12-14,0.2373
"86",2020-12-15,0.2367
"87",2020-12-16,0.2535
"88",2020-12-17,0.2565
"89",2020-12-18,0.2227
"90",2020-12-21,0.208
"91",2020-12-22,0.2193
"92",2020-12-23,0.2231
"93",2020-12-24,0.2414
"94",2020-12-28,0.2356
"95",2020-12-29,0.2398
"96",2020-12-30,0.2638
"97",2020-12-31,0.2598
"98",2021-01-04,0.2267
"99",2021-01-05,0.2027
"100",2021-01-06,0.161
"101",2021-01-07,0.178
"102",2021-01-08,0.1824
"103",2021-01-11,0.1811
"104",2021-01-12,0.148
"105",2021-01-13,0.1636
"106",2021-01-14,0.1676
"107",2021-01-15,0.1716
"108",2021-01-19,0.1689
"109",2021-01-20,0.1727
"110",2021-01-21,0.1142
"111",2021-01-22,0.124
"112",2021-01-25,0.1439
"113",2021-01-26,0.1512
"114",2021-01-27,0.1249
"115",2021-01-28,0.119
"116",2021-01-29,0.1134
"117",2021-02-01,0.1191
"118",2021-02-02,0.1484
"119",2021-02-03,0.1513
"120",2021-02-04,0.1397
"121",2021-02-05,0.1457
"122",2021-02-08,0.1319
"123",2021-02-09,0.1374
"124",2021-02-10,0.12
"125",2021-02-11,0.1124
"126",2021-02-12,0.1107
"127",2021-02-16,0.1158
"128",2021-02-17,0.1103
"129",2021-02-18,0.1331
"130",2021-02-19,0.1415
"131",2021-02-22,0.1591
"132",2021-02-23,0.1493
"133",2021-02-24,0.1259
"134",2021-02-25,0.0896999999999999
"135",2021-02-26,0.0999
"136",2021-03-01,0.1142
"137",2021-03-02,0.1169
"138",2021-03-03,0.1193
"139",2021-03-04,0.1033
"140",2021-03-05,0.0927
"141",2021-03-08,0.1144
"142",2021-03-09,0.1236
"143",2021-03-10,0.1264
"144",2021-03-11,0.1066
"145",2021-03-12,0.1103
"146",2021-03-15,0.1003
"147",2021-03-16,0.1009
"148",2021-03-17,0.0957
"149",2021-03-18,0.0826
"150",2021-03-19,0.0790999999999999
"151",2021-03-22,0.1151
"152",2021-03-23,0.1272
"153",2021-03-24,0.1361
"154",2021-03-25,0.1175
"155",2021-03-26,0.1059
"156",2021-03-29,0.1024
"157",2021-03-30,0.1123
"158",2021-03-31,0.118
"159",2021-04-01,0.1429
"160",2021-04-05,0.1209
"161",2021-04-06,0.132
"162",2021-04-07,0.1547
"163",2021-04-08,0.1748
"164",2021-04-09,0.1759
"165",2021-04-12,0.1926
"166",2021-04-13,0.2063
"167",2021-04-14,0.2276
"168",2021-04-15,0.2469
"169",2021-04-16,0.2388
"170",2021-04-19,0.1952
"171",2021-04-20,0.2322
"172",2021-04-21,0.2373
"173",2021-04-22,0.2585
"174",2021-04-23,0.2154
"175",2021-04-26,0.2184
"176",2021-04-27,0.1878
"177",2021-04-28,0.2018
"178",2021-04-29,0.2347
"179",2021-04-30,0.2306
"180",2021-05-03,0.1848
"181",2021-05-04,0.2086
"182",2021-05-05,0.1889
"183",2021-05-06,0.2141
"184",2021-05-07,0.2029
"185",2021-05-10,0.2062
"186",2021-05-11,0.2233
"187",2021-05-12,0.1974
"188",2021-05-13,0.172
"189",2021-05-14,0.1686
"190",2021-05-17,0.1475
"191",2021-05-18,0.1687
"192",2021-05-19,0.173
"193",2021-05-20,0.1656
"194",2021-05-21,0.1276
"195",2021-05-24,0.1374
"196",2021-05-25,0.1519
"197",2021-05-26,0.1552
"198",2021-05-27,0.1508
"199",2021-05-28,0.1278
"200",2021-06-01,0.1148
"201",2021-06-02,0.144
"202",2021-06-03,0.1536
"203",2021-06-04,0.1601
"204",2021-06-07,0.1396
"205",2021-06-08,0.1338
"206",2021-06-09,0.1407
"207",2021-06-10,0.1642
"208",2021-06-11,0.1727
"209",2021-06-14,0.1635
"210",2021-06-15,0.145
"211",2021-06-16,0.172
"212",2021-06-17,0.1739
"213",2021-06-18,0.1841
"214",2021-06-21,0.1662
"215",2021-06-22,0.1559
"216",2021-06-23,0.1554
"217",2021-06-24,0.1791
"218",2021-06-25,0.1782
"219",2021-06-28,0.208
"220",2021-06-29,0.1576
"221",2021-06-30,0.1585
"222",2021-07-01,0.172
"223",2021-07-02,0.1758
"224",2021-07-06,0.1349
"225",2021-07-07,0.1317
"226",2021-07-08,0.1227
"227",2021-07-09,0.1128
"228",2021-07-12,0.1182
"229",2021-07-13,0.1099
"230",2021-07-14,0.0913
"231",2021-07-15,0.1012
"232",2021-07-16,0.0883
"233",2021-07-19,0.0869
"234",2021-07-20,0.0709000000000001
"235",2021-07-21,0.0767
"236",2021-07-22,0.0716
"237",2021-07-23,0.0739
"238",2021-07-26,0.0753
"239",2021-07-27,0.0795
"240",2021-07-28,0.0747
"241",2021-07-29,0.0875
"242",2021-07-30,0.0904
"243",2021-08-02,0.1002
"244",2021-08-03,0.0989
"245",2021-08-04,0.1088
"246",2021-08-05,0.1273
"247",2021-08-06,0.1687
"248",2021-08-09,0.2284
"249",2021-08-10,0.2834
"250",2021-08-11,0.2992
"251",2021-08-12,0.3381
"252",2021-08-13,0.3421
"253",2021-08-16,0.3049
"254",2021-08-17,0.2054
"255",2021-08-18,0.1933
"256",2021-08-19,0.208
"257",2021-08-20,0.2148
"258",2021-08-23,0.2373
"259",2021-08-24,0.2229
"260",2021-08-25,0.149
"261",2021-08-26,0.1646
"262",2021-08-27,0.1544
"263",2021-08-30,0.1793
"264",2021-08-31,0.1422
"265",2021-09-01,0.1301
"266",2021-09-02,0.147
"267",2021-09-03,0.1269
"268",2021-09-07,0.0946
"269",2021-09-08,0.0685
"270",2021-09-09,0.0424
"271",2021-09-10,0.0533
"272",2021-09-13,0.0613
"273",2021-09-14,0.0989
"274",2021-09-15,0.1084
"275",2021-09-16,0.0661
"276",2021-09-17,0.0642
"277",2021-09-20,0.0663
"278",2021-09-21,0.05
"279",2021-09-22,0.061
"280",2021-09-23,0.0537
"281",2021-09-24,0.0655
"282",2021-09-27,0.0635
"283",2021-09-28,0.0647
"284",2021-09-29,0.0436
"285",2021-09-30,0.0478
"286",2021-10-01,0.0334
"287",2021-10-04,0.0384
"288",2021-10-05,0.0479
"289",2021-10-06,0.0558
"290",2021-10-07,0.041
"291",2021-10-08,0.0474
"292",2021-10-11,0.0446
"293",2021-10-12,0.0529
"294",2021-10-13,0.0429
"295",2021-10-14,0.0433
"296",2021-10-15,0.0499
"297",2021-10-18,0.0449
"298",2021-10-19,0.0538
"299",2021-10-20,0.0505
"300",2021-10-21,0.0579
"301",2021-10-22,0.0977
