"","date","BEN"
"1",2020-08-14,0.2065
"2",2020-08-17,0.2034
"3",2020-08-18,0.2017
"4",2020-08-19,0.2128
"5",2020-08-20,0.2206
"6",2020-08-21,0.2215
"7",2020-08-24,0.2339
"8",2020-08-25,0.2225
"9",2020-08-26,0.2155
"10",2020-08-27,0.2061
"11",2020-08-28,0.1916
"12",2020-08-31,0.207
"13",2020-09-01,0.2138
"14",2020-09-02,0.219
"15",2020-09-03,0.2282
"16",2020-09-04,0.2539
"17",2020-09-08,0.2596
"18",2020-09-09,0.2629
"19",2020-09-10,0.2645
"20",2020-09-11,0.2877
"21",2020-09-14,0.2931
"22",2020-09-15,0.3121
"23",2020-09-16,0.3142
"24",2020-09-17,0.3306
"25",2020-09-18,0.3293
"26",2020-09-21,0.323
"27",2020-09-22,0.3219
"28",2020-09-23,0.3205
"29",2020-09-24,0.3178
"30",2020-09-25,0.3238
"31",2020-09-28,0.317
"32",2020-09-29,0.3237
"33",2020-09-30,0.3092
"34",2020-10-01,0.2851
"35",2020-10-02,0.2834
"36",2020-10-05,0.2963
"37",2020-10-06,0.2672
"38",2020-10-07,0.2549
"39",2020-10-08,0.2401
"40",2020-10-09,0.2353
"41",2020-10-12,0.2122
"42",2020-10-13,0.2142
"43",2020-10-14,0.2066
"44",2020-10-15,0.199
"45",2020-10-16,0.1884
"46",2020-10-19,0.1848
"47",2020-10-20,0.183
"48",2020-10-21,0.1768
"49",2020-10-22,0.1754
"50",2020-10-23,0.1808
"51",2020-10-26,0.1757
"52",2020-10-27,0.1792
"53",2020-10-28,0.1815
"54",2020-10-29,0.1823
"55",2020-10-30,0.1774
"56",2020-11-02,0.1846
"57",2020-11-03,0.1878
"58",2020-11-04,0.1729
"59",2020-11-05,0.1537
"60",2020-11-06,0.1699
"61",2020-11-09,0.1736
"62",2020-11-10,0.1712
"63",2020-11-11,0.1638
"64",2020-11-12,0.16
"65",2020-11-13,0.1596
"66",2020-11-16,0.1529
"67",2020-11-17,0.1545
"68",2020-11-18,0.1508
"69",2020-11-19,0.1478
"70",2020-11-20,0.1536
"71",2020-11-23,0.1472
"72",2020-11-24,0.1604
"73",2020-11-25,0.1947
"74",2020-11-27,0.2446
"75",2020-11-30,0.227
"76",2020-12-01,0.2296
"77",2020-12-02,0.2132
"78",2020-12-03,0.2143
"79",2020-12-04,0.2025
"80",2020-12-07,0.1989
"81",2020-12-08,0.1895
"82",2020-12-09,0.2021
"83",2020-12-10,0.2174
"84",2020-12-11,0.239
"85",2020-12-14,0.225
"86",2020-12-15,0.2042
"87",2020-12-16,0.2114
"88",2020-12-17,0.2291
"89",2020-12-18,0.2259
"90",2020-12-21,0.2393
"91",2020-12-22,0.2479
"92",2020-12-23,0.2765
"93",2020-12-24,0.2962
"94",2020-12-28,0.3072
"95",2020-12-29,0.287
"96",2020-12-30,0.3001
"97",2020-12-31,0.2926
"98",2021-01-04,0.2851
"99",2021-01-05,0.2788
"100",2021-01-06,0.2854
"101",2021-01-07,0.282
"102",2021-01-08,0.2892
"103",2021-01-11,0.281
"104",2021-01-12,0.2694
"105",2021-01-13,0.2685
"106",2021-01-14,0.2853
"107",2021-01-15,0.2931
"108",2021-01-19,0.3154
"109",2021-01-20,0.3156
"110",2021-01-21,0.2962
"111",2021-01-22,0.2951
"112",2021-01-25,0.3082
"113",2021-01-26,0.329
"114",2021-01-27,0.3475
"115",2021-01-28,0.3454
"116",2021-01-29,0.3356
"117",2021-02-01,0.3277
"118",2021-02-02,0.3199
"119",2021-02-03,0.3023
"120",2021-02-04,0.3151
"121",2021-02-05,0.2781
"122",2021-02-08,0.2325
"123",2021-02-09,0.2145
"124",2021-02-10,0.1998
"125",2021-02-11,0.2035
"126",2021-02-12,0.221
"127",2021-02-16,0.2332
"128",2021-02-17,0.2186
"129",2021-02-18,0.2043
"130",2021-02-19,0.189
"131",2021-02-22,0.1786
"132",2021-02-23,0.1731
"133",2021-02-24,0.18
"134",2021-02-25,0.1664
"135",2021-02-26,0.1557
"136",2021-03-01,0.1488
"137",2021-03-02,0.1458
"138",2021-03-03,0.1393
"139",2021-03-04,0.1279
"140",2021-03-05,0.1316
"141",2021-03-08,0.1296
"142",2021-03-09,0.124
"143",2021-03-10,0.1147
"144",2021-03-11,0.125
"145",2021-03-12,0.1167
"146",2021-03-15,0.0865
"147",2021-03-16,0.0748
"148",2021-03-17,0.0645000000000001
"149",2021-03-18,0.0629000000000001
"150",2021-03-19,0.0755
"151",2021-03-22,0.0891
"152",2021-03-23,0.1021
"153",2021-03-24,0.0978
"154",2021-03-25,0.1149
"155",2021-03-26,0.1307
"156",2021-03-29,0.1264
"157",2021-03-30,0.1158
"158",2021-03-31,0.1194
"159",2021-04-01,0.0905
"160",2021-04-05,0.0653
"161",2021-04-06,0.0654
"162",2021-04-07,0.0773
"163",2021-04-08,0.0918
"164",2021-04-09,0.0978
"165",2021-04-12,0.1101
"166",2021-04-13,0.1384
"167",2021-04-14,0.1375
"168",2021-04-15,0.1672
"169",2021-04-16,0.1752
"170",2021-04-19,0.1808
"171",2021-04-20,0.188
"172",2021-04-21,0.2224
"173",2021-04-22,0.2431
"174",2021-04-23,0.2522
"175",2021-04-26,0.2688
"176",2021-04-27,0.2601
"177",2021-04-28,0.2635
"178",2021-04-29,0.2643
"179",2021-04-30,0.2691
"180",2021-05-03,0.2739
"181",2021-05-04,0.2783
"182",2021-05-05,0.2936
"183",2021-05-06,0.3105
"184",2021-05-07,0.3118
"185",2021-05-10,0.312
"186",2021-05-11,0.3097
"187",2021-05-12,0.2994
"188",2021-05-13,0.3082
"189",2021-05-14,0.3315
"190",2021-05-17,0.3386
"191",2021-05-18,0.3495
"192",2021-05-19,0.404
"193",2021-05-20,0.4028
"194",2021-05-21,0.3664
"195",2021-05-24,0.3403
"196",2021-05-25,0.3332
"197",2021-05-26,0.3353
"198",2021-05-27,0.3433
"199",2021-05-28,0.3248
"200",2021-06-01,0.3062
"201",2021-06-02,0.29
"202",2021-06-03,0.2799
"203",2021-06-04,0.2784
"204",2021-06-07,0.2864
"205",2021-06-08,0.29
"206",2021-06-09,0.2815
"207",2021-06-10,0.2643
"208",2021-06-11,0.2512
"209",2021-06-14,0.2361
"210",2021-06-15,0.2273
"211",2021-06-16,0.2339
"212",2021-06-17,0.2173
"213",2021-06-18,0.2178
"214",2021-06-21,0.2093
"215",2021-06-22,0.2073
"216",2021-06-23,0.2025
"217",2021-06-24,0.2081
"218",2021-06-25,0.1774
"219",2021-06-28,0.1531
"220",2021-06-29,0.1435
"221",2021-06-30,0.1513
"222",2021-07-01,0.128
"223",2021-07-02,0.1256
"224",2021-07-06,0.1053
"225",2021-07-07,0.1038
"226",2021-07-08,0.0898
"227",2021-07-09,0.0796
"228",2021-07-12,0.0751000000000001
"229",2021-07-13,0.0594000000000001
"230",2021-07-14,0.0451
"231",2021-07-15,0.0327999999999999
"232",2021-07-16,0.0293
"233",2021-07-19,0.0338999999999999
"234",2021-07-20,0.0201
"235",2021-07-21,0.0209
"236",2021-07-22,0.0182000000000001
"237",2021-07-23,0.0318999999999999
"238",2021-07-26,0.0465000000000001
"239",2021-07-27,0.057
"240",2021-07-28,0.0675000000000001
"241",2021-07-29,0.0965
"242",2021-07-30,0.0841
"243",2021-08-02,0.1092
"244",2021-08-03,0.1027
"245",2021-08-04,0.1446
"246",2021-08-05,0.1815
"247",2021-08-06,0.2102
"248",2021-08-09,0.2216
"249",2021-08-10,0.2353
"250",2021-08-11,0.2536
"251",2021-08-12,0.2807
"252",2021-08-13,0.2867
"253",2021-08-16,0.2847
"254",2021-08-17,0.2719
"255",2021-08-18,0.2625
"256",2021-08-19,0.259
"257",2021-08-20,0.2517
"258",2021-08-23,0.2414
"259",2021-08-24,0.2535
"260",2021-08-25,0.2322
"261",2021-08-26,0.2429
"262",2021-08-27,0.2288
"263",2021-08-30,0.255
"264",2021-08-31,0.2448
"265",2021-09-01,0.2488
"266",2021-09-02,0.2297
"267",2021-09-03,0.2189
"268",2021-09-07,0.2185
"269",2021-09-08,0.2241
"270",2021-09-09,0.22
"271",2021-09-10,0.2151
"272",2021-09-13,0.1979
"273",2021-09-14,0.2149
"274",2021-09-15,0.2056
"275",2021-09-16,0.1995
"276",2021-09-17,0.2203
"277",2021-09-20,0.2386
"278",2021-09-21,0.2259
"279",2021-09-22,0.2086
"280",2021-09-23,0.2153
"281",2021-09-24,0.2264
"282",2021-09-27,0.218
"283",2021-09-28,0.2322
"284",2021-09-29,0.2095
"285",2021-09-30,0.2121
"286",2021-10-01,0.2221
"287",2021-10-04,0.248
"288",2021-10-05,0.2555
"289",2021-10-06,0.2472
"290",2021-10-07,0.2167
"291",2021-10-08,0.2079
"292",2021-10-11,0.2056
"293",2021-10-12,0.2308
"294",2021-10-13,0.2262
