"","date","BIO"
"1",2022-01-19,0.1672
"2",2022-01-20,0.1696
"3",2022-01-21,0.167
"4",2022-01-24,0.1595
"5",2022-01-25,0.1556
"6",2022-01-26,0.1596
"7",2022-01-27,0.1604
"8",2022-01-28,0.1528
"9",2022-01-31,0.1369
"10",2022-02-01,0.129
"11",2022-02-02,0.1257
"12",2022-02-03,0.13
"13",2022-02-04,0.1238
"14",2022-02-07,0.1209
"15",2022-02-08,0.1132
"16",2022-02-09,0.1141
"17",2022-02-10,0.106
"18",2022-02-11,0.0884
"19",2022-02-14,0.0816
"20",2022-02-15,0.0812
"21",2022-02-16,0.075
"22",2022-02-17,0.074
"23",2022-02-18,0.0648
"24",2022-02-22,0.0579
"25",2022-02-23,0.0611
"26",2022-02-24,0.0648
"27",2022-02-25,0.0663
"28",2022-02-28,0.0642
"29",2022-03-01,0.0612
"30",2022-03-02,0.0605
"31",2022-03-03,0.0638
"32",2022-03-04,0.0704
"33",2022-03-07,0.0716
"34",2022-03-08,0.0744
"35",2022-03-09,0.0676
"36",2022-03-10,0.067
"37",2022-03-11,0.068
"38",2022-03-14,0.0658
"39",2022-03-15,0.0625
"40",2022-03-16,0.0588
"41",2022-03-17,0.0568
"42",2022-03-18,0.0591
"43",2022-03-21,0.0594
"44",2022-03-22,0.0593
"45",2022-03-23,0.0551
"46",2022-03-24,0.0554
"47",2022-03-25,0.0567
"48",2022-03-28,0.0569
"49",2022-03-29,0.0577
"50",2022-03-30,0.0593
"51",2022-03-31,0.058
"52",2022-04-01,0.0645
"53",2022-04-04,0.0654
"54",2022-04-05,0.0674
"55",2022-04-06,0.0667
"56",2022-04-07,0.0633
"57",2022-04-08,0.0632
"58",2022-04-11,0.0662
"59",2022-04-12,0.0618
"60",2022-04-13,0.0604
"61",2022-04-14,0.0612
"62",2022-04-18,0.0611
"63",2022-04-19,0.0584
"64",2022-04-20,0.0596
"65",2022-04-21,0.0583
"66",2022-04-22,0.0584
"67",2022-04-25,0.0583
"68",2022-04-26,0.0569
"69",2022-04-27,0.0541
"70",2022-04-28,0.0542
"71",2022-04-29,0.0554
"72",2022-05-02,0.0612
"73",2022-05-03,0.0639
"74",2022-05-04,0.067
"75",2022-05-05,0.0653
"76",2022-05-06,0.0679
"77",2022-05-09,0.0679999999999999
"78",2022-05-10,0.0677
"79",2022-05-11,0.0678
"80",2022-05-12,0.0726
"81",2022-05-13,0.0769
"82",2022-05-16,0.0837
"83",2022-05-17,0.0868
"84",2022-05-18,0.084
"85",2022-05-19,0.0902
"86",2022-05-20,0.1098
"87",2022-05-23,0.1091
"88",2022-05-24,0.103
"89",2022-05-25,0.0949
"90",2022-05-26,0.1015
"91",2022-05-27,0.1133
"92",2022-05-31,0.1176
"93",2022-06-01,0.1257
"94",2022-06-02,0.134
"95",2022-06-03,0.1326
"96",2022-06-06,0.1338
"97",2022-06-07,0.1524
"98",2022-06-08,0.1649
"99",2022-06-09,0.16
"100",2022-06-10,0.1599
"101",2022-06-13,0.1693
"102",2022-06-14,0.1764
"103",2022-06-15,0.1757
"104",2022-06-16,0.1913
"105",2022-06-17,0.1914
"106",2022-06-21,0.1909
"107",2022-06-22,0.195
"108",2022-06-23,0.1922
"109",2022-06-24,0.1926
"110",2022-06-27,0.2032
"111",2022-06-28,0.2126
"112",2022-06-29,0.2147
"113",2022-06-30,0.2141
"114",2022-07-01,0.2056
"115",2022-07-05,0.2104
"116",2022-07-06,0.2297
"117",2022-07-07,0.2378
"118",2022-07-08,0.2435
"119",2022-07-11,0.2361
"120",2022-07-12,0.229
"121",2022-07-13,0.2271
"122",2022-07-14,0.2364
"123",2022-07-15,0.2376
"124",2022-07-18,0.2526
"125",2022-07-19,0.2564
"126",2022-07-20,0.2656
"127",2022-07-21,0.2686
"128",2022-07-22,0.2563
"129",2022-07-25,0.249
"130",2022-07-26,0.2468
"131",2022-07-27,0.253
"132",2022-07-28,0.26
"133",2022-07-29,0.2615
"134",2022-08-01,0.2702
"135",2022-08-02,0.2643
"136",2022-08-03,0.268
"137",2022-08-04,0.2944
"138",2022-08-05,0.2938
"139",2022-08-08,0.2869
"140",2022-08-09,0.2812
"141",2022-08-10,0.2776
"142",2022-08-11,0.2764
"143",2022-08-12,0.2741
"144",2022-08-15,0.2822
"145",2022-08-16,0.2981
"146",2022-08-17,0.3259
"147",2022-08-18,0.3219
"148",2022-08-19,0.3174
"149",2022-08-22,0.3
"150",2022-08-23,0.2981
"151",2022-08-24,0.2962
"152",2022-08-25,0.2937
"153",2022-08-26,0.2887
"154",2022-08-29,0.2852
"155",2022-08-30,0.2801
"156",2022-08-31,0.2794
"157",2022-09-01,0.2818
"158",2022-09-02,0.2856
"159",2022-09-06,0.2896
"160",2022-09-07,0.2916
"161",2022-09-08,0.2968
"162",2022-09-09,0.2936
"163",2022-09-12,0.3035
"164",2022-09-13,0.3027
"165",2022-09-14,0.2988
"166",2022-09-15,0.3025
"167",2022-09-16,0.3022
"168",2022-09-19,0.2986
"169",2022-09-20,0.2935
"170",2022-09-21,0.3002
"171",2022-09-22,0.2922
"172",2022-09-23,0.2853
"173",2022-09-26,0.2754
"174",2022-09-27,0.2713
"175",2022-09-28,0.2682
"176",2022-09-29,0.2778
"177",2022-09-30,0.274
"178",2022-10-03,0.2634
"179",2022-10-04,0.2546
"180",2022-10-05,0.2483
"181",2022-10-06,0.2647
"182",2022-10-07,0.2782
"183",2022-10-10,0.2684
"184",2022-10-11,0.2676
"185",2022-10-12,0.2739
"186",2022-10-13,0.2779
"187",2022-10-14,0.2859
"188",2022-10-17,0.2909
"189",2022-10-18,0.2835
"190",2022-10-19,0.2711
"191",2022-10-20,0.2663
"192",2022-10-21,0.2673
"193",2022-10-24,0.2621
"194",2022-10-25,0.2622
"195",2022-10-26,0.2629
"196",2022-10-27,0.2618
"197",2022-10-28,0.2645
"198",2022-10-31,0.2582
"199",2022-11-01,0.2429
"200",2022-11-02,0.2371
"201",2022-11-03,0.2423
"202",2022-11-04,0.2547
"203",2022-11-07,0.2587
"204",2022-11-08,0.2552
"205",2022-11-09,0.2454
"206",2022-11-10,0.2672
"207",2022-11-11,0.274
"208",2022-11-14,0.2709
"209",2022-11-15,0.2722
"210",2022-11-16,0.2671
"211",2022-11-17,0.2666
"212",2022-11-18,0.258
"213",2022-11-21,0.2538
"214",2022-11-22,0.264
"215",2022-11-23,0.2605
"216",2022-11-25,0.2587
"217",2022-11-28,0.2648
"218",2022-11-29,0.2582
"219",2022-11-30,0.2429
"220",2022-12-01,0.2375
"221",2022-12-02,0.2492
"222",2022-12-05,0.2496
"223",2022-12-06,0.2617
"224",2022-12-07,0.2658
"225",2022-12-08,0.2679
"226",2022-12-09,0.2717
"227",2022-12-12,0.2744
"228",2022-12-13,0.2786
"229",2022-12-14,0.2712
"230",2022-12-15,0.2828
"231",2022-12-16,0.2702
"232",2022-12-19,0.2565
"233",2022-12-20,0.2529
"234",2022-12-21,0.2532
"235",2022-12-22,0.2579
"236",2022-12-23,0.2847
"237",2022-12-27,0.2928
"238",2022-12-28,0.2719
"239",2022-12-29,0.2566
"240",2022-12-30,0.2531
"241",2023-01-03,0.2631
"242",2023-01-04,0.2755
"243",2023-01-05,0.2748
"244",2023-01-06,0.276
"245",2023-01-09,0.2753
"246",2023-01-10,0.2786
"247",2023-01-11,0.2819
"248",2023-01-12,0.2674
"249",2023-01-13,0.2575
"250",2023-01-17,0.2572
"251",2023-01-18,0.2619
"252",2023-01-19,0.2477
"253",2023-01-20,0.2343
"254",2023-01-23,0.2449
"255",2023-01-24,0.2444
"256",2023-01-25,0.2479
"257",2023-01-26,0.2437
"258",2023-01-27,0.2462
"259",2023-01-30,0.2477
"260",2023-01-31,0.2485
"261",2023-02-01,0.2529
"262",2023-02-02,0.2627
"263",2023-02-03,0.2568
"264",2023-02-06,0.2434
"265",2023-02-07,0.2382
"266",2023-02-08,0.2488
"267",2023-02-09,0.2485
"268",2023-02-10,0.2313
"269",2023-02-13,0.2262
"270",2023-02-14,0.2161
"271",2023-02-15,0.2127
"272",2023-02-16,0.2127
"273",2023-02-17,0.2164
"274",2023-02-21,0.2045
"275",2023-02-22,0.1985
"276",2023-02-23,0.2053
"277",2023-02-24,0.2096
"278",2023-02-27,0.2207
"279",2023-02-28,0.2117
"280",2023-03-01,0.2247
"281",2023-03-02,0.2342
"282",2023-03-03,0.2278
"283",2023-03-06,0.2154
"284",2023-03-07,0.2104
"285",2023-03-08,0.1977
"286",2023-03-09,0.2027
"287",2023-03-10,0.2111
"288",2023-03-13,0.2108
"289",2023-03-14,0.2101
"290",2023-03-15,0.2067
