"","date","BXP"
"1",2022-01-19,0.1472
"2",2022-01-20,0.1465
"3",2022-01-21,0.1478
"4",2022-01-24,0.1407
"5",2022-01-25,0.1434
"6",2022-01-26,0.14
"7",2022-01-27,0.1395
"8",2022-01-28,0.1481
"9",2022-01-31,0.1513
"10",2022-02-01,0.1551
"11",2022-02-02,0.1623
"12",2022-02-03,0.1634
"13",2022-02-04,0.1672
"14",2022-02-07,0.1549
"15",2022-02-08,0.1591
"16",2022-02-09,0.1452
"17",2022-02-10,0.1514
"18",2022-02-11,0.148
"19",2022-02-14,0.1494
"20",2022-02-15,0.1423
"21",2022-02-16,0.1486
"22",2022-02-17,0.1461
"23",2022-02-18,0.1486
"24",2022-02-22,0.153
"25",2022-02-23,0.1558
"26",2022-02-24,0.1514
"27",2022-02-25,0.1515
"28",2022-02-28,0.1526
"29",2022-03-01,0.1473
"30",2022-03-02,0.1443
"31",2022-03-03,0.1459
"32",2022-03-04,0.1485
"33",2022-03-07,0.156
"34",2022-03-08,0.1504
"35",2022-03-09,0.1478
"36",2022-03-10,0.1387
"37",2022-03-11,0.1466
"38",2022-03-14,0.1517
"39",2022-03-15,0.1586
"40",2022-03-16,0.1457
"41",2022-03-17,0.155
"42",2022-03-18,0.1712
"43",2022-03-21,0.178
"44",2022-03-22,0.1713
"45",2022-03-23,0.1644
"46",2022-03-24,0.1581
"47",2022-03-25,0.162
"48",2022-03-28,0.1558
"49",2022-03-29,0.1624
"50",2022-03-30,0.1672
"51",2022-03-31,0.1706
"52",2022-04-01,0.162
"53",2022-04-04,0.1797
"54",2022-04-05,0.1894
"55",2022-04-06,0.1928
"56",2022-04-07,0.1891
"57",2022-04-08,0.1999
"58",2022-04-11,0.2034
"59",2022-04-12,0.2017
"60",2022-04-13,0.1939
"61",2022-04-14,0.1927
"62",2022-04-18,0.1885
"63",2022-04-19,0.201
"64",2022-04-20,0.1931
"65",2022-04-21,0.1903
"66",2022-04-22,0.1919
"67",2022-04-25,0.1886
"68",2022-04-26,0.195
"69",2022-04-27,0.1896
"70",2022-04-28,0.1906
"71",2022-04-29,0.1946
"72",2022-05-02,0.1867
"73",2022-05-03,0.1892
"74",2022-05-04,0.1896
"75",2022-05-05,0.2144
"76",2022-05-06,0.213
"77",2022-05-09,0.2251
"78",2022-05-10,0.2303
"79",2022-05-11,0.2251
"80",2022-05-12,0.2137
"81",2022-05-13,0.2376
"82",2022-05-16,0.2426
"83",2022-05-17,0.2465
"84",2022-05-18,0.2424
"85",2022-05-19,0.2383
"86",2022-05-20,0.2418
"87",2022-05-23,0.2425
"88",2022-05-24,0.2357
"89",2022-05-25,0.2305
"90",2022-05-26,0.2266
"91",2022-05-27,0.225
"92",2022-05-31,0.2241
"93",2022-06-01,0.2358
"94",2022-06-02,0.2379
"95",2022-06-03,0.2437
"96",2022-06-06,0.2336
"97",2022-06-07,0.2423
"98",2022-06-08,0.2587
"99",2022-06-09,0.2643
"100",2022-06-10,0.2476
"101",2022-06-13,0.2517
"102",2022-06-14,0.2533
"103",2022-06-15,0.2589
"104",2022-06-16,0.2578
"105",2022-06-17,0.2626
"106",2022-06-21,0.2566
"107",2022-06-22,0.2619
"108",2022-06-23,0.2656
"109",2022-06-24,0.2669
"110",2022-06-27,0.2659
"111",2022-06-28,0.2741
"112",2022-06-29,0.2742
"113",2022-06-30,0.2778
"114",2022-07-01,0.288
"115",2022-07-05,0.2843
"116",2022-07-06,0.2733
"117",2022-07-07,0.2748
"118",2022-07-08,0.2804
"119",2022-07-11,0.293
"120",2022-07-12,0.2905
"121",2022-07-13,0.2958
"122",2022-07-14,0.2985
"123",2022-07-15,0.3116
"124",2022-07-18,0.2942
"125",2022-07-19,0.2859
"126",2022-07-20,0.2759
"127",2022-07-21,0.275
"128",2022-07-22,0.2746
"129",2022-07-25,0.2773
"130",2022-07-26,0.2764
"131",2022-07-27,0.285
"132",2022-07-28,0.2797
"133",2022-07-29,0.2808
"134",2022-08-01,0.2803
"135",2022-08-02,0.2784
"136",2022-08-03,0.2665
"137",2022-08-04,0.27
"138",2022-08-05,0.2849
"139",2022-08-08,0.2734
"140",2022-08-09,0.2687
"141",2022-08-10,0.2828
"142",2022-08-11,0.2748
"143",2022-08-12,0.2829
"144",2022-08-15,0.281
"145",2022-08-16,0.2821
"146",2022-08-17,0.2697
"147",2022-08-18,0.2769
"148",2022-08-19,0.2713
"149",2022-08-22,0.2633
"150",2022-08-23,0.2591
"151",2022-08-24,0.2651
"152",2022-08-25,0.2667
"153",2022-08-26,0.2777
"154",2022-08-29,0.2912
"155",2022-08-30,0.2891
"156",2022-08-31,0.2792
"157",2022-09-01,0.2846
"158",2022-09-02,0.3019
"159",2022-09-06,0.3149
"160",2022-09-07,0.3108
"161",2022-09-08,0.3452
"162",2022-09-09,0.3465
"163",2022-09-12,0.3458
"164",2022-09-13,0.3284
"165",2022-09-14,0.3262
"166",2022-09-15,0.319
"167",2022-09-16,0.3228
"168",2022-09-19,0.3203
"169",2022-09-20,0.3108
"170",2022-09-21,0.3016
"171",2022-09-22,0.3103
"172",2022-09-23,0.2991
"173",2022-09-26,0.3003
"174",2022-09-27,0.2906
"175",2022-09-28,0.2862
"176",2022-09-29,0.2735
"177",2022-09-30,0.2765
"178",2022-10-03,0.2765
"179",2022-10-04,0.2732
"180",2022-10-05,0.2706
"181",2022-10-06,0.2616
"182",2022-10-07,0.2645
"183",2022-10-10,0.2634
"184",2022-10-11,0.2532
"185",2022-10-12,0.2475
"186",2022-10-13,0.2394
"187",2022-10-14,0.2377
"188",2022-10-17,0.2452
"189",2022-10-18,0.251
"190",2022-10-19,0.2579
"191",2022-10-20,0.2734
"192",2022-10-21,0.2646
"193",2022-10-24,0.2689
"194",2022-10-25,0.2634
"195",2022-10-26,0.2629
"196",2022-10-27,0.25
"197",2022-10-28,0.2399
"198",2022-10-31,0.2437
"199",2022-11-01,0.2354
"200",2022-11-02,0.2147
"201",2022-11-03,0.2196
"202",2022-11-04,0.2051
"203",2022-11-07,0.2169
"204",2022-11-08,0.2081
"205",2022-11-09,0.1984
"206",2022-11-10,0.1966
"207",2022-11-11,0.2197
"208",2022-11-14,0.2141
"209",2022-11-15,0.2022
"210",2022-11-16,0.1978
"211",2022-11-17,0.1995
"212",2022-11-18,0.1923
"213",2022-11-21,0.2033
"214",2022-11-22,0.205
"215",2022-11-23,0.1953
"216",2022-11-25,0.1774
"217",2022-11-28,0.1612
"218",2022-11-29,0.173
"219",2022-11-30,0.1758
"220",2022-12-01,0.1539
"221",2022-12-02,0.1598
"222",2022-12-05,0.1516
"223",2022-12-06,0.1397
"224",2022-12-07,0.133
"225",2022-12-08,0.1349
"226",2022-12-09,0.1278
"227",2022-12-12,0.1271
"228",2022-12-13,0.1298
"229",2022-12-14,0.1498
"230",2022-12-15,0.1508
"231",2022-12-16,0.1582
"232",2022-12-19,0.1648
"233",2022-12-20,0.18
"234",2022-12-21,0.1688
"235",2022-12-22,0.1753
"236",2022-12-23,0.174
"237",2022-12-27,0.1853
"238",2022-12-28,0.2086
"239",2022-12-29,0.2179
"240",2022-12-30,0.2308
"241",2023-01-03,0.2455
"242",2023-01-04,0.265
"243",2023-01-05,0.2808
"244",2023-01-06,0.2754
"245",2023-01-09,0.3029
"246",2023-01-10,0.3165
"247",2023-01-11,0.3217
"248",2023-01-12,0.3442
"249",2023-01-13,0.3578
"250",2023-01-17,0.3555
"251",2023-01-18,0.3576
"252",2023-01-19,0.3573
"253",2023-01-20,0.3464
"254",2023-01-23,0.3173
"255",2023-01-24,0.318
"256",2023-01-25,0.2726
"257",2023-01-26,0.262
"258",2023-01-27,0.2746
"259",2023-01-30,0.27
"260",2023-01-31,0.2576
"261",2023-02-01,0.2575
"262",2023-02-02,0.2619
"263",2023-02-03,0.2742
"264",2023-02-06,0.2635
"265",2023-02-07,0.2709
"266",2023-02-08,0.2869
"267",2023-02-09,0.2803
"268",2023-02-10,0.263
"269",2023-02-13,0.2316
"270",2023-02-14,0.2145
"271",2023-02-15,0.2245
"272",2023-02-16,0.2066
"273",2023-02-17,0.2088
"274",2023-02-21,0.2021
"275",2023-02-22,0.2037
"276",2023-02-23,0.2035
"277",2023-02-24,0.2087
"278",2023-02-27,0.241
"279",2023-02-28,0.2386
"280",2023-03-01,0.2351
"281",2023-03-02,0.2373
"282",2023-03-03,0.2285
"283",2023-03-06,0.2219
"284",2023-03-07,0.2341
"285",2023-03-08,0.2314
"286",2023-03-09,0.2169
"287",2023-03-10,0.2071
"288",2023-03-13,0.2063
"289",2023-03-14,0.2025
"290",2023-03-15,0.1996
"291",2023-03-16,0.2029
"292",2023-03-17,0.1916
"293",2023-03-20,0.1854
"294",2023-03-21,0.1845
"295",2023-03-22,0.184
"296",2023-03-23,0.1866
"297",2023-03-24,0.2058
"298",2023-03-27,0.2165
"299",2023-03-28,0.2175
"300",2023-03-29,0.1991
"301",2023-03-30,0.2034
"302",2023-03-31,0.2104
"303",2023-04-03,0.2018
"304",2023-04-04,0.1842
"305",2023-04-05,0.1884
"306",2023-04-06,0.1904
"307",2023-04-10,0.1777
"308",2023-04-11,0.1786
"309",2023-04-12,0.1801
"310",2023-04-13,0.183
"311",2023-04-14,0.1815
"312",2023-04-17,0.1669
"313",2023-04-18,0.1623
"314",2023-04-19,0.1667
"315",2023-04-20,0.1661
"316",2023-04-21,0.1567
"317",2023-04-24,0.1561
"318",2023-04-25,0.1623
"319",2023-04-26,0.1623
"320",2023-04-27,0.1736
"321",2023-04-28,0.1726
"322",2023-05-01,0.1686
"323",2023-05-02,0.182
"324",2023-05-03,0.1679
"325",2023-05-04,0.1723
"326",2023-05-05,0.1826
"327",2023-05-08,0.1781
"328",2023-05-09,0.1744
"329",2023-05-10,0.1692
"330",2023-05-11,0.1529
"331",2023-05-12,0.17
"332",2023-05-15,0.1598
"333",2023-05-16,0.1666
"334",2023-05-17,0.1506
"335",2023-05-18,0.1421
"336",2023-05-19,0.1536
"337",2023-05-22,0.1554
"338",2023-05-23,0.1783
"339",2023-05-24,0.1801
