"","date","CMA"
"1",2022-01-19,0.0803999999999999
"2",2022-01-20,0.087
"3",2022-01-21,0.0847
"4",2022-01-24,0.0806
"5",2022-01-25,0.0769000000000001
"6",2022-01-26,0.0758000000000001
"7",2022-01-27,0.0745
"8",2022-01-28,0.0757000000000001
"9",2022-01-31,0.0883
"10",2022-02-01,0.0863
"11",2022-02-02,0.0978
"12",2022-02-03,0.0965
"13",2022-02-04,0.1007
"14",2022-02-07,0.0890000000000001
"15",2022-02-08,0.099
"16",2022-02-09,0.0918000000000001
"17",2022-02-10,0.0956
"18",2022-02-11,0.0925999999999999
"19",2022-02-14,0.0968
"20",2022-02-15,0.0974
"21",2022-02-16,0.1053
"22",2022-02-17,0.1152
"23",2022-02-18,0.1217
"24",2022-02-22,0.1148
"25",2022-02-23,0.1034
"26",2022-02-24,0.1021
"27",2022-02-25,0.0869
"28",2022-02-28,0.0786
"29",2022-03-01,0.0760000000000001
"30",2022-03-02,0.0797
"31",2022-03-03,0.0855
"32",2022-03-04,0.0825
"33",2022-03-07,0.0826
"34",2022-03-08,0.0730000000000001
"35",2022-03-09,0.0849
"36",2022-03-10,0.0780000000000001
"37",2022-03-11,0.087
"38",2022-03-14,0.0748
"39",2022-03-15,0.0673
"40",2022-03-16,0.0606
"41",2022-03-17,0.0675
"42",2022-03-18,0.0728
"43",2022-03-21,0.0720999999999999
"44",2022-03-22,0.0637
"45",2022-03-23,0.0641
"46",2022-03-24,0.0589
"47",2022-03-25,0.0666
"48",2022-03-28,0.0692
"49",2022-03-29,0.0722
"50",2022-03-30,0.0757
"51",2022-03-31,0.0813
"52",2022-04-01,0.0818
"53",2022-04-04,0.0825
"54",2022-04-05,0.0833
"55",2022-04-06,0.0805
"56",2022-04-07,0.0822000000000001
"57",2022-04-08,0.0844
"58",2022-04-11,0.0842999999999999
"59",2022-04-12,0.0949
"60",2022-04-13,0.0911999999999999
"61",2022-04-14,0.0963000000000001
"62",2022-04-18,0.0933
"63",2022-04-19,0.101
"64",2022-04-20,0.0964999999999999
"65",2022-04-21,0.1073
"66",2022-04-22,0.1094
"67",2022-04-25,0.1059
"68",2022-04-26,0.1151
"69",2022-04-27,0.1161
"70",2022-04-28,0.1193
"71",2022-04-29,0.1407
"72",2022-05-02,0.1406
"73",2022-05-03,0.1403
"74",2022-05-04,0.1464
"75",2022-05-05,0.1564
"76",2022-05-06,0.1512
"77",2022-05-09,0.1476
"78",2022-05-10,0.1399
"79",2022-05-11,0.1549
"80",2022-05-12,0.1497
"81",2022-05-13,0.1619
"82",2022-05-16,0.1711
"83",2022-05-17,0.1736
"84",2022-05-18,0.1701
"85",2022-05-19,0.1702
"86",2022-05-20,0.1696
"87",2022-05-23,0.1632
"88",2022-05-24,0.1522
"89",2022-05-25,0.1462
"90",2022-05-26,0.1438
"91",2022-05-27,0.1378
"92",2022-05-31,0.1428
"93",2022-06-01,0.1504
"94",2022-06-02,0.1406
"95",2022-06-03,0.151
"96",2022-06-06,0.1449
"97",2022-06-07,0.1337
"98",2022-06-08,0.1146
"99",2022-06-09,0.1108
"100",2022-06-10,0.097
"101",2022-06-13,0.1057
"102",2022-06-14,0.0959
"103",2022-06-15,0.0982000000000001
"104",2022-06-16,0.0881
"105",2022-06-17,0.09
"106",2022-06-21,0.0946
"107",2022-06-22,0.114
"108",2022-06-23,0.1126
"109",2022-06-24,0.1051
"110",2022-06-27,0.1035
"111",2022-06-28,0.1006
"112",2022-06-29,0.1017
"113",2022-06-30,0.1031
"114",2022-07-01,0.1005
"115",2022-07-05,0.0975
"116",2022-07-06,0.0939
"117",2022-07-07,0.0935
"118",2022-07-08,0.0948
"119",2022-07-11,0.1074
"120",2022-07-12,0.1018
"121",2022-07-13,0.1104
"122",2022-07-14,0.1128
"123",2022-07-15,0.1136
"124",2022-07-18,0.1071
"125",2022-07-19,0.1126
"126",2022-07-20,0.1129
"127",2022-07-21,0.1087
"128",2022-07-22,0.1013
"129",2022-07-25,0.1073
"130",2022-07-26,0.1016
"131",2022-07-27,0.1141
"132",2022-07-28,0.1127
"133",2022-07-29,0.1125
"134",2022-08-01,0.109
"135",2022-08-02,0.1136
"136",2022-08-03,0.116
"137",2022-08-04,0.1153
"138",2022-08-05,0.1121
"139",2022-08-08,0.1143
"140",2022-08-09,0.1132
"141",2022-08-10,0.1119
"142",2022-08-11,0.1078
"143",2022-08-12,0.1169
"144",2022-08-15,0.1086
"145",2022-08-16,0.1142
"146",2022-08-17,0.1118
"147",2022-08-18,0.1107
"148",2022-08-19,0.1027
"149",2022-08-22,0.1102
"150",2022-08-23,0.1046
"151",2022-08-24,0.1114
"152",2022-08-25,0.1177
"153",2022-08-26,0.1097
"154",2022-08-29,0.0972999999999999
"155",2022-08-30,0.1014
"156",2022-08-31,0.0982999999999999
"157",2022-09-01,0.0937
"158",2022-09-02,0.1001
"159",2022-09-06,0.1056
"160",2022-09-07,0.0920000000000001
"161",2022-09-08,0.0958
"162",2022-09-09,0.102
"163",2022-09-12,0.1204
"164",2022-09-13,0.1204
"165",2022-09-14,0.1219
"166",2022-09-15,0.1085
"167",2022-09-16,0.1071
"168",2022-09-19,0.0988
"169",2022-09-20,0.1052
"170",2022-09-21,0.099
"171",2022-09-22,0.1109
"172",2022-09-23,0.1109
"173",2022-09-26,0.1082
"174",2022-09-27,0.0971000000000001
"175",2022-09-28,0.0855
"176",2022-09-29,0.0763999999999999
"177",2022-09-30,0.0698
"178",2022-10-03,0.0671999999999999
"179",2022-10-04,0.0605
"180",2022-10-05,0.0592999999999999
"181",2022-10-06,0.0503
"182",2022-10-07,0.0458
"183",2022-10-10,0.0405
"184",2022-10-11,0.0448
"185",2022-10-12,0.0480999999999999
"186",2022-10-13,0.0488999999999999
"187",2022-10-14,0.0521
"188",2022-10-17,0.0583
"189",2022-10-18,0.0609
"190",2022-10-19,0.0630000000000001
"191",2022-10-20,0.0908
"192",2022-10-21,0.0761000000000001
"193",2022-10-24,0.0690999999999999
"194",2022-10-25,0.0762
"195",2022-10-26,0.0819000000000001
"196",2022-10-27,0.0844
"197",2022-10-28,0.0876
"198",2022-10-31,0.0937
"199",2022-11-01,0.0982
"200",2022-11-02,0.1044
"201",2022-11-03,0.1071
"202",2022-11-04,0.1098
"203",2022-11-07,0.1176
"204",2022-11-08,0.122
"205",2022-11-09,0.1278
"206",2022-11-10,0.1256
"207",2022-11-11,0.1249
"208",2022-11-14,0.128
"209",2022-11-15,0.1347
"210",2022-11-16,0.1428
"211",2022-11-17,0.1433
"212",2022-11-18,0.1389
"213",2022-11-21,0.1388
"214",2022-11-22,0.1394
"215",2022-11-23,0.1416
"216",2022-11-25,0.132
"217",2022-11-28,0.1279
"218",2022-11-29,0.1268
"219",2022-11-30,0.1204
"220",2022-12-01,0.1197
"221",2022-12-02,0.12
"222",2022-12-05,0.1185
"223",2022-12-06,0.1188
"224",2022-12-07,0.1204
"225",2022-12-08,0.1176
"226",2022-12-09,0.1148
"227",2022-12-12,0.1088
"228",2022-12-13,0.0976
"229",2022-12-14,0.0861
"230",2022-12-15,0.0805
"231",2022-12-16,0.0734
"232",2022-12-19,0.0629999999999999
"233",2022-12-20,0.0485
"234",2022-12-21,0.0385
"235",2022-12-22,0.0304
"236",2022-12-23,0.0407
"237",2022-12-27,0.0624
"238",2022-12-28,0.0905
"239",2022-12-29,0.1206
"240",2022-12-30,0.1558
"241",2023-01-03,0.1802
"242",2023-01-04,0.2151
"243",2023-01-05,0.2317
"244",2023-01-06,0.2518
"245",2023-01-09,0.2664
"246",2023-01-10,0.2924
"247",2023-01-11,0.3069
"248",2023-01-12,0.3098
"249",2023-01-13,0.3254
"250",2023-01-17,0.3318
"251",2023-01-18,0.3225
"252",2023-01-19,0.3266
"253",2023-01-20,0.3238
"254",2023-01-23,0.2915
"255",2023-01-24,0.2914
"256",2023-01-25,0.2838
"257",2023-01-26,0.2809
"258",2023-01-27,0.2777
"259",2023-01-30,0.286
"260",2023-01-31,0.2806
"261",2023-02-01,0.2832
"262",2023-02-02,0.2857
"263",2023-02-03,0.2743
"264",2023-02-06,0.2734
"265",2023-02-07,0.2647
"266",2023-02-08,0.2799
"267",2023-02-09,0.2766
"268",2023-02-10,0.2735
"269",2023-02-13,0.2738
"270",2023-02-14,0.2732
"271",2023-02-15,0.2699
"272",2023-02-16,0.2712
"273",2023-02-17,0.2557
"274",2023-02-21,0.2376
"275",2023-02-22,0.2343
"276",2023-02-23,0.2517
"277",2023-02-24,0.2513
"278",2023-02-27,0.2532
"279",2023-02-28,0.2536
"280",2023-03-01,0.2502
"281",2023-03-02,0.2514
"282",2023-03-03,0.2544
"283",2023-03-06,0.2561
"284",2023-03-07,0.2616
"285",2023-03-08,0.2569
"286",2023-03-09,0.2433
"287",2023-03-10,0.2334
"288",2023-03-13,0.2722
"289",2023-03-14,0.2892
"290",2023-03-15,0.2923
"291",2023-03-16,0.2839
"292",2023-03-17,0.2854
"293",2023-03-20,0.2943
"294",2023-03-21,0.3193
"295",2023-03-22,0.3282
"296",2023-03-23,0.3238
"297",2023-03-24,0.3223
"298",2023-03-27,0.321
"299",2023-03-28,0.3203
"300",2023-03-29,0.3219
"301",2023-03-30,0.3094
"302",2023-03-31,0.3004
"303",2023-04-03,0.2849
"304",2023-04-04,0.2974
"305",2023-04-05,0.2995
"306",2023-04-06,0.3173
"307",2023-04-10,0.3003
"308",2023-04-11,0.3058
"309",2023-04-12,0.3151
"310",2023-04-13,0.3038
"311",2023-04-14,0.2929
"312",2023-04-17,0.3107
"313",2023-04-18,0.3107
"314",2023-04-19,0.3101
"315",2023-04-20,0.3148
"316",2023-04-21,0.313
"317",2023-04-24,0.3046
"318",2023-04-25,0.3223
"319",2023-04-26,0.3404
"320",2023-04-27,0.3429
"321",2023-04-28,0.3277
"322",2023-05-01,0.3257
"323",2023-05-02,0.3071
"324",2023-05-03,0.3257
"325",2023-05-04,0.3142
"326",2023-05-05,0.3256
"327",2023-05-08,0.3137
"328",2023-05-09,0.3278
"329",2023-05-10,0.3355
"330",2023-05-11,0.3275
"331",2023-05-12,0.3107
"332",2023-05-15,0.3149
"333",2023-05-16,0.3158
"334",2023-05-17,0.3015
"335",2023-05-18,0.2784
"336",2023-05-19,0.3001
"337",2023-05-22,0.3147
"338",2023-05-23,0.3205
"339",2023-05-24,0.32
"340",2023-05-25,0.3074
"341",2023-05-26,0.301
"342",2023-05-30,0.3051
"343",2023-05-31,0.3066
"344",2023-06-01,0.2975
"345",2023-06-02,0.2891
"346",2023-06-05,0.2772
"347",2023-06-06,0.2583
"348",2023-06-07,0.2903
"349",2023-06-08,0.2925
"350",2023-06-09,0.2972
"351",2023-06-12,0.2873
