"","date","CPB"
"1",2022-01-19,0.4485
"2",2022-01-20,0.4474
"3",2022-01-21,0.4363
"4",2022-01-24,0.421
"5",2022-01-25,0.4265
"6",2022-01-26,0.4229
"7",2022-01-27,0.4289
"8",2022-01-28,0.4465
"9",2022-01-31,0.4371
"10",2022-02-01,0.4361
"11",2022-02-02,0.4328
"12",2022-02-03,0.4303
"13",2022-02-04,0.4366
"14",2022-02-07,0.4406
"15",2022-02-08,0.4526
"16",2022-02-09,0.4418
"17",2022-02-10,0.4441
"18",2022-02-11,0.4392
"19",2022-02-14,0.4354
"20",2022-02-15,0.441
"21",2022-02-16,0.4429
"22",2022-02-17,0.4336
"23",2022-02-18,0.4244
"24",2022-02-22,0.4263
"25",2022-02-23,0.4279
"26",2022-02-24,0.4352
"27",2022-02-25,0.4347
"28",2022-02-28,0.4385
"29",2022-03-01,0.4322
"30",2022-03-02,0.435
"31",2022-03-03,0.4367
"32",2022-03-04,0.4344
"33",2022-03-07,0.425
"34",2022-03-08,0.4234
"35",2022-03-09,0.4247
"36",2022-03-10,0.4207
"37",2022-03-11,0.4345
"38",2022-03-14,0.443
"39",2022-03-15,0.4388
"40",2022-03-16,0.4367
"41",2022-03-17,0.4363
"42",2022-03-18,0.4305
"43",2022-03-21,0.4328
"44",2022-03-22,0.4427
"45",2022-03-23,0.4518
"46",2022-03-24,0.444
"47",2022-03-25,0.4405
"48",2022-03-28,0.4444
"49",2022-03-29,0.4331
"50",2022-03-30,0.4345
"51",2022-03-31,0.4294
"52",2022-04-01,0.4314
"53",2022-04-04,0.4321
"54",2022-04-05,0.4289
"55",2022-04-06,0.4184
"56",2022-04-07,0.4094
"57",2022-04-08,0.3999
"58",2022-04-11,0.3994
"59",2022-04-12,0.4036
"60",2022-04-13,0.3992
"61",2022-04-14,0.4036
"62",2022-04-18,0.3965
"63",2022-04-19,0.389
"64",2022-04-20,0.3784
"65",2022-04-21,0.3873
"66",2022-04-22,0.3884
"67",2022-04-25,0.3874
"68",2022-04-26,0.3934
"69",2022-04-27,0.387
"70",2022-04-28,0.3933
"71",2022-04-29,0.4061
"72",2022-05-02,0.409
"73",2022-05-03,0.4154
"74",2022-05-04,0.4091
"75",2022-05-05,0.4035
"76",2022-05-06,0.3871
"77",2022-05-09,0.3904
"78",2022-05-10,0.4059
"79",2022-05-11,0.4107
"80",2022-05-12,0.4138
"81",2022-05-13,0.4055
"82",2022-05-16,0.4019
"83",2022-05-17,0.4025
"84",2022-05-18,0.4046
"85",2022-05-19,0.4188
"86",2022-05-20,0.4199
"87",2022-05-23,0.426
"88",2022-05-24,0.4212
"89",2022-05-25,0.416
"90",2022-05-26,0.416
"91",2022-05-27,0.4137
"92",2022-05-31,0.4185
"93",2022-06-01,0.4163
"94",2022-06-02,0.4092
"95",2022-06-03,0.406
"96",2022-06-06,0.406
"97",2022-06-07,0.4132
"98",2022-06-08,0.4206
"99",2022-06-09,0.4177
"100",2022-06-10,0.4188
"101",2022-06-13,0.422
"102",2022-06-14,0.4044
"103",2022-06-15,0.4018
"104",2022-06-16,0.404
"105",2022-06-17,0.4104
"106",2022-06-21,0.4128
"107",2022-06-22,0.4155
"108",2022-06-23,0.4223
"109",2022-06-24,0.4192
"110",2022-06-27,0.4164
"111",2022-06-28,0.4085
"112",2022-06-29,0.3957
"113",2022-06-30,0.3877
"114",2022-07-01,0.3905
"115",2022-07-05,0.4065
"116",2022-07-06,0.3992
"117",2022-07-07,0.3955
"118",2022-07-08,0.3875
"119",2022-07-11,0.383
"120",2022-07-12,0.3808
"121",2022-07-13,0.3846
"122",2022-07-14,0.3857
"123",2022-07-15,0.389
"124",2022-07-18,0.3831
"125",2022-07-19,0.4069
"126",2022-07-20,0.4097
"127",2022-07-21,0.4092
"128",2022-07-22,0.4282
"129",2022-07-25,0.4238
"130",2022-07-26,0.4174
"131",2022-07-27,0.4139
"132",2022-07-28,0.4141
"133",2022-07-29,0.4206
"134",2022-08-01,0.4278
"135",2022-08-02,0.4325
"136",2022-08-03,0.431
"137",2022-08-04,0.4258
"138",2022-08-05,0.4318
"139",2022-08-08,0.4233
"140",2022-08-09,0.4278
"141",2022-08-10,0.4269
"142",2022-08-11,0.4249
"143",2022-08-12,0.4329
"144",2022-08-15,0.427
"145",2022-08-16,0.4409
"146",2022-08-17,0.4358
"147",2022-08-18,0.4446
"148",2022-08-19,0.448
"149",2022-08-22,0.4479
"150",2022-08-23,0.4467
"151",2022-08-24,0.4511
"152",2022-08-25,0.4548
"153",2022-08-26,0.446
"154",2022-08-29,0.4424
"155",2022-08-30,0.4464
"156",2022-08-31,0.452
"157",2022-09-01,0.4676
"158",2022-09-02,0.4739
"159",2022-09-06,0.4624
"160",2022-09-07,0.4568
"161",2022-09-08,0.4505
"162",2022-09-09,0.447
"163",2022-09-12,0.4437
"164",2022-09-13,0.444
"165",2022-09-14,0.4496
"166",2022-09-15,0.4497
"167",2022-09-16,0.4531
"168",2022-09-19,0.4565
"169",2022-09-20,0.4595
"170",2022-09-21,0.4668
"171",2022-09-22,0.4582
"172",2022-09-23,0.4484
"173",2022-09-26,0.4349
"174",2022-09-27,0.4351
"175",2022-09-28,0.4421
"176",2022-09-29,0.4406
"177",2022-09-30,0.4442
"178",2022-10-03,0.4486
"179",2022-10-04,0.44
"180",2022-10-05,0.4417
"181",2022-10-06,0.4445
"182",2022-10-07,0.4428
"183",2022-10-10,0.4417
"184",2022-10-11,0.4386
"185",2022-10-12,0.4439
"186",2022-10-13,0.4352
"187",2022-10-14,0.4374
"188",2022-10-17,0.4459
"189",2022-10-18,0.4347
"190",2022-10-19,0.433
"191",2022-10-20,0.4348
"192",2022-10-21,0.4316
"193",2022-10-24,0.4258
"194",2022-10-25,0.4259
"195",2022-10-26,0.4323
"196",2022-10-27,0.4286
"197",2022-10-28,0.4326
"198",2022-10-31,0.4297
"199",2022-11-01,0.4215
"200",2022-11-02,0.4214
"201",2022-11-03,0.4111
"202",2022-11-04,0.4063
"203",2022-11-07,0.4071
"204",2022-11-08,0.4123
"205",2022-11-09,0.4204
"206",2022-11-10,0.4144
"207",2022-11-11,0.416
"208",2022-11-14,0.4244
"209",2022-11-15,0.4158
"210",2022-11-16,0.4057
"211",2022-11-17,0.4023
"212",2022-11-18,0.3952
"213",2022-11-21,0.3959
"214",2022-11-22,0.3939
"215",2022-11-23,0.3907
"216",2022-11-25,0.3944
"217",2022-11-28,0.398
"218",2022-11-29,0.4033
"219",2022-11-30,0.3924
"220",2022-12-01,0.3895
"221",2022-12-02,0.3861
"222",2022-12-05,0.3768
"223",2022-12-06,0.3778
"224",2022-12-07,0.3798
"225",2022-12-08,0.3788
"226",2022-12-09,0.3837
"227",2022-12-12,0.3936
"228",2022-12-13,0.3852
"229",2022-12-14,0.3785
"230",2022-12-15,0.3732
"231",2022-12-16,0.3722
"232",2022-12-19,0.3702
"233",2022-12-20,0.3699
"234",2022-12-21,0.3707
"235",2022-12-22,0.3781
"236",2022-12-23,0.381
"237",2022-12-27,0.379
"238",2022-12-28,0.3823
"239",2022-12-29,0.3795
"240",2022-12-30,0.3938
"241",2023-01-03,0.4024
"242",2023-01-04,0.4028
"243",2023-01-05,0.3954
"244",2023-01-06,0.377
"245",2023-01-09,0.3785
"246",2023-01-10,0.3744
"247",2023-01-11,0.3788
"248",2023-01-12,0.3809
"249",2023-01-13,0.3726
"250",2023-01-17,0.3789
"251",2023-01-18,0.3788
"252",2023-01-19,0.374
"253",2023-01-20,0.3801
"254",2023-01-23,0.3829
"255",2023-01-24,0.387
"256",2023-01-25,0.3348
"257",2023-01-26,0.3004
"258",2023-01-27,0.2892
"259",2023-01-30,0.2829
"260",2023-01-31,0.2873
"261",2023-02-01,0.2892
"262",2023-02-02,0.2883
"263",2023-02-03,0.2955
"264",2023-02-06,0.3005
"265",2023-02-07,0.3055
"266",2023-02-08,0.3091
"267",2023-02-09,0.3091
"268",2023-02-10,0.3176
"269",2023-02-13,0.3122
"270",2023-02-14,0.3088
"271",2023-02-15,0.3098
"272",2023-02-16,0.3086
"273",2023-02-17,0.3027
"274",2023-02-21,0.2999
"275",2023-02-22,0.2968
"276",2023-02-23,0.2984
"277",2023-02-24,0.3079
"278",2023-02-27,0.3064
"279",2023-02-28,0.3003
"280",2023-03-01,0.3056
"281",2023-03-02,0.3026
"282",2023-03-03,0.3013
"283",2023-03-06,0.2998
"284",2023-03-07,0.2983
"285",2023-03-08,0.2987
"286",2023-03-09,0.3052
"287",2023-03-10,0.3072
"288",2023-03-13,0.3071
"289",2023-03-14,0.2953
"290",2023-03-15,0.2917
"291",2023-03-16,0.287
"292",2023-03-17,0.2867
"293",2023-03-20,0.2885
"294",2023-03-21,0.292
"295",2023-03-22,0.3002
"296",2023-03-23,0.307
"297",2023-03-24,0.3093
"298",2023-03-27,0.3061
"299",2023-03-28,0.2987
"300",2023-03-29,0.2945
"301",2023-03-30,0.2934
"302",2023-03-31,0.2891
"303",2023-04-03,0.2824
"304",2023-04-04,0.2793
"305",2023-04-05,0.2805
"306",2023-04-06,0.2827
"307",2023-04-10,0.2823
"308",2023-04-11,0.2863
"309",2023-04-12,0.2883
"310",2023-04-13,0.2936
"311",2023-04-14,0.2934
"312",2023-04-17,0.2943
"313",2023-04-18,0.3007
"314",2023-04-19,0.3016
