"","date","CZR"
"1",2020-08-14,0.1885
"2",2020-08-17,0.1718
"3",2020-08-18,0.1691
"4",2020-08-19,0.164
"5",2020-08-20,0.1608
"6",2020-08-21,0.1635
"7",2020-08-24,0.1708
"8",2020-08-25,0.193
"9",2020-08-26,0.2291
"10",2020-08-27,0.274
"11",2020-08-28,0.2834
"12",2020-08-31,0.2313
"13",2020-09-01,0.2185
"14",2020-09-02,0.2098
"15",2020-09-03,0.2083
"16",2020-09-04,0.2186
"17",2020-09-08,0.2005
"18",2020-09-09,0.2204
"19",2020-09-10,0.1688
"20",2020-09-11,0.2025
"21",2020-09-14,0.241
"22",2020-09-15,0.2709
"23",2020-09-16,0.2757
"24",2020-09-17,0.2273
"25",2020-09-18,0.2177
"26",2020-09-21,0.2123
"27",2020-09-22,0.2141
"28",2020-09-23,0.264
"29",2020-09-24,0.2459
"30",2020-09-25,0.2382
"31",2020-09-28,0.2565
"32",2020-09-29,0.2371
"33",2020-09-30,0.2409
"34",2020-10-01,0.2237
"35",2020-10-02,0.1725
"36",2020-10-05,0.1711
"37",2020-10-06,0.2019
"38",2020-10-07,0.2394
"39",2020-10-08,0.195
"40",2020-10-09,0.2466
"41",2020-10-12,0.2776
"42",2020-10-13,0.2429
"43",2020-10-14,0.2203
"44",2020-10-15,0.1986
"45",2020-10-16,0.1811
"46",2020-10-19,0.173
"47",2020-10-20,0.1748
"48",2020-10-21,0.1676
"49",2020-10-22,0.146
"50",2020-10-23,0.1294
"51",2020-10-26,0.1511
"52",2020-10-27,0.1743
"53",2020-10-28,0.1956
"54",2020-10-29,0.1909
"55",2020-10-30,0.1804
"56",2020-11-02,0.1695
"57",2020-11-03,0.1728
"58",2020-11-04,0.1772
"59",2020-11-05,0.1629
"60",2020-11-06,0.1513
"61",2020-11-09,0.145
"62",2020-11-10,0.1336
"63",2020-11-11,0.1382
"64",2020-11-12,0.1379
"65",2020-11-13,0.1464
"66",2020-11-16,0.1616
"67",2020-11-17,0.1623
"68",2020-11-18,0.1867
"69",2020-11-19,0.184
"70",2020-11-20,0.2225
"71",2020-11-23,0.2447
"72",2020-11-24,0.2044
"73",2020-11-25,0.2221
"74",2020-11-27,0.2225
"75",2020-11-30,0.2197
"76",2020-12-01,0.2402
"77",2020-12-02,0.2494
"78",2020-12-03,0.277
"79",2020-12-04,0.2547
"80",2020-12-07,0.2684
"81",2020-12-08,0.3325
"82",2020-12-09,0.3527
"83",2020-12-10,0.3562
"84",2020-12-11,0.3307
"85",2020-12-14,0.32
"86",2020-12-15,0.3196
"87",2020-12-16,0.3152
"88",2020-12-17,0.3768
"89",2020-12-18,0.3223
"90",2020-12-21,0.2937
"91",2020-12-22,0.3222
"92",2020-12-23,0.3408
"93",2020-12-24,0.3909
"94",2020-12-28,0.4042
"95",2020-12-29,0.3892
"96",2020-12-30,0.3681
"97",2020-12-31,0.3563
"98",2021-01-04,0.3454
"99",2021-01-05,0.3035
"100",2021-01-06,0.3329
"101",2021-01-07,0.3406
"102",2021-01-08,0.3089
"103",2021-01-11,0.3068
"104",2021-01-12,0.2973
"105",2021-01-13,0.2946
"106",2021-01-14,0.3241
"107",2021-01-15,0.3318
"108",2021-01-19,0.3553
"109",2021-01-20,0.3466
"110",2021-01-21,0.3404
"111",2021-01-22,0.3356
"112",2021-01-25,0.3259
"113",2021-01-26,0.3248
"114",2021-01-27,0.2906
"115",2021-01-28,0.2694
"116",2021-01-29,0.2533
"117",2021-02-01,0.2802
"118",2021-02-02,0.3691
"119",2021-02-03,0.3492
"120",2021-02-04,0.3409
"121",2021-02-05,0.3587
"122",2021-02-08,0.3365
"123",2021-02-09,0.3205
"124",2021-02-10,0.3159
"125",2021-02-11,0.3021
"126",2021-02-12,0.281
"127",2021-02-16,0.2571
"128",2021-02-17,0.2831
"129",2021-02-18,0.2563
"130",2021-02-19,0.2568
"131",2021-02-22,0.245
"132",2021-02-23,0.212
"133",2021-02-24,0.1944
"134",2021-02-25,0.1618
"135",2021-02-26,0.1626
"136",2021-03-01,0.1751
"137",2021-03-02,0.1793
"138",2021-03-03,0.163
"139",2021-03-04,0.146
"140",2021-03-05,0.1507
"141",2021-03-08,0.1762
"142",2021-03-09,0.1879
"143",2021-03-10,0.1911
"144",2021-03-11,0.1721
"145",2021-03-12,0.153
"146",2021-03-15,0.1419
"147",2021-03-16,0.1357
"148",2021-03-17,0.1306
"149",2021-03-18,0.125
"150",2021-03-19,0.1298
"151",2021-03-22,0.1472
"152",2021-03-23,0.1568
"153",2021-03-24,0.1632
"154",2021-03-25,0.1508
"155",2021-03-26,0.1329
"156",2021-03-29,0.1266
"157",2021-03-30,0.1455
"158",2021-03-31,0.1521
"159",2021-04-01,0.1504
"160",2021-04-05,0.1596
"161",2021-04-06,0.1918
"162",2021-04-07,0.2053
"163",2021-04-08,0.2177
"164",2021-04-09,0.2226
"165",2021-04-12,0.2517
"166",2021-04-13,0.2677
"167",2021-04-14,0.2763
"168",2021-04-15,0.2846
"169",2021-04-16,0.3031
"170",2021-04-19,0.3076
"171",2021-04-20,0.3417
"172",2021-04-21,0.3892
"173",2021-04-22,0.4185
"174",2021-04-23,0.4299
"175",2021-04-26,0.3929
"176",2021-04-27,0.3793
"177",2021-04-28,0.3928
"178",2021-04-29,0.4084
"179",2021-04-30,0.3802
"180",2021-05-03,0.3738
"181",2021-05-04,0.3981
"182",2021-05-05,0.3848
"183",2021-05-06,0.402
"184",2021-05-07,0.4059
"185",2021-05-10,0.3988
"186",2021-05-11,0.3789
"187",2021-05-12,0.3541
"188",2021-05-13,0.3453
"189",2021-05-14,0.3179
"190",2021-05-17,0.3333
"191",2021-05-18,0.4006
"192",2021-05-19,0.379
"193",2021-05-20,0.412
"194",2021-05-21,0.4342
"195",2021-05-24,0.4355
"196",2021-05-25,0.4511
"197",2021-05-26,0.4489
"198",2021-05-27,0.485
"199",2021-05-28,0.4231
"200",2021-06-01,0.3838
"201",2021-06-02,0.383
"202",2021-06-03,0.3554
"203",2021-06-04,0.3105
"204",2021-06-07,0.2892
"205",2021-06-08,0.2951
"206",2021-06-09,0.2918
"207",2021-06-10,0.2786
"208",2021-06-11,0.2347
"209",2021-06-14,0.2
"210",2021-06-15,0.1846
"211",2021-06-16,0.1791
"212",2021-06-17,0.1795
"213",2021-06-18,0.1848
"214",2021-06-21,0.1709
"215",2021-06-22,0.1484
"216",2021-06-23,0.1483
"217",2021-06-24,0.1579
"218",2021-06-25,0.1487
"219",2021-06-28,0.1379
"220",2021-06-29,0.1404
"221",2021-06-30,0.1402
"222",2021-07-01,0.1277
"223",2021-07-02,0.1201
"224",2021-07-06,0.1062
"225",2021-07-07,0.1099
"226",2021-07-08,0.1281
"227",2021-07-09,0.1394
"228",2021-07-12,0.1558
"229",2021-07-13,0.1537
"230",2021-07-14,0.1598
"231",2021-07-15,0.1641
"232",2021-07-16,0.1726
"233",2021-07-19,0.2021
"234",2021-07-20,0.2003
"235",2021-07-21,0.1855
"236",2021-07-22,0.1794
"237",2021-07-23,0.1579
"238",2021-07-26,0.1369
"239",2021-07-27,0.1183
"240",2021-07-28,0.1101
"241",2021-07-29,0.1334
"242",2021-07-30,0.1531
"243",2021-08-02,0.1859
"244",2021-08-03,0.2221
"245",2021-08-04,0.2633
"246",2021-08-05,0.3659
"247",2021-08-06,0.4222
"248",2021-08-09,0.4716
"249",2021-08-10,0.5133
"250",2021-08-11,0.5625
"251",2021-08-12,0.6025
"252",2021-08-13,0.5914
"253",2021-08-16,0.5915
"254",2021-08-17,0.5801
"255",2021-08-18,0.5766
"256",2021-08-19,0.5505
"257",2021-08-20,0.5296
"258",2021-08-23,0.4672
"259",2021-08-24,0.394
"260",2021-08-25,0.3627
"261",2021-08-26,0.3446
"262",2021-08-27,0.3223
"263",2021-08-30,0.2719
"264",2021-08-31,0.2498
"265",2021-09-01,0.25
"266",2021-09-02,0.2458
"267",2021-09-03,0.2557
"268",2021-09-07,0.2613
"269",2021-09-08,0.1272
"270",2021-09-09,0.0796
"271",2021-09-10,0.0688
"272",2021-09-13,0.0383
"273",2021-09-14,0.0249999999999999
"274",2021-09-15,0.0628
"275",2021-09-16,0.0531
"276",2021-09-17,0.0474
"277",2021-09-20,0.0530999999999999
"278",2021-09-21,0.0556
"279",2021-09-22,0.0804
"280",2021-09-23,0.0690000000000001
"281",2021-09-24,0.0693
"282",2021-09-27,0.0588
"283",2021-09-28,0.0342
"284",2021-09-29,0.0581
"285",2021-09-30,0.0581
"286",2021-10-01,0.0456000000000001
"287",2021-10-04,0.0660000000000001
"288",2021-10-05,0.0478000000000001
"289",2021-10-06,0.0339999999999999
"290",2021-10-07,0.0812999999999999
"291",2021-10-08,0.1049
"292",2021-10-11,0.1172
"293",2021-10-12,0.1168
"294",2021-10-13,0.1989
"295",2021-10-14,0.2359
