"","date","DVA"
"1",2020-08-14,0.5154
"2",2020-08-17,0.5066
"3",2020-08-18,0.5031
"4",2020-08-19,0.4603
"5",2020-08-20,0.4462
"6",2020-08-21,0.4538
"7",2020-08-24,0.4587
"8",2020-08-25,0.4609
"9",2020-08-26,0.4376
"10",2020-08-27,0.4238
"11",2020-08-28,0.4233
"12",2020-08-31,0.4391
"13",2020-09-01,0.462
"14",2020-09-02,0.4517
"15",2020-09-03,0.4455
"16",2020-09-04,0.4097
"17",2020-09-08,0.3919
"18",2020-09-09,0.3962
"19",2020-09-10,0.4074
"20",2020-09-11,0.4074
"21",2020-09-14,0.3913
"22",2020-09-15,0.3903
"23",2020-09-16,0.3943
"24",2020-09-17,0.4066
"25",2020-09-18,0.433
"26",2020-09-21,0.4151
"27",2020-09-22,0.4161
"28",2020-09-23,0.4073
"29",2020-09-24,0.4026
"30",2020-09-25,0.4019
"31",2020-09-28,0.4142
"32",2020-09-29,0.4157
"33",2020-09-30,0.3984
"34",2020-10-01,0.4062
"35",2020-10-02,0.4285
"36",2020-10-05,0.4292
"37",2020-10-06,0.4552
"38",2020-10-07,0.4715
"39",2020-10-08,0.4883
"40",2020-10-09,0.4792
"41",2020-10-12,0.4859
"42",2020-10-13,0.5309
"43",2020-10-14,0.5248
"44",2020-10-15,0.4913
"45",2020-10-16,0.4732
"46",2020-10-19,0.4745
"47",2020-10-20,0.4808
"48",2020-10-21,0.4853
"49",2020-10-22,0.494
"50",2020-10-23,0.4866
"51",2020-10-26,0.476
"52",2020-10-27,0.4515
"53",2020-10-28,0.4636
"54",2020-10-29,0.4729
"55",2020-10-30,0.4824
"56",2020-11-02,0.4747
"57",2020-11-03,0.4762
"58",2020-11-04,0.4888
"59",2020-11-05,0.4727
"60",2020-11-06,0.4723
"61",2020-11-09,0.5028
"62",2020-11-10,0.5004
"63",2020-11-11,0.5103
"64",2020-11-12,0.5046
"65",2020-11-13,0.5024
"66",2020-11-16,0.4936
"67",2020-11-17,0.5201
"68",2020-11-18,0.5373
"69",2020-11-19,0.5149
"70",2020-11-20,0.5001
"71",2020-11-23,0.4925
"72",2020-11-24,0.4998
"73",2020-11-25,0.512
"74",2020-11-27,0.5084
"75",2020-11-30,0.5274
"76",2020-12-01,0.5242
"77",2020-12-02,0.5299
"78",2020-12-03,0.5412
"79",2020-12-04,0.5498
"80",2020-12-07,0.5215
"81",2020-12-08,0.5116
"82",2020-12-09,0.5114
"83",2020-12-10,0.5327
"84",2020-12-11,0.5275
"85",2020-12-14,0.5383
"86",2020-12-15,0.5385
"87",2020-12-16,0.534
"88",2020-12-17,0.5211
"89",2020-12-18,0.5114
"90",2020-12-21,0.5334
"91",2020-12-22,0.5191
"92",2020-12-23,0.4955
"93",2020-12-24,0.4837
"94",2020-12-28,0.4759
"95",2020-12-29,0.4643
"96",2020-12-30,0.4517
"97",2020-12-31,0.4841
"98",2021-01-04,0.4934
"99",2021-01-05,0.4966
"100",2021-01-06,0.4655
"101",2021-01-07,0.4514
"102",2021-01-08,0.4596
"103",2021-01-11,0.4553
"104",2021-01-12,0.4452
"105",2021-01-13,0.4417
"106",2021-01-14,0.4354
"107",2021-01-15,0.4506
"108",2021-01-19,0.4588
"109",2021-01-20,0.4671
"110",2021-01-21,0.4666
"111",2021-01-22,0.4659
"112",2021-01-25,0.4521
"113",2021-01-26,0.4364
"114",2021-01-27,0.4352
"115",2021-01-28,0.4487
"116",2021-01-29,0.4411
"117",2021-02-01,0.4265
"118",2021-02-02,0.4311
"119",2021-02-03,0.4395
"120",2021-02-04,0.4426
"121",2021-02-05,0.4533
"122",2021-02-08,0.4507
"123",2021-02-09,0.4649
"124",2021-02-10,0.4447
"125",2021-02-11,0.4427
"126",2021-02-12,0.4544
"127",2021-02-16,0.484
"128",2021-02-17,0.4884
"129",2021-02-18,0.483
"130",2021-02-19,0.4864
"131",2021-02-22,0.4985
"132",2021-02-23,0.499
"133",2021-02-24,0.5218
"134",2021-02-25,0.5179
"135",2021-02-26,0.5155
"136",2021-03-01,0.4947
"137",2021-03-02,0.5085
"138",2021-03-03,0.528
"139",2021-03-04,0.5256
"140",2021-03-05,0.5053
"141",2021-03-08,0.5158
"142",2021-03-09,0.5085
"143",2021-03-10,0.4966
"144",2021-03-11,0.4999
"145",2021-03-12,0.5107
"146",2021-03-15,0.5073
"147",2021-03-16,0.5237
"148",2021-03-17,0.513
"149",2021-03-18,0.5123
"150",2021-03-19,0.5197
"151",2021-03-22,0.5376
"152",2021-03-23,0.5474
"153",2021-03-24,0.5355
"154",2021-03-25,0.5356
"155",2021-03-26,0.5355
"156",2021-03-29,0.5295
"157",2021-03-30,0.5414
"158",2021-03-31,0.5473
"159",2021-04-01,0.5557
"160",2021-04-05,0.5263
"161",2021-04-06,0.5166
"162",2021-04-07,0.4999
"163",2021-04-08,0.4918
"164",2021-04-09,0.4274
"165",2021-04-12,0.3875
"166",2021-04-13,0.3613
"167",2021-04-14,0.3808
"168",2021-04-15,0.3928
"169",2021-04-16,0.4072
"170",2021-04-19,0.4066
"171",2021-04-20,0.414
"172",2021-04-21,0.4164
"173",2021-04-22,0.4681
"174",2021-04-23,0.4918
"175",2021-04-26,0.533
"176",2021-04-27,0.5047
"177",2021-04-28,0.4976
"178",2021-04-29,0.5052
"179",2021-04-30,0.4909
"180",2021-05-03,0.5138
"181",2021-05-04,0.526
"182",2021-05-05,0.5299
"183",2021-05-06,0.5167
"184",2021-05-07,0.493
"185",2021-05-10,0.4939
"186",2021-05-11,0.4843
"187",2021-05-12,0.4853
"188",2021-05-13,0.4899
"189",2021-05-14,0.4672
"190",2021-05-17,0.4297
"191",2021-05-18,0.4225
"192",2021-05-19,0.4143
"193",2021-05-20,0.4213
"194",2021-05-21,0.4067
"195",2021-05-24,0.4795
"196",2021-05-25,0.4527
"197",2021-05-26,0.4354
"198",2021-05-27,0.4225
"199",2021-05-28,0.4054
"200",2021-06-01,0.3968
"201",2021-06-02,0.3961
"202",2021-06-03,0.3805
"203",2021-06-04,0.3796
"204",2021-06-07,0.3678
"205",2021-06-08,0.4028
"206",2021-06-09,0.3926
"207",2021-06-10,0.4242
"208",2021-06-11,0.4025
"209",2021-06-14,0.4017
"210",2021-06-15,0.3684
"211",2021-06-16,0.3968
"212",2021-06-17,0.3831
"213",2021-06-18,0.3855
"214",2021-06-21,0.3866
"215",2021-06-22,0.3807
"216",2021-06-23,0.3588
"217",2021-06-24,0.3781
"218",2021-06-25,0.3759
"219",2021-06-28,0.3867
"220",2021-06-29,0.3819
"221",2021-06-30,0.3767
"222",2021-07-01,0.3567
"223",2021-07-02,0.3637
"224",2021-07-06,0.3627
"225",2021-07-07,0.3817
"226",2021-07-08,0.3475
"227",2021-07-09,0.3522
"228",2021-07-12,0.3625
"229",2021-07-13,0.3799
"230",2021-07-14,0.3667
"231",2021-07-15,0.3497
"232",2021-07-16,0.3093
"233",2021-07-19,0.3204
"234",2021-07-20,0.3223
"235",2021-07-21,0.3668
"236",2021-07-22,0.3673
"237",2021-07-23,0.3677
"238",2021-07-26,0.3836
"239",2021-07-27,0.4069
"240",2021-07-28,0.4002
"241",2021-07-29,0.4458
"242",2021-07-30,0.4385
"243",2021-08-02,0.4392
"244",2021-08-03,0.4165
"245",2021-08-04,0.4268
"246",2021-08-05,0.4189
"247",2021-08-06,0.4336
"248",2021-08-09,0.4428
"249",2021-08-10,0.4615
"250",2021-08-11,0.4693
"251",2021-08-12,0.4771
"252",2021-08-13,0.4551
"253",2021-08-16,0.4601
"254",2021-08-17,0.4337
"255",2021-08-18,0.4326
"256",2021-08-19,0.4114
"257",2021-08-20,0.3892
"258",2021-08-23,0.3986
"259",2021-08-24,0.3965
"260",2021-08-25,0.3811
"261",2021-08-26,0.4029
"262",2021-08-27,0.3968
"263",2021-08-30,0.402
"264",2021-08-31,0.4138
"265",2021-09-01,0.4087
"266",2021-09-02,0.3812
"267",2021-09-03,0.382
"268",2021-09-07,0.387
"269",2021-09-08,0.3443
"270",2021-09-09,0.3397
"271",2021-09-10,0.3487
"272",2021-09-13,0.3334
"273",2021-09-14,0.3306
"274",2021-09-15,0.3198
"275",2021-09-16,0.348
"276",2021-09-17,0.35
"277",2021-09-20,0.3782
"278",2021-09-21,0.3736
"279",2021-09-22,0.36
"280",2021-09-23,0.3391
"281",2021-09-24,0.3256
"282",2021-09-27,0.3123
"283",2021-09-28,0.3173
"284",2021-09-29,0.3182
"285",2021-09-30,0.3325
"286",2021-10-01,0.3201
"287",2021-10-04,0.3227
"288",2021-10-05,0.3292
"289",2021-10-06,0.3418
"290",2021-10-07,0.3305
"291",2021-10-08,0.3227
"292",2021-10-11,0.3072
"293",2021-10-12,0.3108
"294",2021-10-13,0.323
"295",2021-10-14,0.3258
"296",2021-10-15,0.3199
"297",2021-10-18,0.3247
"298",2021-10-19,0.331
"299",2021-10-20,0.328
"300",2021-10-21,0.3422
"301",2021-10-22,0.3601
"302",2021-10-25,0.3482
"303",2021-10-26,0.3398
"304",2021-10-27,0.3308
"305",2021-10-28,0.3442
"306",2021-10-29,0.335
"307",2021-11-01,0.3409
"308",2021-11-02,0.3453
"309",2021-11-03,0.3361
"310",2021-11-04,0.3261
"311",2021-11-05,0.3293
"312",2021-11-08,0.3022
"313",2021-11-09,0.2971
"314",2021-11-10,0.2749
"315",2021-11-11,0.2587
"316",2021-11-12,0.2472
"317",2021-11-15,0.2421
"318",2021-11-16,0.2697
"319",2021-11-17,0.2848
"320",2021-11-18,0.2643
"321",2021-11-19,0.2745
"322",2021-11-22,0.2505
"323",2021-11-23,0.2531
"324",2021-11-24,0.257
"325",2021-11-26,0.2567
"326",2021-11-29,0.2622
"327",2021-11-30,0.2519
"328",2021-12-01,0.2418
"329",2021-12-02,0.2388
"330",2021-12-03,0.2512
"331",2021-12-06,0.2717
"332",2021-12-07,0.2588
"333",2021-12-08,0.2712
"334",2021-12-09,0.2843
"335",2021-12-10,0.2821
"336",2021-12-13,0.2843
"337",2021-12-14,0.2963
"338",2021-12-15,0.294
"339",2021-12-16,0.3018
"340",2021-12-17,0.3062
"341",2021-12-20,0.3165
"342",2021-12-21,0.3039
"343",2021-12-22,0.2968
"344",2021-12-23,0.3032
"345",2021-12-27,0.3062
"346",2021-12-28,0.285
"347",2021-12-29,0.2925
"348",2021-12-30,0.3003
"349",2021-12-31,0.3195
"350",2022-01-03,0.3169
"351",2022-01-04,0.3287
"352",2022-01-05,0.3176
"353",2022-01-06,0.2998
"354",2022-01-07,0.3084
"355",2022-01-10,0.3198
"356",2022-01-11,0.3091
"357",2022-01-12,0.3028
"358",2022-01-13,0.2933
"359",2022-01-14,0.2879
"360",2022-01-18,0.2756
"361",2022-01-19,0.2888
"362",2022-01-20,0.272
"363",2022-01-21,0.2707
"364",2022-01-24,0.2566
"365",2022-01-25,0.2596
"366",2022-01-26,0.2693
"367",2022-01-27,0.2733
"368",2022-01-28,0.2786
"369",2022-01-31,0.2892
"370",2022-02-01,0.2855
"371",2022-02-02,0.2851
"372",2022-02-03,0.2655
"373",2022-02-04,0.2809
"374",2022-02-07,0.29
"375",2022-02-08,0.279
"376",2022-02-09,0.2658
"377",2022-02-10,0.2623
"378",2022-02-11,0.2923
"379",2022-02-14,0.3
"380",2022-02-15,0.3089
"381",2022-02-16,0.3316
"382",2022-02-17,0.323
"383",2022-02-18,0.3141
"384",2022-02-22,0.3193
"385",2022-02-23,0.3468
"386",2022-02-24,0.3336
"387",2022-02-25,0.3312
"388",2022-02-28,0.3156
"389",2022-03-01,0.3156
"390",2022-03-02,0.3169
"391",2022-03-03,0.3311
"392",2022-03-04,0.3194
"393",2022-03-07,0.316
"394",2022-03-08,0.3097
"395",2022-03-09,0.3028
"396",2022-03-10,0.3161
"397",2022-03-11,0.3075
"398",2022-03-14,0.2987
"399",2022-03-15,0.2921
"400",2022-03-16,0.2632
"401",2022-03-17,0.2516
"402",2022-03-18,0.2351
"403",2022-03-21,0.2432
"404",2022-03-22,0.2642
"405",2022-03-23,0.2498
"406",2022-03-24,0.2408
"407",2022-03-25,0.2477
"408",2022-03-28,0.2353
"409",2022-03-29,0.23
"410",2022-03-30,0.2012
"411",2022-03-31,0.1988
"412",2022-04-01,0.1849
"413",2022-04-04,0.1913
"414",2022-04-05,0.2216
"415",2022-04-06,0.242
"416",2022-04-07,0.2354
"417",2022-04-08,0.2396
"418",2022-04-11,0.2282
"419",2022-04-12,0.2287
"420",2022-04-13,0.2294
"421",2022-04-14,0.2482
"422",2022-04-18,0.2335
"423",2022-04-19,0.2183
"424",2022-04-20,0.2087
"425",2022-04-21,0.2094
"426",2022-04-22,0.2203
"427",2022-04-25,0.2174
"428",2022-04-26,0.2292
"429",2022-04-27,0.2546
"430",2022-04-28,0.2472
"431",2022-04-29,0.248
"432",2022-05-02,0.2309
"433",2022-05-03,0.2335
"434",2022-05-04,0.2381
"435",2022-05-05,0.2436
"436",2022-05-06,0.24
"437",2022-05-09,0.245
"438",2022-05-10,0.2689
"439",2022-05-11,0.2731
"440",2022-05-12,0.2839
