"","date","EMN"
"1",2020-08-14,0.2119
"2",2020-08-17,0.2186
"3",2020-08-18,0.243
"4",2020-08-19,0.2237
"5",2020-08-20,0.2091
"6",2020-08-21,0.2351
"7",2020-08-24,0.2322
"8",2020-08-25,0.238
"9",2020-08-26,0.2295
"10",2020-08-27,0.2173
"11",2020-08-28,0.2151
"12",2020-08-31,0.2136
"13",2020-09-01,0.2333
"14",2020-09-02,0.1915
"15",2020-09-03,0.1984
"16",2020-09-04,0.2049
"17",2020-09-08,0.1636
"18",2020-09-09,0.1493
"19",2020-09-10,0.1459
"20",2020-09-11,0.1263
"21",2020-09-14,0.1538
"22",2020-09-15,0.2431
"23",2020-09-16,0.2859
"24",2020-09-17,0.292
"25",2020-09-18,0.2919
"26",2020-09-21,0.2652
"27",2020-09-22,0.2211
"28",2020-09-23,0.2059
"29",2020-09-24,0.1772
"30",2020-09-25,0.139
"31",2020-09-28,0.1308
"32",2020-09-29,0.1142
"33",2020-09-30,0.1023
"34",2020-10-01,0.0818
"35",2020-10-02,0.0881999999999999
"36",2020-10-05,0.0959
"37",2020-10-06,0.1195
"38",2020-10-07,0.1031
"39",2020-10-08,0.0788
"40",2020-10-09,0.0559000000000001
"41",2020-10-12,0.0533
"42",2020-10-13,0.0538999999999999
"43",2020-10-14,0.0561999999999999
"44",2020-10-15,0.0395
"45",2020-10-16,0.0497
"46",2020-10-19,0.0394
"47",2020-10-20,0.0421
"48",2020-10-21,0.0366
"49",2020-10-22,0.0347999999999999
"50",2020-10-23,0.0493
"51",2020-10-26,0.051
"52",2020-10-27,0.0451
"53",2020-10-28,0.0548999999999999
"54",2020-10-29,0.0609
"55",2020-10-30,0.0504
"56",2020-11-02,0.0475
"57",2020-11-03,0.0749
"58",2020-11-04,0.0766
"59",2020-11-05,0.0588
"60",2020-11-06,0.0372
"61",2020-11-09,0.0482
"62",2020-11-10,0.0482
"63",2020-11-11,0.0393
"64",2020-11-12,0.0403
"65",2020-11-13,0.0422
"66",2020-11-16,0.0397
"67",2020-11-17,0.0468
"68",2020-11-18,0.0498
"69",2020-11-19,0.0401999999999999
"70",2020-11-20,0.0432
"71",2020-11-23,0.0436
"72",2020-11-24,0.0426
"73",2020-11-25,0.0631
"74",2020-11-27,0.0431
"75",2020-11-30,0.0487
"76",2020-12-01,0.0519999999999999
"77",2020-12-02,0.0561
"78",2020-12-03,0.0498
"79",2020-12-04,0.0609
"80",2020-12-07,0.0533
"81",2020-12-08,0.0526
"82",2020-12-09,0.0672
"83",2020-12-10,0.0798000000000001
"84",2020-12-11,0.0629999999999999
"85",2020-12-14,0.0786
"86",2020-12-15,0.0772
"87",2020-12-16,0.0722999999999999
"88",2020-12-17,0.0680999999999999
"89",2020-12-18,0.0479000000000001
"90",2020-12-21,0.0547
"91",2020-12-22,0.0592
"92",2020-12-23,0.0594
"93",2020-12-24,0.0935
"94",2020-12-28,0.0815
"95",2020-12-29,0.0889
"96",2020-12-30,0.101
"97",2020-12-31,0.1129
"98",2021-01-04,0.0989
"99",2021-01-05,0.0762
"100",2021-01-06,0.0496
"101",2021-01-07,0.0491999999999999
"102",2021-01-08,0.0605
"103",2021-01-11,0.0783
"104",2021-01-12,0.0485
"105",2021-01-13,0.0446
"106",2021-01-14,0.0774
"107",2021-01-15,0.0987
"108",2021-01-19,0.0935
"109",2021-01-20,0.0917
"110",2021-01-21,0.0670999999999999
"111",2021-01-22,0.0712
"112",2021-01-25,0.0915
"113",2021-01-26,0.0973000000000001
"114",2021-01-27,0.0756
"115",2021-01-28,0.0601
"116",2021-01-29,0.0554
"117",2021-02-01,0.0528000000000001
"118",2021-02-02,0.0637000000000001
"119",2021-02-03,0.0635
"120",2021-02-04,0.0448
"121",2021-02-05,0.0557
"122",2021-02-08,0.0529999999999999
"123",2021-02-09,0.0501
"124",2021-02-10,0.0605
"125",2021-02-11,0.0597
"126",2021-02-12,0.0575
"127",2021-02-16,0.0556
"128",2021-02-17,0.0654
"129",2021-02-18,0.0719
"130",2021-02-19,0.0766
"131",2021-02-22,0.0861
"132",2021-02-23,0.0836
"133",2021-02-24,0.0726
"134",2021-02-25,0.0872999999999999
"135",2021-02-26,0.0923
"136",2021-03-01,0.0840000000000001
"137",2021-03-02,0.0927
"138",2021-03-03,0.0912000000000001
"139",2021-03-04,0.1052
"140",2021-03-05,0.1122
"141",2021-03-08,0.1101
"142",2021-03-09,0.1002
"143",2021-03-10,0.0946
"144",2021-03-11,0.1042
"145",2021-03-12,0.0914999999999999
"146",2021-03-15,0.1064
"147",2021-03-16,0.1178
"148",2021-03-17,0.1295
"149",2021-03-18,0.1486
"150",2021-03-19,0.1516
"151",2021-03-22,0.1329
"152",2021-03-23,0.1381
"153",2021-03-24,0.1427
"154",2021-03-25,0.1524
"155",2021-03-26,0.1574
"156",2021-03-29,0.1551
"157",2021-03-30,0.1347
"158",2021-03-31,0.1335
"159",2021-04-01,0.136
"160",2021-04-05,0.1242
"161",2021-04-06,0.1243
"162",2021-04-07,0.0951
"163",2021-04-08,0.0704
"164",2021-04-09,0.0801999999999999
"165",2021-04-12,0.0666
"166",2021-04-13,0.0499000000000001
"167",2021-04-14,0.0454000000000001
"168",2021-04-15,0.0481
"169",2021-04-16,0.0614
"170",2021-04-19,0.0407
"171",2021-04-20,0.0423
"172",2021-04-21,0.0637
"173",2021-04-22,0.0729
"174",2021-04-23,0.0574
"175",2021-04-26,0.0591
"176",2021-04-27,0.0697
"177",2021-04-28,0.0792999999999999
"178",2021-04-29,0.0949
"179",2021-04-30,0.0884
"180",2021-05-03,0.0658
"181",2021-05-04,0.0712
"182",2021-05-05,0.0733
"183",2021-05-06,0.0801
"184",2021-05-07,0.0653
"185",2021-05-10,0.0695
"186",2021-05-11,0.0911999999999999
"187",2021-05-12,0.105
"188",2021-05-13,0.0927999999999999
"189",2021-05-14,0.0884
"190",2021-05-17,0.1038
"191",2021-05-18,0.1373
"192",2021-05-19,0.1216
"193",2021-05-20,0.1431
"194",2021-05-21,0.0969
"195",2021-05-24,0.0645000000000001
"196",2021-05-25,0.0691
"197",2021-05-26,0.0462
"198",2021-05-27,0.0525
"199",2021-05-28,0.0401
"200",2021-06-01,0.037
"201",2021-06-02,0.0505000000000001
"202",2021-06-03,0.0482
"203",2021-06-04,0.0633
"204",2021-06-07,0.0803999999999999
"205",2021-06-08,0.0814
"206",2021-06-09,0.0825
"207",2021-06-10,0.0821
"208",2021-06-11,0.0958
"209",2021-06-14,0.1208
"210",2021-06-15,0.1384
"211",2021-06-16,0.1349
