"","date","ETSY"
"1",2022-01-19,0.2384
"2",2022-01-20,0.2321
"3",2022-01-21,0.2284
"4",2022-01-24,0.2261
"5",2022-01-25,0.2194
"6",2022-01-26,0.2296
"7",2022-01-27,0.2306
"8",2022-01-28,0.2319
"9",2022-01-31,0.2317
"10",2022-02-01,0.2437
"11",2022-02-02,0.2504
"12",2022-02-03,0.244
"13",2022-02-04,0.2427
"14",2022-02-07,0.2392
"15",2022-02-08,0.2435
"16",2022-02-09,0.2389
"17",2022-02-10,0.2308
"18",2022-02-11,0.2402
"19",2022-02-14,0.2439
"20",2022-02-15,0.2483
"21",2022-02-16,0.2533
"22",2022-02-17,0.2634
"23",2022-02-18,0.2541
"24",2022-02-22,0.2497
"25",2022-02-23,0.2456
"26",2022-02-24,0.2407
"27",2022-02-25,0.2418
"28",2022-02-28,0.2497
"29",2022-03-01,0.2509
"30",2022-03-02,0.2523
"31",2022-03-03,0.2595
"32",2022-03-04,0.2651
"33",2022-03-07,0.2677
"34",2022-03-08,0.2676
"35",2022-03-09,0.2546
"36",2022-03-10,0.2479
"37",2022-03-11,0.2467
"38",2022-03-14,0.2517
"39",2022-03-15,0.2577
"40",2022-03-16,0.2666
"41",2022-03-17,0.2645
"42",2022-03-18,0.2776
"43",2022-03-21,0.2757
"44",2022-03-22,0.2735
"45",2022-03-23,0.27
"46",2022-03-24,0.2746
"47",2022-03-25,0.2676
"48",2022-03-28,0.2693
"49",2022-03-29,0.2712
"50",2022-03-30,0.2697
"51",2022-03-31,0.2675
"52",2022-04-01,0.2669
"53",2022-04-04,0.2689
"54",2022-04-05,0.2681
"55",2022-04-06,0.2661
"56",2022-04-07,0.2597
"57",2022-04-08,0.2656
"58",2022-04-11,0.271
"59",2022-04-12,0.2687
"60",2022-04-13,0.2707
"61",2022-04-14,0.2775
"62",2022-04-18,0.2725
"63",2022-04-19,0.2704
"64",2022-04-20,0.2724
"65",2022-04-21,0.2676
"66",2022-04-22,0.2782
"67",2022-04-25,0.2823
"68",2022-04-26,0.2859
"69",2022-04-27,0.2778
"70",2022-04-28,0.2885
"71",2022-04-29,0.2889
"72",2022-05-02,0.2927
"73",2022-05-03,0.2894
"74",2022-05-04,0.2893
"75",2022-05-05,0.2844
"76",2022-05-06,0.2842
"77",2022-05-09,0.2823
"78",2022-05-10,0.2876
"79",2022-05-11,0.2919
"80",2022-05-12,0.2914
"81",2022-05-13,0.2929
"82",2022-05-16,0.2938
"83",2022-05-17,0.2912
"84",2022-05-18,0.2913
"85",2022-05-19,0.2901
"86",2022-05-20,0.285
"87",2022-05-23,0.2861
"88",2022-05-24,0.2949
"89",2022-05-25,0.2828
"90",2022-05-26,0.2873
"91",2022-05-27,0.2939
"92",2022-05-31,0.296
"93",2022-06-01,0.2963
"94",2022-06-02,0.3043
"95",2022-06-03,0.3003
"96",2022-06-06,0.2973
"97",2022-06-07,0.2976
"98",2022-06-08,0.2938
"99",2022-06-09,0.2924
"100",2022-06-10,0.2869
"101",2022-06-13,0.288
"102",2022-06-14,0.2932
"103",2022-06-15,0.2896
"104",2022-06-16,0.2883
"105",2022-06-17,0.2911
"106",2022-06-21,0.2999
"107",2022-06-22,0.2872
"108",2022-06-23,0.2853
"109",2022-06-24,0.29
"110",2022-06-27,0.2966
"111",2022-06-28,0.3015
"112",2022-06-29,0.3094
"113",2022-06-30,0.3057
"114",2022-07-01,0.2982
"115",2022-07-05,0.2842
"116",2022-07-06,0.2805
"117",2022-07-07,0.2801
"118",2022-07-08,0.2923
"119",2022-07-11,0.2868
"120",2022-07-12,0.2858
"121",2022-07-13,0.2864
"122",2022-07-14,0.2814
"123",2022-07-15,0.2829
"124",2022-07-18,0.2802
"125",2022-07-19,0.2721
"126",2022-07-20,0.2763
"127",2022-07-21,0.2841
"128",2022-07-22,0.2804
"129",2022-07-25,0.2729
"130",2022-07-26,0.2802
"131",2022-07-27,0.2781
"132",2022-07-28,0.2836
"133",2022-07-29,0.2779
"134",2022-08-01,0.2747
"135",2022-08-02,0.2717
"136",2022-08-03,0.2769
"137",2022-08-04,0.2689
"138",2022-08-05,0.2699
"139",2022-08-08,0.2681
"140",2022-08-09,0.267
"141",2022-08-10,0.2725
"142",2022-08-11,0.2727
"143",2022-08-12,0.2655
"144",2022-08-15,0.2618
"145",2022-08-16,0.2614
"146",2022-08-17,0.2546
"147",2022-08-18,0.2493
"148",2022-08-19,0.2523
"149",2022-08-22,0.2525
"150",2022-08-23,0.2533
"151",2022-08-24,0.2623
"152",2022-08-25,0.266
"153",2022-08-26,0.2622
"154",2022-08-29,0.27
"155",2022-08-30,0.2585
"156",2022-08-31,0.2515
"157",2022-09-01,0.2571
"158",2022-09-02,0.2634
"159",2022-09-06,0.2614
"160",2022-09-07,0.2644
"161",2022-09-08,0.2596
"162",2022-09-09,0.2796
"163",2022-09-12,0.2826
"164",2022-09-13,0.2874
"165",2022-09-14,0.2997
"166",2022-09-15,0.3044
"167",2022-09-16,0.2938
"168",2022-09-19,0.2929
"169",2022-09-20,0.2897
"170",2022-09-21,0.2835
"171",2022-09-22,0.2841
"172",2022-09-23,0.2838
"173",2022-09-26,0.2745
"174",2022-09-27,0.2745
"175",2022-09-28,0.2679
"176",2022-09-29,0.2582
"177",2022-09-30,0.2545
"178",2022-10-03,0.2601
"179",2022-10-04,0.25
"180",2022-10-05,0.2509
"181",2022-10-06,0.2523
"182",2022-10-07,0.2653
"183",2022-10-10,0.2777
"184",2022-10-11,0.2837
"185",2022-10-12,0.2897
"186",2022-10-13,0.2967
"187",2022-10-14,0.2917
"188",2022-10-17,0.283
"189",2022-10-18,0.2734
"190",2022-10-19,0.2742
"191",2022-10-20,0.2752
"192",2022-10-21,0.271
"193",2022-10-24,0.2664
"194",2022-10-25,0.2493
"195",2022-10-26,0.2367
"196",2022-10-27,0.2442
"197",2022-10-28,0.2388
"198",2022-10-31,0.239
"199",2022-11-01,0.2287
"200",2022-11-02,0.2251
"201",2022-11-03,0.2211
"202",2022-11-04,0.2277
