"","date","FFIV"
"1",2022-01-19,0.2119
"2",2022-01-20,0.2062
"3",2022-01-21,0.23
"4",2022-01-24,0.2084
"5",2022-01-25,0.2009
"6",2022-01-26,0.2067
"7",2022-01-27,0.2167
"8",2022-01-28,0.2303
"9",2022-01-31,0.2347
"10",2022-02-01,0.2282
"11",2022-02-02,0.216
"12",2022-02-03,0.2009
"13",2022-02-04,0.2208
"14",2022-02-07,0.2124
"15",2022-02-08,0.2159
"16",2022-02-09,0.223
"17",2022-02-10,0.221
"18",2022-02-11,0.222
"19",2022-02-14,0.2207
"20",2022-02-15,0.2215
"21",2022-02-16,0.2153
"22",2022-02-17,0.2138
"23",2022-02-18,0.226
"24",2022-02-22,0.2194
"25",2022-02-23,0.2315
"26",2022-02-24,0.2163
"27",2022-02-25,0.2074
"28",2022-02-28,0.2051
"29",2022-03-01,0.2149
"30",2022-03-02,0.1927
"31",2022-03-03,0.1851
"32",2022-03-04,0.182
"33",2022-03-07,0.1951
"34",2022-03-08,0.1796
"35",2022-03-09,0.1721
"36",2022-03-10,0.1699
"37",2022-03-11,0.1756
"38",2022-03-14,0.1859
"39",2022-03-15,0.2012
"40",2022-03-16,0.2027
"41",2022-03-17,0.1875
"42",2022-03-18,0.1784
"43",2022-03-21,0.1913
"44",2022-03-22,0.1754
"45",2022-03-23,0.175
"46",2022-03-24,0.1745
"47",2022-03-25,0.1777
"48",2022-03-28,0.1834
"49",2022-03-29,0.19
"50",2022-03-30,0.1861
"51",2022-03-31,0.1875
"52",2022-04-01,0.1855
"53",2022-04-04,0.2063
"54",2022-04-05,0.1894
"55",2022-04-06,0.1976
"56",2022-04-07,0.1906
"57",2022-04-08,0.1956
"58",2022-04-11,0.2006
"59",2022-04-12,0.1948
"60",2022-04-13,0.1886
"61",2022-04-14,0.1982
"62",2022-04-18,0.1901
"63",2022-04-19,0.2054
"64",2022-04-20,0.1986
"65",2022-04-21,0.1947
"66",2022-04-22,0.1957
"67",2022-04-25,0.2018
"68",2022-04-26,0.214
"69",2022-04-27,0.2099
"70",2022-04-28,0.206
"71",2022-04-29,0.1966
"72",2022-05-02,0.1902
"73",2022-05-03,0.2146
"74",2022-05-04,0.204
"75",2022-05-05,0.2024
"76",2022-05-06,0.2022
"77",2022-05-09,0.2101
"78",2022-05-10,0.2171
"79",2022-05-11,0.231
"80",2022-05-12,0.2345
"81",2022-05-13,0.2466
"82",2022-05-16,0.2369
"83",2022-05-17,0.24
"84",2022-05-18,0.2187
"85",2022-05-19,0.2344
"86",2022-05-20,0.2396
"87",2022-05-23,0.2365
"88",2022-05-24,0.2318
"89",2022-05-25,0.2336
"90",2022-05-26,0.2332
"91",2022-05-27,0.2304
"92",2022-05-31,0.2379
"93",2022-06-01,0.261
"94",2022-06-02,0.2497
"95",2022-06-03,0.2463
"96",2022-06-06,0.2438
"97",2022-06-07,0.2455
"98",2022-06-08,0.2412
"99",2022-06-09,0.2522
"100",2022-06-10,0.2524
"101",2022-06-13,0.2462
"102",2022-06-14,0.2315
"103",2022-06-15,0.253
"104",2022-06-16,0.2493
"105",2022-06-17,0.2434
"106",2022-06-21,0.2448
"107",2022-06-22,0.2474
"108",2022-06-23,0.2537
"109",2022-06-24,0.267
"110",2022-06-27,0.2524
"111",2022-06-28,0.2476
"112",2022-06-29,0.2482
"113",2022-06-30,0.2625
"114",2022-07-01,0.2542
"115",2022-07-05,0.2554
"116",2022-07-06,0.2562
"117",2022-07-07,0.2583
"118",2022-07-08,0.2689
"119",2022-07-11,0.2701
"120",2022-07-12,0.2588
"121",2022-07-13,0.2595
"122",2022-07-14,0.2479
"123",2022-07-15,0.2764
"124",2022-07-18,0.2604
"125",2022-07-19,0.2501
"126",2022-07-20,0.245
"127",2022-07-21,0.2534
"128",2022-07-22,0.2649
"129",2022-07-25,0.2696
"130",2022-07-26,0.2641
"131",2022-07-27,0.2531
"132",2022-07-28,0.2409
"133",2022-07-29,0.2696
"134",2022-08-01,0.2634
"135",2022-08-02,0.2607
"136",2022-08-03,0.2613
"137",2022-08-04,0.2701
"138",2022-08-05,0.2667
"139",2022-08-08,0.2585
"140",2022-08-09,0.2572
"141",2022-08-10,0.2595
"142",2022-08-11,0.2473
"143",2022-08-12,0.2572
"144",2022-08-15,0.2468
"145",2022-08-16,0.2565
"146",2022-08-17,0.2565
"147",2022-08-18,0.2412
"148",2022-08-19,0.2437
"149",2022-08-22,0.2429
"150",2022-08-23,0.2448
"151",2022-08-24,0.2559
"152",2022-08-25,0.262
"153",2022-08-26,0.279
"154",2022-08-29,0.2607
"155",2022-08-30,0.254
"156",2022-08-31,0.2485
"157",2022-09-01,0.268
"158",2022-09-02,0.2562
"159",2022-09-06,0.2694
"160",2022-09-07,0.2678
"161",2022-09-08,0.2593
"162",2022-09-09,0.2512
"163",2022-09-12,0.2655
"164",2022-09-13,0.2508
"165",2022-09-14,0.2531
"166",2022-09-15,0.2509
"167",2022-09-16,0.2474
"168",2022-09-19,0.2468
"169",2022-09-20,0.2517
"170",2022-09-21,0.2467
"171",2022-09-22,0.2451
"172",2022-09-23,0.2414
"173",2022-09-26,0.2462
"174",2022-09-27,0.2288
"175",2022-09-28,0.222
"176",2022-09-29,0.2118
"177",2022-09-30,0.1991
"178",2022-10-03,0.2
"179",2022-10-04,0.1942
"180",2022-10-05,0.1867
"181",2022-10-06,0.1889
"182",2022-10-07,0.1825
"183",2022-10-10,0.2104
"184",2022-10-11,0.1994
"185",2022-10-12,0.2009
"186",2022-10-13,0.1881
"187",2022-10-14,0.1924
"188",2022-10-17,0.1941
"189",2022-10-18,0.1925
"190",2022-10-19,0.1829
"191",2022-10-20,0.1732
"192",2022-10-21,0.1636
"193",2022-10-24,0.188
"194",2022-10-25,0.1784
