"","date","FMC"
"1",2020-08-14,0.4212
"2",2020-08-17,0.4035
"3",2020-08-18,0.4243
"4",2020-08-19,0.4173
"5",2020-08-20,0.4093
"6",2020-08-21,0.4149
"7",2020-08-24,0.4055
"8",2020-08-25,0.413
"9",2020-08-26,0.4345
"10",2020-08-27,0.4645
"11",2020-08-28,0.4884
"12",2020-08-31,0.4727
"13",2020-09-01,0.5004
"14",2020-09-02,0.4479
"15",2020-09-03,0.4691
"16",2020-09-04,0.4837
"17",2020-09-08,0.49
"18",2020-09-09,0.4835
"19",2020-09-10,0.4892
"20",2020-09-11,0.4343
"21",2020-09-14,0.4397
"22",2020-09-15,0.4524
"23",2020-09-16,0.464
"24",2020-09-17,0.4452
"25",2020-09-18,0.4619
"26",2020-09-21,0.433
"27",2020-09-22,0.4397
"28",2020-09-23,0.4636
"29",2020-09-24,0.4392
"30",2020-09-25,0.4032
"31",2020-09-28,0.4299
"32",2020-09-29,0.4268
"33",2020-09-30,0.4064
"34",2020-10-01,0.3596
"35",2020-10-02,0.3601
"36",2020-10-05,0.3449
"37",2020-10-06,0.3646
"38",2020-10-07,0.3604
"39",2020-10-08,0.3925
"40",2020-10-09,0.3807
"41",2020-10-12,0.3899
"42",2020-10-13,0.4009
"43",2020-10-14,0.4124
"44",2020-10-15,0.3594
"45",2020-10-16,0.3284
"46",2020-10-19,0.2994
"47",2020-10-20,0.3259
"48",2020-10-21,0.3326
"49",2020-10-22,0.3424
"50",2020-10-23,0.3075
"51",2020-10-26,0.2876
"52",2020-10-27,0.2731
"53",2020-10-28,0.2717
"54",2020-10-29,0.2432
"55",2020-10-30,0.2476
"56",2020-11-02,0.1839
"57",2020-11-03,0.174
"58",2020-11-04,0.1851
"59",2020-11-05,0.1807
"60",2020-11-06,0.1691
"61",2020-11-09,0.218
"62",2020-11-10,0.191
"63",2020-11-11,0.2041
"64",2020-11-12,0.1831
"65",2020-11-13,0.1935
"66",2020-11-16,0.2104
"67",2020-11-17,0.2288
"68",2020-11-18,0.244
"69",2020-11-19,0.2661
"70",2020-11-20,0.2838
"71",2020-11-23,0.3092
"72",2020-11-24,0.2975
"73",2020-11-25,0.3152
"74",2020-11-27,0.273
"75",2020-11-30,0.2979
"76",2020-12-01,0.2988
"77",2020-12-02,0.3055
"78",2020-12-03,0.2832
"79",2020-12-04,0.3029
"80",2020-12-07,0.3126
"81",2020-12-08,0.3496
"82",2020-12-09,0.3826
"83",2020-12-10,0.4161
"84",2020-12-11,0.3743
"85",2020-12-14,0.3581
"86",2020-12-15,0.325
"87",2020-12-16,0.3479
"88",2020-12-17,0.3589
"89",2020-12-18,0.3387
"90",2020-12-21,0.3199
"91",2020-12-22,0.3361
"92",2020-12-23,0.3393
"93",2020-12-24,0.3553
"94",2020-12-28,0.3473
"95",2020-12-29,0.3703
"96",2020-12-30,0.3665
"97",2020-12-31,0.3842
"98",2021-01-04,0.3681
"99",2021-01-05,0.3756
"100",2021-01-06,0.3309
"101",2021-01-07,0.3246
"102",2021-01-08,0.337
"103",2021-01-11,0.3656
"104",2021-01-12,0.327
"105",2021-01-13,0.3469
"106",2021-01-14,0.3406
"107",2021-01-15,0.3412
"108",2021-01-19,0.3394
"109",2021-01-20,0.3524
"110",2021-01-21,0.3109
"111",2021-01-22,0.3007
"112",2021-01-25,0.3158
"113",2021-01-26,0.3459
"114",2021-01-27,0.3216
"115",2021-01-28,0.3247
"116",2021-01-29,0.3081
"117",2021-02-01,0.3091
"118",2021-02-02,0.3171
"119",2021-02-03,0.3388
"120",2021-02-04,0.3247
"121",2021-02-05,0.3421
"122",2021-02-08,0.3172
"123",2021-02-09,0.3226
"124",2021-02-10,0.288
"125",2021-02-11,0.2893
"126",2021-02-12,0.2814
"127",2021-02-16,0.3092
"128",2021-02-17,0.2926
"129",2021-02-18,0.3084
"130",2021-02-19,0.3208
"131",2021-02-22,0.3527
"132",2021-02-23,0.3496
"133",2021-02-24,0.3454
"134",2021-02-25,0.2842
"135",2021-02-26,0.2849
"136",2021-03-01,0.2811
"137",2021-03-02,0.2868
"138",2021-03-03,0.3084
"139",2021-03-04,0.303
"140",2021-03-05,0.2824
"141",2021-03-08,0.2854
"142",2021-03-09,0.2867
"143",2021-03-10,0.3176
"144",2021-03-11,0.2843
"145",2021-03-12,0.3082
"146",2021-03-15,0.2831
"147",2021-03-16,0.2916
"148",2021-03-17,0.2875
"149",2021-03-18,0.2797
"150",2021-03-19,0.2593
"151",2021-03-22,0.2918
"152",2021-03-23,0.2917
"153",2021-03-24,0.3011
"154",2021-03-25,0.2849
"155",2021-03-26,0.2704
"156",2021-03-29,0.2417
"157",2021-03-30,0.2663
"158",2021-03-31,0.2582
"159",2021-04-01,0.269
"160",2021-04-05,0.2686
"161",2021-04-06,0.2405
"162",2021-04-07,0.252
"163",2021-04-08,0.296
"164",2021-04-09,0.2869
"165",2021-04-12,0.3239
"166",2021-04-13,0.3211
"167",2021-04-14,0.346
"168",2021-04-15,0.3622
"169",2021-04-16,0.3651
"170",2021-04-19,0.3743
"171",2021-04-20,0.4452
"172",2021-04-21,0.4517
"173",2021-04-22,0.4658
"174",2021-04-23,0.4215
"175",2021-04-26,0.4217
"176",2021-04-27,0.377
"177",2021-04-28,0.3698
"178",2021-04-29,0.3746
"179",2021-04-30,0.3746
"180",2021-05-03,0.3615
"181",2021-05-04,0.3697
"182",2021-05-05,0.3573
"183",2021-05-06,0.3578
"184",2021-05-07,0.3261
"185",2021-05-10,0.3332
"186",2021-05-11,0.3293
"187",2021-05-12,0.3376
"188",2021-05-13,0.2996
"189",2021-05-14,0.2892
"190",2021-05-17,0.2877
"191",2021-05-18,0.2992
"192",2021-05-19,0.2899
"193",2021-05-20,0.3024
"194",2021-05-21,0.2348
"195",2021-05-24,0.2417
"196",2021-05-25,0.217
"197",2021-05-26,0.2415
"198",2021-05-27,0.2595
"199",2021-05-28,0.2561
"200",2021-06-01,0.2225
"201",2021-06-02,0.2318
"202",2021-06-03,0.2226
"203",2021-06-04,0.2299
"204",2021-06-07,0.1917
"205",2021-06-08,0.1945
"206",2021-06-09,0.1649
"207",2021-06-10,0.1781
"208",2021-06-11,0.1886
"209",2021-06-14,0.2052
"210",2021-06-15,0.1867
"211",2021-06-16,0.1841
"212",2021-06-17,0.1793
"213",2021-06-18,0.1576
"214",2021-06-21,0.1454
"215",2021-06-22,0.1541
"216",2021-06-23,0.1171
"217",2021-06-24,0.1456
"218",2021-06-25,0.1547
"219",2021-06-28,0.1596
"220",2021-06-29,0.1436
"221",2021-06-30,0.1161
"222",2021-07-01,0.103
"223",2021-07-02,0.1042
"224",2021-07-06,0.0802999999999999
"225",2021-07-07,0.0985
"226",2021-07-08,0.0750999999999999
"227",2021-07-09,0.0899
"228",2021-07-12,0.0732
"229",2021-07-13,0.1053
"230",2021-07-14,0.0771000000000001
"231",2021-07-15,0.0642
"232",2021-07-16,0.0622
"233",2021-07-19,0.077
"234",2021-07-20,0.0969
"235",2021-07-21,0.1204
"236",2021-07-22,0.1285
"237",2021-07-23,0.1278
"238",2021-07-26,0.1704
"239",2021-07-27,0.2137
"240",2021-07-28,0.2502
"241",2021-07-29,0.2543
"242",2021-07-30,0.3054
"243",2021-08-02,0.3166
"244",2021-08-03,0.3443
"245",2021-08-04,0.406
"246",2021-08-05,0.4484
"247",2021-08-06,0.5183
"248",2021-08-09,0.5438
"249",2021-08-10,0.5584
"250",2021-08-11,0.5805
"251",2021-08-12,0.581
"252",2021-08-13,0.5562
"253",2021-08-16,0.5373
"254",2021-08-17,0.3622
"255",2021-08-18,0.3288
"256",2021-08-19,0.3322
"257",2021-08-20,0.3651
"258",2021-08-23,0.3984
"259",2021-08-24,0.4227
"260",2021-08-25,0.4011
"261",2021-08-26,0.3741
"262",2021-08-27,0.3939
"263",2021-08-30,0.3848
"264",2021-08-31,0.4233
"265",2021-09-01,0.3726
"266",2021-09-02,0.3479
"267",2021-09-03,0.3459
"268",2021-09-07,0.3601
"269",2021-09-08,0.298
"270",2021-09-09,0.3052
"271",2021-09-10,0.2946
"272",2021-09-13,0.2999
"273",2021-09-14,0.276
"274",2021-09-15,0.2671
"275",2021-09-16,0.2547
"276",2021-09-17,0.2546
"277",2021-09-20,0.2636
"278",2021-09-21,0.2893
"279",2021-09-22,0.2811
"280",2021-09-23,0.2777
"281",2021-09-24,0.2695
"282",2021-09-27,0.2834
"283",2021-09-28,0.268
"284",2021-09-29,0.2959
"285",2021-09-30,0.2724
"286",2021-10-01,0.2776
"287",2021-10-04,0.261
"288",2021-10-05,0.2508
"289",2021-10-06,0.2564
"290",2021-10-07,0.2716
"291",2021-10-08,0.2746
"292",2021-10-11,0.2742
"293",2021-10-12,0.2549
"294",2021-10-13,0.2855
"295",2021-10-14,0.2992
"296",2021-10-15,0.2779
"297",2021-10-18,0.2715
"298",2021-10-19,0.2719
"299",2021-10-20,0.2847
"300",2021-10-21,0.2728
"301",2021-10-22,0.2529
"302",2021-10-25,0.267
"303",2021-10-26,0.2464
"304",2021-10-27,0.2622
"305",2021-10-28,0.2517
"306",2021-10-29,0.2783
"307",2021-11-01,0.2542
"308",2021-11-02,0.2554
"309",2021-11-03,0.2594
"310",2021-11-04,0.2843
"311",2021-11-05,0.2856
"312",2021-11-08,0.299
"313",2021-11-09,0.2854
"314",2021-11-10,0.2778
"315",2021-11-11,0.2699
"316",2021-11-12,0.2625
"317",2021-11-15,0.2713
"318",2021-11-16,0.2688
"319",2021-11-17,0.2832
"320",2021-11-18,0.2964
"321",2021-11-19,0.2817
"322",2021-11-22,0.2876
"323",2021-11-23,0.2776
"324",2021-11-24,0.287
"325",2021-11-26,0.2708
"326",2021-11-29,0.2759
"327",2021-11-30,0.2552
"328",2021-12-01,0.264
"329",2021-12-02,0.2716
"330",2021-12-03,0.279
"331",2021-12-06,0.2499
"332",2021-12-07,0.2414
"333",2021-12-08,0.2235
"334",2021-12-09,0.2501
"335",2021-12-10,0.2132
"336",2021-12-13,0.1999
"337",2021-12-14,0.1687
"338",2021-12-15,0.1733
"339",2021-12-16,0.1839
"340",2021-12-17,0.1841
"341",2021-12-20,0.197
"342",2021-12-21,0.2133
"343",2021-12-22,0.1981
"344",2021-12-23,0.2135
"345",2021-12-27,0.2188
"346",2021-12-28,0.2356
"347",2021-12-29,0.2315
"348",2021-12-30,0.2338
"349",2021-12-31,0.2383
"350",2022-01-03,0.2719
"351",2022-01-04,0.2472
"352",2022-01-05,0.2596
"353",2022-01-06,0.2501
