"","date","FOXA"
"1",2020-08-14,0.1389
"2",2020-08-17,0.1589
"3",2020-08-18,0.147
"4",2020-08-19,0.1349
"5",2020-08-20,0.0913
"6",2020-08-21,0.0843999999999999
"7",2020-08-24,0.101
"8",2020-08-25,0.1121
"9",2020-08-26,0.1158
"10",2020-08-27,0.1506
"11",2020-08-28,0.1762
"12",2020-08-31,0.1727
"13",2020-09-01,0.1623
"14",2020-09-02,0.148
"15",2020-09-03,0.163
"16",2020-09-04,0.1242
"17",2020-09-08,0.1126
"18",2020-09-09,0.1112
"19",2020-09-10,0.1344
"20",2020-09-11,0.1458
"21",2020-09-14,0.184
"22",2020-09-15,0.1993
"23",2020-09-16,0.194
"24",2020-09-17,0.1821
"25",2020-09-18,0.1942
"26",2020-09-21,0.185
"27",2020-09-22,0.1757
"28",2020-09-23,0.1775
"29",2020-09-24,0.1858
"30",2020-09-25,0.2023
"31",2020-09-28,0.238
"32",2020-09-29,0.2652
"33",2020-09-30,0.2478
"34",2020-10-01,0.2426
"35",2020-10-02,0.2107
"36",2020-10-05,0.1859
"37",2020-10-06,0.202
"38",2020-10-07,0.1914
"39",2020-10-08,0.1908
"40",2020-10-09,0.1932
"41",2020-10-12,0.2171
"42",2020-10-13,0.2326
"43",2020-10-14,0.2214
"44",2020-10-15,0.1923
"45",2020-10-16,0.1795
"46",2020-10-19,0.1762
"47",2020-10-20,0.1693
"48",2020-10-21,0.1505
"49",2020-10-22,0.1265
"50",2020-10-23,0.0965
"51",2020-10-26,0.1008
"52",2020-10-27,0.0996
"53",2020-10-28,0.1006
"54",2020-10-29,0.122
"55",2020-10-30,0.152
"56",2020-11-02,0.1437
"57",2020-11-03,0.1411
"58",2020-11-04,0.1465
"59",2020-11-05,0.1395
"60",2020-11-06,0.0970000000000001
"61",2020-11-09,0.0926
"62",2020-11-10,0.0955
"63",2020-11-11,0.1072
"64",2020-11-12,0.1126
"65",2020-11-13,0.1229
"66",2020-11-16,0.1225
"67",2020-11-17,0.1434
"68",2020-11-18,0.1506
"69",2020-11-19,0.1376
"70",2020-11-20,0.1579
"71",2020-11-23,0.1616
"72",2020-11-24,0.1519
"73",2020-11-25,0.1402
"74",2020-11-27,0.1361
"75",2020-11-30,0.1357
"76",2020-12-01,0.1326
"77",2020-12-02,0.1368
"78",2020-12-03,0.1336
"79",2020-12-04,0.1341
"80",2020-12-07,0.1254
"81",2020-12-08,0.173
"82",2020-12-09,0.1854
"83",2020-12-10,0.1823
"84",2020-12-11,0.177
"85",2020-12-14,0.1903
"86",2020-12-15,0.1797
"87",2020-12-16,0.1822
"88",2020-12-17,0.1841
"89",2020-12-18,0.1724
"90",2020-12-21,0.1769
"91",2020-12-22,0.1971
"92",2020-12-23,0.2278
