"","date","FOX"
"1",2020-08-14,0.1274
"2",2020-08-17,0.151
"3",2020-08-18,0.1512
"4",2020-08-19,0.1363
"5",2020-08-20,0.1028
"6",2020-08-21,0.0912999999999999
"7",2020-08-24,0.1003
"8",2020-08-25,0.1212
"9",2020-08-26,0.1274
"10",2020-08-27,0.1627
"11",2020-08-28,0.1776
"12",2020-08-31,0.1704
"13",2020-09-01,0.1652
"14",2020-09-02,0.1502
"15",2020-09-03,0.1615
"16",2020-09-04,0.1411
"17",2020-09-08,0.1281
"18",2020-09-09,0.1287
"19",2020-09-10,0.1382
"20",2020-09-11,0.1458
"21",2020-09-14,0.1781
"22",2020-09-15,0.2037
"23",2020-09-16,0.2074
"24",2020-09-17,0.1953
"25",2020-09-18,0.2051
"26",2020-09-21,0.1863
"27",2020-09-22,0.1817
"28",2020-09-23,0.1856
"29",2020-09-24,0.1981
"30",2020-09-25,0.2231
"31",2020-09-28,0.2414
"32",2020-09-29,0.264
"33",2020-09-30,0.2545
"34",2020-10-01,0.2464
"35",2020-10-02,0.2118
"36",2020-10-05,0.1931
"37",2020-10-06,0.208
"38",2020-10-07,0.2046
"39",2020-10-08,0.198
"40",2020-10-09,0.2059
"41",2020-10-12,0.2288
"42",2020-10-13,0.2474
"43",2020-10-14,0.2344
"44",2020-10-15,0.1976
"45",2020-10-16,0.1691
"46",2020-10-19,0.1618
"47",2020-10-20,0.1606
"48",2020-10-21,0.1416
"49",2020-10-22,0.1183
"50",2020-10-23,0.086
"51",2020-10-26,0.0780999999999999
"52",2020-10-27,0.0839
"53",2020-10-28,0.0947
"54",2020-10-29,0.1108
"55",2020-10-30,0.1289
"56",2020-11-02,0.1174
"57",2020-11-03,0.1166
"58",2020-11-04,0.125
"59",2020-11-05,0.1058
"60",2020-11-06,0.0748000000000001
"61",2020-11-09,0.0648
"62",2020-11-10,0.0669999999999999
"63",2020-11-11,0.0874
"64",2020-11-12,0.0903999999999999
"65",2020-11-13,0.0992000000000001
"66",2020-11-16,0.1033
"67",2020-11-17,0.1211
"68",2020-11-18,0.1309
"69",2020-11-19,0.1273
"70",2020-11-20,0.1444
"71",2020-11-23,0.1356
"72",2020-11-24,0.1254
"73",2020-11-25,0.1212
"74",2020-11-27,0.118
"75",2020-11-30,0.1136
"76",2020-12-01,0.1124
"77",2020-12-02,0.1177
"78",2020-12-03,0.1196
"79",2020-12-04,0.1121
"80",2020-12-07,0.1113
"81",2020-12-08,0.1513
"82",2020-12-09,0.1781
"83",2020-12-10,0.1806
"84",2020-12-11,0.1607
"85",2020-12-14,0.174
"86",2020-12-15,0.1663
"87",2020-12-16,0.1694
"88",2020-12-17,0.1827
"89",2020-12-18,0.1738
"90",2020-12-21,0.1826
"91",2020-12-22,0.1818
"92",2020-12-23,0.2088
"93",2020-12-24,0.2289
"94",2020-12-28,0.2465
"95",2020-12-29,0.2387
"96",2020-12-30,0.2247
"97",2020-12-31,0.2504
"98",2021-01-04,0.2487
"99",2021-01-05,0.2628
"100",2021-01-06,0.2463
"101",2021-01-07,0.2432
"102",2021-01-08,0.2425
"103",2021-01-11,0.2378
"104",2021-01-12,0.2273
"105",2021-01-13,0.2389
"106",2021-01-14,0.2499
"107",2021-01-15,0.2547
"108",2021-01-19,0.2569
"109",2021-01-20,0.2559
"110",2021-01-21,0.2517
"111",2021-01-22,0.264
"112",2021-01-25,0.2738
"113",2021-01-26,0.279
"114",2021-01-27,0.2823
"115",2021-01-28,0.2634
"116",2021-01-29,0.2385
"117",2021-02-01,0.2331
"118",2021-02-02,0.2693
"119",2021-02-03,0.2964
"120",2021-02-04,0.2894
"121",2021-02-05,0.3024
"122",2021-02-08,0.3167
"123",2021-02-09,0.313
"124",2021-02-10,0.289
"125",2021-02-11,0.2684
"126",2021-02-12,0.234
"127",2021-02-16,0.2101
"128",2021-02-17,0.1823
"129",2021-02-18,0.1592
"130",2021-02-19,0.1352
"131",2021-02-22,0.0936
"132",2021-02-23,0.0694
"133",2021-02-24,0.0633999999999999
"134",2021-02-25,0.0650000000000001
"135",2021-02-26,0.0835
"136",2021-03-01,0.0979
"137",2021-03-02,0.0966
"138",2021-03-03,0.0986
"139",2021-03-04,0.1187
"140",2021-03-05,0.1278
"141",2021-03-08,0.1122
"142",2021-03-09,0.1003
"143",2021-03-10,0.1028
"144",2021-03-11,0.1081
"145",2021-03-12,0.0948
"146",2021-03-15,0.1031
"147",2021-03-16,0.1034
"148",2021-03-17,0.1091
"149",2021-03-18,0.1077
"150",2021-03-19,0.1015
"151",2021-03-22,0.087
"152",2021-03-23,0.0994
"153",2021-03-24,0.0921
"154",2021-03-25,0.0964
"155",2021-03-26,0.1008
"156",2021-03-29,0.1171
"157",2021-03-30,0.1361
"158",2021-03-31,0.1416
"159",2021-04-01,0.1453
"160",2021-04-05,0.1581
"161",2021-04-06,0.1717
"162",2021-04-07,0.1924
"163",2021-04-08,0.2025
"164",2021-04-09,0.1872
"165",2021-04-12,0.192
"166",2021-04-13,0.1957
"167",2021-04-14,0.2126
"168",2021-04-15,0.2362
"169",2021-04-16,0.2565
"170",2021-04-19,0.2547
"171",2021-04-20,0.2683
"172",2021-04-21,0.2923
"173",2021-04-22,0.3093
"174",2021-04-23,0.346
"175",2021-04-26,0.3504
"176",2021-04-27,0.3555
"177",2021-04-28,0.3544
"178",2021-04-29,0.3618
"179",2021-04-30,0.3599
"180",2021-05-03,0.3493
"181",2021-05-04,0.3631
"182",2021-05-05,0.3668
"183",2021-05-06,0.3781
"184",2021-05-07,0.3779
"185",2021-05-10,0.3766
"186",2021-05-11,0.3506
"187",2021-05-12,0.3353
"188",2021-05-13,0.3198
"189",2021-05-14,0.3159
"190",2021-05-17,0.3629
"191",2021-05-18,0.395
"192",2021-05-19,0.3742
"193",2021-05-20,0.3753
"194",2021-05-21,0.354
"195",2021-05-24,0.3613
"196",2021-05-25,0.3539
"197",2021-05-26,0.3767
"198",2021-05-27,0.3727
"199",2021-05-28,0.3373
"200",2021-06-01,0.3147
"201",2021-06-02,0.3074
"202",2021-06-03,0.311
"203",2021-06-04,0.2998
"204",2021-06-07,0.2682
"205",2021-06-08,0.2701
"206",2021-06-09,0.2851
"207",2021-06-10,0.3046
"208",2021-06-11,0.3032
"209",2021-06-14,0.3039
