"","date","FRT"
"1",2020-08-14,0.1498
"2",2020-08-17,0.1451
"3",2020-08-18,0.1421
"4",2020-08-19,0.1203
"5",2020-08-20,0.1423
"6",2020-08-21,0.1208
"7",2020-08-24,0.1499
"8",2020-08-25,0.1612
"9",2020-08-26,0.1627
"10",2020-08-27,0.1715
"11",2020-08-28,0.1875
"12",2020-08-31,0.1644
"13",2020-09-01,0.1656
"14",2020-09-02,0.1375
"15",2020-09-03,0.1633
"16",2020-09-04,0.1574
"17",2020-09-08,0.1752
"18",2020-09-09,0.1374
"19",2020-09-10,0.1358
"20",2020-09-11,0.1237
"21",2020-09-14,0.1404
"22",2020-09-15,0.1404
"23",2020-09-16,0.1412
"24",2020-09-17,0.1387
"25",2020-09-18,0.141
"26",2020-09-21,0.1349
"27",2020-09-22,0.1383
"28",2020-09-23,0.1308
"29",2020-09-24,0.1206
"30",2020-09-25,0.1164
"31",2020-09-28,0.1247
"32",2020-09-29,0.1329
"33",2020-09-30,0.1455
"34",2020-10-01,0.1251
"35",2020-10-02,0.1152
"36",2020-10-05,0.1067
"37",2020-10-06,0.1184
"38",2020-10-07,0.1102
"39",2020-10-08,0.1125
"40",2020-10-09,0.1083
"41",2020-10-12,0.1307
"42",2020-10-13,0.1465
"43",2020-10-14,0.145
"44",2020-10-15,0.1181
"45",2020-10-16,0.1016
"46",2020-10-19,0.0831
"47",2020-10-20,0.1011
"48",2020-10-21,0.0915
"49",2020-10-22,0.0926
"50",2020-10-23,0.0774
"51",2020-10-26,0.0784
"52",2020-10-27,0.0866
"53",2020-10-28,0.1114
"54",2020-10-29,0.0956
"55",2020-10-30,0.0989
"56",2020-11-02,0.0776
"57",2020-11-03,0.1145
"58",2020-11-04,0.1118
"59",2020-11-05,0.1081
"60",2020-11-06,0.095
"61",2020-11-09,0.1037
"62",2020-11-10,0.1027
"63",2020-11-11,0.123
"64",2020-11-12,0.1278
"65",2020-11-13,0.143
"66",2020-11-16,0.1372
"67",2020-11-17,0.1499
"68",2020-11-18,0.1467
"69",2020-11-19,0.1421
"70",2020-11-20,0.1375
"71",2020-11-23,0.1608
"72",2020-11-24,0.1351
"73",2020-11-25,0.1273
"74",2020-11-27,0.1047
"75",2020-11-30,0.1422
"76",2020-12-01,0.1609
"77",2020-12-02,0.1965
"78",2020-12-03,0.1763
"79",2020-12-04,0.167
"80",2020-12-07,0.1615
"81",2020-12-08,0.1994
"82",2020-12-09,0.2177
"83",2020-12-10,0.1928
"84",2020-12-11,0.1783
"85",2020-12-14,0.2046
"86",2020-12-15,0.2018
