"","date","HAS"
"1",2020-08-14,0.4459
"2",2020-08-17,0.4293
"3",2020-08-18,0.4535
"4",2020-08-19,0.4232
"5",2020-08-20,0.4435
"6",2020-08-21,0.4765
"7",2020-08-24,0.4754
"8",2020-08-25,0.5012
"9",2020-08-26,0.5499
"10",2020-08-27,0.5484
"11",2020-08-28,0.5522
"12",2020-08-31,0.4713
"13",2020-09-01,0.4528
"14",2020-09-02,0.4335
"15",2020-09-03,0.4685
"16",2020-09-04,0.4527
"17",2020-09-08,0.4374
"18",2020-09-09,0.4227
"19",2020-09-10,0.3985
"20",2020-09-11,0.3896
"21",2020-09-14,0.4346
"22",2020-09-15,0.4741
"23",2020-09-16,0.4961
"24",2020-09-17,0.4624
"25",2020-09-18,0.4427
"26",2020-09-21,0.4082
"27",2020-09-22,0.4187
"28",2020-09-23,0.3757
"29",2020-09-24,0.3739
"30",2020-09-25,0.3846
"31",2020-09-28,0.4005
"32",2020-09-29,0.3602
"33",2020-09-30,0.369
"34",2020-10-01,0.342
"35",2020-10-02,0.34
"36",2020-10-05,0.3323
"37",2020-10-06,0.3682
"38",2020-10-07,0.3624
"39",2020-10-08,0.3765
"40",2020-10-09,0.3892
"41",2020-10-12,0.429
"42",2020-10-13,0.4215
"43",2020-10-14,0.3612
"44",2020-10-15,0.3141
"45",2020-10-16,0.3449
"46",2020-10-19,0.3606
"47",2020-10-20,0.3773
"48",2020-10-21,0.3522
"49",2020-10-22,0.3179
"50",2020-10-23,0.2948
"51",2020-10-26,0.3328
"52",2020-10-27,0.3507
"53",2020-10-28,0.3982
"54",2020-10-29,0.3629
"55",2020-10-30,0.3599
"56",2020-11-02,0.332
"57",2020-11-03,0.3862
"58",2020-11-04,0.386
"59",2020-11-05,0.3725
"60",2020-11-06,0.3588
"61",2020-11-09,0.3533
"62",2020-11-10,0.3301
"63",2020-11-11,0.3703
"64",2020-11-12,0.34
"65",2020-11-13,0.3536
"66",2020-11-16,0.3886
"67",2020-11-17,0.3769
"68",2020-11-18,0.3659
"69",2020-11-19,0.3826
"70",2020-11-20,0.3839
"71",2020-11-23,0.4056
"72",2020-11-24,0.3704
"73",2020-11-25,0.3764
"74",2020-11-27,0.3731
"75",2020-11-30,0.385
"76",2020-12-01,0.3392
"77",2020-12-02,0.319
"78",2020-12-03,0.2995
"79",2020-12-04,0.3176
"80",2020-12-07,0.3171
"81",2020-12-08,0.3755
"82",2020-12-09,0.3734
"83",2020-12-10,0.3549
"84",2020-12-11,0.2981
"85",2020-12-14,0.3121
"86",2020-12-15,0.3151
"87",2020-12-16,0.332
"88",2020-12-17,0.312
"89",2020-12-18,0.2687
"90",2020-12-21,0.2555
"91",2020-12-22,0.2406
"92",2020-12-23,0.2607
"93",2020-12-24,0.328
"94",2020-12-28,0.3344
"95",2020-12-29,0.3608
"96",2020-12-30,0.3341
"97",2020-12-31,0.3256
"98",2021-01-04,0.2682
"99",2021-01-05,0.269
"100",2021-01-06,0.2534
"101",2021-01-07,0.3023
"102",2021-01-08,0.3034
"103",2021-01-11,0.2845
"104",2021-01-12,0.2617
"105",2021-01-13,0.2956
"106",2021-01-14,0.3089
"107",2021-01-15,0.3461
"108",2021-01-19,0.3274
"109",2021-01-20,0.3081
"110",2021-01-21,0.2871
"111",2021-01-22,0.3086
"112",2021-01-25,0.2928
"113",2021-01-26,0.3021
"114",2021-01-27,0.281
"115",2021-01-28,0.2659
"116",2021-01-29,0.2491
"117",2021-02-01,0.293
"118",2021-02-02,0.3251
"119",2021-02-03,0.319
"120",2021-02-04,0.2926
"121",2021-02-05,0.3188
"122",2021-02-08,0.2775
"123",2021-02-09,0.2853
"124",2021-02-10,0.2256
"125",2021-02-11,0.2526
"126",2021-02-12,0.2683
"127",2021-02-16,0.2695
"128",2021-02-17,0.2517
"129",2021-02-18,0.2832
"130",2021-02-19,0.3004
"131",2021-02-22,0.2983
"132",2021-02-23,0.2578
"133",2021-02-24,0.2266
"134",2021-02-25,0.1914
"135",2021-02-26,0.229
"136",2021-03-01,0.2328
"137",2021-03-02,0.2432
"138",2021-03-03,0.2298
"139",2021-03-04,0.2022
"140",2021-03-05,0.199
"141",2021-03-08,0.2503
"142",2021-03-09,0.236
"143",2021-03-10,0.2503
"144",2021-03-11,0.204
"145",2021-03-12,0.2153
"146",2021-03-15,0.2004
"147",2021-03-16,0.1959
"148",2021-03-17,0.1811
