"","date","HII"
"1",2020-08-14,0.3448
"2",2020-08-17,0.3506
"3",2020-08-18,0.3766
"4",2020-08-19,0.3592
"5",2020-08-20,0.3921
"6",2020-08-21,0.3885
"7",2020-08-24,0.4028
"8",2020-08-25,0.4007
"9",2020-08-26,0.4154
"10",2020-08-27,0.4194
"11",2020-08-28,0.4257
"12",2020-08-31,0.4041
"13",2020-09-01,0.4022
"14",2020-09-02,0.3626
"15",2020-09-03,0.401
"16",2020-09-04,0.4291
"17",2020-09-08,0.4414
"18",2020-09-09,0.41
"19",2020-09-10,0.4044
"20",2020-09-11,0.4052
"21",2020-09-14,0.4159
"22",2020-09-15,0.4243
"23",2020-09-16,0.4627
"24",2020-09-17,0.4539
"25",2020-09-18,0.4738
"26",2020-09-21,0.4382
"27",2020-09-22,0.4437
"28",2020-09-23,0.4214
"29",2020-09-24,0.43
"30",2020-09-25,0.4121
"31",2020-09-28,0.4127
"32",2020-09-29,0.4237
"33",2020-09-30,0.4202
"34",2020-10-01,0.3982
"35",2020-10-02,0.412
"36",2020-10-05,0.3841
"37",2020-10-06,0.3883
"38",2020-10-07,0.3776
"39",2020-10-08,0.398
"40",2020-10-09,0.3986
"41",2020-10-12,0.4133
"42",2020-10-13,0.4327
"43",2020-10-14,0.4188
"44",2020-10-15,0.3823
"45",2020-10-16,0.3993
"46",2020-10-19,0.4057
"47",2020-10-20,0.4288
"48",2020-10-21,0.4029
"49",2020-10-22,0.4126
"50",2020-10-23,0.4073
"51",2020-10-26,0.3996
"52",2020-10-27,0.3897
"53",2020-10-28,0.4182
"54",2020-10-29,0.4107
"55",2020-10-30,0.4531
"56",2020-11-02,0.4372
"57",2020-11-03,0.4504
"58",2020-11-04,0.4268
"59",2020-11-05,0.4282
"60",2020-11-06,0.4222
"61",2020-11-09,0.4257
"62",2020-11-10,0.3775
"63",2020-11-11,0.3851
"64",2020-11-12,0.3969
"65",2020-11-13,0.4335
"66",2020-11-16,0.4468
"67",2020-11-17,0.4669
"68",2020-11-18,0.4803
"69",2020-11-19,0.4533
"70",2020-11-20,0.4289
"71",2020-11-23,0.4352
"72",2020-11-24,0.4052
"73",2020-11-25,0.4074
"74",2020-11-27,0.3967
"75",2020-11-30,0.4445
"76",2020-12-01,0.4412
"77",2020-12-02,0.4539
"78",2020-12-03,0.4234
"79",2020-12-04,0.4251
"80",2020-12-07,0.4172
"81",2020-12-08,0.4332
"82",2020-12-09,0.4348
"83",2020-12-10,0.4535
"84",2020-12-11,0.4094
"85",2020-12-14,0.4273
"86",2020-12-15,0.4244
"87",2020-12-16,0.4409
"88",2020-12-17,0.4337
"89",2020-12-18,0.4364
"90",2020-12-21,0.4219
"91",2020-12-22,0.3911
"92",2020-12-23,0.3762
"93",2020-12-24,0.3949
"94",2020-12-28,0.3962
"95",2020-12-29,0.4273
"96",2020-12-30,0.4087
"97",2020-12-31,0.4069
"98",2021-01-04,0.3504
"99",2021-01-05,0.3479
"100",2021-01-06,0.3414
"101",2021-01-07,0.3606
"102",2021-01-08,0.3534
"103",2021-01-11,0.3584
"104",2021-01-12,0.3419
"105",2021-01-13,0.371
"106",2021-01-14,0.352
"107",2021-01-15,0.3742
"108",2021-01-19,0.3646
"109",2021-01-20,0.3724
"110",2021-01-21,0.3514
"111",2021-01-22,0.3426
"112",2021-01-25,0.3477
"113",2021-01-26,0.3772
"114",2021-01-27,0.3574
"115",2021-01-28,0.3766
"116",2021-01-29,0.3512
"117",2021-02-01,0.3526
"118",2021-02-02,0.3477
"119",2021-02-03,0.3816
"120",2021-02-04,0.3809
"121",2021-02-05,0.3769
"122",2021-02-08,0.3542
"123",2021-02-09,0.3724
"124",2021-02-10,0.3474
"125",2021-02-11,0.3695
"126",2021-02-12,0.332
"127",2021-02-16,0.3311
"128",2021-02-17,0.3223
"129",2021-02-18,0.335
"130",2021-02-19,0.3458
"131",2021-02-22,0.3307
"132",2021-02-23,0.2989
"133",2021-02-24,0.3023
"134",2021-02-25,0.2696
"135",2021-02-26,0.3026
"136",2021-03-01,0.3068
"137",2021-03-02,0.3301
"138",2021-03-03,0.3283
"139",2021-03-04,0.316
"140",2021-03-05,0.304
"141",2021-03-08,0.3222
"142",2021-03-09,0.3109
"143",2021-03-10,0.3386
"144",2021-03-11,0.3318
"145",2021-03-12,0.3748
"146",2021-03-15,0.3399
"147",2021-03-16,0.3423
"148",2021-03-17,0.3231
"149",2021-03-18,0.3276
"150",2021-03-19,0.3227
"151",2021-03-22,0.3479
"152",2021-03-23,0.362
"153",2021-03-24,0.3724
"154",2021-03-25,0.3516
"155",2021-03-26,0.3728
"156",2021-03-29,0.347
"157",2021-03-30,0.3551
"158",2021-03-31,0.3475
