"","date","IVZ"
"1",2020-08-14,0.14
"2",2020-08-17,0.1484
"3",2020-08-18,0.1497
"4",2020-08-19,0.1471
"5",2020-08-20,0.1588
"6",2020-08-21,0.1623
"7",2020-08-24,0.209
"8",2020-08-25,0.1867
"9",2020-08-26,0.1711
"10",2020-08-27,0.1532
"11",2020-08-28,0.1117
"12",2020-08-31,0.105
"13",2020-09-01,0.1015
"14",2020-09-02,0.0928
"15",2020-09-03,0.087
"16",2020-09-04,0.0879000000000001
"17",2020-09-08,0.0836
"18",2020-09-09,0.0901999999999999
"19",2020-09-10,0.0859
"20",2020-09-11,0.1023
"21",2020-09-14,0.0883999999999999
"22",2020-09-15,0.078
"23",2020-09-16,0.0867
"24",2020-09-17,0.0901999999999999
"25",2020-09-18,0.0972999999999999
"26",2020-09-21,0.0941000000000001
"27",2020-09-22,0.098
"28",2020-09-23,0.1099
"29",2020-09-24,0.1298
"30",2020-09-25,0.133
"31",2020-09-28,0.1371
"32",2020-09-29,0.1534
"33",2020-09-30,0.1642
"34",2020-10-01,0.1643
"35",2020-10-02,0.1844
"36",2020-10-05,0.1803
"37",2020-10-06,0.2028
"38",2020-10-07,0.2039
"39",2020-10-08,0.2186
"40",2020-10-09,0.2123
"41",2020-10-12,0.1971
"42",2020-10-13,0.2131
"43",2020-10-14,0.2361
"44",2020-10-15,0.2384
"45",2020-10-16,0.23
"46",2020-10-19,0.2263
"47",2020-10-20,0.2181
"48",2020-10-21,0.2003
"49",2020-10-22,0.2269
"50",2020-10-23,0.2106
"51",2020-10-26,0.1868
"52",2020-10-27,0.1798
"53",2020-10-28,0.1837
"54",2020-10-29,0.183
"55",2020-10-30,0.1917
"56",2020-11-02,0.2029
"57",2020-11-03,0.261
"58",2020-11-04,0.2353
"59",2020-11-05,0.2012
"60",2020-11-06,0.1732
"61",2020-11-09,0.1606
"62",2020-11-10,0.1419
"63",2020-11-11,0.1348
"64",2020-11-12,0.1282
"65",2020-11-13,0.1482
"66",2020-11-16,0.1535
"67",2020-11-17,0.1599
"68",2020-11-18,0.1427
"69",2020-11-19,0.1288
"70",2020-11-20,0.1238
"71",2020-11-23,0.1099
"72",2020-11-24,0.1019
"73",2020-11-25,0.1404
"74",2020-11-27,0.1624
"75",2020-11-30,0.1768
"76",2020-12-01,0.1784
"77",2020-12-02,0.1774
"78",2020-12-03,0.1669
"79",2020-12-04,0.1832
"80",2020-12-07,0.1681
"81",2020-12-08,0.1533
"82",2020-12-09,0.1624
"83",2020-12-10,0.1679
"84",2020-12-11,0.1679
"85",2020-12-14,0.1941
"86",2020-12-15,0.1728
"87",2020-12-16,0.1983
"88",2020-12-17,0.1963
"89",2020-12-18,0.1851
"90",2020-12-21,0.1608
"91",2020-12-22,0.1477
"92",2020-12-23,0.154
"93",2020-12-24,0.1678
"94",2020-12-28,0.1745
"95",2020-12-29,0.1719
"96",2020-12-30,0.1604
"97",2020-12-31,0.1642
"98",2021-01-04,0.1364
"99",2021-01-05,0.141
"100",2021-01-06,0.1143
"101",2021-01-07,0.0950000000000001
"102",2021-01-08,0.0848
"103",2021-01-11,0.0932000000000001
"104",2021-01-12,0.1002
"105",2021-01-13,0.1119
"106",2021-01-14,0.1258
"107",2021-01-15,0.1451
"108",2021-01-19,0.1307
"109",2021-01-20,0.1618
"110",2021-01-21,0.138
"111",2021-01-22,0.1229
"112",2021-01-25,0.1353
"113",2021-01-26,0.1533
"114",2021-01-27,0.1627
"115",2021-01-28,0.1823
"116",2021-01-29,0.1576
"117",2021-02-01,0.166
"118",2021-02-02,0.1709
"119",2021-02-03,0.1839
"120",2021-02-04,0.1791
"121",2021-02-05,0.1925
"122",2021-02-08,0.1941
"123",2021-02-09,0.212
"124",2021-02-10,0.2049
"125",2021-02-11,0.2237
"126",2021-02-12,0.2268
"127",2021-02-16,0.2311
"128",2021-02-17,0.2116
"129",2021-02-18,0.2178
"130",2021-02-19,0.1983
"131",2021-02-22,0.1624
"132",2021-02-23,0.1448
"133",2021-02-24,0.1599
"134",2021-02-25,0.154
"135",2021-02-26,0.1609
"136",2021-03-01,0.1366
"137",2021-03-02,0.1343
"138",2021-03-03,0.1142
"139",2021-03-04,0.1199
"140",2021-03-05,0.0912000000000001
"141",2021-03-08,0.0728
"142",2021-03-09,0.0805
"143",2021-03-10,0.081
"144",2021-03-11,0.0708
"145",2021-03-12,0.0994
"146",2021-03-15,0.0697
"147",2021-03-16,0.0603
"148",2021-03-17,0.0532
"149",2021-03-18,0.0682999999999999
"150",2021-03-19,0.0780000000000001
"151",2021-03-22,0.0791
"152",2021-03-23,0.0893999999999999
"153",2021-03-24,0.1018
"154",2021-03-25,0.1167
"155",2021-03-26,0.1275
"156",2021-03-29,0.1379
"157",2021-03-30,0.1062
"158",2021-03-31,0.1087
"159",2021-04-01,0.0938000000000001
"160",2021-04-05,0.0918
"161",2021-04-06,0.0859
"162",2021-04-07,0.0659
"163",2021-04-08,0.056
"164",2021-04-09,0.0683
"165",2021-04-12,0.1075
"166",2021-04-13,0.1008
"167",2021-04-14,0.0984
"168",2021-04-15,0.0895
"169",2021-04-16,0.1062
"170",2021-04-19,0.0900000000000001
"171",2021-04-20,0.0953999999999999
"172",2021-04-21,0.1027
"173",2021-04-22,0.1061
"174",2021-04-23,0.1025
"175",2021-04-26,0.1269
"176",2021-04-27,0.1086
"177",2021-04-28,0.127
"178",2021-04-29,0.1323
