"","date","JNPR"
"1",2022-01-19,0.1439
"2",2022-01-20,0.1434
"3",2022-01-21,0.1519
"4",2022-01-24,0.1509
"5",2022-01-25,0.1427
"6",2022-01-26,0.1411
"7",2022-01-27,0.148
"8",2022-01-28,0.1553
"9",2022-01-31,0.1612
"10",2022-02-01,0.1748
"11",2022-02-02,0.1704
"12",2022-02-03,0.1606
"13",2022-02-04,0.1531
"14",2022-02-07,0.1506
"15",2022-02-08,0.1481
"16",2022-02-09,0.1581
"17",2022-02-10,0.1515
"18",2022-02-11,0.1528
"19",2022-02-14,0.1501
"20",2022-02-15,0.1469
"21",2022-02-16,0.1535
"22",2022-02-17,0.1601
"23",2022-02-18,0.1684
"24",2022-02-22,0.1714
"25",2022-02-23,0.1702
"26",2022-02-24,0.1579
"27",2022-02-25,0.1547
"28",2022-02-28,0.1578
"29",2022-03-01,0.1606
"30",2022-03-02,0.1577
"31",2022-03-03,0.1601
"32",2022-03-04,0.1619
"33",2022-03-07,0.1641
"34",2022-03-08,0.1631
"35",2022-03-09,0.1548
"36",2022-03-10,0.1583
"37",2022-03-11,0.1595
"38",2022-03-14,0.1627
"39",2022-03-15,0.1535
"40",2022-03-16,0.1573
"41",2022-03-17,0.1538
"42",2022-03-18,0.1567
"43",2022-03-21,0.1605
"44",2022-03-22,0.1558
"45",2022-03-23,0.1531
"46",2022-03-24,0.1631
"47",2022-03-25,0.1622
"48",2022-03-28,0.1573
"49",2022-03-29,0.1568
"50",2022-03-30,0.1515
"51",2022-03-31,0.1512
"52",2022-04-01,0.1562
"53",2022-04-04,0.158
"54",2022-04-05,0.1564
"55",2022-04-06,0.1578
"56",2022-04-07,0.1518
"57",2022-04-08,0.1699
"58",2022-04-11,0.1903
"59",2022-04-12,0.1852
"60",2022-04-13,0.1844
"61",2022-04-14,0.1727
"62",2022-04-18,0.1587
"63",2022-04-19,0.155
"64",2022-04-20,0.1543
"65",2022-04-21,0.1537
"66",2022-04-22,0.1629
"67",2022-04-25,0.1633
"68",2022-04-26,0.1648
"69",2022-04-27,0.1589
"70",2022-04-28,0.1552
"71",2022-04-29,0.1499
"72",2022-05-02,0.153
"73",2022-05-03,0.1535
"74",2022-05-04,0.147
"75",2022-05-05,0.1455
"76",2022-05-06,0.1434
"77",2022-05-09,0.1429
"78",2022-05-10,0.1363
"79",2022-05-11,0.149
"80",2022-05-12,0.1514
"81",2022-05-13,0.1524
"82",2022-05-16,0.1576
"83",2022-05-17,0.1574
"84",2022-05-18,0.1602
"85",2022-05-19,0.16
"86",2022-05-20,0.1556
"87",2022-05-23,0.1483
"88",2022-05-24,0.1515
"89",2022-05-25,0.1414
"90",2022-05-26,0.1431
"91",2022-05-27,0.1446
"92",2022-05-31,0.1459
"93",2022-06-01,0.1583
"94",2022-06-02,0.166
"95",2022-06-03,0.1631
"96",2022-06-06,0.1654
"97",2022-06-07,0.1631
"98",2022-06-08,0.1558
"99",2022-06-09,0.1507
"100",2022-06-10,0.1449
"101",2022-06-13,0.148
"102",2022-06-14,0.1436
"103",2022-06-15,0.1433
"104",2022-06-16,0.1368
"105",2022-06-17,0.1423
"106",2022-06-21,0.1552
"107",2022-06-22,0.158
"108",2022-06-23,0.1644
"109",2022-06-24,0.1619
"110",2022-06-27,0.1603
"111",2022-06-28,0.1475
"112",2022-06-29,0.1584
"113",2022-06-30,0.1569
"114",2022-07-01,0.1518
"115",2022-07-05,0.1508
"116",2022-07-06,0.1474
"117",2022-07-07,0.1478
"118",2022-07-08,0.1557
"119",2022-07-11,0.1611
"120",2022-07-12,0.1648
"121",2022-07-13,0.1711
"122",2022-07-14,0.1659
"123",2022-07-15,0.1702
"124",2022-07-18,0.1594
"125",2022-07-19,0.1471
"126",2022-07-20,0.1465
"127",2022-07-21,0.1537
"128",2022-07-22,0.1555
"129",2022-07-25,0.1603
"130",2022-07-26,0.164
"131",2022-07-27,0.1597
"132",2022-07-28,0.1637
"133",2022-07-29,0.162
"134",2022-08-01,0.1529
"135",2022-08-02,0.1475
"136",2022-08-03,0.1489
"137",2022-08-04,0.1503
"138",2022-08-05,0.1547
"139",2022-08-08,0.157
"140",2022-08-09,0.1632
"141",2022-08-10,0.1544
"142",2022-08-11,0.1566
"143",2022-08-12,0.1572
"144",2022-08-15,0.1553
"145",2022-08-16,0.1553
"146",2022-08-17,0.1537
"147",2022-08-18,0.1464
"148",2022-08-19,0.1456
"149",2022-08-22,0.1435
"150",2022-08-23,0.1448
"151",2022-08-24,0.1525
"152",2022-08-25,0.1532
"153",2022-08-26,0.1578
"154",2022-08-29,0.1633
"155",2022-08-30,0.1551
"156",2022-08-31,0.1557
"157",2022-09-01,0.1642
"158",2022-09-02,0.1527
"159",2022-09-06,0.15
"160",2022-09-07,0.1419
"161",2022-09-08,0.1368
"162",2022-09-09,0.1427
"163",2022-09-12,0.1499
"164",2022-09-13,0.1501
"165",2022-09-14,0.146
"166",2022-09-15,0.1445
"167",2022-09-16,0.1412
"168",2022-09-19,0.1434
"169",2022-09-20,0.1345
"170",2022-09-21,0.1299
"171",2022-09-22,0.127
"172",2022-09-23,0.1318
"173",2022-09-26,0.1347
"174",2022-09-27,0.1296
"175",2022-09-28,0.1251
"176",2022-09-29,0.1217
"177",2022-09-30,0.1239
"178",2022-10-03,0.1273
"179",2022-10-04,0.1238
"180",2022-10-05,0.1207
"181",2022-10-06,0.1151
"182",2022-10-07,0.1122
"183",2022-10-10,0.1253
"184",2022-10-11,0.1396
"185",2022-10-12,0.1484
"186",2022-10-13,0.154
"187",2022-10-14,0.1558
"188",2022-10-17,0.1409
"189",2022-10-18,0.131
"190",2022-10-19,0.1392
"191",2022-10-20,0.1359
"192",2022-10-21,0.1327
"193",2022-10-24,0.1228
"194",2022-10-25,0.1129
"195",2022-10-26,0.1001
"196",2022-10-27,0.1017
"197",2022-10-28,0.0974
"198",2022-10-31,0.1016
"199",2022-11-01,0.0931
"200",2022-11-02,0.0904
"201",2022-11-03,0.0886
"202",2022-11-04,0.0919
"203",2022-11-07,0.0944
"204",2022-11-08,0.0903
"205",2022-11-09,0.0906000000000001
"206",2022-11-10,0.0959
"207",2022-11-11,0.0971
"208",2022-11-14,0.0917
"209",2022-11-15,0.0824
"210",2022-11-16,0.0816
"211",2022-11-17,0.0881
"212",2022-11-18,0.0896
"213",2022-11-21,0.0974
"214",2022-11-22,0.1021
"215",2022-11-23,0.0972
"216",2022-11-25,0.1059
"217",2022-11-28,0.1126
"218",2022-11-29,0.1186
"219",2022-11-30,0.1239
"220",2022-12-01,0.1238
"221",2022-12-02,0.1118
"222",2022-12-05,0.1206
"223",2022-12-06,0.1183
"224",2022-12-07,0.1233
"225",2022-12-08,0.1256
"226",2022-12-09,0.1288
"227",2022-12-12,0.1374
"228",2022-12-13,0.1402
"229",2022-12-14,0.1352
"230",2022-12-15,0.1335
"231",2022-12-16,0.1376
"232",2022-12-19,0.1374
"233",2022-12-20,0.1481
"234",2022-12-21,0.1505
"235",2022-12-22,0.1544
"236",2022-12-23,0.1633
"237",2022-12-27,0.1655
"238",2022-12-28,0.1731
"239",2022-12-29,0.1698
"240",2022-12-30,0.1736
"241",2023-01-03,0.1695
"242",2023-01-04,0.1776
"243",2023-01-05,0.1693
"244",2023-01-06,0.1705
"245",2023-01-09,0.1626
"246",2023-01-10,0.1595
"247",2023-01-11,0.1603
"248",2023-01-12,0.1606
"249",2023-01-13,0.1518
"250",2023-01-17,0.151
"251",2023-01-18,0.1243
"252",2023-01-19,0.1191
"253",2023-01-20,0.1113
"254",2023-01-23,0.0891
"255",2023-01-24,0.0897999999999999
"256",2023-01-25,0.0874
"257",2023-01-26,0.0899
"258",2023-01-27,0.1039
"259",2023-01-30,0.1177
"260",2023-01-31,0.113
"261",2023-02-01,0.1174
"262",2023-02-02,0.132
"263",2023-02-03,0.1309
"264",2023-02-06,0.1391
"265",2023-02-07,0.1287
"266",2023-02-08,0.1388
"267",2023-02-09,0.1345
"268",2023-02-10,0.1323
"269",2023-02-13,0.1258
"270",2023-02-14,0.1257
"271",2023-02-15,0.129
"272",2023-02-16,0.1369
"273",2023-02-17,0.1406
"274",2023-02-21,0.148
"275",2023-02-22,0.1485
"276",2023-02-23,0.1555
"277",2023-02-24,0.1516
"278",2023-02-27,0.152
"279",2023-02-28,0.1413
"280",2023-03-01,0.14
"281",2023-03-02,0.1407
"282",2023-03-03,0.1494
"283",2023-03-06,0.1514
"284",2023-03-07,0.1475
"285",2023-03-08,0.1327
"286",2023-03-09,0.135
"287",2023-03-10,0.1346
"288",2023-03-13,0.1434
"289",2023-03-14,0.1448
"290",2023-03-15,0.1496
"291",2023-03-16,0.1353
"292",2023-03-17,0.1403
"293",2023-03-20,0.1367
"294",2023-03-21,0.1366
"295",2023-03-22,0.1302
"296",2023-03-23,0.1402
"297",2023-03-24,0.1401
"298",2023-03-27,0.1426
"299",2023-03-28,0.1429
"300",2023-03-29,0.1479
"301",2023-03-30,0.1354
"302",2023-03-31,0.1339
"303",2023-04-03,0.1372
