"","date","MHK"
"1",2022-01-19,0.2907
"2",2022-01-20,0.2958
"3",2022-01-21,0.2837
"4",2022-01-24,0.2846
"5",2022-01-25,0.288
"6",2022-01-26,0.2794
"7",2022-01-27,0.291
"8",2022-01-28,0.284
"9",2022-01-31,0.2678
"10",2022-02-01,0.2728
"11",2022-02-02,0.2707
"12",2022-02-03,0.2689
"13",2022-02-04,0.2673
"14",2022-02-07,0.2503
"15",2022-02-08,0.2427
"16",2022-02-09,0.2428
"17",2022-02-10,0.2444
"18",2022-02-11,0.2264
"19",2022-02-14,0.2191
"20",2022-02-15,0.213
"21",2022-02-16,0.2216
"22",2022-02-17,0.2279
"23",2022-02-18,0.2344
"24",2022-02-22,0.2337
"25",2022-02-23,0.2284
"26",2022-02-24,0.2111
"27",2022-02-25,0.2013
"28",2022-02-28,0.1954
"29",2022-03-01,0.1863
"30",2022-03-02,0.1852
"31",2022-03-03,0.1882
"32",2022-03-04,0.1945
"33",2022-03-07,0.1987
"34",2022-03-08,0.1989
"35",2022-03-09,0.1926
"36",2022-03-10,0.1771
"37",2022-03-11,0.1897
"38",2022-03-14,0.1876
"39",2022-03-15,0.1712
"40",2022-03-16,0.1709
"41",2022-03-17,0.1848
"42",2022-03-18,0.1905
"43",2022-03-21,0.1934
"44",2022-03-22,0.1873
"45",2022-03-23,0.1778
"46",2022-03-24,0.1759
"47",2022-03-25,0.1683
"48",2022-03-28,0.1697
"49",2022-03-29,0.1715
"50",2022-03-30,0.1625
"51",2022-03-31,0.1646
"52",2022-04-01,0.1736
"53",2022-04-04,0.1778
"54",2022-04-05,0.1757
"55",2022-04-06,0.1825
"56",2022-04-07,0.1803
"57",2022-04-08,0.1895
"58",2022-04-11,0.1856
"59",2022-04-12,0.1784
"60",2022-04-13,0.1772
"61",2022-04-14,0.1755
"62",2022-04-18,0.1803
"63",2022-04-19,0.1781
"64",2022-04-20,0.1805
"65",2022-04-21,0.1917
"66",2022-04-22,0.1874
"67",2022-04-25,0.1942
"68",2022-04-26,0.197
"69",2022-04-27,0.186
"70",2022-04-28,0.2009
"71",2022-04-29,0.2072
"72",2022-05-02,0.2095
"73",2022-05-03,0.2162
"74",2022-05-04,0.2076
"75",2022-05-05,0.2145
"76",2022-05-06,0.2192
"77",2022-05-09,0.227
"78",2022-05-10,0.2226
"79",2022-05-11,0.2223
"80",2022-05-12,0.2179
"81",2022-05-13,0.2285
"82",2022-05-16,0.2439
"83",2022-05-17,0.2432
"84",2022-05-18,0.2406
"85",2022-05-19,0.2447
"86",2022-05-20,0.2447
"87",2022-05-23,0.2367
"88",2022-05-24,0.2375
"89",2022-05-25,0.2325
"90",2022-05-26,0.2291
"91",2022-05-27,0.2316
"92",2022-05-31,0.2338
"93",2022-06-01,0.2392
"94",2022-06-02,0.2346
"95",2022-06-03,0.2436
"96",2022-06-06,0.2387
"97",2022-06-07,0.2496
"98",2022-06-08,0.2449
"99",2022-06-09,0.2307
"100",2022-06-10,0.2241
"101",2022-06-13,0.2289
"102",2022-06-14,0.2229
"103",2022-06-15,0.2291
"104",2022-06-16,0.2347
"105",2022-06-17,0.2366
"106",2022-06-21,0.2396
"107",2022-06-22,0.2374
"108",2022-06-23,0.233
"109",2022-06-24,0.2309
"110",2022-06-27,0.2306
"111",2022-06-28,0.2289
"112",2022-06-29,0.2409
"113",2022-06-30,0.2348
"114",2022-07-01,0.236
"115",2022-07-05,0.231
"116",2022-07-06,0.212
"117",2022-07-07,0.2148
"118",2022-07-08,0.2253
"119",2022-07-11,0.2326
"120",2022-07-12,0.2294
"121",2022-07-13,0.2411
"122",2022-07-14,0.2444
"123",2022-07-15,0.244
"124",2022-07-18,0.2334
"125",2022-07-19,0.2394
"126",2022-07-20,0.2269
"127",2022-07-21,0.2324
