"","date","MKTX"
"1",2022-01-19,0.2981
"2",2022-01-20,0.2878
"3",2022-01-21,0.2766
"4",2022-01-24,0.2665
"5",2022-01-25,0.2683
"6",2022-01-26,0.2668
"7",2022-01-27,0.2686
"8",2022-01-28,0.2668
"9",2022-01-31,0.2668
"10",2022-02-01,0.2625
"11",2022-02-02,0.2534
"12",2022-02-03,0.2444
"13",2022-02-04,0.2409
"14",2022-02-07,0.2316
"15",2022-02-08,0.2375
"16",2022-02-09,0.2376
"17",2022-02-10,0.2526
"18",2022-02-11,0.2536
"19",2022-02-14,0.2521
"20",2022-02-15,0.2335
"21",2022-02-16,0.2387
"22",2022-02-17,0.2377
"23",2022-02-18,0.2447
"24",2022-02-22,0.2319
"25",2022-02-23,0.2266
"26",2022-02-24,0.2257
"27",2022-02-25,0.2314
"28",2022-02-28,0.2253
"29",2022-03-01,0.2329
"30",2022-03-02,0.2336
"31",2022-03-03,0.2462
"32",2022-03-04,0.249
"33",2022-03-07,0.2391
"34",2022-03-08,0.234
"35",2022-03-09,0.2332
"36",2022-03-10,0.2259
"37",2022-03-11,0.2298
"38",2022-03-14,0.2386
"39",2022-03-15,0.2387
"40",2022-03-16,0.2199
"41",2022-03-17,0.2216
"42",2022-03-18,0.2271
"43",2022-03-21,0.2343
"44",2022-03-22,0.2341
"45",2022-03-23,0.238
"46",2022-03-24,0.2307
"47",2022-03-25,0.2317
"48",2022-03-28,0.2296
"49",2022-03-29,0.234
"50",2022-03-30,0.2216
"51",2022-03-31,0.2257
"52",2022-04-01,0.2219
"53",2022-04-04,0.2262
"54",2022-04-05,0.2249
"55",2022-04-06,0.2349
"56",2022-04-07,0.2295
"57",2022-04-08,0.2322
"58",2022-04-11,0.2229
"59",2022-04-12,0.2246
"60",2022-04-13,0.2229
"61",2022-04-14,0.2342
"62",2022-04-18,0.2356
"63",2022-04-19,0.2302
"64",2022-04-20,0.2187
"65",2022-04-21,0.2139
"66",2022-04-22,0.2182
"67",2022-04-25,0.2227
"68",2022-04-26,0.2175
"69",2022-04-27,0.2145
"70",2022-04-28,0.219
"71",2022-04-29,0.2365
"72",2022-05-02,0.2345
"73",2022-05-03,0.2409
"74",2022-05-04,0.2336
"75",2022-05-05,0.2339
"76",2022-05-06,0.2232
"77",2022-05-09,0.2244
"78",2022-05-10,0.2168
"79",2022-05-11,0.2221
"80",2022-05-12,0.2185
"81",2022-05-13,0.2258
"82",2022-05-16,0.229
"83",2022-05-17,0.2258
"84",2022-05-18,0.2245
"85",2022-05-19,0.2322
"86",2022-05-20,0.242
"87",2022-05-23,0.2553
"88",2022-05-24,0.239
"89",2022-05-25,0.2315
"90",2022-05-26,0.2331
"91",2022-05-27,0.2364
"92",2022-05-31,0.2425
"93",2022-06-01,0.2461
"94",2022-06-02,0.2466
"95",2022-06-03,0.2551
"96",2022-06-06,0.2543
"97",2022-06-07,0.2558
"98",2022-06-08,0.258
"99",2022-06-09,0.2648
"100",2022-06-10,0.2551
"101",2022-06-13,0.2563
"102",2022-06-14,0.2556
"103",2022-06-15,0.2696
"104",2022-06-16,0.2684
"105",2022-06-17,0.2659
"106",2022-06-21,0.2645
"107",2022-06-22,0.2696
"108",2022-06-23,0.2657
"109",2022-06-24,0.272
"110",2022-06-27,0.2661
"111",2022-06-28,0.2676
"112",2022-06-29,0.2651
"113",2022-06-30,0.2635
"114",2022-07-01,0.2644
"115",2022-07-05,0.2676
"116",2022-07-06,0.2568
"117",2022-07-07,0.2594
"118",2022-07-08,0.2647
"119",2022-07-11,0.2703
"120",2022-07-12,0.2714
"121",2022-07-13,0.275
"122",2022-07-14,0.2768
"123",2022-07-15,0.2684
"124",2022-07-18,0.2439
"125",2022-07-19,0.2435
"126",2022-07-20,0.2448
"127",2022-07-21,0.2522
"128",2022-07-22,0.2484
