"","date","NCLH"
"1",2020-08-14,0.157
"2",2020-08-17,0.1652
"3",2020-08-18,0.1759
"4",2020-08-19,0.1726
"5",2020-08-20,0.1677
"6",2020-08-21,0.1744
"7",2020-08-24,0.1832
"8",2020-08-25,0.1975
"9",2020-08-26,0.2087
"10",2020-08-27,0.2051
"11",2020-08-28,0.1911
"12",2020-08-31,0.1756
"13",2020-09-01,0.1789
"14",2020-09-02,0.1899
"15",2020-09-03,0.1981
"16",2020-09-04,0.1959
"17",2020-09-08,0.1795
"18",2020-09-09,0.2107
"19",2020-09-10,0.2253
"20",2020-09-11,0.25
"21",2020-09-14,0.2423
"22",2020-09-15,0.2311
"23",2020-09-16,0.2373
"24",2020-09-17,0.252
"25",2020-09-18,0.2136
"26",2020-09-21,0.199
"27",2020-09-22,0.192
"28",2020-09-23,0.1954
"29",2020-09-24,0.1971
"30",2020-09-25,0.194
"31",2020-09-28,0.1958
"32",2020-09-29,0.1786
"33",2020-09-30,0.1737
"34",2020-10-01,0.1727
"35",2020-10-02,0.1658
"36",2020-10-05,0.1711
"37",2020-10-06,0.1962
"38",2020-10-07,0.2021
"39",2020-10-08,0.1931
"40",2020-10-09,0.1873
"41",2020-10-12,0.1915
"42",2020-10-13,0.1808
"43",2020-10-14,0.1632
"44",2020-10-15,0.16
"45",2020-10-16,0.1712
"46",2020-10-19,0.1771
"47",2020-10-20,0.1774
"48",2020-10-21,0.1652
"49",2020-10-22,0.1507
"50",2020-10-23,0.1294
"51",2020-10-26,0.132
"52",2020-10-27,0.148
"53",2020-10-28,0.1632
"54",2020-10-29,0.1628
"55",2020-10-30,0.1585
"56",2020-11-02,0.1431
"57",2020-11-03,0.1445
"58",2020-11-04,0.1532
"59",2020-11-05,0.1424
"60",2020-11-06,0.1241
"61",2020-11-09,0.1167
"62",2020-11-10,0.106
"63",2020-11-11,0.1268
"64",2020-11-12,0.1239
"65",2020-11-13,0.1502
"66",2020-11-16,0.1464
"67",2020-11-17,0.1483
"68",2020-11-18,0.1478
"69",2020-11-19,0.1447
"70",2020-11-20,0.1579
"71",2020-11-23,0.162
"72",2020-11-24,0.1539
"73",2020-11-25,0.1749
"74",2020-11-27,0.1749
"75",2020-11-30,0.1868
"76",2020-12-01,0.1764
"77",2020-12-02,0.1919
"78",2020-12-03,0.1564
"79",2020-12-04,0.1468
"80",2020-12-07,0.1539
"81",2020-12-08,0.1798
"82",2020-12-09,0.1954
"83",2020-12-10,0.1765
"84",2020-12-11,0.1526
"85",2020-12-14,0.1844
"86",2020-12-15,0.1888
"87",2020-12-16,0.1871
"88",2020-12-17,0.1836
"89",2020-12-18,0.1651
"90",2020-12-21,0.1459
"91",2020-12-22,0.1526
"92",2020-12-23,0.1945
"93",2020-12-24,0.2415
"94",2020-12-28,0.2277
"95",2020-12-29,0.2235
"96",2020-12-30,0.2238
"97",2020-12-31,0.2327
"98",2021-01-04,0.2232
"99",2021-01-05,0.2183
"100",2021-01-06,0.2207
"101",2021-01-07,0.2435
"102",2021-01-08,0.2412
"103",2021-01-11,0.2585
"104",2021-01-12,0.2382
"105",2021-01-13,0.2564
"106",2021-01-14,0.2608
"107",2021-01-15,0.271
"108",2021-01-19,0.2657
"109",2021-01-20,0.2735
"110",2021-01-21,0.2852
"111",2021-01-22,0.2992
"112",2021-01-25,0.3207
"113",2021-01-26,0.3555
"114",2021-01-27,0.3385
"115",2021-01-28,0.3428
"116",2021-01-29,0.3283
"117",2021-02-01,0.3593
"118",2021-02-02,0.3881
"119",2021-02-03,0.3806
"120",2021-02-04,0.3641
"121",2021-02-05,0.3883
"122",2021-02-08,0.3975
"123",2021-02-09,0.4001
"124",2021-02-10,0.39
"125",2021-02-11,0.4315
"126",2021-02-12,0.4017
"127",2021-02-16,0.3818
"128",2021-02-17,0.3497
"129",2021-02-18,0.3206
"130",2021-02-19,0.3
"131",2021-02-22,0.2455
"132",2021-02-23,0.1938
"133",2021-02-24,0.1762
"134",2021-02-25,0.1434
"135",2021-02-26,0.1484
"136",2021-03-01,0.1555
"137",2021-03-02,0.2067
"138",2021-03-03,0.231
"139",2021-03-04,0.2698
"140",2021-03-05,0.3115
"141",2021-03-08,0.3032
"142",2021-03-09,0.2603
"143",2021-03-10,0.2381
"144",2021-03-11,0.2423
"145",2021-03-12,0.2065
"146",2021-03-15,0.1998
"147",2021-03-16,0.1679
"148",2021-03-17,0.1445
"149",2021-03-18,0.1275
"150",2021-03-19,0.1177
"151",2021-03-22,0.1051
"152",2021-03-23,0.1013
"153",2021-03-24,0.11
"154",2021-03-25,0.1223
"155",2021-03-26,0.1409
"156",2021-03-29,0.1862
"157",2021-03-30,0.2518
"158",2021-03-31,0.2916
"159",2021-04-01,0.3053
"160",2021-04-05,0.3228
"161",2021-04-06,0.399
"162",2021-04-07,0.4307
"163",2021-04-08,0.4746
"164",2021-04-09,0.4619
"165",2021-04-12,0.5033
"166",2021-04-13,0.5471
"167",2021-04-14,0.5354
"168",2021-04-15,0.5287
"169",2021-04-16,0.5323
"170",2021-04-19,0.5251
"171",2021-04-20,0.5703
"172",2021-04-21,0.5759
"173",2021-04-22,0.5798
"174",2021-04-23,0.5275
"175",2021-04-26,0.516
"176",2021-04-27,0.5043
"177",2021-04-28,0.5138
"178",2021-04-29,0.5097
"179",2021-04-30,0.491
"180",2021-05-03,0.4617
"181",2021-05-04,0.4653
"182",2021-05-05,0.5077
"183",2021-05-06,0.5102
"184",2021-05-07,0.4766
"185",2021-05-10,0.483
"186",2021-05-11,0.4531
"187",2021-05-12,0.4252
"188",2021-05-13,0.3974
"189",2021-05-14,0.3891
"190",2021-05-17,0.3911
"191",2021-05-18,0.3754
"192",2021-05-19,0.3434
"193",2021-05-20,0.3424
"194",2021-05-21,0.3229
"195",2021-05-24,0.3485
"196",2021-05-25,0.3817
"197",2021-05-26,0.4987
"198",2021-05-27,0.5097
"199",2021-05-28,0.4614
"200",2021-06-01,0.4235
"201",2021-06-02,0.425
"202",2021-06-03,0.4119
"203",2021-06-04,0.3721
"204",2021-06-07,0.3335
"205",2021-06-08,0.3696
"206",2021-06-09,0.3343
"207",2021-06-10,0.3043
"208",2021-06-11,0.2963
"209",2021-06-14,0.277
"210",2021-06-15,0.2526
"211",2021-06-16,0.2477
"212",2021-06-17,0.2349
"213",2021-06-18,0.2299
"214",2021-06-21,0.2146
"215",2021-06-22,0.177
"216",2021-06-23,0.1645
"217",2021-06-24,0.166
"218",2021-06-25,0.1579
"219",2021-06-28,0.1363
"220",2021-06-29,0.1279
"221",2021-06-30,0.1167
"222",2021-07-01,0.0941
"223",2021-07-02,0.0964999999999999
"224",2021-07-06,0.0809
"225",2021-07-07,0.0717
"226",2021-07-08,0.0606
"227",2021-07-09,0.0759
"228",2021-07-12,0.0883
"229",2021-07-13,0.0940000000000001
"230",2021-07-14,0.1
"231",2021-07-15,0.0962
"232",2021-07-16,0.1098
"233",2021-07-19,0.1119
"234",2021-07-20,0.1101
"235",2021-07-21,0.104
"236",2021-07-22,0.093
"237",2021-07-23,0.0789
