"","date","NWSA"
"1",2020-08-14,0.2812
"2",2020-08-17,0.2729
"3",2020-08-18,0.245
"4",2020-08-19,0.2539
"5",2020-08-20,0.2491
"6",2020-08-21,0.2323
"7",2020-08-24,0.2685
"8",2020-08-25,0.301
"9",2020-08-26,0.358
"10",2020-08-27,0.3446
"11",2020-08-28,0.3525
"12",2020-08-31,0.3448
"13",2020-09-01,0.321
"14",2020-09-02,0.3077
"15",2020-09-03,0.299
"16",2020-09-04,0.2724
"17",2020-09-08,0.2577
"18",2020-09-09,0.2418
"19",2020-09-10,0.2327
"20",2020-09-11,0.2626
"21",2020-09-14,0.2458
"22",2020-09-15,0.2592
"23",2020-09-16,0.2342
"24",2020-09-17,0.235
"25",2020-09-18,0.2287
"26",2020-09-21,0.2204
"27",2020-09-22,0.1847
"28",2020-09-23,0.1771
"29",2020-09-24,0.1678
"30",2020-09-25,0.1856
"31",2020-09-28,0.1854
"32",2020-09-29,0.1977
"33",2020-09-30,0.1997
"34",2020-10-01,0.2064
"35",2020-10-02,0.2009
"36",2020-10-05,0.179
"37",2020-10-06,0.1646
"38",2020-10-07,0.1693
"39",2020-10-08,0.1862
"40",2020-10-09,0.1997
"41",2020-10-12,0.1897
"42",2020-10-13,0.1896
"43",2020-10-14,0.1715
"44",2020-10-15,0.1908
"45",2020-10-16,0.1897
"46",2020-10-19,0.1993
"47",2020-10-20,0.186
"48",2020-10-21,0.1765
"49",2020-10-22,0.1501
"50",2020-10-23,0.1478
"51",2020-10-26,0.1529
"52",2020-10-27,0.175
"53",2020-10-28,0.1745
"54",2020-10-29,0.1833
"55",2020-10-30,0.1549
"56",2020-11-02,0.1462
"57",2020-11-03,0.1305
"58",2020-11-04,0.1089
"59",2020-11-05,0.1086
"60",2020-11-06,0.1101
"61",2020-11-09,0.1149
"62",2020-11-10,0.1214
"63",2020-11-11,0.116
"64",2020-11-12,0.1191
"65",2020-11-13,0.1128
"66",2020-11-16,0.0597000000000001
"67",2020-11-17,0.0550999999999999
"68",2020-11-18,0.0962999999999999
"69",2020-11-19,0.1032
"70",2020-11-20,0.1199
"71",2020-11-23,0.1043
"72",2020-11-24,0.1196
"73",2020-11-25,0.1263
"74",2020-11-27,0.13
"75",2020-11-30,0.1328
"76",2020-12-01,0.1285
"77",2020-12-02,0.1196
"78",2020-12-03,0.1165
"79",2020-12-04,0.123
"80",2020-12-07,0.1203
"81",2020-12-08,0.128
"82",2020-12-09,0.1316
"83",2020-12-10,0.1404
"84",2020-12-11,0.1587
"85",2020-12-14,0.1651
"86",2020-12-15,0.1721
"87",2020-12-16,0.1783
"88",2020-12-17,0.1751
"89",2020-12-18,0.1745
"90",2020-12-21,0.1886
"91",2020-12-22,0.1835
"92",2020-12-23,0.1936
"93",2020-12-24,0.1956
"94",2020-12-28,0.1985
"95",2020-12-29,0.2189
"96",2020-12-30,0.227
"97",2020-12-31,0.2283
"98",2021-01-04,0.2254
"99",2021-01-05,0.235
"100",2021-01-06,0.2323
"101",2021-01-07,0.2157
"102",2021-01-08,0.1799
"103",2021-01-11,0.1424
"104",2021-01-12,0.1263
"105",2021-01-13,0.1315
"106",2021-01-14,0.1435
"107",2021-01-15,0.145
"108",2021-01-19,0.1395
"109",2021-01-20,0.1345
"110",2021-01-21,0.1385
"111",2021-01-22,0.1552
"112",2021-01-25,0.1707
"113",2021-01-26,0.1566
"114",2021-01-27,0.1628
"115",2021-01-28,0.1565
"116",2021-01-29,0.1713
"117",2021-02-01,0.1857
"118",2021-02-02,0.1857
"119",2021-02-03,0.1923
"120",2021-02-04,0.183
"121",2021-02-05,0.1817
"122",2021-02-08,0.1949
"123",2021-02-09,0.2126
"124",2021-02-10,0.2267
"125",2021-02-11,0.2392
"126",2021-02-12,0.2297
"127",2021-02-16,0.2208
"128",2021-02-17,0.2381
"129",2021-02-18,0.2631
"130",2021-02-19,0.265
"131",2021-02-22,0.2586
"132",2021-02-23,0.2559
"133",2021-02-24,0.2346
"134",2021-02-25,0.2493
"135",2021-02-26,0.2508
"136",2021-03-01,0.2503
"137",2021-03-02,0.2448
"138",2021-03-03,0.2376
"139",2021-03-04,0.2285
"140",2021-03-05,0.2312
"141",2021-03-08,0.2211
"142",2021-03-09,0.223
"143",2021-03-10,0.21
"144",2021-03-11,0.2049
"145",2021-03-12,0.203
"146",2021-03-15,0.2099
"147",2021-03-16,0.2197
"148",2021-03-17,0.2244
"149",2021-03-18,0.2202
"150",2021-03-19,0.2233
"151",2021-03-22,0.2298
"152",2021-03-23,0.2312
"153",2021-03-24,0.2375
"154",2021-03-25,0.2464
"155",2021-03-26,0.2574
"156",2021-03-29,0.2655
"157",2021-03-30,0.2553
"158",2021-03-31,0.2655
"159",2021-04-01,0.2651
"160",2021-04-05,0.2722
"161",2021-04-06,0.2693
"162",2021-04-07,0.2778
"163",2021-04-08,0.2718
"164",2021-04-09,0.2876
"165",2021-04-12,0.2972
"166",2021-04-13,0.2919
"167",2021-04-14,0.307
"168",2021-04-15,0.3311
"169",2021-04-16,0.3443
"170",2021-04-19,0.3584
"171",2021-04-20,0.3617
"172",2021-04-21,0.3638
"173",2021-04-22,0.3628
"174",2021-04-23,0.3867
"175",2021-04-26,0.3822
"176",2021-04-27,0.3965
"177",2021-04-28,0.3923
"178",2021-04-29,0.3898
"179",2021-04-30,0.3733
"180",2021-05-03,0.3783
"181",2021-05-04,0.3721
"182",2021-05-05,0.4081
"183",2021-05-06,0.4099
"184",2021-05-07,0.3962
"185",2021-05-10,0.3923
"186",2021-05-11,0.4
"187",2021-05-12,0.3924
"188",2021-05-13,0.3883
"189",2021-05-14,0.3834
"190",2021-05-17,0.408
"191",2021-05-18,0.4543
"192",2021-05-19,0.4379
"193",2021-05-20,0.4373
"194",2021-05-21,0.4384
"195",2021-05-24,0.4412
"196",2021-05-25,0.4507
"197",2021-05-26,0.4208
"198",2021-05-27,0.401
"199",2021-05-28,0.3752
"200",2021-06-01,0.3729
"201",2021-06-02,0.3564
"202",2021-06-03,0.3391
"203",2021-06-04,0.3224
"204",2021-06-07,0.3143
"205",2021-06-08,0.3117
"206",2021-06-09,0.3255
"207",2021-06-10,0.3266
"208",2021-06-11,0.3062
"209",2021-06-14,0.2751
"210",2021-06-15,0.2651
"211",2021-06-16,0.2619
"212",2021-06-17,0.2688
"213",2021-06-18,0.2492
"214",2021-06-21,0.2204
"215",2021-06-22,0.2147
"216",2021-06-23,0.212
"217",2021-06-24,0.1977
"218",2021-06-25,0.1924
"219",2021-06-28,0.1775
"220",2021-06-29,0.148
"221",2021-06-30,0.1248
"222",2021-07-01,0.1078
"223",2021-07-02,0.0871999999999999
"224",2021-07-06,0.0638
"225",2021-07-07,0.0528000000000001
"226",2021-07-08,0.0315
"227",2021-07-09,0.0227000000000001
"228",2021-07-12,0.0139
"229",2021-07-13,0.0167
"230",2021-07-14,0.0244
"231",2021-07-15,0.0545
"232",2021-07-16,0.0722
"233",2021-07-19,0.0818
"234",2021-07-20,0.0831
"235",2021-07-21,0.0902000000000001
"236",2021-07-22,0.1116
"237",2021-07-23,0.1008
"238",2021-07-26,0.0760000000000001
"239",2021-07-27,0.0555
"240",2021-07-28,0.0414
"241",2021-07-29,0.0427000000000001
"242",2021-07-30,0.0459999999999999
"243",2021-08-02,0.044
"244",2021-08-03,0.0649
"245",2021-08-04,0.0822999999999999
"246",2021-08-05,0.1
"247",2021-08-06,0.117
"248",2021-08-09,0.1338
"249",2021-08-10,0.1522
"250",2021-08-11,0.1551
"251",2021-08-12,0.1644
"252",2021-08-13,0.1741
"253",2021-08-16,0.1619
"254",2021-08-17,0.181
"255",2021-08-18,0.2004
"256",2021-08-19,0.1628
"257",2021-08-20,0.1473
"258",2021-08-23,0.1289
"259",2021-08-24,0.1251
"260",2021-08-25,0.128
"261",2021-08-26,0.1296
"262",2021-08-27,0.1261
"263",2021-08-30,0.1195
"264",2021-08-31,0.1217
"265",2021-09-01,0.1213
"266",2021-09-02,0.1241
"267",2021-09-03,0.134
"268",2021-09-07,0.1301
"269",2021-09-08,0.1153
"270",2021-09-09,0.1181
"271",2021-09-10,0.1272
"272",2021-09-13,0.1345
"273",2021-09-14,0.1248
"274",2021-09-15,0.1165
"275",2021-09-16,0.1356
"276",2021-09-17,0.1377
"277",2021-09-20,0.1406
"278",2021-09-21,0.1377
"279",2021-09-22,0.136
"280",2021-09-23,0.1322
"281",2021-09-24,0.1194
"282",2021-09-27,0.119
"283",2021-09-28,0.1073
"284",2021-09-29,0.1113
"285",2021-09-30,0.106
"286",2021-10-01,0.1195
"287",2021-10-04,0.1277
"288",2021-10-05,0.1169
"289",2021-10-06,0.1091
"290",2021-10-07,0.0981
"291",2021-10-08,0.0902
"292",2021-10-11,0.0982
"293",2021-10-12,0.0903999999999999
"294",2021-10-13,0.0857
"295",2021-10-14,0.0792999999999999
"296",2021-10-15,0.09
"297",2021-10-18,0.0905
"298",2021-10-19,0.0767000000000001
"299",2021-10-20,0.0640000000000001
"300",2021-10-21,0.0679999999999999
"301",2021-10-22,0.0757
"302",2021-10-25,0.0795
"303",2021-10-26,0.0905
"304",2021-10-27,0.0844999999999999
"305",2021-10-28,0.0914999999999999
"306",2021-10-29,0.0869
"307",2021-11-01,0.0808000000000001
"308",2021-11-02,0.0782999999999999
"309",2021-11-03,0.0772
"310",2021-11-04,0.0861
"311",2021-11-05,0.0899
"312",2021-11-08,0.083
"313",2021-11-09,0.0680999999999999
"314",2021-11-10,0.0547000000000001
"315",2021-11-11,0.0566000000000001
"316",2021-11-12,0.0608
"317",2021-11-15,0.0711999999999999
"318",2021-11-16,0.0848000000000001
"319",2021-11-17,0.0819
"320",2021-11-18,0.0711000000000001
"321",2021-11-19,0.0694
"322",2021-11-22,0.0679999999999999
"323",2021-11-23,0.0635
"324",2021-11-24,0.0676
"325",2021-11-26,0.0764
"326",2021-11-29,0.0779
"327",2021-11-30,0.0791000000000001
"328",2021-12-01,0.0697000000000001
"329",2021-12-02,0.073
"330",2021-12-03,0.0724
"331",2021-12-06,0.0762
"332",2021-12-07,0.0815
"333",2021-12-08,0.0753
"334",2021-12-09,0.0893
"335",2021-12-10,0.0839
"336",2021-12-13,0.0732999999999999
"337",2021-12-14,0.0738
"338",2021-12-15,0.0827
"339",2021-12-16,0.0816
"340",2021-12-17,0.0728
"341",2021-12-20,0.0760000000000001
"342",2021-12-21,0.0881
"343",2021-12-22,0.0835
"344",2021-12-23,0.0978000000000001
"345",2021-12-27,0.0931999999999999
"346",2021-12-28,0.0953
"347",2021-12-29,0.0883
"348",2021-12-30,0.0767
"349",2021-12-31,0.0791999999999999
"350",2022-01-03,0.0734
"351",2022-01-04,0.0624
"352",2022-01-05,0.0723
"353",2022-01-06,0.0578
"354",2022-01-07,0.0688
"355",2022-01-10,0.0754
"356",2022-01-11,0.0791999999999999
"357",2022-01-12,0.0859
"358",2022-01-13,0.0973
"359",2022-01-14,0.0931000000000001
"360",2022-01-18,0.0991
"361",2022-01-19,0.1033
"362",2022-01-20,0.1097
"363",2022-01-21,0.1002
"364",2022-01-24,0.1262
"365",2022-01-25,0.1372
"366",2022-01-26,0.142
"367",2022-01-27,0.1465
"368",2022-01-28,0.1497
"369",2022-01-31,0.1311
"370",2022-02-01,0.1371
"371",2022-02-02,0.1385
"372",2022-02-03,0.1351
"373",2022-02-04,0.1298
"374",2022-02-07,0.1288
"375",2022-02-08,0.1231
"376",2022-02-09,0.1372
"377",2022-02-10,0.1343
"378",2022-02-11,0.1345
"379",2022-02-14,0.1318
"380",2022-02-15,0.1269
"381",2022-02-16,0.1117
"382",2022-02-17,0.1101
"383",2022-02-18,0.0916
"384",2022-02-22,0.0958999999999999
"385",2022-02-23,0.0776999999999999
"386",2022-02-24,0.0705
"387",2022-02-25,0.0514
"388",2022-02-28,0.0502
"389",2022-03-01,0.046
"390",2022-03-02,0.0459000000000001
"391",2022-03-03,0.0483
"392",2022-03-04,0.0457
"393",2022-03-07,0.0471
"394",2022-03-08,0.0505999999999999
"395",2022-03-09,0.053
"396",2022-03-10,0.0588
"397",2022-03-11,0.0575999999999999
"398",2022-03-14,0.0632
"399",2022-03-15,0.0658
"400",2022-03-16,0.0601
"401",2022-03-17,0.0588
"402",2022-03-18,0.0538999999999999
"403",2022-03-21,0.061
"404",2022-03-22,0.0619000000000001
"405",2022-03-23,0.0536
"406",2022-03-24,0.0633
"407",2022-03-25,0.0788
"408",2022-03-28,0.0723
"409",2022-03-29,0.0621
"410",2022-03-30,0.0291
"411",2022-03-31,0.0173
"412",2022-04-01,0.0415
"413",2022-04-04,0.0104
"414",2022-04-05,0.0299
"415",2022-04-06,0.0580000000000001
"416",2022-04-07,0.0857
"417",2022-04-08,0.0979
"418",2022-04-11,0.0911
"419",2022-04-12,0.0597
"420",2022-04-13,0.041
"421",2022-04-14,0.0279
"422",2022-04-18,0.0157
"423",2022-04-19,0.0359
"424",2022-04-20,0.00900000000000001
"425",2022-04-21,0.0111
"426",2022-04-22,0.00750000000000001
"427",2022-04-25,0.0139
"428",2022-04-26,0.0165
"429",2022-04-27,0.00869999999999999
"430",2022-04-28,0.0261
"431",2022-04-29,0.0281
"432",2022-05-02,0.029
"433",2022-05-03,0.0308
"434",2022-05-04,0.0292
"435",2022-05-05,0.0254
"436",2022-05-06,0.0273
"437",2022-05-09,0.0462
"438",2022-05-10,0.056
"439",2022-05-11,0.0822
"440",2022-05-12,0.0868
"441",2022-05-13,0.0923
"442",2022-05-16,0.088
"443",2022-05-17,0.1156
"444",2022-05-18,0.1073
"445",2022-05-19,0.1075
"446",2022-05-20,0.1364
"447",2022-05-23,0.1391
"448",2022-05-24,0.1332
"449",2022-05-25,0.1454
"450",2022-05-26,0.1363
"451",2022-05-27,0.155
"452",2022-05-31,0.1438
