"","date","NWS"
"1",2020-08-14,0.265
"2",2020-08-17,0.2642
"3",2020-08-18,0.2428
"4",2020-08-19,0.2527
"5",2020-08-20,0.2508
"6",2020-08-21,0.2358
"7",2020-08-24,0.2767
"8",2020-08-25,0.2985
"9",2020-08-26,0.319
"10",2020-08-27,0.319
"11",2020-08-28,0.3179
"12",2020-08-31,0.3068
"13",2020-09-01,0.295
"14",2020-09-02,0.2849
"15",2020-09-03,0.2867
"16",2020-09-04,0.2628
"17",2020-09-08,0.2596
"18",2020-09-09,0.2375
"19",2020-09-10,0.2383
"20",2020-09-11,0.2604
"21",2020-09-14,0.2404
"22",2020-09-15,0.2493
"23",2020-09-16,0.2337
"24",2020-09-17,0.2312
"25",2020-09-18,0.2221
"26",2020-09-21,0.2201
"27",2020-09-22,0.1872
"28",2020-09-23,0.1753
"29",2020-09-24,0.1656
"30",2020-09-25,0.1748
"31",2020-09-28,0.1693
"32",2020-09-29,0.1745
"33",2020-09-30,0.1826
"34",2020-10-01,0.1912
"35",2020-10-02,0.1879
"36",2020-10-05,0.1588
"37",2020-10-06,0.1606
"38",2020-10-07,0.1746
"39",2020-10-08,0.1906
"40",2020-10-09,0.1909
"41",2020-10-12,0.1871
"42",2020-10-13,0.1849
"43",2020-10-14,0.1796
"44",2020-10-15,0.1943
"45",2020-10-16,0.1869
"46",2020-10-19,0.1859
"47",2020-10-20,0.1852
"48",2020-10-21,0.1809
"49",2020-10-22,0.1562
"50",2020-10-23,0.156
"51",2020-10-26,0.1506
"52",2020-10-27,0.162
"53",2020-10-28,0.1681
"54",2020-10-29,0.1679
"55",2020-10-30,0.1563
"56",2020-11-02,0.1412
"57",2020-11-03,0.1282
"58",2020-11-04,0.1117
"59",2020-11-05,0.1058
"60",2020-11-06,0.1039
"61",2020-11-09,0.1133
"62",2020-11-10,0.1174
"63",2020-11-11,0.1195
"64",2020-11-12,0.1116
"65",2020-11-13,0.112
"66",2020-11-16,0.0536
"67",2020-11-17,0.0501999999999999
"68",2020-11-18,0.1107
"69",2020-11-19,0.1243
"70",2020-11-20,0.1376
"71",2020-11-23,0.1267
"72",2020-11-24,0.1452
"73",2020-11-25,0.1615
"74",2020-11-27,0.1784
"75",2020-11-30,0.1702
"76",2020-12-01,0.1495
"77",2020-12-02,0.1496
"78",2020-12-03,0.1413
"79",2020-12-04,0.1394
"80",2020-12-07,0.1261
"81",2020-12-08,0.1374
"82",2020-12-09,0.1332
"83",2020-12-10,0.1521
"84",2020-12-11,0.161
"85",2020-12-14,0.1693
"86",2020-12-15,0.1777
"87",2020-12-16,0.1809
"88",2020-12-17,0.1709
"89",2020-12-18,0.1677
"90",2020-12-21,0.1761
"91",2020-12-22,0.1786
"92",2020-12-23,0.1778
"93",2020-12-24,0.185
"94",2020-12-28,0.1858
"95",2020-12-29,0.2006
"96",2020-12-30,0.2068
"97",2020-12-31,0.2118
"98",2021-01-04,0.215
"99",2021-01-05,0.2214
"100",2021-01-06,0.2146
"101",2021-01-07,0.1996
"102",2021-01-08,0.1544
"103",2021-01-11,0.1288
"104",2021-01-12,0.1186
"105",2021-01-13,0.1245
"106",2021-01-14,0.1289
"107",2021-01-15,0.137
"108",2021-01-19,0.1352
"109",2021-01-20,0.1343
"110",2021-01-21,0.1391
"111",2021-01-22,0.1492
"112",2021-01-25,0.1512
"113",2021-01-26,0.153
"114",2021-01-27,0.1552
"115",2021-01-28,0.1537
"116",2021-01-29,0.158
"117",2021-02-01,0.1774
"118",2021-02-02,0.1826
"119",2021-02-03,0.1891
"120",2021-02-04,0.1817
"121",2021-02-05,0.1824
"122",2021-02-08,0.196
"123",2021-02-09,0.2215
"124",2021-02-10,0.2378
"125",2021-02-11,0.2556
"126",2021-02-12,0.2367
"127",2021-02-16,0.2348
"128",2021-02-17,0.2457
"129",2021-02-18,0.26
"130",2021-02-19,0.2571
"131",2021-02-22,0.2528
"132",2021-02-23,0.2395
"133",2021-02-24,0.2303
"134",2021-02-25,0.2433
"135",2021-02-26,0.2407
"136",2021-03-01,0.2344
"137",2021-03-02,0.2385
"138",2021-03-03,0.2363
"139",2021-03-04,0.2171
"140",2021-03-05,0.2182
"141",2021-03-08,0.2108
"142",2021-03-09,0.2137
"143",2021-03-10,0.2161
"144",2021-03-11,0.2011
"145",2021-03-12,0.206
"146",2021-03-15,0.2095
"147",2021-03-16,0.219
"148",2021-03-17,0.2104
"149",2021-03-18,0.2128
"150",2021-03-19,0.208
"151",2021-03-22,0.2178
"152",2021-03-23,0.2238
"153",2021-03-24,0.247
"154",2021-03-25,0.2554
"155",2021-03-26,0.2653
"156",2021-03-29,0.2705
"157",2021-03-30,0.2579
"158",2021-03-31,0.2715
"159",2021-04-01,0.2655
"160",2021-04-05,0.2714
"161",2021-04-06,0.2729
"162",2021-04-07,0.2813
"163",2021-04-08,0.2886
"164",2021-04-09,0.2992
"165",2021-04-12,0.3082
"166",2021-04-13,0.2884
"167",2021-04-14,0.3134
"168",2021-04-15,0.3471
"169",2021-04-16,0.3701
"170",2021-04-19,0.3847
"171",2021-04-20,0.3821
"172",2021-04-21,0.3714
"173",2021-04-22,0.3811
"174",2021-04-23,0.3973
"175",2021-04-26,0.3928
"176",2021-04-27,0.3963
"177",2021-04-28,0.3978
"178",2021-04-29,0.3969
"179",2021-04-30,0.376
"180",2021-05-03,0.3765
"181",2021-05-04,0.3724
"182",2021-05-05,0.4198
"183",2021-05-06,0.4255
"184",2021-05-07,0.4094
"185",2021-05-10,0.3986
"186",2021-05-11,0.3975
"187",2021-05-12,0.394
"188",2021-05-13,0.391
"189",2021-05-14,0.3881
"190",2021-05-17,0.4045
"191",2021-05-18,0.4682
"192",2021-05-19,0.4357
"193",2021-05-20,0.445
"194",2021-05-21,0.4363
"195",2021-05-24,0.4349
"196",2021-05-25,0.4211
"197",2021-05-26,0.4055
"198",2021-05-27,0.397
"199",2021-05-28,0.3698
"200",2021-06-01,0.3639
"201",2021-06-02,0.3462
"202",2021-06-03,0.3318
"203",2021-06-04,0.3235
"204",2021-06-07,0.3053
"205",2021-06-08,0.3011
"206",2021-06-09,0.3115
"207",2021-06-10,0.3091
"208",2021-06-11,0.2982
"209",2021-06-14,0.2603
"210",2021-06-15,0.2355
"211",2021-06-16,0.2288
"212",2021-06-17,0.2352
"213",2021-06-18,0.2234
"214",2021-06-21,0.189
"215",2021-06-22,0.1748
"216",2021-06-23,0.1543
"217",2021-06-24,0.1407
"218",2021-06-25,0.1419
"219",2021-06-28,0.1232
"220",2021-06-29,0.0913
"221",2021-06-30,0.0758
"222",2021-07-01,0.0575
"223",2021-07-02,0.036
"224",2021-07-06,0.0213
"225",2021-07-07,0.0192
"226",2021-07-08,0.027
"227",2021-07-09,0.0374
"228",2021-07-12,0.0394
"229",2021-07-13,0.0605
"230",2021-07-14,0.0674
"231",2021-07-15,0.0979
"232",2021-07-16,0.1214
"233",2021-07-19,0.1282
"234",2021-07-20,0.1314
"235",2021-07-21,0.1325
"236",2021-07-22,0.1555
"237",2021-07-23,0.1409
"238",2021-07-26,0.109
"239",2021-07-27,0.0829
"240",2021-07-28,0.0639
"241",2021-07-29,0.0653
"242",2021-07-30,0.0623
"243",2021-08-02,0.0626
"244",2021-08-03,0.0790000000000001
"245",2021-08-04,0.0979
"246",2021-08-05,0.1175
"247",2021-08-06,0.1391
"248",2021-08-09,0.1634
"249",2021-08-10,0.1805
"250",2021-08-11,0.1897
"251",2021-08-12,0.2041
"252",2021-08-13,0.2185
"253",2021-08-16,0.2239
"254",2021-08-17,0.2345
"255",2021-08-18,0.2364
