"","date","PARA"
"1",2020-08-14,0.1271
"2",2020-08-17,0.1265
"3",2020-08-18,0.1478
"4",2020-08-19,0.1484
"5",2020-08-20,0.1444
"6",2020-08-21,0.1583
"7",2020-08-24,0.1684
"8",2020-08-25,0.162
"9",2020-08-26,0.171
"10",2020-08-27,0.1641
"11",2020-08-28,0.1609
"12",2020-08-31,0.1287
"13",2020-09-01,0.1118
"14",2020-09-02,0.0979
"15",2020-09-03,0.1169
"16",2020-09-04,0.1398
"17",2020-09-08,0.1569
"18",2020-09-09,0.1502
"19",2020-09-10,0.1704
"20",2020-09-11,0.1722
"21",2020-09-14,0.2026
"22",2020-09-15,0.1995
"23",2020-09-16,0.1989
"24",2020-09-17,0.2075
"25",2020-09-18,0.2057
"26",2020-09-21,0.1956
"27",2020-09-22,0.2137
"28",2020-09-23,0.1979
"29",2020-09-24,0.1793
"30",2020-09-25,0.1758
"31",2020-09-28,0.1954
"32",2020-09-29,0.1914
"33",2020-09-30,0.1863
"34",2020-10-01,0.1686
"35",2020-10-02,0.1568
"36",2020-10-05,0.169
"37",2020-10-06,0.1911
"38",2020-10-07,0.1903
"39",2020-10-08,0.1999
"40",2020-10-09,0.2112
"41",2020-10-12,0.2497
"42",2020-10-13,0.2678
"43",2020-10-14,0.2499
"44",2020-10-15,0.2046
"45",2020-10-16,0.1812
"46",2020-10-19,0.1729
"47",2020-10-20,0.1918
"48",2020-10-21,0.1734
"49",2020-10-22,0.1889
"50",2020-10-23,0.171
"51",2020-10-26,0.1883
"52",2020-10-27,0.1925
"53",2020-10-28,0.2045
"54",2020-10-29,0.2201
"55",2020-10-30,0.1905
"56",2020-11-02,0.1536
"57",2020-11-03,0.15
"58",2020-11-04,0.1441
"59",2020-11-05,0.1176
"60",2020-11-06,0.0942
"61",2020-11-09,0.0943000000000001
"62",2020-11-10,0.0643
"63",2020-11-11,0.0895
"64",2020-11-12,0.072
"65",2020-11-13,0.0694
"66",2020-11-16,0.0727
"67",2020-11-17,0.0734
"68",2020-11-18,0.0677
"69",2020-11-19,0.0789
"70",2020-11-20,0.0671
"71",2020-11-23,0.0741000000000001
"72",2020-11-24,0.0626
"73",2020-11-25,0.0626000000000001
"74",2020-11-27,0.0415000000000001
"75",2020-11-30,0.0657
"76",2020-12-01,0.0675
"77",2020-12-02,0.051
"78",2020-12-03,0.0491
"79",2020-12-04,0.0405
"80",2020-12-07,0.041
"81",2020-12-08,0.0712
"82",2020-12-09,0.0769
"83",2020-12-10,0.0739
"84",2020-12-11,0.0397999999999999
"85",2020-12-14,0.0574
"86",2020-12-15,0.0527000000000001
