"","date","PNW"
"1",2022-01-19,0.2626
"2",2022-01-20,0.2643
"3",2022-01-21,0.2836
"4",2022-01-24,0.2676
"5",2022-01-25,0.2712
"6",2022-01-26,0.2588
"7",2022-01-27,0.2584
"8",2022-01-28,0.2726
"9",2022-01-31,0.2846
"10",2022-02-01,0.2882
"11",2022-02-02,0.2937
"12",2022-02-03,0.2848
"13",2022-02-04,0.2898
"14",2022-02-07,0.2731
"15",2022-02-08,0.2958
"16",2022-02-09,0.2866
"17",2022-02-10,0.2985
"18",2022-02-11,0.2863
"19",2022-02-14,0.2873
"20",2022-02-15,0.2657
"21",2022-02-16,0.2808
"22",2022-02-17,0.2852
"23",2022-02-18,0.3004
"24",2022-02-22,0.3062
"25",2022-02-23,0.3145
"26",2022-02-24,0.3014
"27",2022-02-25,0.3063
"28",2022-02-28,0.3004
"29",2022-03-01,0.2992
"30",2022-03-02,0.2957
"31",2022-03-03,0.2995
"32",2022-03-04,0.2985
"33",2022-03-07,0.3075
"34",2022-03-08,0.2983
"35",2022-03-09,0.2978
"36",2022-03-10,0.2765
"37",2022-03-11,0.286
"38",2022-03-14,0.2912
"39",2022-03-15,0.3124
"40",2022-03-16,0.3061
"41",2022-03-17,0.3147
"42",2022-03-18,0.3165
"43",2022-03-21,0.3162
"44",2022-03-22,0.2993
"45",2022-03-23,0.3093
"46",2022-03-24,0.3082
"47",2022-03-25,0.3172
"48",2022-03-28,0.3189
"49",2022-03-29,0.3215
"50",2022-03-30,0.3092
"51",2022-03-31,0.3179
"52",2022-04-01,0.3176
"53",2022-04-04,0.3392
"54",2022-04-05,0.334
"55",2022-04-06,0.3505
"56",2022-04-07,0.3426
"57",2022-04-08,0.3632
"58",2022-04-11,0.3678
"59",2022-04-12,0.3758
"60",2022-04-13,0.3691
"61",2022-04-14,0.368
"62",2022-04-18,0.3578
"63",2022-04-19,0.3818
"64",2022-04-20,0.3693
"65",2022-04-21,0.3864
"66",2022-04-22,0.3943
"67",2022-04-25,0.4032
"68",2022-04-26,0.4124
"69",2022-04-27,0.4143
"70",2022-04-28,0.4095
"71",2022-04-29,0.4113
"72",2022-05-02,0.4109
"73",2022-05-03,0.4263
"74",2022-05-04,0.4151
"75",2022-05-05,0.4356
"76",2022-05-06,0.4302
"77",2022-05-09,0.4367
"78",2022-05-10,0.4268
"79",2022-05-11,0.4411
"80",2022-05-12,0.4274
"81",2022-05-13,0.441
"82",2022-05-16,0.4486
"83",2022-05-17,0.4604
"84",2022-05-18,0.4462
"85",2022-05-19,0.457
"86",2022-05-20,0.4565
"87",2022-05-23,0.4738
"88",2022-05-24,0.476
"89",2022-05-25,0.4842
"90",2022-05-26,0.475
"91",2022-05-27,0.4585
"92",2022-05-31,0.4566
"93",2022-06-01,0.477
"94",2022-06-02,0.4728
"95",2022-06-03,0.4813
"96",2022-06-06,0.4775
"97",2022-06-07,0.4838
"98",2022-06-08,0.4775
"99",2022-06-09,0.4879
"100",2022-06-10,0.4599
"101",2022-06-13,0.4598
"102",2022-06-14,0.456
"103",2022-06-15,0.4625
"104",2022-06-16,0.4474
"105",2022-06-17,0.4626
"106",2022-06-21,0.4536
"107",2022-06-22,0.4605
"108",2022-06-23,0.4607
"109",2022-06-24,0.466
"110",2022-06-27,0.4581
"111",2022-06-28,0.4695
"112",2022-06-29,0.4778
"113",2022-06-30,0.484
"114",2022-07-01,0.4658
"115",2022-07-05,0.4669
"116",2022-07-06,0.4463
"117",2022-07-07,0.4417
"118",2022-07-08,0.4399
"119",2022-07-11,0.4476
"120",2022-07-12,0.4439
"121",2022-07-13,0.4521
"122",2022-07-14,0.4511
"123",2022-07-15,0.4676
"124",2022-07-18,0.4397
"125",2022-07-19,0.4425
"126",2022-07-20,0.4308
"127",2022-07-21,0.4331
"128",2022-07-22,0.4308
"129",2022-07-25,0.4513
"130",2022-07-26,0.4513
"131",2022-07-27,0.4578
"132",2022-07-28,0.4567
"133",2022-07-29,0.4642
"134",2022-08-01,0.4433
"135",2022-08-02,0.453
"136",2022-08-03,0.444
"137",2022-08-04,0.4511
"138",2022-08-05,0.4522
"139",2022-08-08,0.4419
"140",2022-08-09,0.4204
"141",2022-08-10,0.4238
"142",2022-08-11,0.4299
"143",2022-08-12,0.4393
"144",2022-08-15,0.4311
"145",2022-08-16,0.4382
"146",2022-08-17,0.4204
"147",2022-08-18,0.4254
"148",2022-08-19,0.4151
"149",2022-08-22,0.4198
"150",2022-08-23,0.4061
"151",2022-08-24,0.4123
"152",2022-08-25,0.4116
"153",2022-08-26,0.42
"154",2022-08-29,0.4061
"155",2022-08-30,0.4031
"156",2022-08-31,0.394
"157",2022-09-01,0.3912
"158",2022-09-02,0.3976
"159",2022-09-06,0.4162
"160",2022-09-07,0.3966
"161",2022-09-08,0.3957
"162",2022-09-09,0.3954
"163",2022-09-12,0.4058
"164",2022-09-13,0.3937
"165",2022-09-14,0.4088
"166",2022-09-15,0.3984
"167",2022-09-16,0.4068
"168",2022-09-19,0.398
"169",2022-09-20,0.3888
"170",2022-09-21,0.3827
"171",2022-09-22,0.3908
"172",2022-09-23,0.3895
"173",2022-09-26,0.4047
"174",2022-09-27,0.3921
"175",2022-09-28,0.3969
"176",2022-09-29,0.3795
"177",2022-09-30,0.3905
"178",2022-10-03,0.3969
"179",2022-10-04,0.393
"180",2022-10-05,0.3826
"181",2022-10-06,0.385
"182",2022-10-07,0.3838
"183",2022-10-10,0.3939
"184",2022-10-11,0.3898
"185",2022-10-12,0.3982
"186",2022-10-13,0.392
"187",2022-10-14,0.3965
"188",2022-10-17,0.3866
"189",2022-10-18,0.3969
"190",2022-10-19,0.389
"191",2022-10-20,0.3939
"192",2022-10-21,0.4001
"193",2022-10-24,0.4069
"194",2022-10-25,0.3908
"195",2022-10-26,0.4077
"196",2022-10-27,0.3966
"197",2022-10-28,0.4004
"198",2022-10-31,0.4042
"199",2022-11-01,0.3999
"200",2022-11-02,0.3852
"201",2022-11-03,0.3868
"202",2022-11-04,0.3943
"203",2022-11-07,0.4083
"204",2022-11-08,0.4029
"205",2022-11-09,0.4006
"206",2022-11-10,0.4044
"207",2022-11-11,0.4213
"208",2022-11-14,0.4113
"209",2022-11-15,0.4249
"210",2022-11-16,0.4061
"211",2022-11-17,0.4075
"212",2022-11-18,0.3962
"213",2022-11-21,0.4032
"214",2022-11-22,0.3878
"215",2022-11-23,0.3802
"216",2022-11-25,0.3683
"217",2022-11-28,0.3731
"218",2022-11-29,0.37
"219",2022-11-30,0.3884
"220",2022-12-01,0.3773
"221",2022-12-02,0.3816
"222",2022-12-05,0.3838
"223",2022-12-06,0.386
"224",2022-12-07,0.3757
"225",2022-12-08,0.3853
"226",2022-12-09,0.3847
"227",2022-12-12,0.3802
"228",2022-12-13,0.3778
"229",2022-12-14,0.3839
"230",2022-12-15,0.3729
"231",2022-12-16,0.3729
"232",2022-12-19,0.3761
"233",2022-12-20,0.3856
"234",2022-12-21,0.3852
"235",2022-12-22,0.3963
"236",2022-12-23,0.4085
"237",2022-12-27,0.425
"238",2022-12-28,0.4395
"239",2022-12-29,0.4587
"240",2022-12-30,0.4714
"241",2023-01-03,0.4841
"242",2023-01-04,0.5015
"243",2023-01-05,0.5128
"244",2023-01-06,0.4933
"245",2023-01-09,0.5044
"246",2023-01-10,0.5184
"247",2023-01-11,0.5298
"248",2023-01-12,0.5331
"249",2023-01-13,0.5349
"250",2023-01-17,0.5209
"251",2023-01-18,0.4773
"252",2023-01-19,0.4385
"253",2023-01-20,0.4211
"254",2023-01-23,0.3753
"255",2023-01-24,0.3735
"256",2023-01-25,0.3534
"257",2023-01-26,0.356
"258",2023-01-27,0.3539
"259",2023-01-30,0.3462
"260",2023-01-31,0.2942
"261",2023-02-01,0.2854
"262",2023-02-02,0.2899
"263",2023-02-03,0.285
"264",2023-02-06,0.2803
"265",2023-02-07,0.2721
"266",2023-02-08,0.2748
"267",2023-02-09,0.2714
"268",2023-02-10,0.2799
"269",2023-02-13,0.2496
"270",2023-02-14,0.2447
"271",2023-02-15,0.2298
"272",2023-02-16,0.2338
"273",2023-02-17,0.2273
"274",2023-02-21,0.2268
"275",2023-02-22,0.2217
"276",2023-02-23,0.2217
"277",2023-02-24,0.2159
"278",2023-02-27,0.2149
"279",2023-02-28,0.2155
"280",2023-03-01,0.213
"281",2023-03-02,0.2119
"282",2023-03-03,0.22
"283",2023-03-06,0.2148
"284",2023-03-07,0.2133
"285",2023-03-08,0.2179
"286",2023-03-09,0.219
"287",2023-03-10,0.2146
"288",2023-03-13,0.2056
"289",2023-03-14,0.2063
"290",2023-03-15,0.207
"291",2023-03-16,0.2068
"292",2023-03-17,0.2084
"293",2023-03-20,0.2115
"294",2023-03-21,0.2131
"295",2023-03-22,0.204
"296",2023-03-23,0.2121
"297",2023-03-24,0.2106
"298",2023-03-27,0.2112
"299",2023-03-28,0.2005
"300",2023-03-29,0.1953
"301",2023-03-30,0.1984
"302",2023-03-31,0.2086
"303",2023-04-03,0.2045
"304",2023-04-04,0.2043
"305",2023-04-05,0.2054
"306",2023-04-06,0.2095
"307",2023-04-10,0.2051
"308",2023-04-11,0.2048
"309",2023-04-12,0.2095
"310",2023-04-13,0.2095
"311",2023-04-14,0.2047
"312",2023-04-17,0.208
