"","date","RHI"
"1",2022-01-19,0.1784
"2",2022-01-20,0.1785
"3",2022-01-21,0.1812
"4",2022-01-24,0.176
"5",2022-01-25,0.1727
"6",2022-01-26,0.1744
"7",2022-01-27,0.1779
"8",2022-01-28,0.181
"9",2022-01-31,0.1814
"10",2022-02-01,0.1873
"11",2022-02-02,0.1971
"12",2022-02-03,0.1915
"13",2022-02-04,0.1875
"14",2022-02-07,0.1777
"15",2022-02-08,0.1717
"16",2022-02-09,0.1762
"17",2022-02-10,0.1673
"18",2022-02-11,0.1585
"19",2022-02-14,0.166
"20",2022-02-15,0.1498
"21",2022-02-16,0.1583
"22",2022-02-17,0.1731
"23",2022-02-18,0.1804
"24",2022-02-22,0.1751
"25",2022-02-23,0.1664
"26",2022-02-24,0.1637
"27",2022-02-25,0.15
"28",2022-02-28,0.1309
"29",2022-03-01,0.1123
"30",2022-03-02,0.1107
"31",2022-03-03,0.124
"32",2022-03-04,0.1254
"33",2022-03-07,0.1277
"34",2022-03-08,0.119
"35",2022-03-09,0.1119
"36",2022-03-10,0.1063
"37",2022-03-11,0.1134
"38",2022-03-14,0.1185
"39",2022-03-15,0.1175
"40",2022-03-16,0.1092
"41",2022-03-17,0.1172
"42",2022-03-18,0.1296
"43",2022-03-21,0.1431
"44",2022-03-22,0.1299
"45",2022-03-23,0.1215
"46",2022-03-24,0.1307
"47",2022-03-25,0.1361
"48",2022-03-28,0.1403
"49",2022-03-29,0.1387
"50",2022-03-30,0.1288
"51",2022-03-31,0.128
"52",2022-04-01,0.1409
"53",2022-04-04,0.1596
"54",2022-04-05,0.1641
"55",2022-04-06,0.1657
"56",2022-04-07,0.157
"57",2022-04-08,0.1569
"58",2022-04-11,0.1571
"59",2022-04-12,0.1615
"60",2022-04-13,0.1547
"61",2022-04-14,0.168
"62",2022-04-18,0.1743
"63",2022-04-19,0.1881
"64",2022-04-20,0.1933
"65",2022-04-21,0.1945
"66",2022-04-22,0.1991
"67",2022-04-25,0.1997
"68",2022-04-26,0.1862
"69",2022-04-27,0.1896
"70",2022-04-28,0.2074
"71",2022-04-29,0.2239
"72",2022-05-02,0.2255
"73",2022-05-03,0.229
"74",2022-05-04,0.2307
"75",2022-05-05,0.2268
"76",2022-05-06,0.2349
"77",2022-05-09,0.2343
"78",2022-05-10,0.2326
"79",2022-05-11,0.2338
"80",2022-05-12,0.2271
"81",2022-05-13,0.2474
"82",2022-05-16,0.2603
"83",2022-05-17,0.2705
"84",2022-05-18,0.2613
"85",2022-05-19,0.261
"86",2022-05-20,0.2581
"87",2022-05-23,0.2535
"88",2022-05-24,0.2484
"89",2022-05-25,0.2429
"90",2022-05-26,0.2357
"91",2022-05-27,0.2474
"92",2022-05-31,0.253
"93",2022-06-01,0.2551
"94",2022-06-02,0.2554
"95",2022-06-03,0.2468
"96",2022-06-06,0.24
"97",2022-06-07,0.2314
"98",2022-06-08,0.2241
"99",2022-06-09,0.2201
