"","date","RL"
"1",2022-01-19,0.144
"2",2022-01-20,0.1436
"3",2022-01-21,0.1363
"4",2022-01-24,0.1346
"5",2022-01-25,0.1287
"6",2022-01-26,0.1252
"7",2022-01-27,0.1227
"8",2022-01-28,0.1268
"9",2022-01-31,0.1295
"10",2022-02-01,0.1351
"11",2022-02-02,0.1533
"12",2022-02-03,0.142
"13",2022-02-04,0.1394
"14",2022-02-07,0.1373
"15",2022-02-08,0.1451
"16",2022-02-09,0.1469
"17",2022-02-10,0.1397
"18",2022-02-11,0.122
"19",2022-02-14,0.1156
"20",2022-02-15,0.1119
"21",2022-02-16,0.1133
"22",2022-02-17,0.1149
"23",2022-02-18,0.1201
"24",2022-02-22,0.1255
"25",2022-02-23,0.1322
"26",2022-02-24,0.1329
"27",2022-02-25,0.123
"28",2022-02-28,0.1142
"29",2022-03-01,0.1073
"30",2022-03-02,0.1141
"31",2022-03-03,0.1265
"32",2022-03-04,0.1232
"33",2022-03-07,0.1198
"34",2022-03-08,0.111
"35",2022-03-09,0.1118
"36",2022-03-10,0.1088
"37",2022-03-11,0.118
"38",2022-03-14,0.12
"39",2022-03-15,0.1229
"40",2022-03-16,0.1213
"41",2022-03-17,0.1311
"42",2022-03-18,0.1315
"43",2022-03-21,0.126
"44",2022-03-22,0.1234
"45",2022-03-23,0.1217
"46",2022-03-24,0.1223
"47",2022-03-25,0.1313
"48",2022-03-28,0.1293
"49",2022-03-29,0.1251
"50",2022-03-30,0.1252
"51",2022-03-31,0.126
"52",2022-04-01,0.1313
"53",2022-04-04,0.126
"54",2022-04-05,0.117
"55",2022-04-06,0.1244
"56",2022-04-07,0.1296
"57",2022-04-08,0.1393
"58",2022-04-11,0.14
"59",2022-04-12,0.1395
"60",2022-04-13,0.1397
"61",2022-04-14,0.1491
"62",2022-04-18,0.1396
"63",2022-04-19,0.1431
"64",2022-04-20,0.1394
"65",2022-04-21,0.1529
"66",2022-04-22,0.1556
"67",2022-04-25,0.1436
"68",2022-04-26,0.1371
"69",2022-04-27,0.1365
"70",2022-04-28,0.1416
"71",2022-04-29,0.1581
"72",2022-05-02,0.1627
"73",2022-05-03,0.1574
"74",2022-05-04,0.1556
"75",2022-05-05,0.1584
"76",2022-05-06,0.1646
"77",2022-05-09,0.166
"78",2022-05-10,0.1564
"79",2022-05-11,0.1652
"80",2022-05-12,0.1661
"81",2022-05-13,0.1744
"82",2022-05-16,0.1717
"83",2022-05-17,0.1703
"84",2022-05-18,0.166
"85",2022-05-19,0.1714
"86",2022-05-20,0.1793
"87",2022-05-23,0.1798
"88",2022-05-24,0.1705
"89",2022-05-25,0.1621
"90",2022-05-26,0.1535
"91",2022-05-27,0.1593
"92",2022-05-31,0.1578
"93",2022-06-01,0.1613
"94",2022-06-02,0.1637
"95",2022-06-03,0.1713
"96",2022-06-06,0.1711
"97",2022-06-07,0.1643
"98",2022-06-08,0.1542
"99",2022-06-09,0.1454
"100",2022-06-10,0.1362
"101",2022-06-13,0.138
"102",2022-06-14,0.1284
"103",2022-06-15,0.1262
"104",2022-06-16,0.1177
"105",2022-06-17,0.1171
"106",2022-06-21,0.1145
"107",2022-06-22,0.1213
"108",2022-06-23,0.1169
"109",2022-06-24,0.1111
"110",2022-06-27,0.1121
"111",2022-06-28,0.1133
"112",2022-06-29,0.1097
"113",2022-06-30,0.1063
"114",2022-07-01,0.0957
"115",2022-07-05,0.0966
"116",2022-07-06,0.098
"117",2022-07-07,0.0928
"118",2022-07-08,0.0882000000000001
"119",2022-07-11,0.093
"120",2022-07-12,0.0936
"121",2022-07-13,0.0978999999999999
"122",2022-07-14,0.0977
"123",2022-07-15,0.0968
"124",2022-07-18,0.0881
"125",2022-07-19,0.0845
"126",2022-07-20,0.0748
"127",2022-07-21,0.0723
"128",2022-07-22,0.0645
"129",2022-07-25,0.0622
"130",2022-07-26,0.0555
"131",2022-07-27,0.064
"132",2022-07-28,0.0641
"133",2022-07-29,0.0623
"134",2022-08-01,0.0568
"135",2022-08-02,0.0626
"136",2022-08-03,0.0649999999999999
"137",2022-08-04,0.0661
"138",2022-08-05,0.0585
"139",2022-08-08,0.0533999999999999
"140",2022-08-09,0.0554
"141",2022-08-10,0.0610000000000001
"142",2022-08-11,0.0575000000000001
"143",2022-08-12,0.0602
"144",2022-08-15,0.0561999999999999
"145",2022-08-16,0.0630000000000001
"146",2022-08-17,0.0635999999999999
"147",2022-08-18,0.0637
"148",2022-08-19,0.0634
"149",2022-08-22,0.066
"150",2022-08-23,0.0644
"151",2022-08-24,0.0742
"152",2022-08-25,0.0734
"153",2022-08-26,0.0765
"154",2022-08-29,0.0768
"155",2022-08-30,0.0817
"156",2022-08-31,0.0807
"157",2022-09-01,0.0864
"158",2022-09-02,0.0871
"159",2022-09-06,0.0888
"160",2022-09-07,0.0922999999999999
"161",2022-09-08,0.1
"162",2022-09-09,0.1045
"163",2022-09-12,0.1055
"164",2022-09-13,0.1068
"165",2022-09-14,0.1176
"166",2022-09-15,0.1207
"167",2022-09-16,0.1258
"168",2022-09-19,0.1254
"169",2022-09-20,0.1324
"170",2022-09-21,0.1345
"171",2022-09-22,0.1378
"172",2022-09-23,0.131
"173",2022-09-26,0.1273
"174",2022-09-27,0.1222
"175",2022-09-28,0.1323
"176",2022-09-29,0.1355
"177",2022-09-30,0.1332
"178",2022-10-03,0.1332
"179",2022-10-04,0.1252
"180",2022-10-05,0.1245
"181",2022-10-06,0.1256
"182",2022-10-07,0.1218
"183",2022-10-10,0.1201
"184",2022-10-11,0.1206
"185",2022-10-12,0.1335
"186",2022-10-13,0.1397
"187",2022-10-14,0.1332
"188",2022-10-17,0.1251
"189",2022-10-18,0.1175
"190",2022-10-19,0.1151
"191",2022-10-20,0.1841
"192",2022-10-21,0.1828
"193",2022-10-24,0.1694
"194",2022-10-25,0.1478
"195",2022-10-26,0.1368
"196",2022-10-27,0.1322
"197",2022-10-28,0.1164
"198",2022-10-31,0.1005
"199",2022-11-01,0.0839
"200",2022-11-02,0.0746
"201",2022-11-03,0.0736
"202",2022-11-04,0.0673
"203",2022-11-07,0.0624
"204",2022-11-08,0.0497
"205",2022-11-09,0.047
"206",2022-11-10,0.0442
"207",2022-11-11,0.0443
"208",2022-11-14,0.0379
"209",2022-11-15,0.0267
"210",2022-11-16,0.0251
"211",2022-11-17,0.0263
"212",2022-11-18,0.0243
"213",2022-11-21,0.0238
"214",2022-11-22,0.0259
"215",2022-11-23,0.0316
"216",2022-11-25,0.0287
"217",2022-11-28,0.0339
"218",2022-11-29,0.0283
"219",2022-11-30,0.0306
"220",2022-12-01,0.031
"221",2022-12-02,0.0305
"222",2022-12-05,0.0227
"223",2022-12-06,0.0235
"224",2022-12-07,0.0163
"225",2022-12-08,0.0247
"226",2022-12-09,0.0217
"227",2022-12-12,0.0195
"228",2022-12-13,0.0197
"229",2022-12-14,0.0311
"230",2022-12-15,0.0441
"231",2022-12-16,0.0514
"232",2022-12-19,0.0544
"233",2022-12-20,0.0649
"234",2022-12-21,0.0754
"235",2022-12-22,0.092
"236",2022-12-23,0.1035
"237",2022-12-27,0.1188
"238",2022-12-28,0.1329
"239",2022-12-29,0.1511
"240",2022-12-30,0.1692
"241",2023-01-03,0.1839
"242",2023-01-04,0.1878
"243",2023-01-05,0.1881
"244",2023-01-06,0.196
"245",2023-01-09,0.2165
"246",2023-01-10,0.2251
"247",2023-01-11,0.2376
"248",2023-01-12,0.2392
"249",2023-01-13,0.2388
"250",2023-01-17,0.2431
"251",2023-01-18,0.2279
"252",2023-01-19,0.2138
"253",2023-01-20,0.2127
"254",2023-01-23,0.2023
"255",2023-01-24,0.2085
"256",2023-01-25,0.2104
"257",2023-01-26,0.2069
"258",2023-01-27,0.2051
"259",2023-01-30,0.2078
"260",2023-01-31,0.2099
"261",2023-02-01,0.2163
"262",2023-02-02,0.2177
"263",2023-02-03,0.2153
"264",2023-02-06,0.2139
"265",2023-02-07,0.2152
"266",2023-02-08,0.2193
"267",2023-02-09,0.2226
"268",2023-02-10,0.2201
"269",2023-02-13,0.2046
"270",2023-02-14,0.2022
"271",2023-02-15,0.2022
"272",2023-02-16,0.1971
"273",2023-02-17,0.1934
"274",2023-02-21,0.1952
"275",2023-02-22,0.1983
"276",2023-02-23,0.1967
"277",2023-02-24,0.2008
"278",2023-02-27,0.2044
"279",2023-02-28,0.2028
"280",2023-03-01,0.2047
"281",2023-03-02,0.2046
"282",2023-03-03,0.1974
"283",2023-03-06,0.1932
"284",2023-03-07,0.1889
"285",2023-03-08,0.2009
"286",2023-03-09,0.1999
"287",2023-03-10,0.1924
"288",2023-03-13,0.1825
"289",2023-03-14,0.1885
"290",2023-03-15,0.1945
