"","date","SEDG"
"1",2020-08-14,0.2474
"2",2020-08-17,0.2481
"3",2020-08-18,0.2462
"4",2020-08-19,0.2309
"5",2020-08-20,0.2275
"6",2020-08-21,0.2297
"7",2020-08-24,0.2681
"8",2020-08-25,0.2694
"9",2020-08-26,0.2877
"10",2020-08-27,0.3101
"11",2020-08-28,0.2891
"12",2020-08-31,0.2727
"13",2020-09-01,0.2676
"14",2020-09-02,0.2677
"15",2020-09-03,0.2799
"16",2020-09-04,0.2617
"17",2020-09-08,0.2675
"18",2020-09-09,0.252
"19",2020-09-10,0.264
"20",2020-09-11,0.2568
"21",2020-09-14,0.2777
"22",2020-09-15,0.3025
"23",2020-09-16,0.3161
"24",2020-09-17,0.3123
"25",2020-09-18,0.3131
"26",2020-09-21,0.2898
"27",2020-09-22,0.2872
"28",2020-09-23,0.2838
"29",2020-09-24,0.2913
"30",2020-09-25,0.3001
"31",2020-09-28,0.2978
"32",2020-09-29,0.3107
"33",2020-09-30,0.3181
"34",2020-10-01,0.3164
"35",2020-10-02,0.308
"36",2020-10-05,0.2832
"37",2020-10-06,0.2786
"38",2020-10-07,0.2494
"39",2020-10-08,0.2489
"40",2020-10-09,0.2636
"41",2020-10-12,0.2635
"42",2020-10-13,0.2783
"43",2020-10-14,0.2834
"44",2020-10-15,0.2965
"45",2020-10-16,0.3055
"46",2020-10-19,0.3095
"47",2020-10-20,0.3199
"48",2020-10-21,0.3235
"49",2020-10-22,0.3269
"50",2020-10-23,0.3378
"51",2020-10-26,0.3397
"52",2020-10-27,0.3492
"53",2020-10-28,0.3815
"54",2020-10-29,0.3823
"55",2020-10-30,0.3935
"56",2020-11-02,0.3573
"57",2020-11-03,0.3706
"58",2020-11-04,0.3806
"59",2020-11-05,0.3614
"60",2020-11-06,0.3468
"61",2020-11-09,0.342
"62",2020-11-10,0.3354
"63",2020-11-11,0.3404
"64",2020-11-12,0.3689
"65",2020-11-13,0.3499
"66",2020-11-16,0.3629
"67",2020-11-17,0.3921
"68",2020-11-18,0.3747
"69",2020-11-19,0.351
"70",2020-11-20,0.3575
"71",2020-11-23,0.3453
"72",2020-11-24,0.3408
"73",2020-11-25,0.3632
"74",2020-11-27,0.4189
"75",2020-11-30,0.4333
"76",2020-12-01,0.3803
"77",2020-12-02,0.3498
"78",2020-12-03,0.3231
"79",2020-12-04,0.3031
"80",2020-12-07,0.3235
"81",2020-12-08,0.3296
"82",2020-12-09,0.3442
"83",2020-12-10,0.3451
"84",2020-12-11,0.3325
"85",2020-12-14,0.3073
"86",2020-12-15,0.2647
"87",2020-12-16,0.2554
"88",2020-12-17,0.2331
"89",2020-12-18,0.1921
"90",2020-12-21,0.1848
"91",2020-12-22,0.1666
"92",2020-12-23,0.1775
"93",2020-12-24,0.1966
"94",2020-12-28,0.2302
"95",2020-12-29,0.1973
"96",2020-12-30,0.1837
"97",2020-12-31,0.1725
"98",2021-01-04,0.1705
"99",2021-01-05,0.1929
"100",2021-01-06,0.1771
"101",2021-01-07,0.1118
"102",2021-01-08,0.0713
"103",2021-01-11,0.0822999999999999
"104",2021-01-12,0.0827000000000001
"105",2021-01-13,0.0861999999999999
"106",2021-01-14,0.0967000000000001
"107",2021-01-15,0.1016
"108",2021-01-19,0.1111
"109",2021-01-20,0.0948
"110",2021-01-21,0.0977
"111",2021-01-22,0.0987
"112",2021-01-25,0.113
"113",2021-01-26,0.1127
"114",2021-01-27,0.1226
"115",2021-01-28,0.1146
"116",2021-01-29,0.0878
"117",2021-02-01,0.092
"118",2021-02-02,0.1283
"119",2021-02-03,0.1421
"120",2021-02-04,0.1594
"121",2021-02-05,0.1567
"122",2021-02-08,0.1532
"123",2021-02-09,0.1592
"124",2021-02-10,0.1614
"125",2021-02-11,0.1205
"126",2021-02-12,0.1258
"127",2021-02-16,0.1624
"128",2021-02-17,0.1463
"129",2021-02-18,0.1461
"130",2021-02-19,0.1589
"131",2021-02-22,0.1475
"132",2021-02-23,0.1711
"133",2021-02-24,0.1707
"134",2021-02-25,0.1749
"135",2021-02-26,0.1724
"136",2021-03-01,0.1696
"137",2021-03-02,0.1677
"138",2021-03-03,0.1849
"139",2021-03-04,0.1816
"140",2021-03-05,0.1618
"141",2021-03-08,0.147
"142",2021-03-09,0.1818
"143",2021-03-10,0.1927
"144",2021-03-11,0.2044
"145",2021-03-12,0.198
"146",2021-03-15,0.1693
"147",2021-03-16,0.1685
"148",2021-03-17,0.1713
"149",2021-03-18,0.1614
"150",2021-03-19,0.1707
"151",2021-03-22,0.1618
"152",2021-03-23,0.1638
"153",2021-03-24,0.1607
"154",2021-03-25,0.184
"155",2021-03-26,0.1581
"156",2021-03-29,0.162
"157",2021-03-30,0.1537
"158",2021-03-31,0.141
"159",2021-04-01,0.1314
"160",2021-04-05,0.113
"161",2021-04-06,0.0674
"162",2021-04-07,0.0759
"163",2021-04-08,0.0913
"164",2021-04-09,0.0923
"165",2021-04-12,0.0991
"166",2021-04-13,0.1088
"167",2021-04-14,0.1073
"168",2021-04-15,0.1298
"169",2021-04-16,0.1268
"170",2021-04-19,0.1419
"171",2021-04-20,0.1729
"172",2021-04-21,0.2007
"173",2021-04-22,0.1854
"174",2021-04-23,0.2004
"175",2021-04-26,0.1917
"176",2021-04-27,0.1925
"177",2021-04-28,0.1848
"178",2021-04-29,0.2253
"179",2021-04-30,0.2133
"180",2021-05-03,0.2133
"181",2021-05-04,0.2038
"182",2021-05-05,0.2111
"183",2021-05-06,0.2072
"184",2021-05-07,0.202
"185",2021-05-10,0.1799
"186",2021-05-11,0.1851
"187",2021-05-12,0.1876
"188",2021-05-13,0.1701
"189",2021-05-14,0.173
"190",2021-05-17,0.2128
"191",2021-05-18,0.244
"192",2021-05-19,0.2613
"193",2021-05-20,0.2528
"194",2021-05-21,0.2398
"195",2021-05-24,0.1934
"196",2021-05-25,0.1714
"197",2021-05-26,0.1534
"198",2021-05-27,0.1571
"199",2021-05-28,0.1383
"200",2021-06-01,0.1192
"201",2021-06-02,0.103
"202",2021-06-03,0.1327
"203",2021-06-04,0.131
"204",2021-06-07,0.1787
"205",2021-06-08,0.1602
"206",2021-06-09,0.1272
"207",2021-06-10,0.1153
"208",2021-06-11,0.092
"209",2021-06-14,0.0826
"210",2021-06-15,0.0606
"211",2021-06-16,0.0633
"212",2021-06-17,0.0592
"213",2021-06-18,0.0507
"214",2021-06-21,0.0643
"215",2021-06-22,0.0516
"216",2021-06-23,0.0517
"217",2021-06-24,0.0564
"218",2021-06-25,0.0532
"219",2021-06-28,0.0509999999999999
"220",2021-06-29,0.0580999999999999
"221",2021-06-30,0.0464
"222",2021-07-01,0.0468
"223",2021-07-02,0.0597
"224",2021-07-06,0.0545
"225",2021-07-07,0.0433
"226",2021-07-08,0.0513
"227",2021-07-09,0.0565
"228",2021-07-12,0.0639
"229",2021-07-13,0.0758
"230",2021-07-14,0.0662
"231",2021-07-15,0.0573
"232",2021-07-16,0.0465
"233",2021-07-19,0.0478
"234",2021-07-20,0.0398000000000001
"235",2021-07-21,0.0239
"236",2021-07-22,0.0392
"237",2021-07-23,0.0303
"238",2021-07-26,0.0416
"239",2021-07-27,0.0397999999999999
"240",2021-07-28,0.0569000000000001
"241",2021-07-29,0.0913999999999999
"242",2021-07-30,0.1079
"243",2021-08-02,0.1153
"244",2021-08-03,0.1313
"245",2021-08-04,0.1446
"246",2021-08-05,0.1858
"247",2021-08-06,0.2337
"248",2021-08-09,0.2825
"249",2021-08-10,0.2772
"250",2021-08-11,0.2796
"251",2021-08-12,0.2323
"252",2021-08-13,0.1905
"253",2021-08-16,0.2034
"254",2021-08-17,0.1884
"255",2021-08-18,0.1852
"256",2021-08-19,0.1804
"257",2021-08-20,0.182
"258",2021-08-23,0.1874
"259",2021-08-24,0.1934
"260",2021-08-25,0.1692
"261",2021-08-26,0.1532
"262",2021-08-27,0.152
"263",2021-08-30,0.146
"264",2021-08-31,0.1502
"265",2021-09-01,0.1409
"266",2021-09-02,0.1414
"267",2021-09-03,0.1522
"268",2021-09-07,0.1375
"269",2021-09-08,0.1222
"270",2021-09-09,0.1159
"271",2021-09-10,0.1213
"272",2021-09-13,0.122
"273",2021-09-14,0.1275
"274",2021-09-15,0.1338
"275",2021-09-16,0.1244
"276",2021-09-17,0.1231
"277",2021-09-20,0.1455
"278",2021-09-21,0.1366
"279",2021-09-22,0.1195
"280",2021-09-23,0.1155
"281",2021-09-24,0.1212
"282",2021-09-27,0.1232
"283",2021-09-28,0.1208
"284",2021-09-29,0.0999
"285",2021-09-30,0.0992
"286",2021-10-01,0.0959
"287",2021-10-04,0.0891999999999999
"288",2021-10-05,0.093
"289",2021-10-06,0.1135
"290",2021-10-07,0.1138
"291",2021-10-08,0.1211
"292",2021-10-11,0.1136
"293",2021-10-12,0.1066
"294",2021-10-13,0.0955
"295",2021-10-14,0.0872
"296",2021-10-15,0.0927999999999999
"297",2021-10-18,0.1067
"298",2021-10-19,0.1106
"299",2021-10-20,0.1115
"300",2021-10-21,0.1027
"301",2021-10-22,0.115
"302",2021-10-25,0.1191
"303",2021-10-26,0.128
"304",2021-10-27,0.1235
"305",2021-10-28,0.1137
"306",2021-10-29,0.1107
"307",2021-11-01,0.1182
"308",2021-11-02,0.1237
"309",2021-11-03,0.1273
"310",2021-11-04,0.128
"311",2021-11-05,0.1233
"312",2021-11-08,0.123
"313",2021-11-09,0.1499
"314",2021-11-10,0.1578
"315",2021-11-11,0.1462
"316",2021-11-12,0.1272
"317",2021-11-15,0.1231
"318",2021-11-16,0.1375
"319",2021-11-17,0.1548
"320",2021-11-18,0.1446
"321",2021-11-19,0.1594
"322",2021-11-22,0.1657
"323",2021-11-23,0.1666
"324",2021-11-24,0.1662
"325",2021-11-26,0.1775
"326",2021-11-29,0.1861
"327",2021-11-30,0.1906
"328",2021-12-01,0.1765
"329",2021-12-02,0.1749
"330",2021-12-03,0.1649
"331",2021-12-06,0.1719
"332",2021-12-07,0.1792
"333",2021-12-08,0.2009
"334",2021-12-09,0.1999
"335",2021-12-10,0.1849
"336",2021-12-13,0.1783
"337",2021-12-14,0.1945
"338",2021-12-15,0.1888
"339",2021-12-16,0.1847
"340",2021-12-17,0.1858
"341",2021-12-20,0.1804
"342",2021-12-21,0.1755
"343",2021-12-22,0.1861
"344",2021-12-23,0.1894
"345",2021-12-27,0.181
"346",2021-12-28,0.1844
"347",2021-12-29,0.1812
"348",2021-12-30,0.1771
"349",2021-12-31,0.1721
"350",2022-01-03,0.1609
"351",2022-01-04,0.159
"352",2022-01-05,0.1485
"353",2022-01-06,0.1487
"354",2022-01-07,0.1564
"355",2022-01-10,0.1643
"356",2022-01-11,0.144
"357",2022-01-12,0.1505
"358",2022-01-13,0.1431
"359",2022-01-14,0.1397
"360",2022-01-18,0.1282
"361",2022-01-19,0.1367
"362",2022-01-20,0.1257
"363",2022-01-21,0.1246
"364",2022-01-24,0.1102
"365",2022-01-25,0.1051
"366",2022-01-26,0.1112
"367",2022-01-27,0.1036
"368",2022-01-28,0.089
"369",2022-01-31,0.0918
"370",2022-02-01,0.0670999999999999
"371",2022-02-02,0.0891
"372",2022-02-03,0.0746
"373",2022-02-04,0.0867
"374",2022-02-07,0.0866000000000001
"375",2022-02-08,0.0793
"376",2022-02-09,0.0677
"377",2022-02-10,0.0730999999999999
"378",2022-02-11,0.0682
"379",2022-02-14,0.0745
"380",2022-02-15,0.0684
"381",2022-02-16,0.0825
"382",2022-02-17,0.0803
"383",2022-02-18,0.0904
"384",2022-02-22,0.0962
"385",2022-02-23,0.1213
"386",2022-02-24,0.1326
"387",2022-02-25,0.1491
"388",2022-02-28,0.1573
"389",2022-03-01,0.1537
"390",2022-03-02,0.1509
"391",2022-03-03,0.1751
"392",2022-03-04,0.1543
"393",2022-03-07,0.1584
"394",2022-03-08,0.1424
"395",2022-03-09,0.1254
"396",2022-03-10,0.1178
"397",2022-03-11,0.1309
"398",2022-03-14,0.1425
"399",2022-03-15,0.1535
"400",2022-03-16,0.1448
"401",2022-03-17,0.1617
"402",2022-03-18,0.1596
"403",2022-03-21,0.1743
"404",2022-03-22,0.167
"405",2022-03-23,0.1565
"406",2022-03-24,0.157
"407",2022-03-25,0.1786
"408",2022-03-28,0.1995
"409",2022-03-29,0.2183
"410",2022-03-30,0.2293
"411",2022-03-31,0.2457
"412",2022-04-01,0.224
"413",2022-04-04,0.2193
"414",2022-04-05,0.1935
"415",2022-04-06,0.1762
"416",2022-04-07,0.1722
"417",2022-04-08,0.1841
"418",2022-04-11,0.1834
"419",2022-04-12,0.1723
"420",2022-04-13,0.1562
"421",2022-04-14,0.1799
"422",2022-04-18,0.18
"423",2022-04-19,0.1927
"424",2022-04-20,0.1928
"425",2022-04-21,0.1844
"426",2022-04-22,0.1918
"427",2022-04-25,0.2024
"428",2022-04-26,0.1995
"429",2022-04-27,0.2141
"430",2022-04-28,0.1954
"431",2022-04-29,0.2086
"432",2022-05-02,0.199
"433",2022-05-03,0.2077
"434",2022-05-04,0.2227
"435",2022-05-05,0.2124
"436",2022-05-06,0.1945
"437",2022-05-09,0.188
"438",2022-05-10,0.1877
"439",2022-05-11,0.2007
"440",2022-05-12,0.1926
"441",2022-05-13,0.1982
"442",2022-05-16,0.1798
"443",2022-05-17,0.1865
"444",2022-05-18,0.1777
"445",2022-05-19,0.1729
"446",2022-05-20,0.1721
"447",2022-05-23,0.1512
"448",2022-05-24,0.1333
"449",2022-05-25,0.1251
"450",2022-05-26,0.1213
"451",2022-05-27,0.1547
"452",2022-05-31,0.1407
"453",2022-06-01,0.1513
"454",2022-06-02,0.1498
"455",2022-06-03,0.1484
"456",2022-06-06,0.1482
"457",2022-06-07,0.1548
"458",2022-06-08,0.1431
"459",2022-06-09,0.1253
"460",2022-06-10,0.1047
"461",2022-06-13,0.1124
"462",2022-06-14,0.1111
"463",2022-06-15,0.1185
"464",2022-06-16,0.1119
"465",2022-06-17,0.1142
"466",2022-06-21,0.1119
"467",2022-06-22,0.0997
"468",2022-06-23,0.1018
"469",2022-06-24,0.104
"470",2022-06-27,0.1063
"471",2022-06-28,0.1126
"472",2022-06-29,0.1019
"473",2022-06-30,0.1179
"474",2022-07-01,0.1153
"475",2022-07-05,0.1226
"476",2022-07-06,0.1304
"477",2022-07-07,0.1303
"478",2022-07-08,0.1261
"479",2022-07-11,0.1194
"480",2022-07-12,0.0984
"481",2022-07-13,0.1264
"482",2022-07-14,0.122
"483",2022-07-15,0.1373
"484",2022-07-18,0.1351
"485",2022-07-19,0.1253
"486",2022-07-20,0.1268
"487",2022-07-21,0.1335
"488",2022-07-22,0.1264
"489",2022-07-25,0.1334
"490",2022-07-26,0.1225
"491",2022-07-27,0.1388
"492",2022-07-28,0.1398
"493",2022-07-29,0.1512
"494",2022-08-01,0.158
"495",2022-08-02,0.1516
"496",2022-08-03,0.1458
"497",2022-08-04,0.1369
"498",2022-08-05,0.1474
"499",2022-08-08,0.1591
"500",2022-08-09,0.1429
"501",2022-08-10,0.1768
"502",2022-08-11,0.1663
"503",2022-08-12,0.171
"504",2022-08-15,0.1638
"505",2022-08-16,0.1604
"506",2022-08-17,0.1821
"507",2022-08-18,0.1822
"508",2022-08-19,0.1734
"509",2022-08-22,0.188
"510",2022-08-23,0.177
"511",2022-08-24,0.2018
"512",2022-08-25,0.1828
"513",2022-08-26,0.1831
"514",2022-08-29,0.1714
"515",2022-08-30,0.1717
"516",2022-08-31,0.1845
"517",2022-09-01,0.1951
"518",2022-09-02,0.2053
"519",2022-09-06,0.1968
"520",2022-09-07,0.1936
"521",2022-09-08,0.2101
"522",2022-09-09,0.2106
"523",2022-09-12,0.2239
"524",2022-09-13,0.2132
"525",2022-09-14,0.2103
"526",2022-09-15,0.2209
"527",2022-09-16,0.2213
"528",2022-09-19,0.2265
"529",2022-09-20,0.2409
"530",2022-09-21,0.2362
"531",2022-09-22,0.2405
"532",2022-09-23,0.2193
"533",2022-09-26,0.2291
"534",2022-09-27,0.2328
"535",2022-09-28,0.2228
"536",2022-09-29,0.2225
"537",2022-09-30,0.2173
"538",2022-10-03,0.1758
"539",2022-10-04,0.1549
"540",2022-10-05,0.1162
"541",2022-10-06,0.1288
"542",2022-10-07,0.123
"543",2022-10-10,0.1149
"544",2022-10-11,0.1174
"545",2022-10-12,0.1024
"546",2022-10-13,0.1118
"547",2022-10-14,0.1003
"548",2022-10-17,0.0824
"549",2022-10-18,0.0695999999999999
"550",2022-10-19,0.05
"551",2022-10-20,0.0663
"552",2022-10-21,0.0611
"553",2022-10-24,0.0749
"554",2022-10-25,0.0674
"555",2022-10-26,0.0479000000000001
"556",2022-10-27,0.0596
"557",2022-10-28,0.0495
"558",2022-10-31,0.0547
"559",2022-11-01,0.0689
"560",2022-11-02,0.0655
"561",2022-11-03,0.094
"562",2022-11-04,0.0841999999999999
"563",2022-11-07,0.0884
"564",2022-11-08,0.0761999999999999
"565",2022-11-09,0.0661999999999999
"566",2022-11-10,0.0786999999999999
"567",2022-11-11,0.0772
"568",2022-11-14,0.07
"569",2022-11-15,0.0681
"570",2022-11-16,0.0726
"571",2022-11-17,0.094
"572",2022-11-18,0.0952000000000001
"573",2022-11-21,0.1047
"574",2022-11-22,0.0954
"575",2022-11-23,0.0927
"576",2022-11-25,0.0971
"577",2022-11-28,0.1013
"578",2022-11-29,0.1122
"579",2022-11-30,0.1004
"580",2022-12-01,0.0808
"581",2022-12-02,0.0969
"582",2022-12-05,0.1024
"583",2022-12-06,0.1272
"584",2022-12-07,0.1234
"585",2022-12-08,0.12
"586",2022-12-09,0.1309
"587",2022-12-12,0.131
"588",2022-12-13,0.126
"589",2022-12-14,0.138
"590",2022-12-15,0.1414
"591",2022-12-16,0.1372
"592",2022-12-19,0.1233
"593",2022-12-20,0.1202
"594",2022-12-21,0.1266
"595",2022-12-22,0.1315
"596",2022-12-23,0.1345
"597",2022-12-27,0.1387
"598",2022-12-28,0.1288
"599",2022-12-29,0.1187
"600",2022-12-30,0.1118
"601",2023-01-03,0.1115
"602",2023-01-04,0.1106
"603",2023-01-05,0.1236
"604",2023-01-06,0.1258
"605",2023-01-09,0.1254
"606",2023-01-10,0.1435
"607",2023-01-11,0.1363
"608",2023-01-12,0.125
"609",2023-01-13,0.1248
"610",2023-01-17,0.1098
"611",2023-01-18,0.1265
"612",2023-01-19,0.1155
"613",2023-01-20,0.1201
"614",2023-01-23,0.1183
"615",2023-01-24,0.1081
"616",2023-01-25,0.1371
"617",2023-01-26,0.1517
"618",2023-01-27,0.1525
"619",2023-01-30,0.1653
"620",2023-01-31,0.1669
"621",2023-02-01,0.1988
"622",2023-02-02,0.1823
"623",2023-02-03,0.1718
"624",2023-02-06,0.1591
"625",2023-02-07,0.153
"626",2023-02-08,0.1699
"627",2023-02-09,0.1631
"628",2023-02-10,0.1599
"629",2023-02-13,0.1479
"630",2023-02-14,0.149
"631",2023-02-15,0.163
"632",2023-02-16,0.1445
"633",2023-02-17,0.1295
"634",2023-02-21,0.1203
"635",2023-02-22,0.124
"636",2023-02-23,0.1444
"637",2023-02-24,0.1507
"638",2023-02-27,0.156
"639",2023-02-28,0.1595
"640",2023-03-01,0.1446
"641",2023-03-02,0.1529
"642",2023-03-03,0.1396
"643",2023-03-06,0.141
"644",2023-03-07,0.1402
"645",2023-03-08,0.1258
"646",2023-03-09,0.1338
"647",2023-03-10,0.1316
"648",2023-03-13,0.1348
"649",2023-03-14,0.144
"650",2023-03-15,0.1562
"651",2023-03-16,0.1454
"652",2023-03-17,0.1387
"653",2023-03-20,0.135
"654",2023-03-21,0.1277
"655",2023-03-22,0.1128
"656",2023-03-23,0.1124
"657",2023-03-24,0.0876
"658",2023-03-27,0.0752999999999999
"659",2023-03-28,0.0625
"660",2023-03-29,0.0547
"661",2023-03-30,0.0615000000000001
"662",2023-03-31,0.045
"663",2023-04-03,0.079
"664",2023-04-04,0.0794
"665",2023-04-05,0.0616
"666",2023-04-06,0.0569
"667",2023-04-10,0.0544
"668",2023-04-11,0.0354
"669",2023-04-12,0.0272
"670",2023-04-13,0.0212
"671",2023-04-14,0.0211
"672",2023-04-17,0.0206999999999999
"673",2023-04-18,0.0252
"674",2023-04-19,0.0416
"675",2023-04-20,0.0324
"676",2023-04-21,0.0358999999999999
"677",2023-04-24,0.0336
"678",2023-04-25,0.0312
"679",2023-04-26,0.0266999999999999
"680",2023-04-27,0.0254000000000001
"681",2023-04-28,0.0283
"682",2023-05-01,0.0457
"683",2023-05-02,0.0347
"684",2023-05-03,0.0384
"685",2023-05-04,0.0369999999999999
"686",2023-05-05,0.0353
"687",2023-05-08,0.0459999999999999
"688",2023-05-09,0.049
"689",2023-05-10,0.0553
"690",2023-05-11,0.0615
"691",2023-05-12,0.0461
"692",2023-05-15,0.0629000000000001
"693",2023-05-16,0.0624
"694",2023-05-17,0.0574000000000001
"695",2023-05-18,0.048
"696",2023-05-19,0.0444
"697",2023-05-22,0.0581
"698",2023-05-23,0.0581
"699",2023-05-24,0.0694
"700",2023-05-25,0.0662
"701",2023-05-26,0.0575000000000001
"702",2023-05-30,0.0575000000000001
"703",2023-05-31,0.0576
"704",2023-06-01,0.0482
"705",2023-06-02,0.036
"706",2023-06-05,0.0318000000000001
"707",2023-06-06,0.0263
"708",2023-06-07,0.0173
"709",2023-06-08,0.0177
"710",2023-06-09,0.0174
"711",2023-06-12,0.0198
"712",2023-06-13,0.0367999999999999
"713",2023-06-14,0.0248
"714",2023-06-15,0.0305
"715",2023-06-16,0.0425
"716",2023-06-20,0.0233
"717",2023-06-21,0.0158
"718",2023-06-22,0.0204
"719",2023-06-23,0.0277
"720",2023-06-26,0.0269
"721",2023-06-27,0.0307000000000001
"722",2023-06-28,0.026
"723",2023-06-29,0.029
