"","date","SEE"
"1",2020-08-14,0.3585
"2",2020-08-17,0.314
"3",2020-08-18,0.3304
"4",2020-08-19,0.3431
"5",2020-08-20,0.3032
"6",2020-08-21,0.3131
"7",2020-08-24,0.3127
"8",2020-08-25,0.3581
"9",2020-08-26,0.4378
"10",2020-08-27,0.427
"11",2020-08-28,0.3731
"12",2020-08-31,0.3453
"13",2020-09-01,0.3174
"14",2020-09-02,0.2507
"15",2020-09-03,0.2721
"16",2020-09-04,0.2647
"17",2020-09-08,0.2597
"18",2020-09-09,0.2639
"19",2020-09-10,0.3145
"20",2020-09-11,0.3078
"21",2020-09-14,0.3009
"22",2020-09-15,0.3069
"23",2020-09-16,0.2683
"24",2020-09-17,0.2717
"25",2020-09-18,0.2996
"26",2020-09-21,0.2993
"27",2020-09-22,0.2504
"28",2020-09-23,0.265
"29",2020-09-24,0.2846
"30",2020-09-25,0.2729
"31",2020-09-28,0.2663
"32",2020-09-29,0.2463
"33",2020-09-30,0.2117
"34",2020-10-01,0.1796
"35",2020-10-02,0.2088
"36",2020-10-05,0.2088
"37",2020-10-06,0.1996
"38",2020-10-07,0.1758
"39",2020-10-08,0.2522
"40",2020-10-09,0.2916
"41",2020-10-12,0.2488
"42",2020-10-13,0.2387
"43",2020-10-14,0.2342
"44",2020-10-15,0.1865
"45",2020-10-16,0.1614
"46",2020-10-19,0.1812
"47",2020-10-20,0.1732
"48",2020-10-21,0.1915
"49",2020-10-22,0.219
"50",2020-10-23,0.218
"51",2020-10-26,0.2094
"52",2020-10-27,0.2168
"53",2020-10-28,0.2147
"54",2020-10-29,0.1933
"55",2020-10-30,0.1951
"56",2020-11-02,0.1757
"57",2020-11-03,0.1785
"58",2020-11-04,0.1874
"59",2020-11-05,0.2222
"60",2020-11-06,0.2129
"61",2020-11-09,0.2057
"62",2020-11-10,0.1645
"63",2020-11-11,0.1789
"64",2020-11-12,0.1896
"65",2020-11-13,0.1896
"66",2020-11-16,0.2153
"67",2020-11-17,0.2167
"68",2020-11-18,0.2597
"69",2020-11-19,0.2705
"70",2020-11-20,0.2866
"71",2020-11-23,0.2717
"72",2020-11-24,0.2478
"73",2020-11-25,0.2743
"74",2020-11-27,0.2377
"75",2020-11-30,0.2458
"76",2020-12-01,0.2691
"77",2020-12-02,0.2549
"78",2020-12-03,0.2333
"79",2020-12-04,0.2752
"80",2020-12-07,0.3035
"81",2020-12-08,0.3105
"82",2020-12-09,0.3163
"83",2020-12-10,0.3122
"84",2020-12-11,0.2927
"85",2020-12-14,0.2823
"86",2020-12-15,0.2544
"87",2020-12-16,0.2596
"88",2020-12-17,0.2856
"89",2020-12-18,0.2669
"90",2020-12-21,0.2925
"91",2020-12-22,0.3245
"92",2020-12-23,0.3148
"93",2020-12-24,0.3204
"94",2020-12-28,0.3354
"95",2020-12-29,0.3498
"96",2020-12-30,0.3628
"97",2020-12-31,0.3453
"98",2021-01-04,0.3018
"99",2021-01-05,0.3173
"100",2021-01-06,0.3051
"101",2021-01-07,0.3104
"102",2021-01-08,0.3116
"103",2021-01-11,0.3264
"104",2021-01-12,0.3043
"105",2021-01-13,0.3143
"106",2021-01-14,0.3364
"107",2021-01-15,0.307
"108",2021-01-19,0.2976
"109",2021-01-20,0.3132
"110",2021-01-21,0.2864
"111",2021-01-22,0.2562
"112",2021-01-25,0.2876
"113",2021-01-26,0.2893
"114",2021-01-27,0.2549
"115",2021-01-28,0.2655
"116",2021-01-29,0.2842
"117",2021-02-01,0.2769
"118",2021-02-02,0.2801
"119",2021-02-03,0.2984
"120",2021-02-04,0.3091
"121",2021-02-05,0.2877
"122",2021-02-08,0.2297
"123",2021-02-09,0.2425
"124",2021-02-10,0.2377
"125",2021-02-11,0.2216
"126",2021-02-12,0.223
"127",2021-02-16,0.2361
"128",2021-02-17,0.2336
"129",2021-02-18,0.2527
"130",2021-02-19,0.2881
"131",2021-02-22,0.2738
"132",2021-02-23,0.2317
"133",2021-02-24,0.2118
"134",2021-02-25,0.1629
"135",2021-02-26,0.1588
"136",2021-03-01,0.1733
"137",2021-03-02,0.1553
"138",2021-03-03,0.1703
"139",2021-03-04,0.1942
"140",2021-03-05,0.2054
"141",2021-03-08,0.2016
"142",2021-03-09,0.1902
"143",2021-03-10,0.2013
"144",2021-03-11,0.1741
"145",2021-03-12,0.1804
"146",2021-03-15,0.153
"147",2021-03-16,0.1487
"148",2021-03-17,0.1722
"149",2021-03-18,0.1721
"150",2021-03-19,0.1779
"151",2021-03-22,0.2005
"152",2021-03-23,0.1908
"153",2021-03-24,0.1862
"154",2021-03-25,0.1717
"155",2021-03-26,0.16
"156",2021-03-29,0.1652
"157",2021-03-30,0.1815
"158",2021-03-31,0.1916
"159",2021-04-01,0.2349
"160",2021-04-05,0.2651
"161",2021-04-06,0.2676
"162",2021-04-07,0.2585
"163",2021-04-08,0.2733
"164",2021-04-09,0.2492
"165",2021-04-12,0.249
"166",2021-04-13,0.2352
"167",2021-04-14,0.2397
"168",2021-04-15,0.2405
"169",2021-04-16,0.2549
"170",2021-04-19,0.2379
"171",2021-04-20,0.2623
"172",2021-04-21,0.2861
"173",2021-04-22,0.2951
"174",2021-04-23,0.2608
"175",2021-04-26,0.292
"176",2021-04-27,0.2969
"177",2021-04-28,0.2617
"178",2021-04-29,0.2766
"179",2021-04-30,0.2887
"180",2021-05-03,0.2742
"181",2021-05-04,0.2683
"182",2021-05-05,0.2577
"183",2021-05-06,0.2808
"184",2021-05-07,0.274
"185",2021-05-10,0.2698
"186",2021-05-11,0.2706
"187",2021-05-12,0.2935
"188",2021-05-13,0.2719
"189",2021-05-14,0.2881
"190",2021-05-17,0.2884
"191",2021-05-18,0.291
"192",2021-05-19,0.2806
"193",2021-05-20,0.2961
"194",2021-05-21,0.2649
"195",2021-05-24,0.2746
"196",2021-05-25,0.2597
"197",2021-05-26,0.2444
"198",2021-05-27,0.2349
"199",2021-05-28,0.2462
"200",2021-06-01,0.253
"201",2021-06-02,0.2488
"202",2021-06-03,0.243
"203",2021-06-04,0.2549
"204",2021-06-07,0.2472
"205",2021-06-08,0.2411
"206",2021-06-09,0.2127
"207",2021-06-10,0.2089
"208",2021-06-11,0.2222
"209",2021-06-14,0.2312
"210",2021-06-15,0.2233
"211",2021-06-16,0.2414
"212",2021-06-17,0.2043
"213",2021-06-18,0.1916
"214",2021-06-21,0.1973
"215",2021-06-22,0.1857
"216",2021-06-23,0.182
"217",2021-06-24,0.1969
"218",2021-06-25,0.1786
"219",2021-06-28,0.1996
"220",2021-06-29,0.2107
"221",2021-06-30,0.1859
"222",2021-07-01,0.1772
"223",2021-07-02,0.2062
"224",2021-07-06,0.1577
"225",2021-07-07,0.1652
"226",2021-07-08,0.1741
"227",2021-07-09,0.193
"228",2021-07-12,0.1971
"229",2021-07-13,0.2062
"230",2021-07-14,0.2056
"231",2021-07-15,0.226
"232",2021-07-16,0.2039
"233",2021-07-19,0.2239
"234",2021-07-20,0.225
"235",2021-07-21,0.2498
"236",2021-07-22,0.2549
"237",2021-07-23,0.2801
"238",2021-07-26,0.3214
"239",2021-07-27,0.355
"240",2021-07-28,0.3871
"241",2021-07-29,0.4081
"242",2021-07-30,0.4353
"243",2021-08-02,0.4737
"244",2021-08-03,0.4863
"245",2021-08-04,0.5306
"246",2021-08-05,0.5863
"247",2021-08-06,0.6398
"248",2021-08-09,0.6725
"249",2021-08-10,0.7031
"250",2021-08-11,0.7255
"251",2021-08-12,0.6908
"252",2021-08-13,0.6229
"253",2021-08-16,0.5778
"254",2021-08-17,0.4206
"255",2021-08-18,0.4383
"256",2021-08-19,0.4798
"257",2021-08-20,0.4254
"258",2021-08-23,0.431
"259",2021-08-24,0.4202
"260",2021-08-25,0.4347
