"","date","TFX"
"1",2022-01-19,0.367
"2",2022-01-20,0.361
"3",2022-01-21,0.364
"4",2022-01-24,0.3484
"5",2022-01-25,0.3383
"6",2022-01-26,0.3262
"7",2022-01-27,0.3428
"8",2022-01-28,0.352
"9",2022-01-31,0.3656
"10",2022-02-01,0.3966
"11",2022-02-02,0.3872
"12",2022-02-03,0.3699
"13",2022-02-04,0.3543
"14",2022-02-07,0.3226
"15",2022-02-08,0.3188
"16",2022-02-09,0.3118
"17",2022-02-10,0.321
"18",2022-02-11,0.3138
"19",2022-02-14,0.3325
"20",2022-02-15,0.3113
"21",2022-02-16,0.3032
"22",2022-02-17,0.3072
"23",2022-02-18,0.3242
"24",2022-02-22,0.326
"25",2022-02-23,0.3323
"26",2022-02-24,0.3331
"27",2022-02-25,0.3346
"28",2022-02-28,0.3254
"29",2022-03-01,0.3272
"30",2022-03-02,0.313
"31",2022-03-03,0.3228
"32",2022-03-04,0.33
"33",2022-03-07,0.3385
"34",2022-03-08,0.316
"35",2022-03-09,0.3133
"36",2022-03-10,0.304
"37",2022-03-11,0.3193
"38",2022-03-14,0.3122
"39",2022-03-15,0.3148
"40",2022-03-16,0.3119
"41",2022-03-17,0.3305
"42",2022-03-18,0.3423
"43",2022-03-21,0.3548
"44",2022-03-22,0.3254
"45",2022-03-23,0.2988
"46",2022-03-24,0.2968
"47",2022-03-25,0.3101
"48",2022-03-28,0.3168
"49",2022-03-29,0.332
"50",2022-03-30,0.3182
"51",2022-03-31,0.3081
"52",2022-04-01,0.3103
"53",2022-04-04,0.3392
"54",2022-04-05,0.3379
"55",2022-04-06,0.3427
"56",2022-04-07,0.3293
"57",2022-04-08,0.329
"58",2022-04-11,0.3234
"59",2022-04-12,0.3221
"60",2022-04-13,0.3089
"61",2022-04-14,0.3165
"62",2022-04-18,0.3109
"63",2022-04-19,0.3186
"64",2022-04-20,0.3173
"65",2022-04-21,0.3162
"66",2022-04-22,0.3176
"67",2022-04-25,0.332
"68",2022-04-26,0.3371
"69",2022-04-27,0.342
"70",2022-04-28,0.3347
"71",2022-04-29,0.3407
"72",2022-05-02,0.3329
"73",2022-05-03,0.3506
"74",2022-05-04,0.3387
"75",2022-05-05,0.3505
"76",2022-05-06,0.3406
"77",2022-05-09,0.3452
"78",2022-05-10,0.3262
"79",2022-05-11,0.3295
"80",2022-05-12,0.3312
"81",2022-05-13,0.3433
"82",2022-05-16,0.3533
"83",2022-05-17,0.3675
"84",2022-05-18,0.3558
"85",2022-05-19,0.348
"86",2022-05-20,0.3451
"87",2022-05-23,0.3478
"88",2022-05-24,0.3446
"89",2022-05-25,0.3486
"90",2022-05-26,0.3245
"91",2022-05-27,0.33
"92",2022-05-31,0.3285
"93",2022-06-01,0.3465
"94",2022-06-02,0.3502
"95",2022-06-03,0.3572
"96",2022-06-06,0.358
"97",2022-06-07,0.3763
"98",2022-06-08,0.37
"99",2022-06-09,0.3658
"100",2022-06-10,0.3403
"101",2022-06-13,0.3373
"102",2022-06-14,0.3397
"103",2022-06-15,0.3565
"104",2022-06-16,0.352
"105",2022-06-17,0.3471
"106",2022-06-21,0.3374
"107",2022-06-22,0.35
"108",2022-06-23,0.3542
"109",2022-06-24,0.3632
"110",2022-06-27,0.3471
"111",2022-06-28,0.3319
"112",2022-06-29,0.3384
"113",2022-06-30,0.3543
"114",2022-07-01,0.3485
"115",2022-07-05,0.345
"116",2022-07-06,0.3287
"117",2022-07-07,0.3306
"118",2022-07-08,0.3265
"119",2022-07-11,0.3477
"120",2022-07-12,0.3324
"121",2022-07-13,0.3406
"122",2022-07-14,0.3367
"123",2022-07-15,0.3395
"124",2022-07-18,0.3198
"125",2022-07-19,0.3117
"126",2022-07-20,0.2967
"127",2022-07-21,0.3065
"128",2022-07-22,0.3017
"129",2022-07-25,0.3098
"130",2022-07-26,0.3156
"131",2022-07-27,0.3299
"132",2022-07-28,0.3261
"133",2022-07-29,0.3304
"134",2022-08-01,0.3198
"135",2022-08-02,0.307
"136",2022-08-03,0.299
"137",2022-08-04,0.3065
"138",2022-08-05,0.3018
"139",2022-08-08,0.3078
"140",2022-08-09,0.2973
"141",2022-08-10,0.302
"142",2022-08-11,0.2984
"143",2022-08-12,0.3128
"144",2022-08-15,0.3118
"145",2022-08-16,0.3233
"146",2022-08-17,0.3145
"147",2022-08-18,0.3083
"148",2022-08-19,0.2941
"149",2022-08-22,0.295
"150",2022-08-23,0.2809
"151",2022-08-24,0.3009
"152",2022-08-25,0.3182
"153",2022-08-26,0.3307
"154",2022-08-29,0.3173
"155",2022-08-30,0.3133
"156",2022-08-31,0.2986
"157",2022-09-01,0.3072
"158",2022-09-02,0.3079
"159",2022-09-06,0.3155
"160",2022-09-07,0.3014
"161",2022-09-08,0.3041
"162",2022-09-09,0.305
"163",2022-09-12,0.3183
"164",2022-09-13,0.3052
"165",2022-09-14,0.3111
"166",2022-09-15,0.315
"167",2022-09-16,0.326
"168",2022-09-19,0.3219
"169",2022-09-20,0.3265
"170",2022-09-21,0.3233
"171",2022-09-22,0.3335
"172",2022-09-23,0.3466
"173",2022-09-26,0.365
"174",2022-09-27,0.3498
"175",2022-09-28,0.3418
"176",2022-09-29,0.3272
"177",2022-09-30,0.3283
"178",2022-10-03,0.3164
"179",2022-10-04,0.3173
"180",2022-10-05,0.3057
"181",2022-10-06,0.3016
"182",2022-10-07,0.295
"183",2022-10-10,0.2945
"184",2022-10-11,0.2903
"185",2022-10-12,0.2968
"186",2022-10-13,0.2817
"187",2022-10-14,0.2766
"188",2022-10-17,0.2651
"189",2022-10-18,0.2631
"190",2022-10-19,0.2607
"191",2022-10-20,0.2732
"192",2022-10-21,0.2967
"193",2022-10-24,0.3311
"194",2022-10-25,0.329
"195",2022-10-26,0.3237
"196",2022-10-27,0.3111
"197",2022-10-28,0.3118
"198",2022-10-31,0.2874
"199",2022-11-01,0.2825
"200",2022-11-02,0.2574
"201",2022-11-03,0.2484
"202",2022-11-04,0.2331
"203",2022-11-07,0.2488
"204",2022-11-08,0.2296
"205",2022-11-09,0.2237
"206",2022-11-10,0.2205
"207",2022-11-11,0.2222
"208",2022-11-14,0.2117
"209",2022-11-15,0.2175
