"","date","TPR"
"1",2020-08-14,0.1222
"2",2020-08-17,0.1246
"3",2020-08-18,0.14
"4",2020-08-19,0.1327
"5",2020-08-20,0.1292
"6",2020-08-21,0.1386
"7",2020-08-24,0.1468
"8",2020-08-25,0.1538
"9",2020-08-26,0.1517
"10",2020-08-27,0.1464
"11",2020-08-28,0.149
"12",2020-08-31,0.1424
"13",2020-09-01,0.1455
"14",2020-09-02,0.1318
"15",2020-09-03,0.1559
"16",2020-09-04,0.1607
"17",2020-09-08,0.1534
"18",2020-09-09,0.1429
"19",2020-09-10,0.1401
"20",2020-09-11,0.1274
"21",2020-09-14,0.1508
"22",2020-09-15,0.15
"23",2020-09-16,0.1542
"24",2020-09-17,0.1668
"25",2020-09-18,0.1944
"26",2020-09-21,0.2065
"27",2020-09-22,0.228
"28",2020-09-23,0.2378
"29",2020-09-24,0.2312
"30",2020-09-25,0.229
"31",2020-09-28,0.2465
"32",2020-09-29,0.2375
"33",2020-09-30,0.226
"34",2020-10-01,0.2098
"35",2020-10-02,0.1964
"36",2020-10-05,0.1927
"37",2020-10-06,0.1896
"38",2020-10-07,0.1592
"39",2020-10-08,0.155
"40",2020-10-09,0.1459
"41",2020-10-12,0.1551
"42",2020-10-13,0.1594
"43",2020-10-14,0.1536
"44",2020-10-15,0.1216
"45",2020-10-16,0.1083
"46",2020-10-19,0.1111
"47",2020-10-20,0.1209
"48",2020-10-21,0.1203
"49",2020-10-22,0.1122
"50",2020-10-23,0.1029
"51",2020-10-26,0.1123
"52",2020-10-27,0.1283
"53",2020-10-28,0.1317
"54",2020-10-29,0.1224
"55",2020-10-30,0.1324
"56",2020-11-02,0.1161
"57",2020-11-03,0.1233
"58",2020-11-04,0.1223
"59",2020-11-05,0.1183
"60",2020-11-06,0.111
"61",2020-11-09,0.1077
"62",2020-11-10,0.1278
"63",2020-11-11,0.1312
"64",2020-11-12,0.1239
"65",2020-11-13,0.1242
"66",2020-11-16,0.1439
"67",2020-11-17,0.1496
"68",2020-11-18,0.154
"69",2020-11-19,0.1514
"70",2020-11-20,0.1512
"71",2020-11-23,0.1603
"72",2020-11-24,0.1643
"73",2020-11-25,0.1704
"74",2020-11-27,0.1666
"75",2020-11-30,0.1826
"76",2020-12-01,0.1917
"77",2020-12-02,0.1971
"78",2020-12-03,0.1871
"79",2020-12-04,0.1915
"80",2020-12-07,0.2032
"81",2020-12-08,0.2509
"82",2020-12-09,0.2606
"83",2020-12-10,0.261
"84",2020-12-11,0.2492
"85",2020-12-14,0.2686
"86",2020-12-15,0.2865
"87",2020-12-16,0.2987
"88",2020-12-17,0.2989
"89",2020-12-18,0.292
"90",2020-12-21,0.2993
"91",2020-12-22,0.3268
"92",2020-12-23,0.3361
"93",2020-12-24,0.3581
"94",2020-12-28,0.3617
"95",2020-12-29,0.369
"96",2020-12-30,0.4024
"97",2020-12-31,0.4227
"98",2021-01-04,0.4017
"99",2021-01-05,0.402
"100",2021-01-06,0.382
"101",2021-01-07,0.3977
"102",2021-01-08,0.4226
"103",2021-01-11,0.4347
"104",2021-01-12,0.4179
"105",2021-01-13,0.4342
"106",2021-01-14,0.4266
"107",2021-01-15,0.4166
"108",2021-01-19,0.406
"109",2021-01-20,0.3784
"110",2021-01-21,0.3603
"111",2021-01-22,0.3971
"112",2021-01-25,0.4145
"113",2021-01-26,0.4096
"114",2021-01-27,0.3912
"115",2021-01-28,0.3869
"116",2021-01-29,0.3696
"117",2021-02-01,0.3653
"118",2021-02-02,0.3662
"119",2021-02-03,0.3086
"120",2021-02-04,0.2378
"121",2021-02-05,0.1127
"122",2021-02-08,0.1507
"123",2021-02-09,0.2013
"124",2021-02-10,0.2102
"125",2021-02-11,0.1766
"126",2021-02-12,0.1602
"127",2021-02-16,0.1606
"128",2021-02-17,0.1755
"129",2021-02-18,0.1817
"130",2021-02-19,0.1723
"131",2021-02-22,0.1572
"132",2021-02-23,0.1545
"133",2021-02-24,0.1689
"134",2021-02-25,0.1828
"135",2021-02-26,0.159
"136",2021-03-01,0.1254
"137",2021-03-02,0.1248
"138",2021-03-03,0.1325
"139",2021-03-04,0.1474
"140",2021-03-05,0.1392
"141",2021-03-08,0.1008
"142",2021-03-09,0.1008
"143",2021-03-10,0.1085
"144",2021-03-11,0.0948
"145",2021-03-12,0.0861
"146",2021-03-15,0.0760999999999999
"147",2021-03-16,0.0628
"148",2021-03-17,0.068
"149",2021-03-18,0.0715
"150",2021-03-19,0.0670000000000001
"151",2021-03-22,0.0519
"152",2021-03-23,0.048
"153",2021-03-24,0.0549
"154",2021-03-25,0.0532
"155",2021-03-26,0.0508999999999999
"156",2021-03-29,0.0625
"157",2021-03-30,0.1012
"158",2021-03-31,0.1095
"159",2021-04-01,0.1307
"160",2021-04-05,0.1572
"161",2021-04-06,0.1824
"162",2021-04-07,0.2166
"163",2021-04-08,0.2475
"164",2021-04-09,0.2319
"165",2021-04-12,0.2452
"166",2021-04-13,0.2655
"167",2021-04-14,0.2886
"168",2021-04-15,0.2957
"169",2021-04-16,0.2951
"170",2021-04-19,0.2588
"171",2021-04-20,0.2937
"172",2021-04-21,0.2979
"173",2021-04-22,0.3066
"174",2021-04-23,0.2883
"175",2021-04-26,0.2863
"176",2021-04-27,0.2737
"177",2021-04-28,0.291
"178",2021-04-29,0.2961
"179",2021-04-30,0.2861
"180",2021-05-03,0.2759
"181",2021-05-04,0.288
"182",2021-05-05,0.2952
"183",2021-05-06,0.3473
"184",2021-05-07,0.3519
"185",2021-05-10,0.3753
"186",2021-05-11,0.3686
"187",2021-05-12,0.3536
"188",2021-05-13,0.3194
"189",2021-05-14,0.3038
"190",2021-05-17,0.2953
"191",2021-05-18,0.3016
"192",2021-05-19,0.2968
"193",2021-05-20,0.2887
"194",2021-05-21,0.2498
"195",2021-05-24,0.2941
"196",2021-05-25,0.315
"197",2021-05-26,0.3014
"198",2021-05-27,0.2794
"199",2021-05-28,0.2714
"200",2021-06-01,0.2296
"201",2021-06-02,0.2746
"202",2021-06-03,0.2854
"203",2021-06-04,0.261
"204",2021-06-07,0.2289
"205",2021-06-08,0.2182
"206",2021-06-09,0.222
"207",2021-06-10,0.2399
"208",2021-06-11,0.2416
"209",2021-06-14,0.2285
"210",2021-06-15,0.2158
"211",2021-06-16,0.2149
"212",2021-06-17,0.2217
"213",2021-06-18,0.2223
"214",2021-06-21,0.1946
"215",2021-06-22,0.2009
"216",2021-06-23,0.212
"217",2021-06-24,0.2424
"218",2021-06-25,0.2045
"219",2021-06-28,0.203
"220",2021-06-29,0.1898
"221",2021-06-30,0.1931
"222",2021-07-01,0.1908
"223",2021-07-02,0.1906
"224",2021-07-06,0.1583
"225",2021-07-07,0.1414
"226",2021-07-08,0.1384
"227",2021-07-09,0.1339
"228",2021-07-12,0.1277
"229",2021-07-13,0.1224
"230",2021-07-14,0.0942999999999999
"231",2021-07-15,0.0829
"232",2021-07-16,0.0730000000000001
"233",2021-07-19,0.0717
"234",2021-07-20,0.0630999999999999
"235",2021-07-21,0.0775
"236",2021-07-22,0.0684
"237",2021-07-23,0.0892000000000001
"238",2021-07-26,0.1147
"239",2021-07-27,0.1487
"240",2021-07-28,0.1535
"241",2021-07-29,0.181
"242",2021-07-30,0.1881
"243",2021-08-02,0.1997
"244",2021-08-03,0.2088
"245",2021-08-04,0.2607
"246",2021-08-05,0.3181
"247",2021-08-06,0.3556
"248",2021-08-09,0.3893
"249",2021-08-10,0.4103
"250",2021-08-11,0.4394
"251",2021-08-12,0.4554
"252",2021-08-13,0.4418
"253",2021-08-16,0.4332
"254",2021-08-17,0.3662
"255",2021-08-18,0.3796
"256",2021-08-19,0.3958
"257",2021-08-20,0.406
"258",2021-08-23,0.3953
"259",2021-08-24,0.3947
"260",2021-08-25,0.3699
"261",2021-08-26,0.3917
"262",2021-08-27,0.3696
"263",2021-08-30,0.3369
"264",2021-08-31,0.3042
"265",2021-09-01,0.3032
"266",2021-09-02,0.3083
"267",2021-09-03,0.3184
"268",2021-09-07,0.3242
"269",2021-09-08,0.2678
"270",2021-09-09,0.2602
"271",2021-09-10,0.2642
"272",2021-09-13,0.2672
"273",2021-09-14,0.2499
"274",2021-09-15,0.2478
"275",2021-09-16,0.2482
"276",2021-09-17,0.2706
"277",2021-09-20,0.272
"278",2021-09-21,0.2488
"279",2021-09-22,0.2494
"280",2021-09-23,0.2482
"281",2021-09-24,0.2561
"282",2021-09-27,0.2543
"283",2021-09-28,0.2242
"284",2021-09-29,0.2075
"285",2021-09-30,0.2136
"286",2021-10-01,0.2353
"287",2021-10-04,0.248
"288",2021-10-05,0.246
"289",2021-10-06,0.2419
"290",2021-10-07,0.2404
"291",2021-10-08,0.2329
"292",2021-10-11,0.2279
"293",2021-10-12,0.2008
"294",2021-10-13,0.1898
"295",2021-10-14,0.1675
"296",2021-10-15,0.1833
"297",2021-10-18,0.1866
"298",2021-10-19,0.182
"299",2021-10-20,0.173
"300",2021-10-21,0.1846
"301",2021-10-22,0.1844
"302",2021-10-25,0.1773
"303",2021-10-26,0.1932
"304",2021-10-27,0.2019
"305",2021-10-28,0.2339
"306",2021-10-29,0.2356
"307",2021-11-01,0.1978
"308",2021-11-02,0.1474
"309",2021-11-03,0.0722
"310",2021-11-04,0.0715
"311",2021-11-05,0.1007
"312",2021-11-08,0.1179
"313",2021-11-09,0.1291
"314",2021-11-10,0.139
"315",2021-11-11,0.1479
"316",2021-11-12,0.172
"317",2021-11-15,0.1715
"318",2021-11-16,0.1722
"319",2021-11-17,0.1609
"320",2021-11-18,0.1811
"321",2021-11-19,0.1968
"322",2021-11-22,0.1983
"323",2021-11-23,0.2063
"324",2021-11-24,0.1944
"325",2021-11-26,0.2012
"326",2021-11-29,0.2132
"327",2021-11-30,0.2219
"328",2021-12-01,0.2131
"329",2021-12-02,0.199
"330",2021-12-03,0.1978
"331",2021-12-06,0.2025
"332",2021-12-07,0.2054
"333",2021-12-08,0.2002
"334",2021-12-09,0.1837
"335",2021-12-10,0.1804
"336",2021-12-13,0.2048
"337",2021-12-14,0.219
"338",2021-12-15,0.2103
"339",2021-12-16,0.1931
"340",2021-12-17,0.1933
"341",2021-12-20,0.1879
"342",2021-12-21,0.1876
"343",2021-12-22,0.1786
"344",2021-12-23,0.1719
"345",2021-12-27,0.1655
"346",2021-12-28,0.1675
"347",2021-12-29,0.17
"348",2021-12-30,0.1669
"349",2021-12-31,0.1609
"350",2022-01-03,0.1569
"351",2022-01-04,0.1585
"352",2022-01-05,0.1496
"353",2022-01-06,0.1533
"354",2022-01-07,0.1193
"355",2022-01-10,0.128
"356",2022-01-11,0.1474
"357",2022-01-12,0.141
"358",2022-01-13,0.1444
"359",2022-01-14,0.1577
"360",2022-01-18,0.1761
"361",2022-01-19,0.1806
"362",2022-01-20,0.1794
"363",2022-01-21,0.1803
"364",2022-01-24,0.1759
"365",2022-01-25,0.177
"366",2022-01-26,0.1846
"367",2022-01-27,0.183
"368",2022-01-28,0.1754
"369",2022-01-31,0.1726
"370",2022-02-01,0.193
"371",2022-02-02,0.2052
"372",2022-02-03,0.214
"373",2022-02-04,0.2111
"374",2022-02-07,0.1868
"375",2022-02-08,0.1907
"376",2022-02-09,0.1826
"377",2022-02-10,0.1932
"378",2022-02-11,0.1481
"379",2022-02-14,0.1449
"380",2022-02-15,0.1512
"381",2022-02-16,0.16
"382",2022-02-17,0.1754
"383",2022-02-18,0.1559
"384",2022-02-22,0.1376
"385",2022-02-23,0.1231
"386",2022-02-24,0.1129
"387",2022-02-25,0.1006
"388",2022-02-28,0.1003
"389",2022-03-01,0.0898
"390",2022-03-02,0.0758
"391",2022-03-03,0.0877999999999999
"392",2022-03-04,0.1007
"393",2022-03-07,0.1294
"394",2022-03-08,0.131
"395",2022-03-09,0.1378
"396",2022-03-10,0.1413
"397",2022-03-11,0.1506
"398",2022-03-14,0.1459
"399",2022-03-15,0.1495
"400",2022-03-16,0.1624
"401",2022-03-17,0.1973
"402",2022-03-18,0.2127
"403",2022-03-21,0.2297
"404",2022-03-22,0.2324
"405",2022-03-23,0.2292
"406",2022-03-24,0.2299
"407",2022-03-25,0.2339
"408",2022-03-28,0.2466
"409",2022-03-29,0.2496
"410",2022-03-30,0.2427
"411",2022-03-31,0.2473
"412",2022-04-01,0.267
"413",2022-04-04,0.2859
"414",2022-04-05,0.2695
"415",2022-04-06,0.2765
"416",2022-04-07,0.2646
"417",2022-04-08,0.2733
"418",2022-04-11,0.2833
"419",2022-04-12,0.2883
"420",2022-04-13,0.2901
"421",2022-04-14,0.2808
"422",2022-04-18,0.2731
"423",2022-04-19,0.3032
"424",2022-04-20,0.326
"425",2022-04-21,0.3455
"426",2022-04-22,0.3296
"427",2022-04-25,0.3099
"428",2022-04-26,0.306
"429",2022-04-27,0.2875
"430",2022-04-28,0.2939
"431",2022-04-29,0.2882
"432",2022-05-02,0.286
"433",2022-05-03,0.3026
"434",2022-05-04,0.2963
"435",2022-05-05,0.2906
"436",2022-05-06,0.2898
"437",2022-05-09,0.3166
"438",2022-05-10,0.3003
"439",2022-05-11,0.2848
"440",2022-05-12,0.297
"441",2022-05-13,0.3115
"442",2022-05-16,0.3101
"443",2022-05-17,0.3041
"444",2022-05-18,0.2798
"445",2022-05-19,0.2744
"446",2022-05-20,0.2673
"447",2022-05-23,0.2759
"448",2022-05-24,0.2796
"449",2022-05-25,0.2922
"450",2022-05-26,0.2865
"451",2022-05-27,0.288
"452",2022-05-31,0.2917
"453",2022-06-01,0.2974
"454",2022-06-02,0.2932
"455",2022-06-03,0.2786
"456",2022-06-06,0.2799
"457",2022-06-07,0.2871
"458",2022-06-08,0.2727
"459",2022-06-09,0.2704
"460",2022-06-10,0.2741
"461",2022-06-13,0.2775
"462",2022-06-14,0.2592
"463",2022-06-15,0.2604
"464",2022-06-16,0.2422
"465",2022-06-17,0.2321
"466",2022-06-21,0.2315
"467",2022-06-22,0.255
"468",2022-06-23,0.2692
"469",2022-06-24,0.2533
"470",2022-06-27,0.2388
"471",2022-06-28,0.222
"472",2022-06-29,0.217
"473",2022-06-30,0.2383
"474",2022-07-01,0.2255
"475",2022-07-05,0.2254
"476",2022-07-06,0.2399
"477",2022-07-07,0.2284
"478",2022-07-08,0.2325
"479",2022-07-11,0.2506
"480",2022-07-12,0.2571
"481",2022-07-13,0.2647
"482",2022-07-14,0.2626
"483",2022-07-15,0.2754
"484",2022-07-18,0.2635
"485",2022-07-19,0.2671
"486",2022-07-20,0.2407
"487",2022-07-21,0.2284
"488",2022-07-22,0.225
"489",2022-07-25,0.2417
"490",2022-07-26,0.2656
"491",2022-07-27,0.2796
"492",2022-07-28,0.2938
"493",2022-07-29,0.2895
"494",2022-08-01,0.2613
"495",2022-08-02,0.2486
"496",2022-08-03,0.257
"497",2022-08-04,0.2652
"498",2022-08-05,0.2651
"499",2022-08-08,0.2596
"500",2022-08-09,0.2683
"501",2022-08-10,0.287
"502",2022-08-11,0.3048
"503",2022-08-12,0.325
"504",2022-08-15,0.3125
"505",2022-08-16,0.3108
"506",2022-08-17,0.3046
"507",2022-08-18,0.3053
"508",2022-08-19,0.304
"509",2022-08-22,0.3041
"510",2022-08-23,0.2873
"511",2022-08-24,0.2946
"512",2022-08-25,0.3023
"513",2022-08-26,0.318
"514",2022-08-29,0.3191
"515",2022-08-30,0.334
"516",2022-08-31,0.3293
"517",2022-09-01,0.3207
"518",2022-09-02,0.3072
"519",2022-09-06,0.2805
"520",2022-09-07,0.2655
"521",2022-09-08,0.2669
"522",2022-09-09,0.2637
"523",2022-09-12,0.2602
"524",2022-09-13,0.2555
"525",2022-09-14,0.2482
"526",2022-09-15,0.2435
"527",2022-09-16,0.2437
"528",2022-09-19,0.2554
"529",2022-09-20,0.2487
"530",2022-09-21,0.238
"531",2022-09-22,0.2306
"532",2022-09-23,0.2416
"533",2022-09-26,0.2664
"534",2022-09-27,0.2526
"535",2022-09-28,0.2521
"536",2022-09-29,0.2649
"537",2022-09-30,0.2793
"538",2022-10-03,0.2862
"539",2022-10-04,0.2872
"540",2022-10-05,0.2881
"541",2022-10-06,0.2738
"542",2022-10-07,0.2499
"543",2022-10-10,0.2485
"544",2022-10-11,0.2465
"545",2022-10-12,0.2622
"546",2022-10-13,0.2429
"547",2022-10-14,0.2394
"548",2022-10-17,0.2491
"549",2022-10-18,0.2376
"550",2022-10-19,0.2444
"551",2022-10-20,0.2645
"552",2022-10-21,0.2611
"553",2022-10-24,0.2601
"554",2022-10-25,0.2373
"555",2022-10-26,0.2382
"556",2022-10-27,0.2429
"557",2022-10-28,0.2479
"558",2022-10-31,0.2482
"559",2022-11-01,0.237
"560",2022-11-02,0.2319
"561",2022-11-03,0.2421
"562",2022-11-04,0.2569
"563",2022-11-07,0.2645
"564",2022-11-08,0.2577
"565",2022-11-09,0.2511
"566",2022-11-10,0.2524
"567",2022-11-11,0.258
"568",2022-11-14,0.2588
"569",2022-11-15,0.2594
"570",2022-11-16,0.2427
"571",2022-11-17,0.2391
"572",2022-11-18,0.2499
"573",2022-11-21,0.2622
"574",2022-11-22,0.2521
"575",2022-11-23,0.2415
"576",2022-11-25,0.2402
"577",2022-11-28,0.2511
"578",2022-11-29,0.2603
"579",2022-11-30,0.258
"580",2022-12-01,0.2724
"581",2022-12-02,0.2882
"582",2022-12-05,0.2743
"583",2022-12-06,0.2815
"584",2022-12-07,0.2655
"585",2022-12-08,0.2448
"586",2022-12-09,0.2449
"587",2022-12-12,0.2524
"588",2022-12-13,0.2693
"589",2022-12-14,0.2625
"590",2022-12-15,0.2609
"591",2022-12-16,0.2843
"592",2022-12-19,0.2953
"593",2022-12-20,0.3113
"594",2022-12-21,0.2853
"595",2022-12-22,0.2718
"596",2022-12-23,0.2561
"597",2022-12-27,0.2412
"598",2022-12-28,0.2345
"599",2022-12-29,0.2341
"600",2022-12-30,0.2414
"601",2023-01-03,0.2464
"602",2023-01-04,0.2514
"603",2023-01-05,0.2625
"604",2023-01-06,0.258
"605",2023-01-09,0.2697
"606",2023-01-10,0.2605
"607",2023-01-11,0.2706
"608",2023-01-12,0.2863
"609",2023-01-13,0.3031
"610",2023-01-17,0.3116
"611",2023-01-18,0.3106
"612",2023-01-19,0.2945
"613",2023-01-20,0.307
"614",2023-01-23,0.3087
"615",2023-01-24,0.2927
"616",2023-01-25,0.3179
"617",2023-01-26,0.3481
"618",2023-01-27,0.3336
"619",2023-01-30,0.3304
"620",2023-01-31,0.3212
"621",2023-02-01,0.3437
"622",2023-02-02,0.353
"623",2023-02-03,0.35
"624",2023-02-06,0.3265
"625",2023-02-07,0.3163
"626",2023-02-08,0.3083
"627",2023-02-09,0.3487
"628",2023-02-10,0.3589
"629",2023-02-13,0.3459
"630",2023-02-14,0.3118
"631",2023-02-15,0.2824
"632",2023-02-16,0.2836
"633",2023-02-17,0.3099
"634",2023-02-21,0.2924
"635",2023-02-22,0.2975
"636",2023-02-23,0.2829
"637",2023-02-24,0.3022
"638",2023-02-27,0.3162
"639",2023-02-28,0.2977
"640",2023-03-01,0.2881
"641",2023-03-02,0.2898
"642",2023-03-03,0.2778
"643",2023-03-06,0.3123
"644",2023-03-07,0.3095
"645",2023-03-08,0.3231
"646",2023-03-09,0.309
"647",2023-03-10,0.3171
"648",2023-03-13,0.3159
"649",2023-03-14,0.3304
"650",2023-03-15,0.3096
"651",2023-03-16,0.298
"652",2023-03-17,0.2932
