"","date","UHS"
"1",2020-08-14,0.337
"2",2020-08-17,0.3263
"3",2020-08-18,0.3339
"4",2020-08-19,0.336
"5",2020-08-20,0.3337
"6",2020-08-21,0.3309
"7",2020-08-24,0.3265
"8",2020-08-25,0.3453
"9",2020-08-26,0.35
"10",2020-08-27,0.3693
"11",2020-08-28,0.3593
"12",2020-08-31,0.3375
"13",2020-09-01,0.3406
"14",2020-09-02,0.2716
"15",2020-09-03,0.301
"16",2020-09-04,0.3112
"17",2020-09-08,0.3242
"18",2020-09-09,0.3241
"19",2020-09-10,0.3061
"20",2020-09-11,0.2858
"21",2020-09-14,0.2897
"22",2020-09-15,0.303
"23",2020-09-16,0.3108
"24",2020-09-17,0.3081
"25",2020-09-18,0.341
"26",2020-09-21,0.3451
"27",2020-09-22,0.35
"28",2020-09-23,0.3692
"29",2020-09-24,0.3201
"30",2020-09-25,0.2975
"31",2020-09-28,0.33
"32",2020-09-29,0.352
"33",2020-09-30,0.3124
"34",2020-10-01,0.2808
"35",2020-10-02,0.2808
"36",2020-10-05,0.2749
"37",2020-10-06,0.2964
"38",2020-10-07,0.3003
"39",2020-10-08,0.2947
"40",2020-10-09,0.3084
"41",2020-10-12,0.3259
"42",2020-10-13,0.3517
"43",2020-10-14,0.3242
"44",2020-10-15,0.2262
"45",2020-10-16,0.2064
"46",2020-10-19,0.2113
"47",2020-10-20,0.2389
"48",2020-10-21,0.2515
"49",2020-10-22,0.2322
"50",2020-10-23,0.2117
"51",2020-10-26,0.1953
"52",2020-10-27,0.2465
"53",2020-10-28,0.3051
"54",2020-10-29,0.2763
"55",2020-10-30,0.2795
"56",2020-11-02,0.2478
"57",2020-11-03,0.2461
"58",2020-11-04,0.2495
"59",2020-11-05,0.2249
"60",2020-11-06,0.2264
"61",2020-11-09,0.223
"62",2020-11-10,0.1974
"63",2020-11-11,0.1931
"64",2020-11-12,0.2106
"65",2020-11-13,0.22
"66",2020-11-16,0.2311
"67",2020-11-17,0.2435
"68",2020-11-18,0.269
"69",2020-11-19,0.2433
"70",2020-11-20,0.2597
"71",2020-11-23,0.2618
"72",2020-11-24,0.2632
"73",2020-11-25,0.2921
"74",2020-11-27,0.2613
"75",2020-11-30,0.3108
"76",2020-12-01,0.3404
"77",2020-12-02,0.3256
"78",2020-12-03,0.3029
"79",2020-12-04,0.2891
"80",2020-12-07,0.3016
"81",2020-12-08,0.334
"82",2020-12-09,0.38
"83",2020-12-10,0.3907
"84",2020-12-11,0.343
"85",2020-12-14,0.342
"86",2020-12-15,0.3802
"87",2020-12-16,0.3953
"88",2020-12-17,0.4014
"89",2020-12-18,0.3452
"90",2020-12-21,0.3063
"91",2020-12-22,0.2725
"92",2020-12-23,0.2632
"93",2020-12-24,0.2534
"94",2020-12-28,0.2299
"95",2020-12-29,0.2565
"96",2020-12-30,0.2839
"97",2020-12-31,0.34
"98",2021-01-04,0.3201
"99",2021-01-05,0.2723
"100",2021-01-06,0.2445
"101",2021-01-07,0.2263
"102",2021-01-08,0.2539
"103",2021-01-11,0.2827
"104",2021-01-12,0.2479
"105",2021-01-13,0.261
"106",2021-01-14,0.2981
"107",2021-01-15,0.3138
"108",2021-01-19,0.3502
"109",2021-01-20,0.3335
"110",2021-01-21,0.2854
"111",2021-01-22,0.2745
"112",2021-01-25,0.3295
"113",2021-01-26,0.3354
"114",2021-01-27,0.3005
"115",2021-01-28,0.2956
"116",2021-01-29,0.2892
"117",2021-02-01,0.2713
"118",2021-02-02,0.2733
"119",2021-02-03,0.2859
"120",2021-02-04,0.2797
"121",2021-02-05,0.2726
"122",2021-02-08,0.2753
"123",2021-02-09,0.2832
"124",2021-02-10,0.2789
"125",2021-02-11,0.3479
"126",2021-02-12,0.3244
"127",2021-02-16,0.3121
"128",2021-02-17,0.2849
"129",2021-02-18,0.2737
"130",2021-02-19,0.309
"131",2021-02-22,0.2921
"132",2021-02-23,0.2855
"133",2021-02-24,0.2595
"134",2021-02-25,0.2028
"135",2021-02-26,0.1996
"136",2021-03-01,0.2147
"137",2021-03-02,0.2133
"138",2021-03-03,0.2245
"139",2021-03-04,0.2116
"140",2021-03-05,0.199
"141",2021-03-08,0.1887
"142",2021-03-09,0.1899
"143",2021-03-10,0.1938
"144",2021-03-11,0.1634
"145",2021-03-12,0.1827
"146",2021-03-15,0.1611
"147",2021-03-16,0.1655
"148",2021-03-17,0.1535
"149",2021-03-18,0.1322
"150",2021-03-19,0.1274
"151",2021-03-22,0.146
"152",2021-03-23,0.1638
"153",2021-03-24,0.1655
"154",2021-03-25,0.1584
"155",2021-03-26,0.1448
"156",2021-03-29,0.1246
"157",2021-03-30,0.1422
"158",2021-03-31,0.1578
"159",2021-04-01,0.1674
"160",2021-04-05,0.179
"161",2021-04-06,0.1883
"162",2021-04-07,0.1989
"163",2021-04-08,0.2342
"164",2021-04-09,0.2274
"165",2021-04-12,0.239
"166",2021-04-13,0.2768
"167",2021-04-14,0.3073
"168",2021-04-15,0.3296
"169",2021-04-16,0.3276
"170",2021-04-19,0.3082
"171",2021-04-20,0.335
"172",2021-04-21,0.3949
"173",2021-04-22,0.3929
"174",2021-04-23,0.4271
"175",2021-04-26,0.4326
"176",2021-04-27,0.418
"177",2021-04-28,0.4237
"178",2021-04-29,0.4443
"179",2021-04-30,0.4271
"180",2021-05-03,0.4281
"181",2021-05-04,0.4353
"182",2021-05-05,0.4435
"183",2021-05-06,0.4358
"184",2021-05-07,0.4637
"185",2021-05-10,0.4966
"186",2021-05-11,0.5138
"187",2021-05-12,0.5011
"188",2021-05-13,0.4743
"189",2021-05-14,0.4439
"190",2021-05-17,0.4317
"191",2021-05-18,0.4329
"192",2021-05-19,0.4865
"193",2021-05-20,0.5127
"194",2021-05-21,0.4483
"195",2021-05-24,0.4546
"196",2021-05-25,0.5126
"197",2021-05-26,0.4964
"198",2021-05-27,0.4612
"199",2021-05-28,0.436
"200",2021-06-01,0.4077
"201",2021-06-02,0.3766
"202",2021-06-03,0.3903
"203",2021-06-04,0.4128
"204",2021-06-07,0.3986
"205",2021-06-08,0.3882
"206",2021-06-09,0.359
"207",2021-06-10,0.3912
"208",2021-06-11,0.403
"209",2021-06-14,0.3745
"210",2021-06-15,0.3442
"211",2021-06-16,0.3328
"212",2021-06-17,0.3168
"213",2021-06-18,0.3162
"214",2021-06-21,0.332
"215",2021-06-22,0.3286
"216",2021-06-23,0.304
"217",2021-06-24,0.3235
"218",2021-06-25,0.297
"219",2021-06-28,0.2959
"220",2021-06-29,0.2923
"221",2021-06-30,0.2626
"222",2021-07-01,0.2507
"223",2021-07-02,0.2719
"224",2021-07-06,0.2698
"225",2021-07-07,0.2842
"226",2021-07-08,0.2763
"227",2021-07-09,0.2797
"228",2021-07-12,0.2769
"229",2021-07-13,0.2784
"230",2021-07-14,0.2621
"231",2021-07-15,0.2384
"232",2021-07-16,0.2434
"233",2021-07-19,0.2263
"234",2021-07-20,0.221
"235",2021-07-21,0.2275
"236",2021-07-22,0.2282
"237",2021-07-23,0.2519
"238",2021-07-26,0.2886
"239",2021-07-27,0.3122
"240",2021-07-28,0.3282
"241",2021-07-29,0.3399
"242",2021-07-30,0.3848
"243",2021-08-02,0.4114
"244",2021-08-03,0.42
"245",2021-08-04,0.4586
"246",2021-08-05,0.4683
"247",2021-08-06,0.5238
"248",2021-08-09,0.5704
"249",2021-08-10,0.5805
"250",2021-08-11,0.601
"251",2021-08-12,0.571
"252",2021-08-13,0.551
"253",2021-08-16,0.5289
"254",2021-08-17,0.3645
"255",2021-08-18,0.3566
"256",2021-08-19,0.3474
"257",2021-08-20,0.3545
"258",2021-08-23,0.3533
"259",2021-08-24,0.4036
"260",2021-08-25,0.3944
"261",2021-08-26,0.3704
"262",2021-08-27,0.4003
"263",2021-08-30,0.3923
"264",2021-08-31,0.4128
"265",2021-09-01,0.3736
"266",2021-09-02,0.3735
"267",2021-09-03,0.395
"268",2021-09-07,0.41
"269",2021-09-08,0.3581
"270",2021-09-09,0.3376
"271",2021-09-10,0.3025
"272",2021-09-13,0.2936
"273",2021-09-14,0.276
"274",2021-09-15,0.2846
"275",2021-09-16,0.2858
"276",2021-09-17,0.2881
"277",2021-09-20,0.3063
"278",2021-09-21,0.3229
"279",2021-09-22,0.3296
"280",2021-09-23,0.3422
"281",2021-09-24,0.3047
"282",2021-09-27,0.2945
"283",2021-09-28,0.2818
"284",2021-09-29,0.2949
"285",2021-09-30,0.2662
"286",2021-10-01,0.2724
"287",2021-10-04,0.2646
"288",2021-10-05,0.2676
"289",2021-10-06,0.2602
"290",2021-10-07,0.264
"291",2021-10-08,0.2671
"292",2021-10-11,0.3151
"293",2021-10-12,0.2704
"294",2021-10-13,0.2637
"295",2021-10-14,0.2553
"296",2021-10-15,0.2731
"297",2021-10-18,0.2396
"298",2021-10-19,0.2377
"299",2021-10-20,0.2024
"300",2021-10-21,0.1798
"301",2021-10-22,0.1641
"302",2021-10-25,0.2096
"303",2021-10-26,0.217
"304",2021-10-27,0.2162
"305",2021-10-28,0.2181
"306",2021-10-29,0.2187
"307",2021-11-01,0.2343
"308",2021-11-02,0.27
"309",2021-11-03,0.2365
"310",2021-11-04,0.2518
"311",2021-11-05,0.2534
"312",2021-11-08,0.3031
"313",2021-11-09,0.3159
"314",2021-11-10,0.3111
"315",2021-11-11,0.2885
"316",2021-11-12,0.3167
"317",2021-11-15,0.2925
"318",2021-11-16,0.3029
"319",2021-11-17,0.308
"320",2021-11-18,0.3106
"321",2021-11-19,0.2657
"322",2021-11-22,0.2866
"323",2021-11-23,0.2819
"324",2021-11-24,0.2909
"325",2021-11-26,0.2709
"326",2021-11-29,0.2815
"327",2021-11-30,0.3011
"328",2021-12-01,0.323
"329",2021-12-02,0.3098
"330",2021-12-03,0.2906
"331",2021-12-06,0.2688
"332",2021-12-07,0.2892
"333",2021-12-08,0.2728
