"","date","WHR"
"1",2020-08-14,0.3045
"2",2020-08-17,0.2913
"3",2020-08-18,0.3051
"4",2020-08-19,0.2762
"5",2020-08-20,0.2828
"6",2020-08-21,0.2558
"7",2020-08-24,0.2972
"8",2020-08-25,0.2787
"9",2020-08-26,0.2774
"10",2020-08-27,0.2874
"11",2020-08-28,0.3441
"12",2020-08-31,0.3708
"13",2020-09-01,0.4147
"14",2020-09-02,0.3918
"15",2020-09-03,0.366
"16",2020-09-04,0.2935
"17",2020-09-08,0.2931
"18",2020-09-09,0.2675
"19",2020-09-10,0.2699
"20",2020-09-11,0.2634
"21",2020-09-14,0.3178
"22",2020-09-15,0.3376
"23",2020-09-16,0.3496
"24",2020-09-17,0.3591
"25",2020-09-18,0.3837
"26",2020-09-21,0.3549
"27",2020-09-22,0.3374
"28",2020-09-23,0.3179
"29",2020-09-24,0.3069
"30",2020-09-25,0.2751
"31",2020-09-28,0.3093
"32",2020-09-29,0.3105
"33",2020-09-30,0.3112
"34",2020-10-01,0.2751
"35",2020-10-02,0.3043
"36",2020-10-05,0.2912
"37",2020-10-06,0.2907
"38",2020-10-07,0.2516
"39",2020-10-08,0.2151
"40",2020-10-09,0.1825
"41",2020-10-12,0.2061
"42",2020-10-13,0.2327
"43",2020-10-14,0.258
"44",2020-10-15,0.261
"45",2020-10-16,0.2833
"46",2020-10-19,0.2347
"47",2020-10-20,0.212
"48",2020-10-21,0.1465
"49",2020-10-22,0.1357
"50",2020-10-23,0.1222
"51",2020-10-26,0.1314
"52",2020-10-27,0.1519
"53",2020-10-28,0.1724
"54",2020-10-29,0.1717
"55",2020-10-30,0.2032
"56",2020-11-02,0.1791
"57",2020-11-03,0.2007
"58",2020-11-04,0.1627
"59",2020-11-05,0.1432
"60",2020-11-06,0.1172
"61",2020-11-09,0.1398
"62",2020-11-10,0.1255
"63",2020-11-11,0.143
"64",2020-11-12,0.141
"65",2020-11-13,0.1687
"66",2020-11-16,0.1802
"67",2020-11-17,0.1859
"68",2020-11-18,0.1973
"69",2020-11-19,0.1861
"70",2020-11-20,0.1862
"71",2020-11-23,0.2163
"72",2020-11-24,0.2309
"73",2020-11-25,0.2703
"74",2020-11-27,0.2427
"75",2020-11-30,0.2581
"76",2020-12-01,0.2416
"77",2020-12-02,0.2572
"78",2020-12-03,0.2221
"79",2020-12-04,0.2294
"80",2020-12-07,0.2396
"81",2020-12-08,0.2448
"82",2020-12-09,0.2509
"83",2020-12-10,0.2812
"84",2020-12-11,0.2891
"85",2020-12-14,0.3177
"86",2020-12-15,0.2991
"87",2020-12-16,0.2953
"88",2020-12-17,0.2535
"89",2020-12-18,0.2405
"90",2020-12-21,0.2431
"91",2020-12-22,0.2623
"92",2020-12-23,0.2655
"93",2020-12-24,0.2788
"94",2020-12-28,0.2654
"95",2020-12-29,0.2912
"96",2020-12-30,0.2921
"97",2020-12-31,0.318
"98",2021-01-04,0.298
"99",2021-01-05,0.2804
"100",2021-01-06,0.2479
"101",2021-01-07,0.2825
"102",2021-01-08,0.2931
"103",2021-01-11,0.2875
"104",2021-01-12,0.2722
"105",2021-01-13,0.2896
"106",2021-01-14,0.284
"107",2021-01-15,0.3122
"108",2021-01-19,0.3257
"109",2021-01-20,0.3289
"110",2021-01-21,0.3084
"111",2021-01-22,0.3038
"112",2021-01-25,0.3117
"113",2021-01-26,0.3309
"114",2021-01-27,0.287
"115",2021-01-28,0.2868
"116",2021-01-29,0.2456
"117",2021-02-01,0.2474
"118",2021-02-02,0.2288
"119",2021-02-03,0.2348
"120",2021-02-04,0.2337
"121",2021-02-05,0.2521
"122",2021-02-08,0.237
"123",2021-02-09,0.2289
"124",2021-02-10,0.2107
"125",2021-02-11,0.2047
"126",2021-02-12,0.181
"127",2021-02-16,0.1964
"128",2021-02-17,0.146
"129",2021-02-18,0.1405
"130",2021-02-19,0.1301
"131",2021-02-22,0.1623
"132",2021-02-23,0.1605
"133",2021-02-24,0.1633
"134",2021-02-25,0.1376
"135",2021-02-26,0.1363
"136",2021-03-01,0.0910000000000001
"137",2021-03-02,0.0596000000000001
"138",2021-03-03,0.0622999999999999
"139",2021-03-04,0.0659999999999999
"140",2021-03-05,0.0929
"141",2021-03-08,0.1253
"142",2021-03-09,0.1067
"143",2021-03-10,0.1364
"144",2021-03-11,0.1112
"145",2021-03-12,0.1304
"146",2021-03-15,0.0955
"147",2021-03-16,0.0817
"148",2021-03-17,0.0577
"149",2021-03-18,0.0720999999999999
"150",2021-03-19,0.0729
"151",2021-03-22,0.0554
"152",2021-03-23,0.0552
"153",2021-03-24,0.0692
"154",2021-03-25,0.0676
"155",2021-03-26,0.0717000000000001
"156",2021-03-29,0.0614
"157",2021-03-30,0.0578000000000001
"158",2021-03-31,0.0556
"159",2021-04-01,0.0534
"160",2021-04-05,0.0548000000000001
"161",2021-04-06,0.0615
"162",2021-04-07,0.0894
"163",2021-04-08,0.1397
"164",2021-04-09,0.1708
"165",2021-04-12,0.1847
"166",2021-04-13,0.157
"167",2021-04-14,0.1457
"168",2021-04-15,0.1584
"169",2021-04-16,0.1576
"170",2021-04-19,0.1369
"171",2021-04-20,0.1343
"172",2021-04-21,0.1426
"173",2021-04-22,0.178
"174",2021-04-23,0.1923
"175",2021-04-26,0.2176
"176",2021-04-27,0.1911
"177",2021-04-28,0.1942
"178",2021-04-29,0.2139
"179",2021-04-30,0.2035
"180",2021-05-03,0.2058
"181",2021-05-04,0.235
"182",2021-05-05,0.2404
"183",2021-05-06,0.2431
"184",2021-05-07,0.2343
"185",2021-05-10,0.252
"186",2021-05-11,0.2279
"187",2021-05-12,0.2317
"188",2021-05-13,0.2112
"189",2021-05-14,0.2136
"190",2021-05-17,0.1917
"191",2021-05-18,0.2066
"192",2021-05-19,0.2437
"193",2021-05-20,0.2426
"194",2021-05-21,0.253
"195",2021-05-24,0.2647
"196",2021-05-25,0.2608
"197",2021-05-26,0.2437
"198",2021-05-27,0.2505
"199",2021-05-28,0.242
"200",2021-06-01,0.2182
"201",2021-06-02,0.2068
"202",2021-06-03,0.1997
"203",2021-06-04,0.2119
"204",2021-06-07,0.2204
"205",2021-06-08,0.227
"206",2021-06-09,0.1858
"207",2021-06-10,0.1584
"208",2021-06-11,0.1563
"209",2021-06-14,0.1556
"210",2021-06-15,0.1428
"211",2021-06-16,0.1569
"212",2021-06-17,0.1445
"213",2021-06-18,0.1534
"214",2021-06-21,0.1453
"215",2021-06-22,0.1167
"216",2021-06-23,0.0989
"217",2021-06-24,0.1122
"218",2021-06-25,0.1017
"219",2021-06-28,0.0936
"220",2021-06-29,0.089
"221",2021-06-30,0.0798
"222",2021-07-01,0.0599
"223",2021-07-02,0.0577
"224",2021-07-06,0.0568
"225",2021-07-07,0.0585
"226",2021-07-08,0.0750999999999999
"227",2021-07-09,0.0859
"228",2021-07-12,0.0879000000000001
"229",2021-07-13,0.0822999999999999
"230",2021-07-14,0.0827
"231",2021-07-15,0.0831
"232",2021-07-16,0.0857
"233",2021-07-19,0.08
"234",2021-07-20,0.0782
"235",2021-07-21,0.0764
"236",2021-07-22,0.0815
"237",2021-07-23,0.0804
"238",2021-07-26,0.0642
"239",2021-07-27,0.0456
"240",2021-07-28,0.0842000000000001
"241",2021-07-29,0.1308
"242",2021-07-30,0.1542
"243",2021-08-02,0.17
"244",2021-08-03,0.1821
"245",2021-08-04,0.2119
"246",2021-08-05,0.2559
"247",2021-08-06,0.3185
"248",2021-08-09,0.3724
"249",2021-08-10,0.4234
"250",2021-08-11,0.4878
"251",2021-08-12,0.5631
"252",2021-08-13,0.6196
"253",2021-08-16,0.6299
"254",2021-08-17,0.5629
"255",2021-08-18,0.5312
"256",2021-08-19,0.453
"257",2021-08-20,0.3851
"258",2021-08-23,0.3456
"259",2021-08-24,0.3519
"260",2021-08-25,0.3114
"261",2021-08-26,0.325
"262",2021-08-27,0.35
"263",2021-08-30,0.3441
"264",2021-08-31,0.3621
"265",2021-09-01,0.3492
"266",2021-09-02,0.3692
"267",2021-09-03,0.3642
"268",2021-09-07,0.3477
"269",2021-09-08,0.3274
"270",2021-09-09,0.3134
"271",2021-09-10,0.3154
"272",2021-09-13,0.316
"273",2021-09-14,0.3136
"274",2021-09-15,0.304
"275",2021-09-16,0.2832
"276",2021-09-17,0.3041
"277",2021-09-20,0.3133
"278",2021-09-21,0.303
"279",2021-09-22,0.3006
"280",2021-09-23,0.3059
"281",2021-09-24,0.286
"282",2021-09-27,0.2817
"283",2021-09-28,0.2877
"284",2021-09-29,0.295
"285",2021-09-30,0.2967
"286",2021-10-01,0.2636
"287",2021-10-04,0.2497
"288",2021-10-05,0.2431
"289",2021-10-06,0.2443
"290",2021-10-07,0.2512
"291",2021-10-08,0.2524
"292",2021-10-11,0.2376
"293",2021-10-12,0.226
"294",2021-10-13,0.2251
"295",2021-10-14,0.2188
"296",2021-10-15,0.2217
"297",2021-10-18,0.214
"298",2021-10-19,0.1927
"299",2021-10-20,0.1864
"300",2021-10-21,0.197
"301",2021-10-22,0.2083
"302",2021-10-25,0.2126
"303",2021-10-26,0.1878
"304",2021-10-27,0.1845
"305",2021-10-28,0.1813
"306",2021-10-29,0.1846
"307",2021-11-01,0.1685
"308",2021-11-02,0.1484
"309",2021-11-03,0.1298
"310",2021-11-04,0.1254
"311",2021-11-05,0.1431
"312",2021-11-08,0.1546
"313",2021-11-09,0.1477
"314",2021-11-10,0.1202
"315",2021-11-11,0.1069
"316",2021-11-12,0.113
"317",2021-11-15,0.1198
"318",2021-11-16,0.118
"319",2021-11-17,0.1027
"320",2021-11-18,0.0692
"321",2021-11-19,0.0806
"322",2021-11-22,0.0878
"323",2021-11-23,0.089
"324",2021-11-24,0.0778
"325",2021-11-26,0.0753
"326",2021-11-29,0.0841999999999999
"327",2021-11-30,0.0863999999999999
"328",2021-12-01,0.1024
"329",2021-12-02,0.1042
"330",2021-12-03,0.1074
"331",2021-12-06,0.1138
"332",2021-12-07,0.1312
"333",2021-12-08,0.1477
"334",2021-12-09,0.1408
