"","date","WRK"
"1",2022-01-19,0.1169
"2",2022-01-20,0.1251
"3",2022-01-21,0.1346
"4",2022-01-24,0.142
"5",2022-01-25,0.1484
"6",2022-01-26,0.1558
"7",2022-01-27,0.1536
"8",2022-01-28,0.1452
"9",2022-01-31,0.1327
"10",2022-02-01,0.1382
"11",2022-02-02,0.1416
"12",2022-02-03,0.1438
"13",2022-02-04,0.1493
"14",2022-02-07,0.1471
"15",2022-02-08,0.1434
"16",2022-02-09,0.1451
"17",2022-02-10,0.1326
"18",2022-02-11,0.1366
"19",2022-02-14,0.1401
"20",2022-02-15,0.1402
"21",2022-02-16,0.1396
"22",2022-02-17,0.1378
"23",2022-02-18,0.1298
"24",2022-02-22,0.1245
"25",2022-02-23,0.1345
"26",2022-02-24,0.1382
"27",2022-02-25,0.1304
"28",2022-02-28,0.1284
"29",2022-03-01,0.1263
"30",2022-03-02,0.131
"31",2022-03-03,0.1269
"32",2022-03-04,0.1304
"33",2022-03-07,0.1333
"34",2022-03-08,0.1246
"35",2022-03-09,0.1247
"36",2022-03-10,0.1218
"37",2022-03-11,0.1208
"38",2022-03-14,0.1298
"39",2022-03-15,0.1285
"40",2022-03-16,0.1298
"41",2022-03-17,0.1184
"42",2022-03-18,0.1134
"43",2022-03-21,0.1123
"44",2022-03-22,0.1088
"45",2022-03-23,0.1092
"46",2022-03-24,0.112
"47",2022-03-25,0.1051
"48",2022-03-28,0.1009
"49",2022-03-29,0.0978
"50",2022-03-30,0.1083
"51",2022-03-31,0.1159
"52",2022-04-01,0.1183
"53",2022-04-04,0.1185
"54",2022-04-05,0.1161
"55",2022-04-06,0.1194
"56",2022-04-07,0.1272
"57",2022-04-08,0.1265
"58",2022-04-11,0.1289
"59",2022-04-12,0.1258
"60",2022-04-13,0.1209
"61",2022-04-14,0.1258
"62",2022-04-18,0.1295
"63",2022-04-19,0.1342
"64",2022-04-20,0.1348
"65",2022-04-21,0.1352
"66",2022-04-22,0.1477
"67",2022-04-25,0.146
"68",2022-04-26,0.1489
"69",2022-04-27,0.149
"70",2022-04-28,0.1615
"71",2022-04-29,0.16
"72",2022-05-02,0.1564
"73",2022-05-03,0.1589
"74",2022-05-04,0.1676
"75",2022-05-05,0.1752
"76",2022-05-06,0.1871
"77",2022-05-09,0.1827
"78",2022-05-10,0.177
"79",2022-05-11,0.1676
"80",2022-05-12,0.1653
"81",2022-05-13,0.1764
"82",2022-05-16,0.1783
"83",2022-05-17,0.1777
"84",2022-05-18,0.1751
"85",2022-05-19,0.1758
"86",2022-05-20,0.1756
"87",2022-05-23,0.1614
"88",2022-05-24,0.1633
"89",2022-05-25,0.1595
"90",2022-05-26,0.1656
"91",2022-05-27,0.1644
"92",2022-05-31,0.1651
"93",2022-06-01,0.1682
"94",2022-06-02,0.1675
"95",2022-06-03,0.172
"96",2022-06-06,0.1694
"97",2022-06-07,0.1594
"98",2022-06-08,0.1614
"99",2022-06-09,0.1526
"100",2022-06-10,0.1504
"101",2022-06-13,0.1447
"102",2022-06-14,0.1463
"103",2022-06-15,0.1526
"104",2022-06-16,0.1451
"105",2022-06-17,0.1476
"106",2022-06-21,0.1509
"107",2022-06-22,0.141
"108",2022-06-23,0.1326
"109",2022-06-24,0.1361
"110",2022-06-27,0.1503
"111",2022-06-28,0.1477
"112",2022-06-29,0.1485
"113",2022-06-30,0.1438
"114",2022-07-01,0.1431
"115",2022-07-05,0.1438
"116",2022-07-06,0.1502
"117",2022-07-07,0.1451
"118",2022-07-08,0.1395
"119",2022-07-11,0.1313
"120",2022-07-12,0.1271
"121",2022-07-13,0.1303
"122",2022-07-14,0.1358
"123",2022-07-15,0.1435
"124",2022-07-18,0.1427
"125",2022-07-19,0.1431
"126",2022-07-20,0.1476
"127",2022-07-21,0.135
"128",2022-07-22,0.1352
"129",2022-07-25,0.1303
"130",2022-07-26,0.1328
"131",2022-07-27,0.1284
"132",2022-07-28,0.1215
"133",2022-07-29,0.1214
"134",2022-08-01,0.1226
"135",2022-08-02,0.1253
"136",2022-08-03,0.1386
"137",2022-08-04,0.1324
"138",2022-08-05,0.1345
"139",2022-08-08,0.1316
"140",2022-08-09,0.1361
"141",2022-08-10,0.1379
"142",2022-08-11,0.1372
"143",2022-08-12,0.1326
"144",2022-08-15,0.1265
"145",2022-08-16,0.1358
"146",2022-08-17,0.1588
"147",2022-08-18,0.1757
"148",2022-08-19,0.1855
"149",2022-08-22,0.184
"150",2022-08-23,0.1908
"151",2022-08-24,0.1894
"152",2022-08-25,0.1837
"153",2022-08-26,0.1832
"154",2022-08-29,0.1841
"155",2022-08-30,0.1803
"156",2022-08-31,0.1813
"157",2022-09-01,0.1775
"158",2022-09-02,0.1859
"159",2022-09-06,0.1842
"160",2022-09-07,0.1869
"161",2022-09-08,0.1816
"162",2022-09-09,0.1824
"163",2022-09-12,0.1862
"164",2022-09-13,0.1774
"165",2022-09-14,0.1842
"166",2022-09-15,0.1871
"167",2022-09-16,0.1777
"168",2022-09-19,0.178
"169",2022-09-20,0.1722
"170",2022-09-21,0.1793
"171",2022-09-22,0.1791
"172",2022-09-23,0.1847
"173",2022-09-26,0.1828
"174",2022-09-27,0.1749
"175",2022-09-28,0.1725
"176",2022-09-29,0.1721
"177",2022-09-30,0.1629
"178",2022-10-03,0.165
"179",2022-10-04,0.1649
"180",2022-10-05,0.1651
"181",2022-10-06,0.1651
"182",2022-10-07,0.1683
"183",2022-10-10,0.162
"184",2022-10-11,0.1555
"185",2022-10-12,0.1473
"186",2022-10-13,0.1505
"187",2022-10-14,0.1414
"188",2022-10-17,0.1355
"189",2022-10-18,0.1332
"190",2022-10-19,0.1375
"191",2022-10-20,0.1342
"192",2022-10-21,0.1237
"193",2022-10-24,0.1253
"194",2022-10-25,0.1293
"195",2022-10-26,0.1249
"196",2022-10-27,0.1283
"197",2022-10-28,0.1117
"198",2022-10-31,0.1076
"199",2022-11-01,0.0977
"200",2022-11-02,0.0977
"201",2022-11-03,0.0976
"202",2022-11-04,0.0926
"203",2022-11-07,0.0841
"204",2022-11-08,0.0722
"205",2022-11-09,0.0751
"206",2022-11-10,0.0786
"207",2022-11-11,0.0725
"208",2022-11-14,0.0675
"209",2022-11-15,0.0568
"210",2022-11-16,0.0591
"211",2022-11-17,0.0578
"212",2022-11-18,0.0569
"213",2022-11-21,0.0613
"214",2022-11-22,0.0645
"215",2022-11-23,0.0711
"216",2022-11-25,0.077
"217",2022-11-28,0.0691000000000001
"218",2022-11-29,0.065
"219",2022-11-30,0.0671
"220",2022-12-01,0.0764
"221",2022-12-02,0.0757
"222",2022-12-05,0.0754
"223",2022-12-06,0.0738
"224",2022-12-07,0.0735
"225",2022-12-08,0.0747
"226",2022-12-09,0.0819
"227",2022-12-12,0.0816
"228",2022-12-13,0.0888
"229",2022-12-14,0.0935
"230",2022-12-15,0.1024
"231",2022-12-16,0.1104
"232",2022-12-19,0.1228
"233",2022-12-20,0.1384
"234",2022-12-21,0.1479
"235",2022-12-22,0.1688
"236",2022-12-23,0.1854
"237",2022-12-27,0.1982
"238",2022-12-28,0.2132
"239",2022-12-29,0.2174
"240",2022-12-30,0.2269
"241",2023-01-03,0.2342
"242",2023-01-04,0.2436
"243",2023-01-05,0.2517
"244",2023-01-06,0.2551
"245",2023-01-09,0.2608
"246",2023-01-10,0.2718
"247",2023-01-11,0.2523
"248",2023-01-12,0.2405
"249",2023-01-13,0.2311
"250",2023-01-17,0.2341
"251",2023-01-18,0.2197
"252",2023-01-19,0.2148
"253",2023-01-20,0.2146
"254",2023-01-23,0.2113
"255",2023-01-24,0.2099
"256",2023-01-25,0.2144
"257",2023-01-26,0.2117
"258",2023-01-27,0.2089
"259",2023-01-30,0.2043
"260",2023-01-31,0.2026
"261",2023-02-01,0.2042
"262",2023-02-02,0.2012
"263",2023-02-03,0.2002
"264",2023-02-06,0.1974
"265",2023-02-07,0.2048
"266",2023-02-08,0.2135
"267",2023-02-09,0.2025
"268",2023-02-10,0.1991
"269",2023-02-13,0.1727
"270",2023-02-14,0.177
"271",2023-02-15,0.1785
"272",2023-02-16,0.1773
"273",2023-02-17,0.1851
"274",2023-02-21,0.1858
"275",2023-02-22,0.1977
"276",2023-02-23,0.2058
"277",2023-02-24,0.2114
"278",2023-02-27,0.2219
"279",2023-02-28,0.2361
"280",2023-03-01,0.2449
"281",2023-03-02,0.2368
