"","date","WYNN"
"1",2022-01-19,0.2693
"2",2022-01-20,0.2545
"3",2022-01-21,0.2645
"4",2022-01-24,0.2522
"5",2022-01-25,0.2451
"6",2022-01-26,0.2419
"7",2022-01-27,0.2408
"8",2022-01-28,0.2556
"9",2022-01-31,0.2649
"10",2022-02-01,0.2676
"11",2022-02-02,0.2676
"12",2022-02-03,0.2556
"13",2022-02-04,0.2583
"14",2022-02-07,0.244
"15",2022-02-08,0.257
"16",2022-02-09,0.2523
"17",2022-02-10,0.2416
"18",2022-02-11,0.2281
"19",2022-02-14,0.2228
"20",2022-02-15,0.2218
"21",2022-02-16,0.2543
"22",2022-02-17,0.2687
"23",2022-02-18,0.2654
"24",2022-02-22,0.2442
"25",2022-02-23,0.2511
"26",2022-02-24,0.2413
"27",2022-02-25,0.2424
"28",2022-02-28,0.2508
"29",2022-03-01,0.2507
"30",2022-03-02,0.2504
"31",2022-03-03,0.2572
"32",2022-03-04,0.2542
"33",2022-03-07,0.2596
"34",2022-03-08,0.2338
"35",2022-03-09,0.2228
"36",2022-03-10,0.2242
"37",2022-03-11,0.2212
"38",2022-03-14,0.2202
"39",2022-03-15,0.2241
"40",2022-03-16,0.2422
"41",2022-03-17,0.2611
"42",2022-03-18,0.2567
"43",2022-03-21,0.2539
"44",2022-03-22,0.2327
"45",2022-03-23,0.2382
"46",2022-03-24,0.2323
"47",2022-03-25,0.2267
"48",2022-03-28,0.2263
"49",2022-03-29,0.223
"50",2022-03-30,0.2229
"51",2022-03-31,0.2485
"52",2022-04-01,0.2653
"53",2022-04-04,0.2759
"54",2022-04-05,0.2687
"55",2022-04-06,0.2784
"56",2022-04-07,0.2583
"57",2022-04-08,0.2706
"58",2022-04-11,0.2703
"59",2022-04-12,0.2574
"60",2022-04-13,0.2589
"61",2022-04-14,0.2646
"62",2022-04-18,0.2551
"63",2022-04-19,0.2632
"64",2022-04-20,0.2609
"65",2022-04-21,0.2724
"66",2022-04-22,0.2855
"67",2022-04-25,0.2869
"68",2022-04-26,0.2895
"69",2022-04-27,0.2947
"70",2022-04-28,0.2949
"71",2022-04-29,0.2969
"72",2022-05-02,0.2847
"73",2022-05-03,0.2965
"74",2022-05-04,0.2907
"75",2022-05-05,0.3
"76",2022-05-06,0.306
"77",2022-05-09,0.3071
"78",2022-05-10,0.3002
"79",2022-05-11,0.2921
"80",2022-05-12,0.3027
"81",2022-05-13,0.33
"82",2022-05-16,0.3183
"83",2022-05-17,0.3112
"84",2022-05-18,0.29
"85",2022-05-19,0.3008
"86",2022-05-20,0.2942
"87",2022-05-23,0.2964
"88",2022-05-24,0.304
"89",2022-05-25,0.281
"90",2022-05-26,0.2724
"91",2022-05-27,0.279
"92",2022-05-31,0.2808
"93",2022-06-01,0.2986
"94",2022-06-02,0.2815
"95",2022-06-03,0.2724
"96",2022-06-06,0.2713
"97",2022-06-07,0.2691
"98",2022-06-08,0.2513
"99",2022-06-09,0.2537
"100",2022-06-10,0.2504
"101",2022-06-13,0.2484
"102",2022-06-14,0.2474
"103",2022-06-15,0.2461
"104",2022-06-16,0.2305
"105",2022-06-17,0.2456
"106",2022-06-21,0.2489
"107",2022-06-22,0.25
"108",2022-06-23,0.2503
"109",2022-06-24,0.2478
"110",2022-06-27,0.2474
"111",2022-06-28,0.252
"112",2022-06-29,0.2491
"113",2022-06-30,0.2551
"114",2022-07-01,0.2294
"115",2022-07-05,0.2263
"116",2022-07-06,0.2172
"117",2022-07-07,0.232
"118",2022-07-08,0.245
"119",2022-07-11,0.2499
"120",2022-07-12,0.2527
"121",2022-07-13,0.2631
"122",2022-07-14,0.2479
"123",2022-07-15,0.2415
"124",2022-07-18,0.23
"125",2022-07-19,0.2274
"126",2022-07-20,0.2212
"127",2022-07-21,0.2159
"128",2022-07-22,0.212
"129",2022-07-25,0.2296
"130",2022-07-26,0.2388
"131",2022-07-27,0.2421
"132",2022-07-28,0.2383
"133",2022-07-29,0.2331
"134",2022-08-01,0.205
"135",2022-08-02,0.213
"136",2022-08-03,0.2205
"137",2022-08-04,0.2087
"138",2022-08-05,0.1987
"139",2022-08-08,0.1928
"140",2022-08-09,0.2031
"141",2022-08-10,0.2355
"142",2022-08-11,0.2325
"143",2022-08-12,0.2409
"144",2022-08-15,0.2166
"145",2022-08-16,0.2137
"146",2022-08-17,0.2054
"147",2022-08-18,0.2115
"148",2022-08-19,0.2212
"149",2022-08-22,0.2113
"150",2022-08-23,0.2181
"151",2022-08-24,0.2306
"152",2022-08-25,0.2233
"153",2022-08-26,0.2328
"154",2022-08-29,0.212
"155",2022-08-30,0.2064
"156",2022-08-31,0.2082
"157",2022-09-01,0.2219
"158",2022-09-02,0.2241
"159",2022-09-06,0.2117
"160",2022-09-07,0.2118
"161",2022-09-08,0.2221
"162",2022-09-09,0.2247
"163",2022-09-12,0.2258
"164",2022-09-13,0.2088
"165",2022-09-14,0.2329
"166",2022-09-15,0.2171
"167",2022-09-16,0.2032
"168",2022-09-19,0.198
"169",2022-09-20,0.2026
"170",2022-09-21,0.2013
"171",2022-09-22,0.2161
"172",2022-09-23,0.2247
"173",2022-09-26,0.2215
"174",2022-09-27,0.2035
"175",2022-09-28,0.2029
"176",2022-09-29,0.2027
"177",2022-09-30,0.2121
"178",2022-10-03,0.2079
"179",2022-10-04,0.1972
"180",2022-10-05,0.1946
"181",2022-10-06,0.208
"182",2022-10-07,0.2068
"183",2022-10-10,0.2205
"184",2022-10-11,0.2168
"185",2022-10-12,0.2154
"186",2022-10-13,0.2076
"187",2022-10-14,0.2063
"188",2022-10-17,0.1919
"189",2022-10-18,0.1858
"190",2022-10-19,0.1903
"191",2022-10-20,0.1987
"192",2022-10-21,0.1968
"193",2022-10-24,0.2011
"194",2022-10-25,0.1824
"195",2022-10-26,0.2017
"196",2022-10-27,0.2007
"197",2022-10-28,0.197
"198",2022-10-31,0.1927
"199",2022-11-01,0.1789
"200",2022-11-02,0.175
"201",2022-11-03,0.195
"202",2022-11-04,0.1821
"203",2022-11-07,0.1798
"204",2022-11-08,0.1702
"205",2022-11-09,0.1715
"206",2022-11-10,0.1613
"207",2022-11-11,0.1596
"208",2022-11-14,0.1667
"209",2022-11-15,0.1719
"210",2022-11-16,0.1671
"211",2022-11-17,0.1654
"212",2022-11-18,0.1679
"213",2022-11-21,0.1862
"214",2022-11-22,0.1757
"215",2022-11-23,0.1717
"216",2022-11-25,0.1825
"217",2022-11-28,0.1937
"218",2022-11-29,0.1985
"219",2022-11-30,0.2055
"220",2022-12-01,0.2292
"221",2022-12-02,0.2345
"222",2022-12-05,0.2249
"223",2022-12-06,0.2259
"224",2022-12-07,0.209
"225",2022-12-08,0.2248
"226",2022-12-09,0.2168
"227",2022-12-12,0.2138
"228",2022-12-13,0.2252
"229",2022-12-14,0.2316
"230",2022-12-15,0.2427
"231",2022-12-16,0.2719
"232",2022-12-19,0.2739
"233",2022-12-20,0.2842
"234",2022-12-21,0.2886
"235",2022-12-22,0.3039
"236",2022-12-23,0.3205
"237",2022-12-27,0.3457
"238",2022-12-28,0.3647
"239",2022-12-29,0.3774
"240",2022-12-30,0.3918
"241",2023-01-03,0.4145
"242",2023-01-04,0.424
"243",2023-01-05,0.4242
"244",2023-01-06,0.4165
"245",2023-01-09,0.4335
"246",2023-01-10,0.4464
"247",2023-01-11,0.4478
"248",2023-01-12,0.4445
"249",2023-01-13,0.4399
"250",2023-01-17,0.4297
"251",2023-01-18,0.3992
"252",2023-01-19,0.3726
"253",2023-01-20,0.3709
"254",2023-01-23,0.3164
"255",2023-01-24,0.3205
"256",2023-01-25,0.3346
"257",2023-01-26,0.3271
"258",2023-01-27,0.3224
"259",2023-01-30,0.3146
"260",2023-01-31,0.3174
"261",2023-02-01,0.3397
"262",2023-02-02,0.311
"263",2023-02-03,0.2849
"264",2023-02-06,0.2716
"265",2023-02-07,0.2703
"266",2023-02-08,0.2617
"267",2023-02-09,0.2754
"268",2023-02-10,0.2884
"269",2023-02-13,0.2797
"270",2023-02-14,0.2811
"271",2023-02-15,0.2809
"272",2023-02-16,0.278
"273",2023-02-17,0.2933
"274",2023-02-21,0.2863
"275",2023-02-22,0.2929
"276",2023-02-23,0.294
"277",2023-02-24,0.2875
"278",2023-02-27,0.2926
"279",2023-02-28,0.2846
"280",2023-03-01,0.278
"281",2023-03-02,0.2806
"282",2023-03-03,0.2767
"283",2023-03-06,0.2825
"284",2023-03-07,0.2756
"285",2023-03-08,0.2806
"286",2023-03-09,0.2765
"287",2023-03-10,0.2684
"288",2023-03-13,0.273
"289",2023-03-14,0.2824
"290",2023-03-15,0.2748
"291",2023-03-16,0.2786
"292",2023-03-17,0.2696
"293",2023-03-20,0.2718
"294",2023-03-21,0.2671
"295",2023-03-22,0.2715
"296",2023-03-23,0.2683
"297",2023-03-24,0.2814
"298",2023-03-27,0.2758
"299",2023-03-28,0.2584
"300",2023-03-29,0.2639
"301",2023-03-30,0.2784
"302",2023-03-31,0.2736
"303",2023-04-03,0.2652
"304",2023-04-04,0.2636
"305",2023-04-05,0.2689
"306",2023-04-06,0.2655
"307",2023-04-10,0.2497
"308",2023-04-11,0.2443
"309",2023-04-12,0.2402
"310",2023-04-13,0.2321
"311",2023-04-14,0.2427
"312",2023-04-17,0.244
"313",2023-04-18,0.254
"314",2023-04-19,0.2529
"315",2023-04-20,0.2537
"316",2023-04-21,0.2597
"317",2023-04-24,0.2628
"318",2023-04-25,0.2698
"319",2023-04-26,0.2756
"320",2023-04-27,0.2717
"321",2023-04-28,0.2888
"322",2023-05-01,0.2771
"323",2023-05-02,0.2811
"324",2023-05-03,0.2662
"325",2023-05-04,0.2669
"326",2023-05-05,0.2674
"327",2023-05-08,0.2652
"328",2023-05-09,0.2647
"329",2023-05-10,0.2625
"330",2023-05-11,0.2718
"331",2023-05-12,0.2775
"332",2023-05-15,0.2613
"333",2023-05-16,0.2739
"334",2023-05-17,0.2618
"335",2023-05-18,0.2601
"336",2023-05-19,0.262
"337",2023-05-22,0.2707
"338",2023-05-23,0.2768
"339",2023-05-24,0.2692
"340",2023-05-25,0.277
"341",2023-05-26,0.2778
"342",2023-05-30,0.2691
"343",2023-05-31,0.2671
"344",2023-06-01,0.2635
"345",2023-06-02,0.2726
"346",2023-06-05,0.2681
"347",2023-06-06,0.2647
"348",2023-06-07,0.2703
"349",2023-06-08,0.2751
"350",2023-06-09,0.2668
"351",2023-06-12,0.2743
"352",2023-06-13,0.2743
"353",2023-06-14,0.281
"354",2023-06-15,0.2672
"355",2023-06-16,0.2657
"356",2023-06-20,0.261
"357",2023-06-21,0.2679
"358",2023-06-22,0.2634
"359",2023-06-23,0.2604
"360",2023-06-26,0.2637
"361",2023-06-27,0.2807
"362",2023-06-28,0.2819
"363",2023-06-29,0.291
