"","date","XRAY"
"1",2020-08-14,0.1372
"2",2020-08-17,0.1084
"3",2020-08-18,0.128
"4",2020-08-19,0.1142
"5",2020-08-20,0.1203
"6",2020-08-21,0.1353
"7",2020-08-24,0.1547
"8",2020-08-25,0.1573
"9",2020-08-26,0.1549
"10",2020-08-27,0.1789
"11",2020-08-28,0.1934
"12",2020-08-31,0.1745
"13",2020-09-01,0.1687
"14",2020-09-02,0.1182
"15",2020-09-03,0.1295
"16",2020-09-04,0.1597
"17",2020-09-08,0.1425
"18",2020-09-09,0.1122
"19",2020-09-10,0.114
"20",2020-09-11,0.0952999999999999
"21",2020-09-14,0.0849
"22",2020-09-15,0.0918
"23",2020-09-16,0.127
"24",2020-09-17,0.1295
"25",2020-09-18,0.165
"26",2020-09-21,0.1632
"27",2020-09-22,0.1272
"28",2020-09-23,0.1142
"29",2020-09-24,0.0870000000000001
"30",2020-09-25,0.0641
"31",2020-09-28,0.0674
"32",2020-09-29,0.0646
"33",2020-09-30,0.0543
"34",2020-10-01,0.0331
"35",2020-10-02,0.0347
"36",2020-10-05,0.1401
"37",2020-10-06,0.1008
"38",2020-10-07,0.0784
"39",2020-10-08,0.0949
"40",2020-10-09,0.0731000000000001
"41",2020-10-12,0.0582999999999999
"42",2020-10-13,0.0692
"43",2020-10-14,0.0807
"44",2020-10-15,0.0503
"45",2020-10-16,0.0598
"46",2020-10-19,0.0633
"47",2020-10-20,0.0572
"48",2020-10-21,0.0609000000000001
"49",2020-10-22,0.0457
"50",2020-10-23,0.0543
"51",2020-10-26,0.0723
"52",2020-10-27,0.0831000000000001
"53",2020-10-28,0.0739
"54",2020-10-29,0.0888
"55",2020-10-30,0.0839
"56",2020-11-02,0.0994
"57",2020-11-03,0.096
"58",2020-11-04,0.099
"59",2020-11-05,0.1063
"60",2020-11-06,0.1178
"61",2020-11-09,0.1063
"62",2020-11-10,0.1208
"63",2020-11-11,0.11
"64",2020-11-12,0.1063
"65",2020-11-13,0.0972000000000001
"66",2020-11-16,0.0826
"67",2020-11-17,0.088
"68",2020-11-18,0.0929
"69",2020-11-19,0.0890000000000001
"70",2020-11-20,0.1034
"71",2020-11-23,0.1103
"72",2020-11-24,0.1174
"73",2020-11-25,0.1405
"74",2020-11-27,0.1542
"75",2020-11-30,0.2207
"76",2020-12-01,0.2167
"77",2020-12-02,0.2006
"78",2020-12-03,0.1534
"79",2020-12-04,0.1593
"80",2020-12-07,0.1498
"81",2020-12-08,0.1743
"82",2020-12-09,0.1773
"83",2020-12-10,0.2051
"84",2020-12-11,0.1649
"85",2020-12-14,0.1675
"86",2020-12-15,0.1508
"87",2020-12-16,0.1543
