"","date","ZION"
"1",2020-08-14,0.1952
"2",2020-08-17,0.2299
"3",2020-08-18,0.2058
"4",2020-08-19,0.208
"5",2020-08-20,0.2012
"6",2020-08-21,0.211
"7",2020-08-24,0.1998
"8",2020-08-25,0.1716
"9",2020-08-26,0.1501
"10",2020-08-27,0.1448
"11",2020-08-28,0.17
"12",2020-08-31,0.1898
"13",2020-09-01,0.1784
"14",2020-09-02,0.1473
"15",2020-09-03,0.1383
"16",2020-09-04,0.1544
"17",2020-09-08,0.1495
"18",2020-09-09,0.1176
"19",2020-09-10,0.1147
"20",2020-09-11,0.0977
"21",2020-09-14,0.1129
"22",2020-09-15,0.1495
"23",2020-09-16,0.1807
"24",2020-09-17,0.2092
"25",2020-09-18,0.1436
"26",2020-09-21,0.163
"27",2020-09-22,0.1714
"28",2020-09-23,0.1518
"29",2020-09-24,0.1084
"30",2020-09-25,0.1188
"31",2020-09-28,0.1308
"32",2020-09-29,0.1479
"33",2020-09-30,0.1499
"34",2020-10-01,0.1352
"35",2020-10-02,0.1627
"36",2020-10-05,0.1652
"37",2020-10-06,0.17
"38",2020-10-07,0.15
"39",2020-10-08,0.1085
"40",2020-10-09,0.0779000000000001
"41",2020-10-12,0.0971000000000001
"42",2020-10-13,0.1155
"43",2020-10-14,0.1113
"44",2020-10-15,0.113
"45",2020-10-16,0.0905
"46",2020-10-19,0.1054
"47",2020-10-20,0.1302
"48",2020-10-21,0.1666
"49",2020-10-22,0.1634
"50",2020-10-23,0.1577
"51",2020-10-26,0.1501
"52",2020-10-27,0.198
"53",2020-10-28,0.1706
"54",2020-10-29,0.1695
"55",2020-10-30,0.1543
"56",2020-11-02,0.1704
"57",2020-11-03,0.1845
"58",2020-11-04,0.1522
"59",2020-11-05,0.1704
"60",2020-11-06,0.2059
"61",2020-11-09,0.2275
"62",2020-11-10,0.2282
"63",2020-11-11,0.2257
"64",2020-11-12,0.1966
"65",2020-11-13,0.1932
"66",2020-11-16,0.2098
"67",2020-11-17,0.2038
"68",2020-11-18,0.2007
"69",2020-11-19,0.1805
"70",2020-11-20,0.2085
"71",2020-11-23,0.2918
"72",2020-11-24,0.3352
"73",2020-11-25,0.2994
"74",2020-11-27,0.3052
"75",2020-11-30,0.2737
"76",2020-12-01,0.2805
"77",2020-12-02,0.2848
"78",2020-12-03,0.2652
"79",2020-12-04,0.29
"80",2020-12-07,0.2793
"81",2020-12-08,0.3119
"82",2020-12-09,0.3503
"83",2020-12-10,0.3647
"84",2020-12-11,0.3559
"85",2020-12-14,0.3271
"86",2020-12-15,0.3204
"87",2020-12-16,0.3138
"88",2020-12-17,0.2838
"89",2020-12-18,0.2571
"90",2020-12-21,0.2406
"91",2020-12-22,0.262
"92",2020-12-23,0.3054
"93",2020-12-24,0.3392
"94",2020-12-28,0.3317
"95",2020-12-29,0.2931
"96",2020-12-30,0.2981
"97",2020-12-31,0.2562
"98",2021-01-04,0.2071
"99",2021-01-05,0.1749
"100",2021-01-06,0.1683
"101",2021-01-07,0.2137
"102",2021-01-08,0.2135
"103",2021-01-11,0.2196
"104",2021-01-12,0.2245
"105",2021-01-13,0.1979
"106",2021-01-14,0.1877
"107",2021-01-15,0.2321
"108",2021-01-19,0.2345
"109",2021-01-20,0.1983
"110",2021-01-21,0.1933
"111",2021-01-22,0.2153
"112",2021-01-25,0.2467
"113",2021-01-26,0.2531
"114",2021-01-27,0.2691
"115",2021-01-28,0.2694
"116",2021-01-29,0.2603
"117",2021-02-01,0.2408
"118",2021-02-02,0.2234
"119",2021-02-03,0.2247
"120",2021-02-04,0.2308
"121",2021-02-05,0.2494
"122",2021-02-08,0.2685
"123",2021-02-09,0.2506
"124",2021-02-10,0.2249
"125",2021-02-11,0.2412
"126",2021-02-12,0.2778
"127",2021-02-16,0.2914
"128",2021-02-17,0.2454
"129",2021-02-18,0.2111
"130",2021-02-19,0.1736
"131",2021-02-22,0.2209
"132",2021-02-23,0.26
"133",2021-02-24,0.2345
"134",2021-02-25,0.2346
"135",2021-02-26,0.208
"136",2021-03-01,0.2489
"137",2021-03-02,0.272
"138",2021-03-03,0.2434
"139",2021-03-04,0.2201
"140",2021-03-05,0.2276
"141",2021-03-08,0.2418
"142",2021-03-09,0.2496
"143",2021-03-10,0.261
"144",2021-03-11,0.2727
"145",2021-03-12,0.2545
"146",2021-03-15,0.2222
"147",2021-03-16,0.2188
"148",2021-03-17,0.2123
"149",2021-03-18,0.1983
"150",2021-03-19,0.174
"151",2021-03-22,0.1796
"152",2021-03-23,0.1964
"153",2021-03-24,0.1822
"154",2021-03-25,0.1503
"155",2021-03-26,0.1329
"156",2021-03-29,0.1659
"157",2021-03-30,0.1515
"158",2021-03-31,0.1686
"159",2021-04-01,0.1863
"160",2021-04-05,0.1848
"161",2021-04-06,0.2064
"162",2021-04-07,0.2448
"163",2021-04-08,0.2691
"164",2021-04-09,0.2969
"165",2021-04-12,0.2984
"166",2021-04-13,0.3026
"167",2021-04-14,0.3375
"168",2021-04-15,0.3348
"169",2021-04-16,0.3508
"170",2021-04-19,0.3848
"171",2021-04-20,0.408
"172",2021-04-21,0.4074
"173",2021-04-22,0.4075
"174",2021-04-23,0.3902
"175",2021-04-26,0.371
"176",2021-04-27,0.3705
"177",2021-04-28,0.3636
"178",2021-04-29,0.3655
"179",2021-04-30,0.3648
"180",2021-05-03,0.3913
"181",2021-05-04,0.3986
"182",2021-05-05,0.4145
"183",2021-05-06,0.3779
"184",2021-05-07,0.3618
"185",2021-05-10,0.3276
"186",2021-05-11,0.3107
"187",2021-05-12,0.3107
"188",2021-05-13,0.2937
"189",2021-05-14,0.2972
"190",2021-05-17,0.3172
"191",2021-05-18,0.505
"192",2021-05-19,0.5604
"193",2021-05-20,0.5078
"194",2021-05-21,0.4475
"195",2021-05-24,0.3645
"196",2021-05-25,0.3346
"197",2021-05-26,0.3157
"198",2021-05-27,0.2897
"199",2021-05-28,0.2756
"200",2021-06-01,0.2621
"201",2021-06-02,0.2408
"202",2021-06-03,0.2336
"203",2021-06-04,0.2171
"204",2021-06-07,0.1998
"205",2021-06-08,0.2155
"206",2021-06-09,0.1977
"207",2021-06-10,0.1693
"208",2021-06-11,0.1515
"209",2021-06-14,0.1314
"210",2021-06-15,0.107
"211",2021-06-16,0.0778
"212",2021-06-17,0.0599
"213",2021-06-18,0.0588
"214",2021-06-21,0.0533
"215",2021-06-22,0.0457000000000001
"216",2021-06-23,0.0353
"217",2021-06-24,0.0637
"218",2021-06-25,0.0644
"219",2021-06-28,0.0425
"220",2021-06-29,0.0462
"221",2021-06-30,0.0575
"222",2021-07-01,0.0746
"223",2021-07-02,0.0988
"224",2021-07-06,0.1186
"225",2021-07-07,0.1324
"226",2021-07-08,0.1332
"227",2021-07-09,0.1558
"228",2021-07-12,0.1711
"229",2021-07-13,0.1751
"230",2021-07-14,0.1837
"231",2021-07-15,0.2077
"232",2021-07-16,0.2206
"233",2021-07-19,0.2116
"234",2021-07-20,0.2125
"235",2021-07-21,0.2003
"236",2021-07-22,0.1907
"237",2021-07-23,0.1895
"238",2021-07-26,0.1735
"239",2021-07-27,0.1454
"240",2021-07-28,0.1211
"241",2021-07-29,0.0782
"242",2021-07-30,0.0587
"243",2021-08-02,0.0555999999999999
"244",2021-08-03,0.0698
"245",2021-08-04,0.1009
"246",2021-08-05,0.1399
"247",2021-08-06,0.1705
"248",2021-08-09,0.1869
"249",2021-08-10,0.2086
"250",2021-08-11,0.2251
"251",2021-08-12,0.2259
"252",2021-08-13,0.2359
"253",2021-08-16,0.2622
"254",2021-08-17,0.2545
"255",2021-08-18,0.2339
"256",2021-08-19,0.2394
"257",2021-08-20,0.2584
"258",2021-08-23,0.2285
"259",2021-08-24,0.2055
"260",2021-08-25,0.2036
"261",2021-08-26,0.1984
"262",2021-08-27,0.1966
"263",2021-08-30,0.2063
"264",2021-08-31,0.2139
"265",2021-09-01,0.2046
"266",2021-09-02,0.2052
"267",2021-09-03,0.176
"268",2021-09-07,0.177
"269",2021-09-08,0.1779
"270",2021-09-09,0.1791
"271",2021-09-10,0.1693
"272",2021-09-13,0.1644
"273",2021-09-14,0.1691
"274",2021-09-15,0.1798
"275",2021-09-16,0.1957
"276",2021-09-17,0.1897
"277",2021-09-20,0.1997
"278",2021-09-21,0.2123
"279",2021-09-22,0.1789
"280",2021-09-23,0.1615
"281",2021-09-24,0.1792
"282",2021-09-27,0.187
"283",2021-09-28,0.1939
