date,TFX,UHS,BXP,FOX,CZR,BIO,MKTX,CPB,CTLT,ETSY,IVZ,Ticker,deltaH,NWSA,SEE,HAS,EMN,QRVO,JNPR,PNW,FFIV,NWS,FRT,AIZ,WRK,SEDG,AOS,ZION,MHK,BBWI,ALK,XRAY,NCLH,WHR,DVA,AAL,ALLE,PARA,CMA,GNRC,RL,HII,BEN,FOXA,FMC,WYNN,RHI,TPR,VFC
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,TFX,0.2918,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,UHS,0.3585,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,BXP,0.1825,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,FOX,0.2264,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,CZR,0.3162,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,BIO,0.0843,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,MKTX,0.2099,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,CPB,0.3566,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,CTLT,0.2818,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,ETSY,0.2133,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,IVZ,0.0580000000000001,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,NWSA,0.1093,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,SEE,0.1577,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,HAS,0.1599,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,EMN,0.1793,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,QRVO,0.0682,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,JNPR,0.1329,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,PNW,0.3159,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,FFIV,0.1628,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,NWS,0.1117,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,FRT,0.18,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
2023-06-27,0.2918,0.3585,0.1825,0.2264,0.3162,0.0843,0.2099,0.3566,0.2818,0.2133,0.0580000000000001,AIZ,0.31,0.1093,0.1577,0.1599,0.1793,0.0682,0.1329,0.3159,0.1628,0.1117,0.18,0.31,0.1653,0.2761,0.1636,0.234,0.2916,0.2148,0.1251,0.2406,0.263,0.1187,0.354,0.1447,0.2441,0.3301,0.1944,0.0505,0.1224,0.1808,0.2362,0.213,0.305,0.2934,0.1704,0.1747,0.1254
