"","date","AAPL"
"1",2019-06-10,0.3261
"2",2019-06-11,0.3218
"3",2019-06-12,0.3126
"4",2019-06-13,0.3167
"5",2019-06-14,0.3062
"6",2019-06-17,0.3544
"7",2019-06-18,0.3416
"8",2019-06-19,0.3471
"9",2019-06-20,0.3274
"10",2019-06-21,0.3339
"11",2019-06-24,0.3292
"12",2019-06-25,0.3276
"13",2019-06-26,0.315
"14",2019-06-27,0.3052
"15",2019-06-28,0.2859
"16",2019-07-01,0.3054
"17",2019-07-02,0.2974
"18",2019-07-03,0.2965
"19",2019-07-05,0.2884
"20",2019-07-08,0.3066
"21",2019-07-09,0.2995
"22",2019-07-10,0.3066
"23",2019-07-11,0.3033
"24",2019-07-12,0.299
"25",2019-07-15,0.2783
"26",2019-07-16,0.2891
"27",2019-07-17,0.2574
"28",2019-07-18,0.2548
"29",2019-07-19,0.2635
"30",2019-07-22,0.2647
"31",2019-07-23,0.2594
"32",2019-07-24,0.2623
"33",2019-07-25,0.2644
"34",2019-07-26,0.2672
"35",2019-07-29,0.2542
"36",2019-07-30,0.2919
"37",2019-07-31,0.2933
"38",2019-08-01,0.3204
"39",2019-08-02,0.3098
"40",2019-08-05,0.3042
"41",2019-08-06,0.2921
"42",2019-08-07,0.3096
"43",2019-08-08,0.3123
"44",2019-08-09,0.3138
"45",2019-08-12,0.2981
"46",2019-08-13,0.3101
"47",2019-08-14,0.2957
"48",2019-08-15,0.3009
"49",2019-08-16,0.2734
"50",2019-08-19,0.2885
"51",2019-08-20,0.2894
"52",2019-08-21,0.3012
"53",2019-08-22,0.2981
"54",2019-08-23,0.3096
"55",2019-08-26,0.3231
"56",2019-08-27,0.3513
"57",2019-08-28,0.3155
"58",2019-08-29,0.3144
"59",2019-08-30,0.3148
"60",2019-09-03,0.3172
"61",2019-09-04,0.2971
"62",2019-09-05,0.3007
"63",2019-09-06,0.2902
"64",2019-09-09,0.2906
"65",2019-09-10,0.2922
"66",2019-09-11,0.339
"67",2019-09-12,0.3288
"68",2019-09-13,0.3437
"69",2019-09-16,0.3275
"70",2019-09-17,0.3464
"71",2019-09-18,0.3431
"72",2019-09-19,0.3464
"73",2019-09-20,0.3327
"74",2019-09-23,0.3061
"75",2019-09-24,0.2648
"76",2019-09-25,0.2774
"77",2019-09-26,0.2721
"78",2019-09-27,0.2853
"79",2019-09-30,0.262
"80",2019-10-01,0.2601
"81",2019-10-02,0.2404
"82",2019-10-03,0.2149
"83",2019-10-04,0.1964
"84",2019-10-07,0.2018
"85",2019-10-08,0.2193
"86",2019-10-09,0.2562
"87",2019-10-10,0.2491
"88",2019-10-11,0.2598
"89",2019-10-14,0.2638
"90",2019-10-15,0.2748
"91",2019-10-16,0.2598
"92",2019-10-17,0.2487
"93",2019-10-18,0.2231
