"","date","AMZN"
"1",2022-04-18,0.1888
"2",2022-04-19,0.19
"3",2022-04-20,0.1867
"4",2022-04-21,0.1897
"5",2022-04-22,0.1903
"6",2022-04-25,0.191
"7",2022-04-26,0.1918
"8",2022-04-27,0.1935
"9",2022-04-28,0.1879
"10",2022-04-29,0.1848
"11",2022-05-02,0.1824
"12",2022-05-03,0.1884
"13",2022-05-04,0.1863
"14",2022-05-05,0.1951
"15",2022-05-06,0.1959
"16",2022-05-09,0.1956
"17",2022-05-10,0.1994
"18",2022-05-11,0.2047
"19",2022-05-12,0.1977
"20",2022-05-13,0.1983
"21",2022-05-16,0.1998
"22",2022-05-17,0.2019
"23",2022-05-18,0.2012
"24",2022-05-19,0.1985
"25",2022-05-20,0.2007
"26",2022-05-23,0.2081
"27",2022-05-24,0.2046
"28",2022-05-25,0.2037
"29",2022-05-26,0.204
"30",2022-05-27,0.205
"31",2022-05-31,0.2039
"32",2022-06-01,0.2047
"33",2022-06-02,0.2053
"34",2022-06-03,0.2077
"35",2022-06-06,0.2117
"36",2022-06-07,0.2157
"37",2022-06-08,0.2131
"38",2022-06-09,0.2165
"39",2022-06-10,0.2135
"40",2022-06-13,0.2207
"41",2022-06-14,0.224
"42",2022-06-15,0.228
"43",2022-06-16,0.2231
"44",2022-06-17,0.2204
"45",2022-06-21,0.2172
"46",2022-06-22,0.2251
"47",2022-06-23,0.2255
"48",2022-06-24,0.228
"49",2022-06-27,0.2249
"50",2022-06-28,0.2264
"51",2022-06-29,0.222
"52",2022-06-30,0.2191
"53",2022-07-01,0.2175
"54",2022-07-05,0.2182
"55",2022-07-06,0.2212
"56",2022-07-07,0.2288
"57",2022-07-08,0.2312
"58",2022-07-11,0.2307
"59",2022-07-12,0.2325
"60",2022-07-13,0.2362
"61",2022-07-14,0.2367
"62",2022-07-15,0.2411
"63",2022-07-18,0.2413
"64",2022-07-19,0.2428
"65",2022-07-20,0.2452
"66",2022-07-21,0.2479
"67",2022-07-22,0.2449
"68",2022-07-25,0.2441
"69",2022-07-26,0.2439
"70",2022-07-27,0.2499
"71",2022-07-28,0.2553
"72",2022-07-29,0.263
"73",2022-08-01,0.2585
"74",2022-08-02,0.2587
"75",2022-08-03,0.2549
"76",2022-08-04,0.2522
"77",2022-08-05,0.252
"78",2022-08-08,0.2596
"79",2022-08-09,0.2666
"80",2022-08-10,0.2708
"81",2022-08-11,0.2667
"82",2022-08-12,0.2667
"83",2022-08-15,0.2664
"84",2022-08-16,0.2632
"85",2022-08-17,0.2658
"86",2022-08-18,0.265
"87",2022-08-19,0.2577
"88",2022-08-22,0.2544
"89",2022-08-23,0.2541
"90",2022-08-24,0.2561
"91",2022-08-25,0.2597
"92",2022-08-26,0.2662
"93",2022-08-29,0.2625
"94",2022-08-30,0.2632
"95",2022-08-31,0.2606
"96",2022-09-01,0.2591
"97",2022-09-02,0.2492
"98",2022-09-06,0.254
"99",2022-09-07,0.2492
"100",2022-09-08,0.2456
"101",2022-09-09,0.2427
"102",2022-09-12,0.2457
"103",2022-09-13,0.2427
"104",2022-09-14,0.2376
"105",2022-09-15,0.2367
"106",2022-09-16,0.2391
"107",2022-09-19,0.2379
"108",2022-09-20,0.2355
"109",2022-09-21,0.2293
"110",2022-09-22,0.2288
"111",2022-09-23,0.2308
"112",2022-09-26,0.2338
"113",2022-09-27,0.2357
"114",2022-09-28,0.2288
"115",2022-09-29,0.2242
"116",2022-09-30,0.2271
"117",2022-10-03,0.2239
"118",2022-10-04,0.2217
"119",2022-10-05,0.2208
"120",2022-10-06,0.2216
"121",2022-10-07,0.2233
"122",2022-10-10,0.2215
"123",2022-10-11,0.2152
"124",2022-10-12,0.216
"125",2022-10-13,0.2211
"126",2022-10-14,0.2277
"127",2022-10-17,0.2228
"128",2022-10-18,0.2179
"129",2022-10-19,0.2126
"130",2022-10-20,0.215
"131",2022-10-21,0.2162
"132",2022-10-24,0.2183
"133",2022-10-25,0.2119
"134",2022-10-26,0.2083
"135",2022-10-27,0.2061
"136",2022-10-28,0.2036
"137",2022-10-31,0.2024
"138",2022-11-01,0.2052
"139",2022-11-02,0.2035
"140",2022-11-03,0.2044
"141",2022-11-04,0.2034
"142",2022-11-07,0.2027
"143",2022-11-08,0.2014
"144",2022-11-09,0.2007
"145",2022-11-10,0.2021
"146",2022-11-11,0.2077
"147",2022-11-14,0.2067
"148",2022-11-15,0.2039
"149",2022-11-16,0.2013
"150",2022-11-17,0.1973
"151",2022-11-18,0.2
"152",2022-11-21,0.1999
"153",2022-11-22,0.1977
"154",2022-11-23,0.2018
"155",2022-11-25,0.2036
"156",2022-11-28,0.201
"157",2022-11-29,0.1928
"158",2022-11-30,0.1945
"159",2022-12-01,0.191
"160",2022-12-02,0.1931
"161",2022-12-05,0.1984
"162",2022-12-06,0.2014
"163",2022-12-07,0.1973
"164",2022-12-08,0.1863
"165",2022-12-09,0.1821
"166",2022-12-12,0.188
"167",2022-12-13,0.1886
"168",2022-12-14,0.1944
"169",2022-12-15,0.1981
"170",2022-12-16,0.2005
"171",2022-12-19,0.1953
"172",2022-12-20,0.1927
"173",2022-12-21,0.1934
"174",2022-12-22,0.1884
"175",2022-12-23,0.1913
"176",2022-12-27,0.1999
"177",2022-12-28,0.2005
"178",2022-12-29,0.1961
"179",2022-12-30,0.1922
"180",2023-01-03,0.1954
"181",2023-01-04,0.194
"182",2023-01-05,0.198
"183",2023-01-06,0.1983
"184",2023-01-09,0.1938
"185",2023-01-10,0.1935
"186",2023-01-11,0.2008
"187",2023-01-12,0.1975
"188",2023-01-13,0.1933
"189",2023-01-17,0.1919
"190",2023-01-18,0.1953
"191",2023-01-19,0.1998
"192",2023-01-20,0.1982
"193",2023-01-23,0.1933
"194",2023-01-24,0.1897
"195",2023-01-25,0.1862
"196",2023-01-26,0.1902
"197",2023-01-27,0.1927
"198",2023-01-30,0.1904
"199",2023-01-31,0.1918
"200",2023-02-01,0.1907
"201",2023-02-02,0.1876
"202",2023-02-03,0.1882
"203",2023-02-06,0.1905
"204",2023-02-07,0.186
"205",2023-02-08,0.1807
"206",2023-02-09,0.1812
"207",2023-02-10,0.1714
"208",2023-02-13,0.1708
"209",2023-02-14,0.1695
"210",2023-02-15,0.1735
"211",2023-02-16,0.1776
"212",2023-02-17,0.1787
"213",2023-02-21,0.1782
"214",2023-02-22,0.1762
"215",2023-02-23,0.1793
"216",2023-02-24,0.1785
"217",2023-02-27,0.1785
"218",2023-02-28,0.1804
"219",2023-03-01,0.1775
"220",2023-03-02,0.1777
"221",2023-03-03,0.1825
"222",2023-03-06,0.1873
"223",2023-03-07,0.1851
"224",2023-03-08,0.1791
"225",2023-03-09,0.1759
"226",2023-03-10,0.1742
"227",2023-03-13,0.167
"228",2023-03-14,0.1693
"229",2023-03-15,0.167
"230",2023-03-16,0.1678
"231",2023-03-17,0.1694
"232",2023-03-20,0.1712
"233",2023-03-21,0.1725
"234",2023-03-22,0.1705
"235",2023-03-23,0.1732
"236",2023-03-24,0.1767
"237",2023-03-27,0.1774
"238",2023-03-28,0.1785
"239",2023-03-29,0.1755
"240",2023-03-30,0.1689
"241",2023-03-31,0.1675
"242",2023-04-03,0.1713
"243",2023-04-04,0.1693
"244",2023-04-05,0.1646
"245",2023-04-06,0.1658
"246",2023-04-10,0.1673
"247",2023-04-11,0.1634
"248",2023-04-12,0.1556
"249",2023-04-13,0.149
"250",2023-04-14,0.1535
"251",2023-04-17,0.1579
"252",2023-04-18,0.1593
"253",2023-04-19,0.1546
"254",2023-04-20,0.1526
"255",2023-04-21,0.1476
"256",2023-04-24,0.1509
"257",2023-04-25,0.15
"258",2023-04-26,0.1507
"259",2023-04-27,0.1553
"260",2023-04-28,0.1558
"261",2023-05-01,0.1538
"262",2023-05-02,0.1497
"263",2023-05-03,0.1495
"264",2023-05-04,0.1493
"265",2023-05-05,0.1528
"266",2023-05-08,0.1563
"267",2023-05-09,0.1578
"268",2023-05-10,0.154
"269",2023-05-11,0.15
"270",2023-05-12,0.1483
"271",2023-05-15,0.1469
"272",2023-05-16,0.1537
"273",2023-05-17,0.1561
"274",2023-05-18,0.1583
"275",2023-05-19,0.164
"276",2023-05-22,0.1665
"277",2023-05-23,0.1591
"278",2023-05-24,0.1588
"279",2023-05-25,0.1537
"280",2023-05-26,0.1602
"281",2023-05-30,0.1677
"282",2023-05-31,0.1641
"283",2023-06-01,0.1565
"284",2023-06-02,0.1497
"285",2023-06-05,0.1467
"286",2023-06-06,0.1469
"287",2023-06-07,0.1474
"288",2023-06-08,0.1452
"289",2023-06-09,0.1422
"290",2023-06-12,0.1379
"291",2023-06-13,0.1288
"292",2023-06-14,0.1263
"293",2023-06-15,0.1279
"294",2023-06-16,0.1262
"295",2023-06-20,0.1304
"296",2023-06-21,0.1271
"297",2023-06-22,0.1229
"298",2023-06-23,0.1249
"299",2023-06-26,0.1225
"300",2023-06-27,0.1201
"301",2023-06-28,0.125
"302",2023-06-29,0.1307
