"","date","AVGO"
"1",2020-11-10,0.2338
"2",2020-11-11,0.2449
"3",2020-11-12,0.2297
"4",2020-11-13,0.2394
"5",2020-11-16,0.2355
"6",2020-11-17,0.2266
"7",2020-11-18,0.2104
"8",2020-11-19,0.2189
"9",2020-11-20,0.2299
"10",2020-11-23,0.2313
"11",2020-11-24,0.2273
"12",2020-11-25,0.2326
"13",2020-11-27,0.222
"14",2020-11-30,0.236
"15",2020-12-01,0.2447
"16",2020-12-02,0.2662
"17",2020-12-03,0.2628
"18",2020-12-04,0.2645
"19",2020-12-07,0.2661
"20",2020-12-08,0.2608
"21",2020-12-09,0.272
"22",2020-12-10,0.2748
"23",2020-12-11,0.2516
"24",2020-12-14,0.2486
"25",2020-12-15,0.2178
"26",2020-12-16,0.2143
"27",2020-12-17,0.2178
"28",2020-12-18,0.2157
"29",2020-12-21,0.2339
"30",2020-12-22,0.2264
"31",2020-12-23,0.2278
"32",2020-12-24,0.241
"33",2020-12-28,0.2251
"34",2020-12-29,0.2351
"35",2020-12-30,0.2347
"36",2020-12-31,0.2368
"37",2021-01-04,0.2328
"38",2021-01-05,0.2351
"39",2021-01-06,0.246
"40",2021-01-07,0.2377
"41",2021-01-08,0.2364
"42",2021-01-11,0.2441
"43",2021-01-12,0.2341
"44",2021-01-13,0.2369
"45",2021-01-14,0.2293
"46",2021-01-15,0.222
"47",2021-01-19,0.1966
"48",2021-01-20,0.2017
"49",2021-01-21,0.2059
"50",2021-01-22,0.217
"51",2021-01-25,0.2196
"52",2021-01-26,0.2279
"53",2021-01-27,0.2105
"54",2021-01-28,0.2163
"55",2021-01-29,0.2109
"56",2021-02-01,0.2176
"57",2021-02-02,0.2144
"58",2021-02-03,0.2119
"59",2021-02-04,0.2187
"60",2021-02-05,0.2185
"61",2021-02-08,0.222
"62",2021-02-09,0.2243
"63",2021-02-10,0.2113
"64",2021-02-11,0.2161
"65",2021-02-12,0.2145
"66",2021-02-16,0.2179
"67",2021-02-17,0.2172
"68",2021-02-18,0.2245
"69",2021-02-19,0.2301
"70",2021-02-22,0.2162
"71",2021-02-23,0.207
"72",2021-02-24,0.2031
"73",2021-02-25,0.1788
"74",2021-02-26,0.1921
"75",2021-03-01,0.1837
"76",2021-03-02,0.1964
"77",2021-03-03,0.1829
"78",2021-03-04,0.1851
"79",2021-03-05,0.1995
"80",2021-03-08,0.2024
"81",2021-03-09,0.2231
"82",2021-03-10,0.2254
"83",2021-03-11,0.2073
"84",2021-03-12,0.2125
"85",2021-03-15,0.2037
"86",2021-03-16,0.2148
"87",2021-03-17,0.215
"88",2021-03-18,0.2068
"89",2021-03-19,0.2075
"90",2021-03-22,0.1981
"91",2021-03-23,0.176
"92",2021-03-24,0.1864
"93",2021-03-25,0.1768
"94",2021-03-26,0.1828
"95",2021-03-29,0.1815
"96",2021-03-30,0.1861
"97",2021-03-31,0.1775
"98",2021-04-01,0.1852
"99",2021-04-05,0.1995
"100",2021-04-06,0.1946
"101",2021-04-07,0.1919
"102",2021-04-08,0.1865
"103",2021-04-09,0.1743
"104",2021-04-12,0.1899
"105",2021-04-13,0.1855
