"","date","GOOGL"
"1",2020-11-10,0.1145
"2",2020-11-11,0.1062
"3",2020-11-12,0.0946
"4",2020-11-13,0.1018
"5",2020-11-16,0.1148
"6",2020-11-17,0.1185
"7",2020-11-18,0.108
"8",2020-11-19,0.1056
"9",2020-11-20,0.1063
"10",2020-11-23,0.0997000000000001
"11",2020-11-24,0.1036
"12",2020-11-25,0.103
"13",2020-11-27,0.0953
"14",2020-11-30,0.1037
"15",2020-12-01,0.1017
"16",2020-12-02,0.1119
"17",2020-12-03,0.1155
"18",2020-12-04,0.1171
"19",2020-12-07,0.1248
"20",2020-12-08,0.1183
"21",2020-12-09,0.1142
"22",2020-12-10,0.0971
"23",2020-12-11,0.0908
"24",2020-12-14,0.1002
"25",2020-12-15,0.0929
"26",2020-12-16,0.0873
"27",2020-12-17,0.0832
"28",2020-12-18,0.0759
"29",2020-12-21,0.0876000000000001
"30",2020-12-22,0.0901
"31",2020-12-23,0.0893
"32",2020-12-24,0.0986
"33",2020-12-28,0.0867999999999999
"34",2020-12-29,0.0897999999999999
"35",2020-12-30,0.1002
"36",2020-12-31,0.1059
"37",2021-01-04,0.1051
"38",2021-01-05,0.0989
"39",2021-01-06,0.0987
"40",2021-01-07,0.0945
"41",2021-01-08,0.0962
"42",2021-01-11,0.101
"43",2021-01-12,0.0955
"44",2021-01-13,0.0992
"45",2021-01-14,0.1026
"46",2021-01-15,0.1008
"47",2021-01-19,0.0933
"48",2021-01-20,0.0861
"49",2021-01-21,0.0856000000000001
"50",2021-01-22,0.0863
"51",2021-01-25,0.0814
"52",2021-01-26,0.0795000000000001
"53",2021-01-27,0.0705
"54",2021-01-28,0.0760000000000001
"55",2021-01-29,0.0766000000000001
"56",2021-02-01,0.0825
"57",2021-02-02,0.0826
"58",2021-02-03,0.0824
"59",2021-02-04,0.0938
"60",2021-02-05,0.0907
"61",2021-02-08,0.0919
"62",2021-02-09,0.0891
"63",2021-02-10,0.0849
"64",2021-02-11,0.0856
"65",2021-02-12,0.0988
"66",2021-02-16,0.1086
"67",2021-02-17,0.1035
"68",2021-02-18,0.1093
"69",2021-02-19,0.1073
"70",2021-02-22,0.095
"71",2021-02-23,0.0961
"72",2021-02-24,0.0915
"73",2021-02-25,0.0775
"74",2021-02-26,0.0833
"75",2021-03-01,0.0812999999999999
"76",2021-03-02,0.1002
"77",2021-03-03,0.1016
"78",2021-03-04,0.1091
"79",2021-03-05,0.1197
"80",2021-03-08,0.1166
"81",2021-03-09,0.1194
"82",2021-03-10,0.108
"83",2021-03-11,0.1049
"84",2021-03-12,0.1162
"85",2021-03-15,0.1171
"86",2021-03-16,0.112
"87",2021-03-17,0.1145
"88",2021-03-18,0.1087
"89",2021-03-19,0.1216
"90",2021-03-22,0.1215
"91",2021-03-23,0.1153
"92",2021-03-24,0.1155
"93",2021-03-25,0.1045
"94",2021-03-26,0.1096
"95",2021-03-29,0.1174
"96",2021-03-30,0.1212
"97",2021-03-31,0.116
"98",2021-04-01,0.1148
"99",2021-04-05,0.1156
"100",2021-04-06,0.1163
"101",2021-04-07,0.123
"102",2021-04-08,0.1215
"103",2021-04-09,0.1077
"104",2021-04-12,0.1178
"105",2021-04-13,0.1214
"106",2021-04-14,0.1271
"107",2021-04-15,0.1306
"108",2021-04-16,0.1227
"109",2021-04-19,0.128
"110",2021-04-20,0.1307
"111",2021-04-21,0.1301
"112",2021-04-22,0.1262
"113",2021-04-23,0.1154
"114",2021-04-26,0.1184
"115",2021-04-27,0.1185
"116",2021-04-28,0.1167
"117",2021-04-29,0.1216
"118",2021-04-30,0.1159
"119",2021-05-03,0.1189
"120",2021-05-04,0.13
"121",2021-05-05,0.1284
"122",2021-05-06,0.1347
"123",2021-05-07,0.1305
"124",2021-05-10,0.1347
"125",2021-05-11,0.139
"126",2021-05-12,0.1406
"127",2021-05-13,0.1391
"128",2021-05-14,0.1314
"129",2021-05-17,0.1334
"130",2021-05-18,0.1201
"131",2021-05-19,0.1278
"132",2021-05-20,0.1262
"133",2021-05-21,0.1228
"134",2021-05-24,0.1333
"135",2021-05-25,0.1298
"136",2021-05-26,0.1378
"137",2021-05-27,0.1366
"138",2021-05-28,0.1319
"139",2021-06-01,0.1355
"140",2021-06-02,0.1394
"141",2021-06-03,0.1347
"142",2021-06-04,0.1313
"143",2021-06-07,0.1331
"144",2021-06-08,0.1459
"145",2021-06-09,0.1459
"146",2021-06-10,0.1496
"147",2021-06-11,0.1467
"148",2021-06-14,0.1476
"149",2021-06-15,0.1623
"150",2021-06-16,0.1598
"151",2021-06-17,0.1547
"152",2021-06-18,0.1408
"153",2021-06-21,0.1313
"154",2021-06-22,0.1307
"155",2021-06-23,0.1346
"156",2021-06-24,0.1409
"157",2021-06-25,0.1381
"158",2021-06-28,0.1369
"159",2021-06-29,0.1409
"160",2021-06-30,0.139
"161",2021-07-01,0.1464
"162",2021-07-02,0.1434
"163",2021-07-06,0.1322
"164",2021-07-07,0.1388
"165",2021-07-08,0.1425
"166",2021-07-09,0.1391
"167",2021-07-12,0.1373
"168",2021-07-13,0.1217
"169",2021-07-14,0.12
"170",2021-07-15,0.1134
"171",2021-07-16,0.12
"172",2021-07-19,0.1149
"173",2021-07-20,0.1086
"174",2021-07-21,0.1165
"175",2021-07-22,0.1203
"176",2021-07-23,0.118
"177",2021-07-26,0.1158
"178",2021-07-27,0.1131
"179",2021-07-28,0.1102
"180",2021-07-29,0.1013
"181",2021-07-30,0.1029
"182",2021-08-02,0.0919
"183",2021-08-03,0.0766
"184",2021-08-04,0.083
"185",2021-08-05,0.0903
"186",2021-08-06,0.0978000000000001
"187",2021-08-09,0.0933
"188",2021-08-10,0.0971
"189",2021-08-11,0.0994
"190",2021-08-12,0.0914
"191",2021-08-13,0.0929
"192",2021-08-16,0.0913
"193",2021-08-17,0.078
"194",2021-08-18,0.0760000000000001
"195",2021-08-19,0.0764
"196",2021-08-20,0.0868
"197",2021-08-23,0.0917999999999999
"198",2021-08-24,0.0844
"199",2021-08-25,0.0823
"200",2021-08-26,0.0795999999999999
"201",2021-08-27,0.0841
"202",2021-08-30,0.0778
"203",2021-08-31,0.0724
"204",2021-09-01,0.0816
"205",2021-09-02,0.0848
"206",2021-09-03,0.0855
"207",2021-09-07,0.0815
"208",2021-09-08,0.077
"209",2021-09-09,0.0833
"210",2021-09-10,0.0824
"211",2021-09-13,0.0836999999999999
"212",2021-09-14,0.0779
"213",2021-09-15,0.0711999999999999
"214",2021-09-16,0.0707
"215",2021-09-17,0.0756000000000001
"216",2021-09-20,0.0798
"217",2021-09-21,0.0673
"218",2021-09-22,0.0724
"219",2021-09-23,0.0808
"220",2021-09-24,0.0802999999999999
"221",2021-09-27,0.0821000000000001
"222",2021-09-28,0.0895
"223",2021-09-29,0.0854
"224",2021-09-30,0.0874
"225",2021-10-01,0.0821000000000001
"226",2021-10-04,0.0822000000000001
"227",2021-10-05,0.0866
"228",2021-10-06,0.0845
"229",2021-10-07,0.0889
"230",2021-10-08,0.0916000000000001
"231",2021-10-11,0.0907
"232",2021-10-12,0.0927999999999999
"233",2021-10-13,0.0827000000000001
"234",2021-10-14,0.0873
"235",2021-10-15,0.0916
"236",2021-10-18,0.0883
"237",2021-10-19,0.0927999999999999
"238",2021-10-20,0.0901999999999999
"239",2021-10-21,0.1028
"240",2021-10-22,0.1097
"241",2021-10-25,0.1106
"242",2021-10-26,0.0991
"243",2021-10-27,0.0891000000000001
"244",2021-10-28,0.1
"245",2021-10-29,0.1071
"246",2021-11-01,0.1097
"247",2021-11-02,0.1052
"248",2021-11-03,0.106
"249",2021-11-04,0.1109
"250",2021-11-05,0.1117
"251",2021-11-08,0.1111
"252",2021-11-09,0.1154
"253",2021-11-10,0.1069
"254",2021-11-11,0.1076
"255",2021-11-12,0.1115
"256",2021-11-15,0.1138
"257",2021-11-16,0.1184
"258",2021-11-17,0.1177
"259",2021-11-18,0.1191
"260",2021-11-19,0.1215
"261",2021-11-22,0.1285
"262",2021-11-23,0.1201
"263",2021-11-24,0.1177
"264",2021-11-26,0.1179
"265",2021-11-29,0.1187
"266",2021-11-30,0.1217
"267",2021-12-01,0.1114
"268",2021-12-02,0.1118
"269",2021-12-03,0.1189
"270",2021-12-06,0.1165
"271",2021-12-07,0.1167
"272",2021-12-08,0.1134
"273",2021-12-09,0.1044
"274",2021-12-10,0.1168
"275",2021-12-13,0.1241
"276",2021-12-14,0.1377
"277",2021-12-15,0.132
"278",2021-12-16,0.1226
"279",2021-12-17,0.1264
"280",2021-12-20,0.1194
"281",2021-12-21,0.1179
"282",2021-12-22,0.118
"283",2021-12-23,0.1125
"284",2021-12-27,0.1142
"285",2021-12-28,0.1161
"286",2021-12-29,0.12
"287",2021-12-30,0.1217
"288",2021-12-31,0.1232
"289",2022-01-03,0.1186
"290",2022-01-04,0.1178
"291",2022-01-05,0.1196
"292",2022-01-06,0.1221
"293",2022-01-07,0.1216
"294",2022-01-10,0.1212
"295",2022-01-11,0.1186
"296",2022-01-12,0.1218
"297",2022-01-13,0.1169
"298",2022-01-14,0.1058
